,Concept_ID,uk,hu
0,Auge::N,око,szem
1,Ohr::N,вухо,fül
2,Nase::N,ніс,orr
3,Mund::N,рот,száj
4,Zahn::N,зуб,fog
5,Zunge::N,язик,nyelv
6,Lippe::N,губа,ajak
7,Wange::N,щока,orca
8,Gesicht::N,обличчя,arc
9,Stirn::N,лоб,homlok
10,Haar::N,волосся,haj
11,Schnurrbart::N,вуса,bajusz
12,Bart::N,борода,szakáll
13,Kinn::N,підборіддя,áll
14,Kiefer[Anatomie]::N,щелепа,állkapocs
15,Kehle::N,горло,gége
16,Kehle::N,горло,torok
17,Hals::N,шия,nyak
18,Genick::N,потилиця,tarkó
19,Kopf::N,голова,fő
20,Kopf::N,голова,fej
21,Rücken::N,спина,hát
22,Bauch::N,живіт,has
23,Nabel::N,пупок,köldök
24,Busen::N,груди,mell
25,Busen::N,груди,kebel
26,Brust::N,груди,mell
27,Schulter::N,плече,váll
28,Arm::N,рука,kar
29,Ellenbogen::N,лікоть,könyök
30,Hand::N,рука,kéz
31,Handfläche::N,долоня,tenyér
32,Finger::N,палець,ujj
33,Fingernagel::N,ніготь,köröm
34,Nagel[Anatomie]::N,ніготь,köröm
35,Zeh::N,палець на нозі,lábujj
36,Fuß::N,нога,láb
37,Ferse::N,п’ятка,sarok
38,Knie::N,коліно,térd
39,Oberschenkel::N,стегно,comb
40,Bein::N,нога,láb
41,Bein::N,нога,lábszár
42,Körper::N,тіло,test
43,Haut::N,шкіра,bőr
44,Blut::N,кров,vér
45,Ader::N,вена,ér
46,Sehne::N,сухожилля,ín
47,Knochen::N,кістка,csont
48,Gehirn::N,мозок,agy
49,Gehirn::N,мозок,agyvelő
50,Herz::N,серце,szív
51,Magen::N,шлунок,gyomor
52,Leber::N,печінка,máj
53,Atem::N,дихання,lehelet
54,Atem::N,дихання,lélegzet
55,Hunger::N,голод,éhség
56,Träne::N,сльоза,könny
57,Geschmack::N,смак,íz
58,Geruch::N,запах,szag
59,Schlaf::N,сон,álom
60,Schlaf::N,сон,alvás
61,Schlaf::N,сплячка,álom
62,Schlaf::N,сплячка,alvás
63,Traum::N,сон,álom
64,Himmel::N,небо,ég
65,Himmel::N,небо,menny
66,Sonne::N,сонце,nap
67,Mond::N,місяць,hold
68,Stern::N,зірка,csillag
69,Luft::N,повітря,levegő
70,Wind::N,вітер,szél
71,Welle::N,хвиля,hullám
72,Wasser::N,вода,víz
73,Stein::N,камінь,kő
74,Boden::N,ґрунт,föld
75,Boden::N,ґрунт,talaj
76,Erde::N,земля,föld
77,Staub::N,пил,por
78,Rauch::N,дим,füst
79,Funke::N,іскра,szikra
80,Feuer::N,вогонь,tűz
81,Licht::N,світло,fény
82,Schatten::N,тінь,árnyék
83,Wetter::N,погода,idő
84,Wetter::N,погода,időjárás
85,Nebel::N,туман,köd
86,Wolke::N,хмара,felhő
87,Regen::N,дощ,eső
88,Schnee::N,сніг,hó
89,Eis::N,лід,jég
90,Frost::N,мороз,fagy
91,Kälte::N,холод,hideg
92,Hitze::N,жар,hő
93,Hitze::N,жар,hőség
94,Raureif::N,іній,zúzmara
95,Regenbogen::N,райдуга,szivárvány
96,Donner::N,грім,dörgés
97,Donner::N,грім,mennydörgés
98,Strömung::N,струмина,áramlat
99,Tropfen::N,крапля,csepp
100,Schaum::N,піна,hab
101,Schaum::N,піна,tajték
102,Schmutz::N,бруд,piszok
103,See::N,озеро,tó
104,Sumpf::N,драговина,mocsár
105,Moor::N,болото,láp
106,Wiese::N,луг,rét
107,Wiese::N,луг,mező
108,Wiese::N,лука,rét
109,Wiese::N,лука,mező
110,Wald::N,ліс,erdő
111,Hügel::N,горб,domb
112,Anhöhe::N,височина,magaslat
113,Berg::N,гора,hegy
114,Gipfel::N,вершина,csúcs
115,Höhle::N,печера,barlang
116,Abhang::N,схил,lejtő
117,Quelle::N,джерело,forrás
118,Bach::N,струмок,patak
119,Fluss::N,річка,folyó
120,Ufer::N,берег,part
121,Küste::N,узбережжя,tengerpart
122,Festland::N,суша,szárazföld
123,Meer::N,море,tenger
124,Bucht::N,бухта,öböl
125,Bucht::N,затока,öböl
126,Insel::N,острів,sziget
127,Blume::N,квітка,virág
128,Gras::N,трава,fű
129,Wurzel::N,корінь,gyökér
130,Baum::N,дерево,fa
131,Stamm::N,стовбур,tő
132,Stamm::N,стовбур,törzs
133,Rinde::N,кора,kéreg
134,Ast::N,гілка,ág
135,Zweig::N,галузь,gally
136,Blatt::N,лист,levél
137,Birke::N,береза,nyír
138,Kiefer[Baum]::N,сосна,fenyő
139,Weide[Baum]::N,верба,fűz
140,Tanne::N,ялиця,fenyő
141,Horn::N,ріг,szarv
142,Feder::N,перо,toll
143,Fell::N,хутро,szőr
144,Fell::N,хутро,bunda
145,Flügel::N,крило,szárny
146,Klaue::N,кіготь,köröm
147,Kralle::N,лапа,karom
148,Schwanz::N,хвіст,farok
149,Ei::N,яйце,tojás
150,Nest::N,гніздо,fészek
151,Bau::N,лігво,odú
152,Tier::N,тварина,állat
153,Herde::N,стадо,nyáj
154,Herde::N,стадо,csorda
155,Kuh::N,корова,tehén
156,Bulle::N,бик,bika
157,Bulle::N,бугай,bika
158,Pferd::N,кінь,ló
159,Schaf::N,вівця,juh
160,Schaf::N,вівця,birka
161,Schwein::N,свиня,sertés
162,Hund::N,собака,eb
163,Hund::N,собака,kutya
164,Katze::N,кішка,macska
165,Bär::N,ведмідь,medve
166,Eichhörnchen::N,білка,mókus
167,Elch::N,лось,jávorszarvas
168,Fuchs::N,лисиця,róka
169,Hase::N,заєць,nyúl
170,Maus::N,миша,egér
171,Wolf::N,вовк,farkas
172,Vogel::N,птах,madár
173,Schwarm::N,зграя,raj
174,Huhn::N,курка,tyúk
175,Hahn::N,півень,kakas
176,Gans::N,гуска,lúd
177,Gans::N,гуска,liba
178,Adler::N,орел,sas
179,Ente::N,качка,kacsa
180,Eule::N,сова,bagoly
181,Kranich::N,журавель,daru
182,Krähe::N,ворона,varjú
183,Kuckuck::N,зозуля,kakukk
184,Schwan::N,лебідь,hattyú
185,Fisch::N,риба,hal
186,Barsch::N,окунь,sügér
187,Hecht::N,щука,csuka
188,Schlange[Tier]::N,змія,kígyó
189,Wurm::N,черв’як,kukac
190,Spinne::N,павук,pók
191,Ameise::N,мурашка,hangya
192,Laus::N,воша,tetű
193,Mücke::N,комар,szúnyog
194,Fliege::N,муха,légy
195,Schmetterling::N,метелик,lepke
196,Schmetterling::N,метелик,pillangó
197,Beere::N,ягода,bogyó
198,Apfel::N,яблуко,alma
199,Pilz::N,гриб,gomba
200,Zwiebel::N,цибуля,hagyma
201,Saat::N,сім’я,vetőmag
202,Korn::N,зерно,mag
203,Korn::N,зерно,szem
204,Heu::N,сіно,széna
205,Schale::N,шкірка,héj
