,Concept_ID,de,cv
981,anfangen::V,anfangen,пуҫла
982,beenden::V,beenden,пӗтер
983,aufhören::V,aufhören,пӑрах
984,gelingen::V,gelingen,ӑн
985,geraten::V,geraten,пул
986,öffnen::V,öffnen,уҫ
987,schließen::V,schließen,хуп
988,stellen::V,stellen,ларт
989,stellen::V,stellen,тӑрат
990,setzen::V,setzen,ларт
991,legen::V,legen,хур
992,berühren::V,berühren,перӗн
993,verbinden::V,verbinden,сып
994,bedecken::V,bedecken,вит
995,aufhängen::V,aufhängen,ҫак
996,anzünden::V,anzünden,ҫут
997,aufheben::V,aufheben,ҫӗкле
998,zurücklassen::V,zurücklassen,манса хӑвар
999,verlieren::V,verlieren,ҫӗтер
1000,fallen lassen::V,fallen lassen,ӳкер
1001,machen::V,machen,ту
1002,herstellen::V,herstellen,ӑстала
1003,bauen::V,bauen,ту
1004,reparieren::V,reparieren,юса
1005,verbessern::V,verbessern,лайӑхлат
1006,ändern::V,ändern,улӑштар
1007,graben::V,graben,чав
1008,graben::V,graben,чакала
1009,beugen::V,beugen,кукӑрт
1010,biegen::V,biegen,ав
1011,biegen::V,biegen,кукӑрт
1012,drehen::V,drehen,ҫавӑр
1013,wenden::V,wenden,ӳпӗнтер
1014,umdrehen::V,umdrehen,ҫавӑр
1015,heben::V,heben,хӑпарт
1016,hochheben::V,hochheben,йӑт
1017,ergreifen::V,ergreifen,тыт
1018,halten::V,halten,тыт
1019,drücken::V,drücken,пус
1020,schieben::V,schieben,тӗк
1021,schieben::V,schieben,тӗрт
1022,kratzen::V,kratzen,хыр
1023,lecken::V,lecken,ҫула
1024,beißen::V,beißen,ҫырт
1025,beißen::V,beißen,хып
1026,abreißen::V,abreißen,тат
1027,abschneiden::V,abschneiden,кас
1028,binden::V,binden,ҫых
1029,stecken::V,stecken,чик
1030,brechen::V,brechen,хуҫ
1031,klopfen::V,klopfen,такка
1032,hauen::V,hauen,шакка
1033,kleben::V,kleben,ҫыпӑҫтар
1034,reiben::V,reiben,сӑтӑр
1035,streichen::V,streichen,сӗр
1036,schleifen::V,schleifen,хӑйра
1037,schneiden::V,schneiden,кас
1038,rütteln::V,rütteln,лӑка
1039,rütteln::V,rütteln,силлентер
1040,schütteln::V,schütteln,лӑка
1041,schütteln::V,schütteln,силлентер
1042,schwenken::V,schwenken,сулла
1043,schütten::V,schütten,тултар
1044,füllen::V,füllen,тултар
1045,einwickeln::V,einwickeln,чӗрке
1046,tragen::V,tragen,ҫӗкле
1047,schleppen::V,schleppen,сӗтӗр
1048,ziehen::V,ziehen,тӑс
1049,aufbewahren::V,aufbewahren,усра
1050,werfen::V,werfen,пӑрах
1051,fangen::V,fangen,тыт
1052,packen::V,packen,тыт
1053,verstecken::V,verstecken,пытарса хур
1054,teilen::V,teilen,уйӑр
1055,teilen::V,teilen,пайла
1056,schicken::V,schicken,яр
1057,bringen::V,bringen,кӳр
1058,hinzufügen::V,hinzufügen,хуш
