,Concept_ID,ja,mn
0,Auge::N,目,нүд
1,Ohr::N,耳,чих
2,Nase::N,鼻,хамар
3,Mund::N,口,ам
4,Zahn::N,歯,шүд
5,Zunge::N,舌,хэл
6,Lippe::N,唇,уруул
7,Wange::N,頬,хацар
8,Gesicht::N,顔,царай
9,Gesicht::N,顔,нүүр
10,Stirn::N,額,дух
11,Haar::N,髪,үс
12,Schnurrbart::N,口髭,дээд сахал
13,Schnurrbart::N,口髭,живэр сахал
14,Bart::N,髭,сахал
15,Kinn::N,顎,эрүү
16,Kiefer[Anatomie]::N,顎,эрүү
17,Kehle::N,喉,хоолой
18,Hals::N,首,хүзүү
19,Genick::N,首,шил
20,Genick::N,首,хүзүү
21,Kopf::N,頭,толгой
22,Rücken::N,背中,ар
23,Rücken::N,背中,нуруу
24,Bauch::N,腹,хэвлий
25,Bauch::N,腹,гэдэс
26,Bauch::N,お腹,хэвлий
27,Bauch::N,お腹,гэдэс
28,Nabel::N,へそ,хүйс
29,Busen::N,乳房,хөх
30,Brust::N,胸,цээж
31,Schulter::N,肩,мөр
32,Schulter::N,肩,бугалга
33,Arm::N,腕,гар
34,Ellenbogen::N,肘,тохой
35,Hand::N,手,гар
36,Hand::N,手,алга
37,Handfläche::N,手のひら,алга
38,Finger::N,指,хуруу
39,Fingernagel::N,爪,хурууны хумс
40,Nagel[Anatomie]::N,爪,хумс
41,Zeh::N,足の指,хуруу
42,Fuß::N,足,хөл
43,Ferse::N,かかと,өсгий
44,Knie::N,膝,өвдөг
45,Oberschenkel::N,上腿,гуя
46,Bein::N,足,хөл
47,Körper::N,体,бие
48,Haut::N,皮膚,арьс
49,Blut::N,血,цус
50,Ader::N,血管,судас
51,Sehne::N,腱,бүлх
52,Sehne::N,腱,шандас
53,Knochen::N,骨,яс
54,Gehirn::N,脳,тархи
55,Herz::N,心,зүрх
56,Herz::N,心臓,зүрх
57,Magen::N,胃,ходоод
58,Leber::N,肝臓,элэг
59,Atem::N,息,амьсгаа
60,Atem::N,呼吸,амьсгаа
61,Hunger::N,空腹,өлсгөлөн
62,Träne::N,涙,нулимс
63,Geschmack::N,味,амт
64,Geruch::N,匂い,үнэр
65,Schlaf::N,睡眠,нойр
66,Traum::N,夢,зүүд
67,Himmel::N,空,тэнгэр
68,Himmel::N,空,огторгуй
69,Sonne::N,太陽,нар
70,Mond::N,月,сар
71,Stern::N,星,од
72,Luft::N,空気,агаар
73,Wind::N,風,салхи
74,Welle::N,波,долгио
75,Welle::N,波,давалгаа
76,Wasser::N,水,ус
77,Stein::N,石,чулуу
78,Boden::N,土地,хөрс
79,Erde::N,土,газар
80,Erde::N,土,шороо
81,Staub::N,埃,тоос
82,Rauch::N,煙,утаа
