,Concept_ID,mn,ba
0,Auge::N,нүд,күҙ
1,Ohr::N,чих,ҡолаҡ
2,Nase::N,хамар,танау
3,Mund::N,ам,ауыҙ
4,Zahn::N,шүд,теш
5,Zunge::N,хэл,тел
6,Lippe::N,уруул,ирен
7,Wange::N,хацар,яцаҡтар
8,Gesicht::N,царай,бит
9,Gesicht::N,нүүр,бит
10,Stirn::N,дух,маңлай
11,Haar::N,үс,сәс
12,Schnurrbart::N,дээд сахал,мылтыҡ
13,Schnurrbart::N,живэр сахал,мылтыҡ
14,Bart::N,сахал,һаҡал
15,Kinn::N,эрүү,эйэк
16,Kiefer[Anatomie]::N,эрүү,яңаҡ һөйәге
17,Kehle::N,хоолой,тамаҡ
18,Hals::N,хүзүү,муйын
19,Genick::N,шил,соңҡа
20,Genick::N,хүзүү,соңҡа
21,Kopf::N,толгой,баш
22,Rücken::N,ар,арҡа
23,Rücken::N,нуруу,арҡа
24,Bauch::N,хэвлий,ҡорһаҡ
25,Bauch::N,гэдэс,ҡорһаҡ
26,Nabel::N,хүйс,кендек
27,Busen::N,хөх,күкрәк
28,Brust::N,цээж,түш
29,Schulter::N,мөр,яурын
30,Schulter::N,бугалга,яурын
31,Arm::N,гар,ҡул
32,Ellenbogen::N,тохой,терһәк
33,Hand::N,гар,ҡул
34,Hand::N,гар,ҡул суғы
35,Hand::N,алга,ҡул
36,Hand::N,алга,ҡул суғы
37,Handfläche::N,алга,ус төбө
38,Finger::N,хуруу,бармаҡ
39,Fingernagel::N,хурууны хумс,тырнаҡ
40,Nagel[Anatomie]::N,хумс,тырнаҡ
41,Zeh::N,хуруу,бармаҡ
42,Fuß::N,хөл,табан
43,Ferse::N,өсгий,үксә
44,Knie::N,өвдөг,тубыҡ
45,Oberschenkel::N,гуя,сандыр
46,Bein::N,хөл,аяҡ
47,Körper::N,бие,тән
48,Haut::N,арьс,тире
49,Blut::N,цус,ҡан
50,Ader::N,судас,тамыр
51,Sehne::N,бүлх,һеңер
52,Sehne::N,бүлх,тарамыш
53,Sehne::N,шандас,һеңер
54,Sehne::N,шандас,тарамыш
55,Knochen::N,яс,һойәк
56,Gehirn::N,тархи,мейе
57,Herz::N,зүрх,йорәк
58,Magen::N,ходоод,ашҡаҙан
59,Leber::N,элэг,бауыр
60,Atem::N,амьсгаа,һулыш
61,Hunger::N,өлсгөлөн,аслыҡ
62,Träne::N,нулимс,күҙ иәше
63,Geschmack::N,амт,тәм
64,Geruch::N,үнэр,еҫ
65,Schlaf::N,нойр,йоҡлау
66,Traum::N,зүүд,төш
67,Himmel::N,тэнгэр,күк
68,Himmel::N,огторгуй,күк
69,Sonne::N,нар,ҡояш
70,Mond::N,сар,ай
71,Stern::N,од,йондоҙ
72,Luft::N,агаар,һауа
73,Wind::N,салхи,ел
74,Welle::N,долгио,тулҡын
75,Welle::N,давалгаа,тулҡын
76,Wasser::N,ус,һыу
77,Stein::N,чулуу,таш
78,Boden::N,хөрс,тупраҡ
79,Erde::N,газар,балсҡ
80,Erde::N,шороо,балсҡ
81,Staub::N,тоос,туҙан
82,Rauch::N,утаа,төтөн
83,Funke::N,оч,осҡон
84,Feuer::N,гал,ут
85,Licht::N,гэрэл,яҡтылыҡ
86,Licht::N,гэгээ,яҡтылыҡ
87,Schatten::N,сүүдэр,күләгә
88,Wetter::N,тэнгэр,һауа торошо
89,Wetter::N,цаг уур,һауа торошо
90,Nebel::N,будан,төман
91,Wolke::N,үүл,болот
92,Regen::N,бороо,ямғыр
93,Schnee::N,цас,ҡар
94,Eis::N,мөс,боҙ
95,Frost::N,хүйт,һалҡын
96,Kälte::N,хүйт,һыуыҡ
97,Hitze::N,халуун,томра
98,Hitze::N,халуун,эҫелек
99,Raureif::N,цан,ҡырау
100,Raureif::N,хяруу,ҡырау
101,Regenbogen::N,солонго,йәйғор
102,Donner::N,тэнгэрийн дуу,күк күкрәү
103,Strömung::N,урсгал,ағым
104,Tropfen::N,дусал,тамсы
105,Schaum::N,хөөс,күбек
106,Schmutz::N,хир,батҡаҡ
107,Schmutz::N,шавхай,батҡаҡ
108,See::N,нуур,күл
109,Sumpf::N,намаг,һаҙлык
110,Sumpf::N,балчиг,һаҙлык
111,Moor::N,хүлрийн намаг,һаҙ
112,Wiese::N,нуга,болон
113,Wald::N,ой,урман
114,Hügel::N,болдог,түбә
115,Anhöhe::N,гүвээ,түбә
116,Anhöhe::N,гүвээ,ҡалҡыулыҡ
117,Berg::N,уул,тау
118,Gipfel::N,орой,түбә
119,Gipfel::N,оргил,түбә
120,Höhle::N,агуй,мәмерйә
121,Abhang::N,хүр,ипкен
122,Quelle::N,булаг,шишмә
123,Bach::N,горхи,шишмә
124,Fluss::N,гол,йылға
125,Fluss::N,мөрөн,йылға
126,Ufer::N,эрэг,яр
127,Küste::N,эрэг,яр буйы
128,Festland::N,хуурай газар,ҡоро ер
129,Meer::N,далай,диңгез
130,Meer::N,тэнгис,диңгез
131,Bucht::N,булан,бухта
132,Bucht::N,далайн тохой,бухта
133,Insel::N,арал,үтрау
134,Blume::N,цэцэг,сәскә
135,Gras::N,өвс,үлән
136,Gras::N,ногоо,үлән
137,Wurzel::N,үндэс,тамыр
138,Baum::N,мод,ағас
139,Stamm::N,иш,олон
140,Stamm::N,иш,көбәк
141,Stamm::N,гуалин,олон
142,Stamm::N,гуалин,көбәк
143,Rinde::N,холтос,ҡабыҡ
144,Ast::N,гишүү,ботаҡ
145,Zweig::N,салаа,ботаҡ
146,Zweig::N,салаа,тармаҡ
147,Blatt::N,навч,япраҡ
148,Birke::N,хус,ҡайын
149,Kiefer[Baum]::N,нарс,ҡарғай
150,Weide[Baum]::N,уд,тал
151,Weide[Baum]::N,бургас,тал
152,Tanne::N,гачуур,шыршы
153,Horn::N,эвэр,мөғөҙ
154,Feder::N,өд,ҡауырһын
155,Fell::N,арьс,тире
156,Flügel::N,жигүүр,ҡанат
157,Flügel::N,далавч,ҡанат
158,Klaue::N,савар,тырнаҡ
159,Klaue::N,хумс,тырнаҡ
160,Kralle::N,савар,аяҡ
161,Schwanz::N,сүүл,ҡойроҡ
162,Ei::N,өндөг,йомортҡа
163,Nest::N,үүр,оя
164,Bau::N,нүх,оң
165,Bau::N,элүү,оң
166,Tier::N,амьтан,жайуан
167,Tier::N,амьтан,йыртҡыс
168,Tier::N,адгуус,жайуан
169,Tier::N,адгуус,йыртҡыс
170,Herde::N,сүрэг,көтөү
171,Kuh::N,үнээ,һыйыр
172,Bulle::N,бух,үгеҙ
173,Pferd::N,морь,ат
174,Pferd::N,адуу,ат
175,Schaf::N,хонь,һарыҡ
176,Schwein::N,гахай,сусҡа
177,Hund::N,нохой,эт
178,Katze::N,муур,бесәй
179,Katze::N,мигуй,бесәй
180,Bär::N,баавгай,айыу
181,Eichhörnchen::N,хэрэм,тейен
182,Elch::N,хандгай,мышы
183,Fuchs::N,үнэг,төлкө
184,Hase::N,туулай,ҡуян
185,Maus::N,хулгана,сысҡан
186,Wolf::N,чоно,бүре
187,Vogel::N,шувуу,ҡош
188,Schwarm::N,сүрэг,көтөү
189,Huhn::N,тахиа,тауыҡ
190,Hahn::N,эр тахиа,әтәс
191,Gans::N,галуу,ҡаҙ
192,Adler::N,бүргэд,бөркөт
193,Ente::N,нугас,өйрәк
194,Eule::N,ууль,өкө
195,Eule::N,ууль,ябалаҡ
196,Kranich::N,тогоруу,торна
197,Krähe::N,хэрээ,ҡарға
198,Kuckuck::N,хөхөө,кәкүк
199,Schwan::N,хун,аҡҡош
200,Fisch::N,загас,балыҡ
201,Barsch::N,алгана,алабуға
202,Hecht::N,цурхай,суртан
203,Schlange[Tier]::N,могой,йылан
204,Wurm::N,өт,селяүсен
205,Wurm::N,хорхой,селяүсен
206,Spinne::N,аалз,үрмәксе
207,Ameise::N,шоргоолж,ҡырмыҫҡа
208,Laus::N,бөөс,бет
209,Mücke::N,шумуул,серәкәй
210,Fliege::N,ялаа,себен
211,Schmetterling::N,эрвээхэй,күбәләк
212,Beere::N,жимсгэнэ,еләк
213,Apfel::N,алим,алма
214,Pilz::N,мөөг,бәшмәк
215,Zwiebel::N,сонгино,һуган
216,Saat::N,тариа,орлоҡ
217,Korn::N,үр,иген
218,Korn::N,мөхлөг,иген
219,Heu::N,өвс,бесән
220,Schale::N,хальс,ҡабыҡ
221,Grube::N,алам,соҡор
222,Grube::N,нүх,соҡор
223,Falle::N,хавх,тоҙак
224,Falle::N,хавх,ҡапҡан
225,Falle::N,занга,тоҙак
226,Falle::N,занга,ҡапҡан
227,Schlinge::N,урхи,тоҙак
228,Spur::N,мөр,әҫер
229,Asche::N,үнс,көл
230,Dreck::N,хир,батҡаҡ
231,Eisen::N,төмөр,тимер
232,Gold::N,алт,алтын
233,Silber::N,мөнгө,көмөш
234,Kohle::N,нүүрс,күмер
235,Glas::N,шил,быяла
236,Lehm::N,шавар,балсыҡ
237,Sand::N,элс,ҡом
238,Mensch::N,хүн,кеше
239,Mann::N,эр,ир
240,Mann::N,эрэгтэй,ир
241,Frau::N,эмэгтэй,ҡатын
242,Frau::N,хатагтай,ҡатын
243,Kind::N,хүүхэд,бала
244,Junge::N,хүү,малай
245,Mädchen::N,охин,ҡыҙ
246,Mädchen::N,охин,ҡыҙыҡай
247,Mädchen::N,бүсгүй,ҡыҙ
248,Mädchen::N,бүсгүй,ҡыҙыҡай
249,Familie::N,айл,ғаилә
250,Großvater::N,өвгөн аав,олатай
251,Großmutter::N,эмэг эх,әбәй
252,Großmutter::N,эмгээ,әбәй
253,Eltern::N,эцэг эх,ата-әсә
254,Vater::N,аав,атай
255,Vater::N,эцэг,атай
256,Mutter::N,эх,әсә
257,Mutter::N,ээж,әсә
258,Sohn::N,хүү,ул
259,Tochter::N,охин,ҡыҙ
260,Bruder::N,ах,агай
261,Bruder::N,дүү,агай
262,Schwester::N,эгч,алай
263,Schwester::N,эгч,һеңле
264,Schwester::N,охин дүү,алай
265,Schwester::N,охин дүү,һеңле
266,Onkel::N,авга ах,ағай
267,Onkel::N,нагац ах,ағай
268,Tante::N,авга эгч,апай
269,Tante::N,нагац эгч,апай
270,Ehemann::N,нөхөр,ир
271,Ehefrau::N,эхнэр,ҡатын
272,Ehefrau::N,гэргий,ҡатын
273,Freude::N,баяр,шатлыҡ
274,Freude::N,баяр,ҡыуаныс
275,Freude::N,баясгалан,шатлыҡ
276,Freude::N,баясгалан,ҡыуаныс
277,Gelächter::N,инээдэм,көлөү
278,Glück::N,жаргалан,бәхет
279,Kummer::N,гаслан,ҡайғы
280,Wunsch::N,ерөөл,теләк
281,Lust::N,дур,әүәҫлек
282,Lust::N,хүсэл,әүәҫлек
283,Geist::N,оюун,аң
284,Geist::N,оюун,рух
285,Gedanke::N,сэтгэл,уй
286,Gedanke::N,сэтгэл,фекер
287,Gedächtnis::N,ой,хәтер
288,Gedächtnis::N,цээж,хәтер
289,Verstand::N,ухаан,аҡыл
290,Sinn::N,утга,мәғәня
291,Grund::N,учир,сәбәп
292,Wahrheit::N,үнэн,дөрөҫлөк
293,Gespräch::N,яриа,әңгәмә
294,Märchen::N,явган үлгэр,әкиәт
295,Erzählung::N,тууж,хикәйә
296,Nachricht::N,мэдээ,хәбәр
297,Neuigkeit::N,сонин,яңылыҡ
298,Name::N,нэр,исем
299,Rätsel::N,оньсого,йомаҡ
300,Rede::N,хэлсэн үг,телмәр
301,Sprache::N,хэл,тел
302,Sprache::N,хэл,телмәр
303,Stimme::N,дуу,тауыш
304,Wort::N,үг,һүҙ
305,Zeichen::N,тамга,билдә
306,Zeichen::N,тэмдэг,билдә
307,Ruf::N,дуудлага,саҡырыу
308,Lärm::N,шуугиан,шаулау
309,Lärm::N,чимээ,шаулау
310,Laut::N,анир,тауыш
311,Laut::N,дуу,тауыш
312,Ton::N,авиа,яңғырау
313,Ton::N,аялгуу,яңғырау
314,Lied::N,дуу,йыр
315,Ruhe::N,энх,ял
316,Ruhe::N,энх,тыныслыҡ
317,Ruhe::N,тайван,ял
318,Ruhe::N,тайван,тыныслыҡ
319,Leute::N,хүмүүс,кешеләр
320,Volk::N,улс,халҡ
321,Arbeit::N,ажил,эш
322,Arbeit::N,хөдөлмөр,эш
323,Gast::N,зочин,ҡунаҡ
324,Gast::N,айлчин,ҡунаҡ
325,Geschenk::N,бэлэг,бүләк
326,Spiel::N,наадам,уйын
327,Spiel::N,тоглоом,уйын
328,Gesellschaft::N,хамт байх,йәмғиәт
329,Hilfe::N,тусламж,ярҙам
330,Freund::N,найз,дуҫ
331,Freund::N,нөхөр,дуҫ
332,Kamerad::N,хань,иптәш
333,Kamerad::N,нөхөр,иптәш
334,Angelegenheit::N,хэрэг,әш
335,Anzahl::N,тоо,һан
336,Art::N,төрөл,төр
337,Art::N,янз,төр
338,Stück::N,хэсэг,киҫәк
339,Teil::N,хувь,өлөш
340,Teil::N,хэсэг,өлөш
341,Hälfte::N,хагас,ярты
342,Kreis::N,тойрог,түңәрәк
343,Kreis::N,хүрээ,түңәрәк
344,Kreuz::N,загалмай,тәре
345,Linie::N,шугам,һыҙыҡ
346,Strich::N,зураас,һыҙат
347,Abstand::N,зай,ара
348,Entfernung::N,зай,алыҫлыҡ
349,Entfernung::N,хол ойр,алыҫлыҡ
350,Gegend::N,хавь,урын
351,Gegend::N,газар,урын
352,Platz::N,зай,арауыҡ
353,Platz::N,завсар,арауыҡ
354,Ort::N,газар,ерҙәр
355,Ort::N,газар,урындар
356,Ort::N,газар,эш урыны
357,Ort::N,байр,ерҙәр
358,Ort::N,байр,урындар
359,Ort::N,байр,эш урыны
360,Seite::N,тал,яҡ
361,Seite::N,этгээд,яҡ
362,Mitte::N,төв,урталыҡ
363,Mitte::N,дунд,урталыҡ
364,Gegenstand::N,юм,нәмә
365,Sache::N,үйл,нәмә
366,Sache::N,үйл,әйбер
367,Sache::N,хэрэг,нәмә
368,Sache::N,хэрэг,әйбер
369,Rand::N,зах,сит
370,Rand::N,хөвөө,сит
371,Kante::N,ирмэг,ҡабырға
372,Kante::N,ирмэг,ян
373,Ecke::N,өнцөг,мөйөш
374,Spitze::N,үзүүр,ос
375,Ende::N,зах,аҙаҡ
376,Ende::N,үзүүр,аҙаҡ
377,Loch::N,цоорхой,тишек
378,Loch::N,онгорхой,тишек
379,Winkel::N,өнцөг,мөйөш
380,Muster::N,хээ,биҙәк
381,Muster::N,угалз,биҙәк
382,Größe::N,хэмжээ,ҙурлыҡ
383,Länge::N,урт,оҙонлоҡ
384,Höhe::N,өндөр,бейеклек
385,Gewicht::N,жин,үлсәү
386,Menge::N,тоо,һан
387,Haufen::N,бөөн,өйөм
388,Reihe::N,эгнээ,рәт
389,Boot::N,завь,кәмә
390,Ruder::N,сэлүүр,ишкәк
391,Schlitten::N,чарга,сана
