,Concept_ID,lt,zh
0,Auge::N,akis,眼睛
1,Ohr::N,ausis,耳朵
2,Nase::N,nosis,鼻子
3,Mund::N,burna,嘴
4,Zahn::N,dantis,牙齿
5,Zunge::N,liežuvis,舌头
6,Lippe::N,lūpa,嘴唇
7,Wange::N,žandas,面颊
8,Wange::N,skruostas,面颊
9,Gesicht::N,veidas,脸
10,Stirn::N,kakta,额
11,Haar::N,plaukai,头发
12,Schnurrbart::N,ūsai,髭须
13,Bart::N,barzda,胡子
14,Kinn::N,smakras,下巴
15,Kiefer[Anatomie]::N,žandikaulis,颌
16,Kehle::N,gerklė,嗓子
17,Hals::N,kaklas,颈
18,Genick::N,sprandas,后颈
19,Kopf::N,galva,头
20,Rücken::N,nugara,背
21,Bauch::N,pilvas,肚子
22,Nabel::N,bamba,肚脐
23,Busen::N,krūtinė,胸脯
24,Brust::N,krūtis,胸
25,Schulter::N,petys,肩膀
26,Arm::N,ranka,臂膀
27,Ellenbogen::N,alkūnė,肘
28,Hand::N,ranka,手
29,Hand::N,plaštaka,手
30,Handfläche::N,delnas,手掌
31,Handfläche::N,plaštaka,手掌
32,Finger::N,pirštas,手指
33,Fingernagel::N,nagas,指甲
34,Nagel[Anatomie]::N,nagas,指甲
35,Zeh::N,pirštas,脚趾
36,Fuß::N,pėda,脚
37,Ferse::N,kulnas,后跟
38,Knie::N,kelis,膝
39,Oberschenkel::N,kulšis,大腿
40,Oberschenkel::N,šlaunis,大腿
41,Bein::N,koja,腿
42,Körper::N,kūnas,身体
43,Haut::N,oda,皮肤
44,Blut::N,kraujas,血
45,Ader::N,kraujagyslė,血管
46,Sehne::N,sausgyslė,腱
47,Knochen::N,kaulas,骨
48,Gehirn::N,smegenys,脑
49,Herz::N,širdis,心
50,Magen::N,skrandis,胃
51,Leber::N,kepenys,肝
52,Atem::N,kvapas,呼吸
53,Hunger::N,badas,饿
54,Hunger::N,alkis,饿
55,Träne::N,ašara,眼泪
56,Geschmack::N,skonis,味道
57,Geruch::N,kvapas,气味
