,Concept_ID,mdf,pl
0,Auge::N,сельме,oko
1,Ohr::N,пиле,ucho
2,Nase::N,шалхка,nos
3,Mund::N,курга,usta
4,Zahn::N,пей,ząb
5,Zunge::N,кяль,język
6,Lippe::N,търва́,warga
7,Wange::N,щёка,policzek
8,Gesicht::N,шама,twarz
9,Stirn::N,коня,czoło
10,Haar::N,шя́ярь,włos
11,Haar::N,шя́ярь,włosy
12,Schnurrbart::N,уса́,wąsy
13,Bart::N,сакал,broda
14,Kinn::N,ула,podbródek
15,Kiefer[Anatomie]::N,саласка,czeluść
16,Kehle::N,кълдома,gardło
17,Kehle::N,кърга́парь,gardło
18,Hals::N,сялдаз,szyja
19,Genick::N,шовонь,kark
20,Kopf::N,пря,głowa
21,Rücken::N,копорь,plecy
22,Rücken::N,копорь,grzbiet
23,Bauch::N,пеке,brzuch
24,Nabel::N,по́кон,pępek
25,Busen::N,потя,biust
26,Brust::N,мяште,pierś
27,Schulter::N,лафту,bark
28,Schulter::N,лафту,ramię
29,Arm::N,кядь,ręka
30,Arm::N,кядь,ramię
31,Ellenbogen::N,кенерьба́карь,łokieć
32,Hand::N,кядь,dłoń
33,Handfläche::N,кядьлапш,dłoń
34,Finger::N,сур,palec
35,Fingernagel::N,кенже,paznokieć
36,Nagel[Anatomie]::N,кенже,paznokieć
37,Zeh::N,пильгосу́р,palec
38,Fuß::N,пильге,stopa
39,Fuß::N,пильгелапа,stopa
40,Ferse::N,кочкяря,pięta
41,Knie::N,эль,kolano
42,Knie::N,пълма́нжа,kolano
43,Oberschenkel::N,пильгепукша,udo
44,Bein::N,пильге,noga
45,Körper::N,ро́нга,ciało
46,Körper::N,по́нда,ciało
47,Haut::N,киське,skóra
48,Blut::N,вер,krew
49,Ader::N,сан,żyła
50,Ader::N,верза́н,żyła
51,Sehne::N,коське сан,ścięgno
52,Knochen::N,пакарь,kość
53,Gehirn::N,уй,mózg
54,Herz::N,седи,serce
55,Magen::N,коткърдазь,żołądek
56,Leber::N,макса,wątroba
57,Atem::N,лекома,dech
58,Atem::N,лекома,oddech
59,Atem::N,ваймонь тарксема,dech
60,Atem::N,ваймонь тарксема,oddech
61,Hunger::N,вачеши,głód
62,Träne::N,сельмове́дь,łza
63,Geschmack::N,таньф,smak
64,Geruch::N,шине,woń
65,Geruch::N,шине,zapach
66,Schlaf::N,удома́,sen
67,Traum::N,он,sen
68,Himmel::N,менель,niebo
69,Sonne::N,ши,słońce
70,Mond::N,ков,księżyc
71,Stern::N,тяште,gwiazda
72,Luft::N,кожф,powietrze
73,Wind::N,варма,wiatr
74,Welle::N,тавла,fala
75,Wasser::N,ведь,woda
76,Stein::N,кев,kamień
77,Boden::N,мода,grunt
78,Boden::N,потмакс,grunt
79,Erde::N,мода,ziemia
80,Erde::N,мастор,ziemia
81,Staub::N,пуль,pył
