,Concept_ID,ru,sah
0,Auge::N,глаз,харах
1,Ohr::N,ухо,кулгаах
2,Nase::N,нос,мурун
3,Mund::N,рот,айах
4,Zahn::N,зуб,тиис
5,Zunge::N,язык,тыл
6,Lippe::N,губа,уос
7,Wange::N,щека,иэдэс
8,Gesicht::N,лицо,сирэй
9,Stirn::N,лоб,сүүс
10,Haar::N,волос,баттах
11,Haar::N,волосы,баттах
12,Schnurrbart::N,ус,уос бытыга
13,Schnurrbart::N,усы,уос бытыга
14,Bart::N,борода,сэҥийэ бытыга
15,Kinn::N,подбородок,сэҥийэ
16,Kiefer[Anatomie]::N,челюсть,сыҥаах
17,Kehle::N,горло,тамах
18,Kehle::N,горло,күөмэй
19,Hals::N,шея,моой
20,Genick::N,затылок,кэтэх
21,Kopf::N,голова,бас
22,Rücken::N,спина,көҕүс
23,Bauch::N,живот,ис
24,Nabel::N,пупок,киин
25,Busen::N,женская грудь,эмиий
26,Brust::N,грудь,түөс
27,Schulter::N,плечо,сарын
28,Arm::N,рука,илии
29,Ellenbogen::N,локоть,тоҕонох
30,Hand::N,кисть,илии
31,Handfläche::N,ладонь,ытыс
32,Finger::N,палец,тарбах
33,Fingernagel::N,ноготь,тыҥырах
34,Nagel[Anatomie]::N,ноготь,тыҥырах
35,Zeh::N,палец,тарбах
36,Fuß::N,ступня,уллуҥах
37,Ferse::N,пята,тилэх
38,Ferse::N,пятка,тилэх
39,Knie::N,колено,тобук
40,Knie::N,колено,дьилбэк
41,Oberschenkel::N,бедро,уллук
42,Oberschenkel::N,бедро,өттүк
43,Bein::N,нога,атах
44,Körper::N,тело,бэйэ
45,Haut::N,кожа,тирии
46,Blut::N,кровь,хаан
47,Ader::N,вена,вена
48,Ader::N,вена,күөх_тымыр
49,Ader::N,сосуд,вена
50,Ader::N,сосуд,күөх_тымыр
51,Sehne::N,жила,иҥиир
52,Sehne::N,тетива,иҥиир
53,Sehne::N,сухожилие,иҥиир
54,Knochen::N,кость,уҥуох
55,Knochen::N,кость,уҥгуох
56,Gehirn::N,мозг,мэйии
57,Herz::N,сердце,сүрэх
58,Magen::N,желудок,куртах
59,Leber::N,печень,быар
60,Atem::N,дух,тыын
61,Atem::N,дыхание,тыын
62,Hunger::N,голод,аас
63,Träne::N,слеза,харах уута
64,Geschmack::N,вкус,амтан
65,Geruch::N,запах,сыт
66,Schlaf::N,сон,утуйуу
67,Traum::N,сновидение,түүл
68,Himmel::N,небо,халлаан
69,Sonne::N,солнце,күн
70,Mond::N,луна,ый
71,Stern::N,звезда,сулус
72,Luft::N,воздух,салгын
73,Wind::N,ветер,тыал
74,Welle::N,волна,долгун
75,Welle::N,волна,балхаан
76,Wasser::N,вода,уу
77,Stein::N,камень,таас
78,Boden::N,почва,сир
79,Erde::N,земля,буор
80,Staub::N,пыль,быыл
81,Rauch::N,дым,буруо
82,Funke::N,искра,кыым
83,Feuer::N,огонь,уот
84,Licht::N,свет,уот
85,Schatten::N,тень,күлүк
86,Wetter::N,погода,күн-дьыл
87,Nebel::N,туман,туман
88,Wolke::N,облако,былыт
89,Regen::N,дождь,самыыр
90,Schnee::N,снег,хаар
91,Eis::N,лед,муус
92,Frost::N,мороз,тымныы
93,Kälte::N,холод,тымныы
94,Hitze::N,жара,куйаас
95,Raureif::N,иней,кырыа
96,Regenbogen::N,радуга,кустук
97,Donner::N,гром,этиҥ
98,Strömung::N,течение,сүүрүк
99,Tropfen::N,капля,таммах
100,Tropfen::N,капля,хааппыла
101,Schaum::N,пена,күүгэн
102,Schmutz::N,грязь,кир
103,See::N,озеро,күөл
104,Sumpf::N,топь,бадараан
105,Moor::N,болото,дьэбэрэ
106,Wiese::N,луг,ходуһа
107,Wald::N,лес,ойуур
108,Hügel::N,холм,булгунньах
109,Anhöhe::N,возвышенность,үрдэл
110,Berg::N,гора,хайа
111,Gipfel::N,вершина,чыпчаал
112,Höhle::N,пещера,хайа_хаспаҕа
113,Höhle::N,пещера,көҥүс
114,Abhang::N,склон,эниэ
115,Quelle::N,источник,дьүүктэ
116,Bach::N,ручей,үрүйэ
117,Fluss::N,река,өрүс
118,Ufer::N,берег,биэрэк
119,Küste::N,побережье,кытыл
120,Festland::N,суша,кураанах сир
121,Meer::N,море,муора
122,Bucht::N,бухта,хомо
123,Bucht::N,бухта,бухта
124,Insel::N,остров,арыы
125,Blume::N,цветок,сибэкки
126,Gras::N,трава,от
127,Wurzel::N,корень,силис
128,Baum::N,дерево,мас
129,Stamm::N,ствол,умнас
130,Rinde::N,кора,хатырык
131,Ast::N,сук,мутук
132,Zweig::N,ветвь,лабаа
133,Blatt::N,лист,сэбирдэх
134,Birke::N,береза,хатыҥ
135,Kiefer[Baum]::N,сосна,бэс
136,Weide[Baum]::N,ива,үөт
137,Weide[Baum]::N,ива,талах
138,Tanne::N,ель,харыйа
139,Horn::N,рог,муос
140,Feder::N,перо,куорсун
141,Fell::N,шкура,тирии
142,Flügel::N,крыло,кынат
143,Klaue::N,коготь,тыҥырах
144,Kralle::N,лапа,баппаҕай
145,Schwanz::N,хвост,кутурук
146,Ei::N,яйцо,сымыыт
147,Nest::N,гнездо,уйа
148,Bau::N,нора,хороон
149,Tier::N,животное,кыыл
150,Tier::N,животное,харамай
151,Herde::N,стадо,үөр
152,Kuh::N,корова,ынах
153,Bulle::N,бык,оҕус
154,Pferd::N,лошадь,сылгы
155,Schaf::N,овца,овца
156,Schwein::N,свинья,сибиинньэ
157,Hund::N,собака,ыт
158,Katze::N,кошка,куоска
159,Bär::N,медведь,эһэ
160,Eichhörnchen::N,белка,тииҥ
161,Elch::N,лось,тайах
162,Fuchs::N,лиса,саһыл
163,Hase::N,заяц,куобах
164,Maus::N,мышь,кутуйах
165,Wolf::N,волк,бөрө
166,Vogel::N,птица,көтөр
167,Schwarm::N,стая,бөлөх
168,Huhn::N,курица,куурусса
169,Hahn::N,петух,бөтүүк
170,Gans::N,гусь,хаас
171,Adler::N,орел,хотой
172,Ente::N,утка,кус
173,Eule::N,сова,мэкчиргэ
174,Kranich::N,журавль,туруйа
175,Krähe::N,ворона,тураах
176,Kuckuck::N,кукушка,кэҕэ
177,Schwan::N,лебедь,куба
178,Fisch::N,рыба,балык
179,Barsch::N,окунь,алыһар
180,Hecht::N,щука,сордон
181,Schlange[Tier]::N,змея,моҕой
182,Schlange[Tier]::N,змея,эриэн үөн
183,Wurm::N,червяк,үөн
184,Spinne::N,паук,ооҕуй
185,Ameise::N,муравей,кымырдаҕас
186,Laus::N,вошь,быт
187,Mücke::N,комар,кумаар
188,Fliege::N,муха,сахсырҕа
189,Schmetterling::N,бабочка,лыах
190,Schmetterling::N,бабочка,үрүмэччи
191,Beere::N,ягода,отон
192,Apfel::N,яблоко,яблоко
193,Pilz::N,гриб,тэллэй
194,Zwiebel::N,луковица,луук
195,Saat::N,семя,сиэмэ
196,Korn::N,зерно,сиэмэ
197,Heu::N,сено,от
198,Schale::N,шелуха,хах
199,Grube::N,яма,дьаама
200,Falle::N,ловушка,сохсо
201,Schlinge::N,силок,уктаа
202,Spur::N,след,суол
203,Asche::N,зола,күл
204,Asche::N,пепел,күл
205,Dreck::N,грязь,бадараан
206,Eisen::N,железо,тимир
207,Gold::N,золото,көмүс
208,Gold::N,золото,кыһыл көмүс
209,Silber::N,серебро,көмүс
210,Silber::N,серебро,үрүҥ көмүс
211,Kohle::N,уголь,чох
212,Glas::N,стекло,өстүөкүлэ
213,Lehm::N,глина,туой
214,Sand::N,песок,кумах
215,Mensch::N,человек,киһи
216,Mann::N,мужчина,эр
217,Frau::N,женщина,дьахтар
218,Kind::N,ребенок,оҕо
219,Junge::N,мальчик,уол
220,Mädchen::N,девочка,кыыс оҕо
221,Familie::N,семья,кэргэн
222,Großvater::N,дедушка,эһэ
223,Großmutter::N,бабушка,эбэ
224,Eltern::N,родители,аҕа-ийэ
225,Vater::N,отец,аҕа
226,Mutter::N,мать,ийэ
227,Sohn::N,сын,уол
228,Tochter::N,дочь,кыыс
229,Bruder::N,брат,убай
230,Bruder::N,брат,быраат
231,Schwester::N,сестра,аҕас
232,Schwester::N,сестра,балыс
233,Onkel::N,дядя,таай
234,Onkel::N,дядя,абаҕа
235,Tante::N,тетя,эдьиий
236,Ehemann::N,муж,эр
237,Ehefrau::N,жена,ойох
238,Freude::N,радость,үөрүү
239,Gelächter::N,смех,күлүү
240,Glück::N,счастье,дьол
241,Glück::N,счастье,соргу
242,Kummer::N,горе,кутурҕан
243,Wunsch::N,желание,баҕарыы
244,Lust::N,влечение,баҕа
245,Geist::N,дух,тыын
246,Gedanke::N,мысль,санаа
247,Gedächtnis::N,память,өй
248,Verstand::N,ум,өй
249,Sinn::N,смысл,суолта
250,Grund::N,повод,төрүөт
251,Wahrheit::N,правда,кырдьык
252,Gespräch::N,беседа,бэсиэдэ
253,Gespräch::N,беседа,кэпсэтии
254,Märchen::N,сказка,остуоруйа
255,Erzählung::N,рассказ,кэпсээн
256,Nachricht::N,сообщение,биллэриллии
257,Neuigkeit::N,новость,сонун
258,Name::N,имя,аат
259,Rätsel::N,загадка,таабырын
260,Rede::N,речь,этии
261,Sprache::N,язык,тыл
262,Stimme::N,голос,куолас
263,Wort::N,слово,тыл
264,Zeichen::N,знак,бэлиэ
265,Ruf::N,зов,ыҥырыы
266,Lärm::N,шум,айдаан
267,Laut::N,звук,тыас
268,Ton::N,звучание,дорҕоон
269,Lied::N,песня,ырыа
270,Ruhe::N,покой,уу чуумпу
271,Leute::N,люди,дьон
272,Volk::N,народ,дьон
273,Volk::N,народ,норуот
274,Arbeit::N,работа,үлэ
275,Gast::N,гость,ыалдьыт
276,Geschenk::N,подарок,бэлэх
277,Spiel::N,игра,оонньуу
278,Gesellschaft::N,общество,общество
279,Hilfe::N,помощь,көмө
280,Freund::N,друг,доҕор
281,Kamerad::N,приятель,атас
282,Angelegenheit::N,дело,дьыала
283,Anzahl::N,количество,ахсаан
284,Art::N,вид,биис
285,Stück::N,кусок,кырбас
286,Teil::N,часть,ирээт
287,Hälfte::N,половина,аҥар
288,Kreis::N,круг,төгүрүк
289,Kreis::N,круг,төгүрүмтэ
290,Kreuz::N,крест,кириэс
291,Linie::N,линия,сурааһын
292,Strich::N,черта,сурааһын
293,Abstand::N,промежуток,арыт
294,Entfernung::N,расстояние,ыраах
295,Gegend::N,местность,сир
296,Platz::N,пространство,арыт
297,Ort::N,место,сир
298,Seite::N,сторона,өрүт
299,Seite::N,сторона,сирэй
300,Mitte::N,середина,орто
301,Gegenstand::N,предмет,предмет
302,Sache::N,вещь,мал
303,Rand::N,край,кытыы
304,Rand::N,край,ойоҕос
305,Kante::N,ребро,кырыы
306,Ecke::N,угол,муннук
307,Spitze::N,кончик,чыпчаал
308,Ende::N,конец,төбө
309,Loch::N,дыра,тэһэҕэс
310,Loch::N,дыра,дьөлөҕөс
311,Winkel::N,угол,муннук
312,Muster::N,узор,оһуор
313,Größe::N,размер,кээмэй
314,Länge::N,длина,уста
315,Höhe::N,высота,үрдүк
316,Gewicht::N,вес,ыйааһын
317,Menge::N,количество,ахсаан
318,Haufen::N,куча,чөмчөх
319,Reihe::N,ряд,кэккэ
320,Boot::N,лодка,оҥочо
321,Ruder::N,весло,эрдии
322,Schlitten::N,сани,сыарҕа
323,Ski::N,лыжа,хайыһар
324,Lagerfeuer::N,костер,кутаа
325,Last::N,тяжесть,ыарахан
326,Gang::N,ход,хаамыы
327,Schritt::N,шаг,хардыы
328,Norden::N,север,хоту
329,Süden::N,юг,соҕуруу
330,Westen::N,запад,арҕаа
331,Osten::N,восток,илин
332,Holz::N,древесина,мас
333,Brett::N,доска,дуоска
334,Brett::N,доска,хаптаһын
335,Platte::N,плита,билиитэ
336,Stütze::N,подпорка,тулааһын
337,Stange::N,жердь,ураҕас
338,Stock::N,палка,мас
339,Stock::N,палка,баалкы
340,Stab::N,шест,ураҕас
341,Rohr::N,труба,турба
342,Haus::N,дом,дьиэ
343,Heim::N,дом,дьиэ
344,Ofen::N,печь,оһох
345,Fußboden::N,пол,муоста
346,Tisch::N,стол,остуол
347,Stuhl::N,стул,устуул
348,Wiege::N,колыбель,биһик
349,Bett::N,постель,кырабаат
350,Regal::N,полка,долбуур
351,Kiste::N,ящик,дьааһык
352,Fenster::N,окно,түннүк
353,Tür::N,дверь,аан
354,Tor::N,ворота,аан
355,Zaun::N,забор,соппулуот
356,Dach::N,крыша,кырыыса
357,Leiter::N,лестница,кирилиэс
358,Besen::N,метла,миинньик
359,Spaten::N,лопата,күрдьэх
360,Schaufel::N,совок,күрдьэх
361,Gabel::N,вилка,биилкэ
362,Löffel::N,ложка,луоска
363,Messer::N,нож,быһах
364,Nagel::N,гвоздь,тоһоҕо
365,Netz::N,сеть,илим
366,Haken::N,крюк,көхө
367,Griff::N,ручка,ук
368,Griff::N,ручка,тутаах
369,Schloss::N,замок,күлүүс
370,Bild::N,картина,хартыына
371,Figur::N,фигура,фигура
372,Puppe::N,кукла,куукула
373,Beutel::N,мешок,мөһөөччук
374,Bündel::N,связка,баайыы
375,Tasche::N,сумка,суумка
376,Eimer::N,ведро,биэдэрэ
377,Deckel::N,крышка,хаппах
378,Geschirr::N,посуда,иһит
379,Sack::N,мешок,куул
380,Tasse::N,чашка,сэлиэнэй
381,Topf::N,кастрюля,көстүрүүҥкэ
382,Kessel::N,котел,хочуол
383,Essen::N,еда,аһылык
384,Nahrung::N,пища,ас
385,Speise::N,блюдо,аһылык
386,Speise::N,кушанье,аһылык
387,Fleisch::N,мясо,эт
388,Getreide::N,хлеб,злактар
389,Brei::N,каша,хааһы
390,Brot::N,хлеб,килиэп
391,Scheibe::N,ломоть,куһуок
392,Fett::N,жир,сыа
393,Butter::N,масло,арыы
394,Öl::N,масло,арыы
395,Salz::N,соль,туус
396,Suppe::N,суп,мин
397,Honig::N,мед,мүөт
398,Milch::N,молоко,үүт
399,Tee::N,чай,чэй
400,Leder::N,кожа,тирии
401,Wolle::N,шерсть,түү
402,Stoff::N,ткань,таҥас
403,Nadel::N,игла,иннэ
404,Faden::N,нитка,сап
405,Knopf::N,пуговица,тимэх
406,Knoten::N,узел,түмүк
407,Farbe::N,краска,кырааска
408,Kleidung::N,одежда,таҥас
409,Hemd::N,рубашка,ырбаахы
410,Kragen::N,воротник,саҕа
411,Ärmel::N,рукав,сиэх
412,Hose::N,брюки,ыстаан
413,Hose::N,брюки,бүрүүкэ
414,Gürtel::N,пояс,кур
415,Mütze::N,шапка,бэргэһэ
416,Schuh::N,ботинок,бачыыҥка
417,Stiefel::N,сапог,саппыкы
418,Ring::N,кольцо,биһилэх
419,Band::N,лента,лиэнтэ
420,Kamm::N,расческа,тараах
421,Spiegel::N,зеркало,сиэркилэ
422,Riemen::N,ремень,кур
423,Schnur::N,веревка,быа
424,Leine::N,поводок,тэһиин
425,Decke::N,одеяло,суорҕан
426,Kissen::N,подушка,сыттык
427,Tuch::N,платок,былаат
428,Handtuch::N,полотенце,соттор
429,Kraft::N,сила,сыра
430,Stärke::N,крепость,күүс
431,Gesundheit::N,здоровье,доруобуйа
432,Krankheit::N,болезнь,ыарыы
433,Schmerz::N,боль,ыарыы
434,Wunde::N,рана,баас
435,Fieber::N,лихорадка,түрүлгэн
436,Fieber::N,лихорадка,лихорадка
437,Fieber::N,лихорадка,температура
438,Fieber::N,температура,түрүлгэн
439,Fieber::N,температура,лихорадка
440,Fieber::N,температура,температура
441,Arznei::N,лекарство,эмп
442,Brücke::N,мост,күргэ
443,Brunnen::N,колодец,холуодьас
444,Weide::N,пастбище,мэччирэҥ
445,Pfad::N,тропа,ыллык
446,Weg::N,путь,суол
447,Weg::N,дорога,суол
448,Straße::N,улица,суол
449,Straße::N,дорога,суол
450,Dorf::N,деревня,дэриэбинэ
451,Stadt::N,город,куорат
452,Brief::N,письмо,сурук
453,Buch::N,книга,кинигэ
454,Buchstabe::N,буква,буква
455,Zeitung::N,газета,хаһыат
456,Leben::N,жизнь,тыын
457,Tod::N,смерть,өлүү
458,Grab::N,могила,иин
459,Kirche::N,церковь,таҥара дьиэтэ
460,Sünde::N,грех,айыы
461,Gott::N,бог,тангара
462,Arbeiter::N,рабочий,үлэһит
463,Chef::N,начальник,баһылык
464,Chef::N,начальник,начальник
465,Meister::N,мастер,уус
466,Meister::N,мастер,маастар
467,Arzt::N,врач,врач
468,Lehrer::N,учитель,учуутал
469,Geld::N,деньги,харчы
470,Geschäft::N,занятие,идэ
471,Laden::N,магазин,маҕаһыын
472,Preis::N,цена,сыана
473,Ware::N,товар,табаар
474,Nutzen::N,выгода,туһа
475,Reichtum::N,богатство,баай
476,Welt::N,мир,аан дойду
477,Land::N,страна,дойду
478,Staat::N,государство,государство
479,König::N,король,король
480,Macht::N,власть,былаас
481,Grenze::N,граница,кыраныысса
482,Krieg::N,война,сэрии
483,Feind::N,враг,өстөөх
484,Gewalt::N,насилие,күүһүлээһин
485,Kampf::N,борьба,охсуһуу
486,Bogen[Waffe]::N,лук,ох
487,Pfeil::N,стрела,ох
488,Gewehr::N,ружье,саа
489,Fehler::N,ошибка,сыыһа
490,Lüge::N,ложь,сымыйа
