,Concept_ID,nl,ady
0,Auge::N,oog,нэ
1,Ohr::N,oor,тхьакӏу́м
2,Nase::N,neus,пэ
3,Mund::N,mond,жэ
4,Zahn::N,tand,цэ
5,Zunge::N,tong,бзэгу
6,Lippe::N,lip,ӏупшӏэ́
7,Wange::N,wang,нэкӏу́шъу
8,Gesicht::N,gelaat,нэ́гу
9,Gesicht::N,gezicht,нэ́гу
10,Stirn::N,voorhoofd,натӏэ́
11,Haar::N,haar,шъхьацы́
12,Schnurrbart::N,snor,
13,Bart::N,baard,жакӏэ́
14,Kinn::N,kin,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,kaak,жэпкъы́
16,Kehle::N,keel,чый
17,Kehle::N,strot,чый
18,Hals::N,hals,пшъэ
19,Genick::N,nek,шъхьэпхэтыку
20,Kopf::N,hoofd,шъхьэ́
21,Rücken::N,rug,кӏыбы́
22,Bauch::N,buik,ныбэ́
23,Nabel::N,navel,
24,Busen::N,boezem,бгъэ́
25,Brust::N,borst,бгъэ́
26,Schulter::N,schouder,блыпкъ
27,Arm::N,arm,ӏэ
28,Ellenbogen::N,elleboog,ӏэнтэ́гъу
29,Hand::N,hand,ӏэтхьэцу
30,Handfläche::N,handpalm,ӏэ́гу
31,Finger::N,vinger,ӏэхъуа́мб
32,Fingernagel::N,nagel,ӏэбжъа́н
33,Nagel[Anatomie]::N,nagel,ӏэбжъа́н
34,Zeh::N,teen,ӏэхъуа́мб
35,Fuß::N,voet,лъэгу
36,Ferse::N,hak,лъэдакъэ
37,Ferse::N,hiel,лъэдакъэ
38,Knie::N,knie,лъагуа́ндж
39,Oberschenkel::N,dij,ко
40,Bein::N,been,лъакъо́
41,Körper::N,lichaam,пкъышъол
42,Haut::N,huid,кӏы́шъу
43,Blut::N,bloed,лъы
44,Ader::N,ader,льытф
45,Sehne::N,pees,фэ
46,Knochen::N,bot,къупшъхьэ́
47,Knochen::N,been,къупшъхьэ́
48,Knochen::N,knook,къупшъхьэ́
49,Gehirn::N,hersenen,куцӏы
50,Herz::N,hart,гу
51,Magen::N,maag,мышкӏу
52,Leber::N,lever,шӏу
53,Atem::N,adem,къэщэныр
54,Hunger::N,honger,гъаблэ́
55,Träne::N,traan,нэпсы
56,Geschmack::N,smaak,ӏэшӏугъа́кӏ
57,Geruch::N,geur,мэ
58,Schlaf::N,slaap,пчыхьы́пӏ
59,Traum::N,droom,пчыхьы́пӏ
60,Himmel::N,hemel,уашъо́
61,Sonne::N,zon,тыгъэ
62,Mond::N,maan,мазэ
63,Stern::N,ster,жъуагъо́
64,Luft::N,lucht,жьы
65,Wind::N,wind,жьыбгъэ́
66,Welle::N,golf,ор
67,Welle::N,golf,оры
68,Wasser::N,water,псы
69,Stein::N,steen,мыжъо́
70,Boden::N,grond,чӏ́ыгу
71,Erde::N,aarde,чӏ́ыгу
72,Staub::N,stof,сап
73,Rauch::N,rook,ӏугъо́
74,Funke::N,vonk,мэшӏуа́ч
75,Feuer::N,vuur,машӏо́
76,Licht::N,licht,нэфы
77,Licht::N,licht,нэфын
78,Schatten::N,schaduw,жьау́
79,Schatten::N,schaduw,ныбжьыкъу
80,Wetter::N,weer,
81,Nebel::N,mist,пща́гъу
82,Nebel::N,nevel,пща́гъу
83,Wolke::N,wolk,ошъуапщэ
84,Regen::N,regen,ощхы
85,Schnee::N,sneeuw,осы́
86,Eis::N,ijs,мылы
87,Frost::N,vorst,
88,Kälte::N,kou,чъыӏэ́
89,Kälte::N,koude,чъыӏэ́
90,Hitze::N,hitte,фэба́е
91,Raureif::N,rijp,
92,Regenbogen::N,regenboog, лэгъупэкъо́пс
93,Donner::N,donder,шыблэ́
94,Strömung::N,stroming,ток
95,Tropfen::N,druppel,ткӏопс
96,Tropfen::N,druppel,гъуаткӏу
97,Schaum::N,schuim,тхъурбэ
98,Schmutz::N,vuil,псынжъы
99,See::N,meer,хыку́м
100,See::N,meer,псыхъура́й
101,Sumpf::N,moeras,орыжъ
102,Moor::N,veen,орыжъ
103,Wiese::N,wei,хъупӏэ́
104,Wiese::N,wei,мэкъупӏ
105,Wiese::N,weide,хъупӏэ́
106,Wiese::N,weide,мэкъупӏ
107,Wald::N,bos,мэзы́
108,Hügel::N,heuvel,ӏуашъхь
109,Anhöhe::N,hoogte,чӏыӏэтыгъ
110,Berg::N,berg,къушъхьэ́
111,Gipfel::N,top,шыгу
112,Höhle::N,hol,гъочӏэгъ
113,Abhang::N,helling,чапэ
114,Quelle::N,bron,псынэчэ́чъ
115,Bach::N,beek,псышкуашку
116,Fluss::N,stroom,псыхъо́
117,Ufer::N,wal,нэпкъы
118,Ufer::N,oever,нэпкъы
119,Küste::N,kust,ӏушъо
120,Festland::N,vasteland,чӏл́ыгу
121,Meer::N,zee,хы
122,Bucht::N,baai,хыблыгу
123,Bucht::N,inham,хыблыгу
124,Insel::N,eiland,хыгъэхъу́н
125,Blume::N,bloem,къэгъа́гь
126,Gras::N,gras,уцы́
127,Wurzel::N,wortel,лъапсэ́
128,Baum::N,boom,чъыгы́
129,Stamm::N,stam,пкъы
130,Rinde::N,schors,пхъашъо́
131,Ast::N,tak,куамэ
132,Zweig::N,twijg,къутамэ́
133,Blatt::N,blad,тхьап
134,Birke::N,berk,пчэн
135,Kiefer[Baum]::N,den,сэснэй
136,Weide[Baum]::N,wilg,пце́л
137,Tanne::N,spar,ель
138,Horn::N,hoorn,бжъэ
139,Feder::N,veer,къамӏы́й
140,Feder::N,pluim,къамӏы́й
141,Fell::N,vel,шъо
142,Flügel::N,vleugel,тамэ́
143,Klaue::N,klauw,лъэбжъа́н
144,Kralle::N,klauw,лъакъо
145,Schwanz::N,staart,кӏэ
146,Ei::N,ei,кӏэнкӏэ́
147,Nest::N,nest,набгъо́
148,Bau::N,hol,гъу
149,Bau::N,hol,бы
150,Tier::N,dier,псэу́шъхь
151,Herde::N,kudde,ӏэхъогъу
152,Kuh::N,koe,чэмы́
153,Bulle::N,stier,цу
154,Pferd::N,paard,шы
155,Schaf::N,schaap,мэлы́
156,Schwein::N,varken,къо
157,Hund::N,hond,бьэ
158,Katze::N,kat,чэты́у
159,Bär::N,beer,мышъэ́
160,Eichhörnchen::N,eekhoorntje,цызэ́
161,Elch::N,eland,лось
162,Fuchs::N,vos,баджэ́
163,Hase::N,haas,тхьакӏумкӏы́хь
164,Maus::N,muis,цыгъо́
165,Wolf::N,wolf,тыгъу́жъ
166,Vogel::N,vogel,бзы́у
167,Schwarm::N,zwerm,отэр
168,Huhn::N,kip,чэты́
169,Huhn::N,hoen,чэты́
170,Hahn::N,haan,атакъэ́
171,Gans::N,gans,къа́з
172,Adler::N,arend,
173,Ente::N,eend,псычэ́т
174,Eule::N,uil,тыгъурыгъу
175,Kranich::N,kraanvogel,къэрэ́у
176,Krähe::N,kraai,къолэ́жъ
177,Kuckuck::N,koekoek,куку́у
178,Schwan::N,zwaan,
179,Fisch::N,vis,пцэжъы́й
180,Barsch::N,baars,тхыкъэц
181,Hecht::N,snoek,лэнд
182,Schlange[Tier]::N,slang,блэ́
183,Wurm::N,worm,хьамлыу
184,Spinne::N,spin,бэдж
185,Ameise::N,mier,къамзэ́гу
186,Laus::N,luis,цӏэ
187,Mücke::N,mug,аргъо́й
188,Fliege::N,vlieg,бадзэ́
189,Schmetterling::N,vlinder,хьампӏыра́шъу
190,Beere::N,bes,маткӏо
191,Apfel::N,appel,мыӏэры́с
192,Pilz::N,paddestoel,хьаӏу
193,Zwiebel::N,ui,бжьыны́
194,Saat::N,zaad,чылапхъ
195,Korn::N,graan,цэ
196,Korn::N,korrel,цэ
197,Heu::N,hooi,мэкъу
198,Schale::N,schil,кӏы́шъу
199,Grube::N,kuil,машэ́
200,Falle::N,val,зэраубытырэ́ ӏэмэпсы́м
201,Schlinge::N,strop,бзыуубыт
202,Spur::N,spoor,ужы
203,Spur::N,spoor,лъэуж
204,Asche::N,as,яжьэ́
205,Dreck::N,drek,псынжъы
206,Eisen::N,ijzer,гыучӏы́
207,Eisen::N,ijzer,къэнджа́л
208,Gold::N,goud,дышъэ́
209,Silber::N,zilver,тыжьы́н
210,Kohle::N,kool,шӏомыкӏ
211,Glas::N,glas,апч
212,Lehm::N,klei,етӏагъо́
213,Sand::N,zand,пшахъо
214,Mensch::N,mens,цӏыфы́
215,Mann::N,man,хъулъфы́гъ
216,Frau::N,vrouw,бӏылъфыгъэ́
217,Kind::N,kind,кӏэлэцӏы́кӏу
218,Junge::N,jongen,кӏэлэцӏы́кӏу
219,Mädchen::N,meisje,пшъэшъэжъый
220,Familie::N,gezin,быны́
221,Familie::N,gezin,уна́гъу
222,Familie::N,familie,быны́
223,Familie::N,familie,уна́гъу
224,Großvater::N,grootvader,тэтэ́жъ
225,Großmutter::N,grootmoeder,нэнэ́жъ
226,Eltern::N,ouders,ны-тыхэ́р
227,Vater::N,vader,ты
228,Mutter::N,moeder,ны
229,Sohn::N,zoon,къо
230,Tochter::N,dochter,пхъу
231,Bruder::N,broer,шы
232,Bruder::N,broeder,шы
233,Schwester::N,zus,шы́пхъу
234,Schwester::N,zuster,шы́пхъу
235,Onkel::N,oom,янэ́ш
236,Tante::N,tante,атэшыпхъу
237,Ehemann::N,echtgenoot,лӏы
238,Ehefrau::N,echtgenote,шъу́з
239,Freude::N,vreugde,гушӏуа́гъу
240,Gelächter::N,gelach,щхыныр
241,Glück::N,geluk,насы́п
242,Kummer::N,verdriet,тхьамыкӏагъу
243,Wunsch::N,wens,шӏонгъоны́гъ
244,Wunsch::N,verlangen,шӏонгъоны́гъ
245,Lust::N,zin,шӏонгъоны́гъ
246,Lust::N,lust,шӏонгъоны́гъ
247,Geist::N,geest,гу
248,Gedanke::N,gedachte,гупшыс
249,Gedächtnis::N,geheugen,память
250,Verstand::N,verstand,акъы́л
251,Sinn::N,betekenis,мэхьанэ
252,Grund::N,reden,ушъхьагъу
253,Wahrheit::N,waarheid,шъыпкъэ́
254,Gespräch::N,gesprek,гущыӏ
255,Märchen::N,sprookje,пшысэ
256,Erzählung::N,verhaal,къэба́р
257,Nachricht::N,tijding,къэба́р
258,Neuigkeit::N,nieuws,къэбарыкӏ
259,Neuigkeit::N,nieuwtje,къэбарыкӏ
260,Name::N,naam,цӏэ
261,Rätsel::N,raadsel,коджэхь-къоджэшх
262,Rede::N,rede,гущыӏ
263,Sprache::N,taal,бзэ
264,Stimme::N,stem,макъэ́
265,Wort::N,woord,гущыӏ
266,Zeichen::N,teken,тамы́гъ
267,Ruf::N,roep,джэ макъ
268,Lärm::N,lawaai,макъэ
269,Laut::N,klank,макъэ
270,Laut::N,geluid,макъэ
271,Ton::N,toon,
272,Ton::N,klank,
273,Lied::N,lied,орэ́д
274,Ruhe::N,rust,самбырыныгъ
275,Ruhe::N,stilte,самбырыныгъ
276,Leute::N,lui,цӏыфхэ́р
277,Leute::N,mensen,цӏыфхэ́р
278,Volk::N,volk,цӏыф лъэпкъ
279,Arbeit::N,werk,ӏофшӏакӏэ́н
280,Arbeit::N,arbeid,ӏофшӏакӏэ́н
281,Gast::N,gast,хьакӏэ́
282,Geschenk::N,cadeau,шӏухьафтын
283,Geschenk::N,geschenk,шӏухьафтын
284,Spiel::N,spel,еоны́р
285,Spiel::N,spel,джэгуны́р
286,Spiel::N,spel,къегъэӏоны́р
287,Gesellschaft::N,gezelschap,обществ
288,Hilfe::N,hulp,ӏэпыӏэгъу
289,Freund::N,vriend,ныбджэгъу
290,Kamerad::N,maat,ныбджэгъу
291,Kamerad::N,metgezel,ныбджэгъу
292,Angelegenheit::N,zaak,ӏофы́
293,Angelegenheit::N,aangelegenheid,ӏофы́
294,Anzahl::N,tal,пчъагъэ́
295,Anzahl::N,aantal,пчъагъэ́
296,Art::N,slag,изэрэщы́т
297,Art::N,slag,лъэпкъ
298,Art::N,soort,изэрэщы́т
299,Art::N,soort,лъэпкъ
300,Stück::N,stuk,такъы́р
301,Teil::N,deel,щыщ
302,Teil::N,deel,ӏахь
303,Hälfte::N,helft,ныкъо́
304,Kreis::N,kring,хъура́й
305,Kreis::N,cirkel,хъура́й
306,Kreuz::N,kruis,къащ
307,Linie::N,lijn,хъахъ
308,Linie::N,lijn,итхъа́гъ
309,Strich::N,haal,хъахъ
310,Strich::N,haal,итхъагъ
311,Strich::N,streep,хъахъ
312,Strich::N,streep,итхъагъ
313,Abstand::N,afstand,азыфагу
314,Entfernung::N,afstand,чӏыгууанэ
315,Gegend::N,streek,чӏыпӏэ́
316,Platz::N,ruimte,азыфагу
317,Ort::N,oord,чӏыпӏэ́
318,Ort::N,plaats,чӏыпӏэ́
319,Seite::N,zij,лъэны́къу
320,Seite::N,kant,лъэны́къу
321,Seite::N,zijde,лъэны́къу
322,Mitte::N,midden,гузэ́гу
323,Gegenstand::N,voorwerp,пкъыгъо
324,Sache::N,zaak,
325,Rand::N,rand,цакӏэ́
326,Rand::N,boord,цакӏэ́
327,Kante::N,kant,цэгэналъ
328,Ecke::N,hoek,къогъу
329,Spitze::N,punt,пакӏэ
330,Spitze::N,spits,пакӏэ
331,Ende::N,einde,кӏэ
332,Ende::N,uiteinde,кӏэ
333,Loch::N,gat,гъуа́н
334,Winkel::N,hoek,къогъу
335,Muster::N,dessin,тхыпхъэ
336,Muster::N,patroon,тхыпхъэ
337,Größe::N,grootte,иина́гъ
338,Länge::N,lengte,икӏыхьа́гъ
339,Höhe::N,hoogte,лъэгагъ
340,Gewicht::N,gewicht,онтэгъугъэ́
341,Menge::N,hoeveelheid,пчъагъэ́
342,Haufen::N,hoop,ӏат
343,Reihe::N,rij,саты́р
344,Reihe::N,reeks,саты́р
345,Boot::N,boot,къуашъо́
346,Ruder::N,roeiriem,къошъобэ́щ
347,Schlitten::N,slee,
348,Schlitten::N,slede,
349,Ski::N,ski,лыжэхэр
350,Lagerfeuer::N,kampvuur,пхъэмашӏу
351,Last::N,last,
352,Last::N,vracht,
353,Gang::N,wandeling,кӏоныр
354,Schritt::N,stap,лъэубэ́къу
355,Schritt::N,schrede,лъэубэ́къу
356,Norden::N,noorden,темы́р
357,Süden::N,zuiden,къыблэ́
358,Westen::N,westen,тыгъэкъохьа́пӏ
359,Osten::N,oosten,тыгьэкъокӏы́пӏ
360,Holz::N,hout,чъыгы́
361,Brett::N,plank,пхъэ́мбгъу
362,Platte::N,plaat,упсыхьагъ
363,Stütze::N,stut,кӏэгъэкъон
364,Stütze::N,steun,кӏэгъэкъон
365,Stange::N,stang,къорэ́гъ
366,Stock::N,stok,бэщ
367,Stab::N,staf,бэщ кӏы́хь
368,Rohr::N,pijp,онджэкъ
369,Haus::N,huis,унэ́
370,Heim::N,tehuis,унэ́
371,Ofen::N,kachel,гъэжъэн
372,Fußboden::N,vloer,джэхашъу
373,Tisch::N,tafel,стол
374,Stuhl::N,stoel,пхъэнтӏэ́кӏу
375,Wiege::N,wieg,кушъэ́
376,Bett::N,bed,пӏэкӏо́р
377,Regal::N,rek,мэкӏай
378,Kiste::N,kist,ящык
379,Fenster::N,raam,шъхьаныгъу́пчъ
380,Fenster::N,venster,шъхьаныгъу́пчъ
381,Tür::N,deur,пчъэ
382,Tor::N,poort,къэла́пчъ
383,Zaun::N,omheining,шӏыхьагъэ́
384,Dach::N,dak,шъхьэ́
385,Leiter::N,ladder,лъэо́й
386,Leiter::N,ladder,дэкӏояпӏэ́
387,Besen::N,bezem,пхъэнкӏы́пхъ
388,Spaten::N,schop,къазгъы́р
389,Schaufel::N,schep,хэӏалъ
390,Gabel::N,vork,цацэ
391,Löffel::N,lepel,джэмы́шх
392,Messer::N,mes,шъэжъы́й
393,Nagel::N,spijker,гъучӏыӏу́н
394,Netz::N,net,хъытыу
395,Haken::N,haak,хьажтӏаркъу
396,Griff::N,handvat,къопс
397,Schloss::N,slot,ӏункӏы́бз
398,Bild::N,beeld,сурэ́т
399,Figur::N,figuur,
400,Puppe::N,pop,нысхъа́п
401,Beutel::N,zak,дзыо́
402,Beutel::N,buidel,дзыо́
403,Bündel::N,pak,
404,Bündel::N,bundel,
405,Tasche::N,tas,ӏэлъмэ́къ
406,Eimer::N,emmer,щалъ
407,Deckel::N,deksel,шъхьэ
408,Geschirr::N,vaatwerk,хьакъу-шыкъу
409,Sack::N,zak,дзыо́
410,Tasse::N,kop,чашк
411,Topf::N,pan,кастрюль
412,Kessel::N,ketel,шыуа́н
413,Essen::N,eten,шхэн
414,Nahrung::N,voedsel,шхэн
415,Speise::N,spijs,шхыныгъу
416,Fleisch::N,vlees,лы
417,Getreide::N,graan,лэжьыгъацэ́
418,Brei::N,pap,пӏастэ́
419,Brei::N,brij,пӏастэ́
420,Brot::N,brood,хьалыгъу
421,Scheibe::N,plak,такъы́р
422,Scheibe::N,snede,такъы́р
423,Fett::N,vet,дагъэ́
424,Butter::N,boter,тхъу
425,Öl::N,olie,тхъу
426,Salz::N,zout,щыгъу
427,Suppe::N,soep,хьантхъупс
428,Honig::N,honing,шъоу́
429,Milch::N,melk,щэ
430,Tee::N,thee,щай
431,Leder::N,leer,кӏы́шъу
432,Leder::N,leder,кӏы́шъу
433,Wolle::N,wol,цы
434,Stoff::N,stof,шэкӏы
435,Nadel::N,naald,бгъэ́хаӏу
436,Faden::N,draad,ӏуда́н
437,Knopf::N,knoop,занкӏэу
438,Knoten::N,knoop,зэкъодзапӏэ
439,Farbe::N,verf,краск
440,Kleidung::N,kledij,щыгъы́ны
441,Kleidung::N,kleding,щыгъы́ны
442,Hemd::N,hemd,джан
443,Kragen::N,kraag,пшъапӏ
444,Ärmel::N,mouw,гъуап
445,Hose::N,broek,гъончэ́дж
446,Hose::N,pantalon,гъончэ́дж
447,Gürtel::N,riem,бгыры́пх
448,Gürtel::N,gordel,бгыры́пх
449,Mütze::N,muts,паӏо́
450,Schuh::N,schoen,
451,Stiefel::N,laars,щазым
