,Concept_ID,ps,bg
0,Auge::N,سترګه,око
1,Ohr::N,غوږ,ухо
2,Nase::N,پوزه,нос
3,Mund::N,خوله,уста
4,Zahn::N,غاښ,зъб
5,Zunge::N,جبه,език
6,Lippe::N,شونډه,устна
7,Wange::N,باړخو,буза
8,Gesicht::N,مخ,лице
9,Gesicht::N,مخ,образ
10,Stirn::N,تندی,чело
11,Stirn::N,وچولی,чело
12,Haar::N,وېښته,коса
13,Haar::N,وېښته,косъм
14,Schnurrbart::N,برېت,мустаци
15,Bart::N,ږیره,брада
16,Kinn::N,زنه,брада
17,Kinn::N,زنه,брадичка
18,Kiefer[Anatomie]::N,جامه,челюст
19,Kehle::N,غاړه,гърло
20,Hals::N,غاړه,врат
21,Genick::N,ورمېږ,тил
22,Kopf::N,سر,глава
23,Rücken::N,شا,гръб
24,Bauch::N,نس,корем
25,Bauch::N,ګېډه,корем
26,Nabel::N,نوم,пъп
27,Busen::N,تی,бозка
28,Brust::N,سینه,гръд
29,Schulter::N,اوږه,рамо
30,Schulter::N,اوږه,плещи
31,Arm::N,لاس,ръка
32,Ellenbogen::N,څنګل,лакът
33,Hand::N,لاس,ръка
34,Hand::N,لاس,китка
35,Handfläche::N,ورغوی,длан
36,Finger::N,ګوته,пръст
37,Fingernagel::N,نوک,нокът
38,Nagel[Anatomie]::N,نوک,нокът
39,Zeh::N,ګوته,пръст на крак
40,Fuß::N,پښه,крак
41,Fuß::N,پښه,нога
42,Ferse::N,پونده,пета
43,Knie::N,زنګون,коляно
44,Oberschenkel::N,پتون,бедро
45,Bein::N,پښه,крак
46,Bein::N,پښه,нога
47,Körper::N,ځان,тяло
48,Haut::N,پوټکی,кожа
49,Blut::N,وینه,кръв
50,Ader::N,رګ,вена
51,Ader::N,رګ,артерия
52,Sehne::N,پله,жила
53,Sehne::N,پله,сухожилие
54,Knochen::N,هډوکی,кост
55,Gehirn::N,ماغزه,мозък
56,Herz::N,زړه,сърце
57,Magen::N,معده,стомах
58,Leber::N,ينه,черен дроб
59,Leber::N,ځیګر,черен дроб
60,Atem::N,نفس,дишане
61,Hunger::N,ولږه,глад
62,Träne::N,اوښکه,сълза
63,Geschmack::N,مزه,вкус
64,Geschmack::N,خوند,вкус
65,Geruch::N,بوی,миризма
66,Schlaf::N,خوب,сън
67,Traum::N,خوب,сън
68,Himmel::N,اسمان,небе
69,Sonne::N,لمر,слънце
70,Mond::N,سپوږمۍ,луна
71,Mond::N,سپوږمۍ,месец
72,Stern::N,ستوری,звезда
73,Luft::N,هوا,въздух
74,Wind::N,ورښ,вятър
75,Welle::N,موج,вълна
76,Wasser::N,اوبه,вода
77,Stein::N,ډبره,камък
78,Boden::N,مځکه,земя
79,Boden::N,مځکه,почва
80,Erde::N,خاوره,земя
81,Erde::N,خاوره,почва
82,Staub::N,ګرد,прах
83,Staub::N,خاوره,прах
84,Rauch::N,دود,дим
85,Rauch::N,دود,пушек
86,Rauch::N,لوګی,дим
87,Rauch::N,لوګی,пушек
88,Funke::N,سپرغۍ,искра
89,Feuer::N,اور,огън
90,Licht::N,رڼا,светлина
91,Schatten::N,سیوری,сянка
92,Wetter::N,هوا,време
93,Nebel::N,لړه,мъгла
94,Wolke::N,ورېځ,облак
95,Regen::N,وریا,дъжд
96,Regen::N,باران,дъжд
97,Schnee::N,واوره,сняг
98,Eis::N,یخ,лед
99,Eis::N,کنګل,лед
100,Frost::N,یخ,мраз
101,Kälte::N,ساړه,студ
102,Hitze::N,تودوخي,жега
103,Hitze::N,تودوخي,горещина
104,Raureif::N,سپینه پرخه,скреж
105,Raureif::N,سپینه پرخه,слана
106,Regenbogen::N,بوډۍ ټال,дъга
107,Regenbogen::N,سره زرغونه,дъга
108,Donner::N,تالنده,гръм
109,Strömung::N,بهېدنه,течение
110,Tropfen::N,قطره,капка
111,Tropfen::N,څاڅکی,капка
112,Schaum::N,ځګ,пяна
113,Schmutz::N,ناپاکي,кал
114,Schmutz::N,ناپاکي,мръсотия
115,See::N,جهیل,езеро
116,Sumpf::N,جبه,блато
117,Moor::N,جبه,мочурище
118,Wiese::N,چمن,ливада
119,Wiese::N,شنېلی,ливада
120,Wald::N,ځنګل,гора
121,Hügel::N,تپه,рид
122,Hügel::N,تپه,хълм
123,Anhöhe::N,غونډۍ,могила
124,Anhöhe::N,غونډۍ,възвишение
125,Berg::N,غ‍‍‍‍‍ر,планина
126,Gipfel::N,څوکه,връх
127,Höhle::N,کاز,пещера
128,Abhang::N,لمن,склон
129,Abhang::N,لمن,стръмнина
130,Quelle::N,چینه,извор
131,Bach::N,واله,поток
132,Fluss::N,سیند,река
133,Ufer::N,غاړه,бряг
134,Küste::N,ساحل,бряг
135,Küste::N,ساحل,крайбрежие
136,Festland::N,وچه,суша
137,Meer::N,بحر,море
138,Meer::N,سمندر,море
139,Bucht::N,کارۍ,залив
140,Insel::N,ټاپو,остров
141,Insel::N,جزيره,остров
142,Blume::N,ګل,цвете
143,Gras::N,واښه,трева
144,Wurzel::N,ریښه,корен
145,Baum::N,ونه,дърво
146,Stamm::N,ډډ,стъбло
147,Rinde::N,پوستکی,кора
148,Ast::N,ښاخ,клон
149,Zweig::N,څانګه,клон
150,Blatt::N,پاڼه,лист
151,Birke::N,توس,бреза
152,Kiefer[Baum]::N,نښتر,бор
153,Weide[Baum]::N,وله,върба
154,Tanne::N,ناجو,ела
155,Horn::N,ښکر,рог
