,Concept_ID,kk,ce
0,Auge::N,көз,бӏаьрг
1,Ohr::N,құлақ,лерг
2,Nase::N,мұрын,мара
3,Mund::N,ауыз,бага
4,Zahn::N,тіс,церг
5,Zunge::N,тіл,мотт
6,Lippe::N,ерін,балда
7,Wange::N,ұрт,бесни
8,Gesicht::N,бет-аузы,юьхь
9,Stirn::N,маңдай,хьаж
10,Haar::N,қыл,мас
11,Schnurrbart::N,мұрт,мекх
12,Bart::N,сақал,маж
13,Kinn::N,иек,чӏениг
14,Kiefer[Anatomie]::N,жақ,мочхал
15,Kehle::N,алқым,къамкъарг
16,Hals::N,мойын,ворта
17,Genick::N,желке,кӏесаркӏаг
18,Kopf::N,кәллә,корта
19,Rücken::N,арқа,букъ
20,Bauch::N,қарын,кийра
21,Nabel::N,кіндік,цӏонга
22,Busen::N,омырау,зударийн накха
23,Brust::N,кеуде,накха
24,Schulter::N,иық,белш
25,Arm::N,қол,пхьарс
26,Ellenbogen::N,шынтақ,пхьаьрсан гола
27,Hand::N,қол,куьг
28,Handfläche::N,алақан,кераюкъ
29,Finger::N,саусақ,пӏелг
30,Fingernagel::N,тырнақ,мӏара
31,Nagel[Anatomie]::N,тырнақ,мӏара
32,Zeh::N,тырнақ,кога пӏелг
33,Zeh::N,тұяқ,кога пӏелг
34,Fuß::N,аяқ-басы,ког
35,Ferse::N,өкше,кӏажа
36,Ferse::N,өкшелік,кӏажа
37,Knie::N,тізе,гола
38,Oberschenkel::N,жамбас,варе
39,Bein::N,аяқ,ког
40,Körper::N,дене,хӏума
41,Haut::N,тері,чкъор
42,Blut::N,қан,цӏий
43,Ader::N,көктамыр,пха
44,Ader::N,күретамыр,пха
45,Sehne::N,сіңір,хьорзам
46,Knochen::N,жілік,даьӏахк
47,Gehirn::N,ми,хье
48,Herz::N,жүрек,дог
49,Magen::N,асқазан,зорх
50,Leber::N,бауыр,доӏах
51,Atem::N,леп,садеӏар
52,Hunger::N,ашаршылық,мацалла
53,Träne::N,жас,бӏаьрхи
54,Geschmack::N,дәм,чам
55,Geschmack::N,татым,чам
56,Geschmack::N,талғам,чам
57,Geruch::N,иіс,хьожа
58,Schlaf::N,ұйқы,наб
59,Schlaf::N,ұйықтау,наб
60,Traum::N,түс,гӏан
61,Himmel::N,аспан,стигал
62,Himmel::N,көқ,стигал
63,Himmel::N,таңдай,стигал
64,Sonne::N,күн,малх
65,Mond::N,ай,бутт
66,Stern::N,жұлдыз,седа
67,Luft::N,әуе,xӏаваъ
68,Wind::N,жел,мох
69,Welle::N,толқын,тулгӏе
70,Wasser::N,су,хи
71,Stein::N,тас,тӏулг
72,Boden::N,қыртыс,цӏенкъа
73,Erde::N,топырақ,латта
74,Staub::N,шаң,чан
75,Rauch::N,түтін,кӏур
76,Funke::N,ұшқын,суй
77,Feuer::N,алау,цӏе
78,Licht::N,шұғыла,серло
79,Schatten::N,көлеңке,ӏиндагӏ
80,Wetter::N,ауа райы,хенан хӏоттам
81,Nebel::N,тұман,дохк
82,Wolke::N,бұлт,марха
83,Regen::N,жаңбыр,догӏа
84,Schnee::N,қар,ло
85,Eis::N,мұз,ша
86,Frost::N,суық,шело
87,Kälte::N,ызғар,шело
88,Kälte::N,суықтық,шело
89,Hitze::N,аптап,йовхо
90,Raureif::N,қырау,йис
91,Regenbogen::N,кемпірқосақ,стелаӏад
92,Donner::N,күн күркіреу,ткъес
93,Strömung::N,ағын,дӏаэхар
94,Strömung::N,ағын,дӏасалелар
95,Tropfen::N,тамшы,тӏадам
96,Schaum::N,көбік,чопа
97,Schmutz::N,кір,хатт
98,See::N,көл,ӏам
99,Sumpf::N,саз,уьшал
100,Moor::N,саз,уьшал
101,Wiese::N,шалғын,бай
102,Wald::N,орман,хьун
103,Hügel::N,төбе,гу
104,Hügel::N,төбе,шу
105,Hügel::N,төбе,барз
106,Hügel::N,белес,гу
107,Hügel::N,белес,шу
108,Hügel::N,белес,барз
109,Hügel::N,белес-белес,гу
110,Hügel::N,белес-белес,шу
111,Hügel::N,белес-белес,барз
112,Anhöhe::N,дөң,акъари
113,Anhöhe::N,адыр,акъари
114,Anhöhe::N,қырат,акъари
115,Berg::N,тау,лам
116,Gipfel::N,төбе,бохь
117,Höhle::N,үңгір,хьех
118,Abhang::N,бауыр,басе
119,Quelle::N,қайнар,шовда
120,Bach::N,жылға,татол
121,Fluss::N,өзен,хи
122,Ufer::N,жиек,хийист
123,Küste::N,жиегі,йист
124,Küste::N,жағалау,йист
125,Festland::N,құрылық,латта
126,Meer::N,теңіз,xӏорд
127,Bucht::N,шығанақ,чож
128,Insel::N,арал,гӏайре
129,Blume::N,гүл,зезаг
130,Gras::N,от,буц
131,Wurzel::N,түбір,орам
132,Baum::N,ағаш,дитт
133,Baum::N,дарақ,дитт
134,Stamm::N,сояу,гӏад
135,Stamm::N,сояу,тайпа
136,Stamm::N,оқпан,гӏад
137,Stamm::N,оқпан,тайпа
138,Rinde::N,қабық,кевстиг
139,Ast::N,бұтақ,га
140,Zweig::N,шыбық,га
141,Blatt::N,жапырақ,гӏа
142,Birke::N,қайың,дакх
143,Kiefer[Baum]::N,қарағай,бага
144,Weide[Baum]::N,тал,дак
145,Tanne::N,шырша,база
146,Horn::N,мүйіз,маӏа
147,Feder::N,қаламұш,пелаг
148,Fell::N,тері,цӏока
149,Flügel::N,қанат,тӏам
150,Klaue::N,тырнақ,мӏара
151,Kralle::N,аяқ,тlод
152,Schwanz::N,құйрық,цӏога
153,Ei::N,жұмыртқа,xӏoa
154,Nest::N,ұя,бен
155,Bau::N,жатақ,lуьрг
156,Tier::N,айуан,дийнат
157,Tier::N,жануар,дийнат
158,Herde::N,пада,жа
159,Kuh::N,сиыр,етт
160,Bulle::N,өгіз,сту
161,Pferd::N,жылқы,говр
162,Schaf::N,қой,жий
163,Schaf::N,қой,уьстагӏ
164,Schwein::N,шошқа,хьакха
165,Hund::N,ит,жӏаьла
166,Katze::N,мысық,цициг
167,Bär::N,аю,ча
168,Eichhörnchen::N,тиін,тарсал
169,Elch::N,бұғы,сай
170,Fuchs::N,түлкі,цхьогал
171,Hase::N,қоян,пхьагал
172,Maus::N,қаптесер,дахка
173,Wolf::N,бөрі,борз
174,Wolf::N,қасқыр,борз
175,Vogel::N,құс,олхазар
176,Schwarm::N,топ,
177,Schwarm::N,үйір,
178,Huhn::N,тауық,котам
179,Huhn::N,мекиен,котам
180,Hahn::N,әтеш,нӏаьна
181,Hahn::N,әтеш,боргӏал
182,Hahn::N,қораз,нӏаьна
183,Hahn::N,қораз,боргӏал
184,Gans::N,қаз,гӏаз
185,Adler::N,бүркіт,aьрзу
186,Ente::N,үйрек,бад
187,Eule::N,жапалақ,бухӏа
188,Kranich::N,тырна,гӏаргӏули
189,Krähe::N,қарға,къиг
190,Kuckuck::N,көкек,aттйокх
191,Schwan::N,аққу,гӏургӏаз
192,Fisch::N,балық,чӏара
193,Barsch::N,алабұға,окунь
194,Hecht::N,шортан,гӏазкхийн чӏара
195,Schlange[Tier]::N,жылан,лаьхьа
196,Wurm::N,шұбалшаң,нӏаьна
197,Spinne::N,өрмекші,гезг
198,Ameise::N,қүмырска,зингат
199,Laus::N,бит,меза
200,Laus::N,бит,гӏениг
201,Mücke::N,маса,чуьрк
202,Fliege::N,шыбын,моза
203,Schmetterling::N,көбелек,полла
204,Beere::N,жидек,цӏазам
205,Apfel::N,алма,ӏаж
206,Pilz::N,қозықұйрық,жӏаьлин нускал
207,Pilz::N,саңыраукулақ,жӏаьлин нускал
208,Zwiebel::N,жуа,xох
209,Saat::N,тұқым,чlу
210,Korn::N,дән,буьртиг
211,Heu::N,шөп,йол
212,Schale::N,қабық,пардо
213,Schale::N,қабығы,пардо
214,Grube::N,ор,ор
215,Falle::N,дұзақ,кӏело
216,Falle::N,қақпан,кӏело
217,Schlinge::N,ілмек,
218,Spur::N,із,лар
219,Asche::N,күл,чим
220,Dreck::N,былғаныш,мода
221,Eisen::N,темір,эчиг
222,Gold::N,алтын,деши
223,Silber::N,күміс,дети
224,Kohle::N,көмір,кӏора
225,Glas::N,шыны,aнгали
226,Lehm::N,балшық,поппар
227,Sand::N,құм,гӏум
228,Mensch::N,адам,адам
229,Mann::N,еркек,майра
230,Mann::N,ер адам,майра
231,Frau::N,бике,зуда
232,Frau::N,қатын,зуда
233,Kind::N,бала,бер
234,Kind::N,перзент,бер
235,Junge::N,бала,жимха
236,Junge::N,ер бала,жимха
237,Mädchen::N,қыз,жима йоӏ
238,Familie::N,жанұя,доьзал
239,Großvater::N,ата,ненада
240,Großmutter::N,әже,денана
241,Großmutter::N,әжей,денана
242,Eltern::N,ата-аналар,да-нана
243,Vater::N,әке,да
244,Mutter::N,ана,нана
245,Sohn::N,ұл,кӏант
246,Tochter::N,қызым,йоӏ
247,Bruder::N,бауырым,ваша
248,Schwester::N,әпке,йиша
249,Onkel::N,көке,деваша
250,Tante::N,тәте,дейиша
251,Ehemann::N,ер,майра
252,Ehefrau::N,зайып,зуда
253,Freude::N,қуаныш,самукъа
254,Freude::N,қуаныш,хазахетар
255,Freude::N,сүйініш,самукъа
256,Freude::N,сүйініш,хазахетар
257,Freude::N,шат-думан,самукъа
258,Freude::N,шат-думан,хазахетар
259,Freude::N,қуаныштылық,самукъа
260,Freude::N,қуаныштылық,хазахетар
261,Gelächter::N,күлу,белам
262,Glück::N,бақыт,ирс
263,Glück::N,бақыттылық,ирс
264,Kummer::N,аза,бала
265,Kummer::N,қайғы,бала
266,Kummer::N,қасырет,бала
267,Wunsch::N,мүдде,лаам
268,Lust::N,тәбет,лаам
269,Lust::N,ынтызар,лаам
270,Lust::N,құштарлық,лаам
271,Geist::N,рух,са
272,Gedanke::N,ой,ойла
273,Gedächtnis::N,ес,диццадалар
274,Gedächtnis::N,жады,диццадалар
275,Gedächtnis::N,ақыл-ес,диццадалар
276,Verstand::N,ақыл,хьекъал
277,Verstand::N,парасат,хьекъал
278,Sinn::N,мән,маьӏна
279,Sinn::N,маныз,маьӏна
280,Sinn::N,мағына,маьӏна
281,Sinn::N,мән-мағына,маьӏна
282,Grund::N,себеп,бахьана
283,Wahrheit::N,рас,бакъдерг
284,Gespräch::N,әңгіме,къамел
285,Märchen::N,ертеп,туьйра
286,Märchen::N,ертек,туьйра
287,Erzählung::N,әңгіме,дийцар
288,Nachricht::N,хабар,хаам
289,Neuigkeit::N,жаңалық,керланиг
290,Name::N,ат,цӏе
291,Name::N,атау,цӏе
292,Rätsel::N,жұмбақ,хӏетал-метал
293,Rede::N,сөз,къамел
294,Sprache::N,тіл,мотт
295,Stimme::N,үн,aз
296,Stimme::N,әуен,aз
297,Stimme::N,дауыс,aз
298,Wort::N,сөз,дош
299,Zeichen::N,ишара,билгало
300,Ruf::N,айғай,кхайкхар
301,Lärm::N,айғай-шу,гӏовгӏа
302,Lärm::N,айғай-ұйғай,гӏовгӏа
303,Laut::N,дыбыс,аз
304,Laut::N,дауыс,аз
305,Ton::N,әуен,aз
306,Lied::N,ән,илли
307,Lied::N,жыр,илли
308,Lied::N,ән-жыр,илли
309,Ruhe::N,тыныштық,тийналла
310,Leute::N,кісілер,нах
311,Volk::N,халық,халкъ
312,Arbeit::N,еңбек,болх
313,Gast::N,қонақ,хьаша
314,Gast::N,мейман,хьаша
315,Geschenk::N,қадия,совгӏат
316,Spiel::N,ойын,ловзар
317,Gesellschaft::N,қауым,юкъаралла
318,Gesellschaft::N,жұртшылық,юкъаралла
319,Hilfe::N,жэрдем,гӏо
320,Freund::N,дос,доттагl
321,Kamerad::N,дос-жар,накъост
322,Angelegenheit::N,жұмыс,гӏуллакх
323,Anzahl::N,сан,терахь
324,Anzahl::N,саны,терахь
325,Art::N,түр,
326,Stück::N,тілім,юьхк
327,Teil::N,үлес,дакъа
328,Teil::N,бөлшек,дакъа
329,Hälfte::N,жарты,ах
330,Kreis::N,шеңбер,го
331,Kreuz::N,крест,жӏара
332,Linie::N,сызық,сиз
333,Strich::N,сызық,сиз
334,Abstand::N,ара,юкъ
335,Abstand::N,аралық,юкъ
336,Entfernung::N,аралық,
337,Gegend::N,өңір,мeттиг
338,Platz::N,орны,майда
339,Ort::N,орын,меттиг
340,Seite::N,жақ,aгӏo
341,Seite::N,бүйір,aгӏo
342,Mitte::N,ортасы,юкъ
343,Gegenstand::N,зат,хӏума
344,Gegenstand::N,нәрсе,хӏума
345,Sache::N,бұйым,хӏума
346,Rand::N,шет,йист
347,Rand::N,шеті,йист
348,Kante::N,қыр,йист
349,Kante::N,қыры,йист
350,Ecke::N,қыры,са
351,Ecke::N,бұрыш,са
352,Spitze::N,ұшы,ралла
353,Ende::N,аяқ,юьхьиг
354,Ende::N,соңы,юьхьиг
355,Loch::N,тесік,ӏуьрг
356,Winkel::N,мүйіс,са
357,Muster::N,мәнер,дагар
358,Muster::N,мәнер,тӏамар
359,Größe::N,ауқым,барам
360,Größe::N,көлемдік,барам
361,Länge::N,бой,йохалла
362,Länge::N,ұзындық,йохалла
363,Höhe::N,жоғарылық,локхалла
364,Höhe::N,биіктік,локхалла
365,Gewicht::N,салмақ,йозалла
366,Menge::N,мөлшер,дукхалла
367,Haufen::N,үйме,сал
368,Haufen::N,үйме,оьла
369,Haufen::N,үйінді,сал
370,Haufen::N,үйінді,оьла
371,Reihe::N,сап,рагӏ
372,Reihe::N,сап,могӏа
373,Boot::N,қайық,кема
374,Ruder::N,ескек,пийсиг
375,Schlitten::N,шана,салаз
376,Ski::N,шаңғы,когсалаз
377,Lagerfeuer::N,алау,цӏе
378,Last::N,ауырлық,дукъ
379,Last::N,ауыр зат,дукъ
380,Gang::N,жүріс,лелар
381,Schritt::N,адым,гӏулч
382,Norden::N,солтүстік,къилбаседе
383,Norden::N,терістік,къилбаседе
384,Süden::N,оңтүстік,къилбе
385,Westen::N,батыс,малхбузе
386,Osten::N,күншығыс,малхбале
387,Holz::N,ағаш,дечиг
388,Holz::N,сүрек,дечиг
389,Brett::N,тақта,у
390,Platte::N,тақта,у
391,Stütze::N,тіреу,гӏopтоp
392,Stange::N,қада,гӏуркх
393,Stock::N,сойыл,ӏаса
394,Stab::N,сырық,гӏаж
395,Rohr::N,құбыр,биргӏа
396,Haus::N,үй,цӏа
397,Heim::N,үйлі,кхерч
398,Heim::N,шаңырақ,кхерч
399,Ofen::N,ошақ,кхерч
400,Ofen::N,пеш,кхерч
401,Fußboden::N,еден,цӏенкъа
402,Tisch::N,үстел,шун
403,Stuhl::N,орындық,гӏант
404,Wiege::N,бесік,ага
405,Bett::N,кереует,маьнга
406,Regal::N,сөре,терхи
407,Kiste::N,жәшік,яьшка
408,Fenster::N,терезе,кор
409,Tür::N,есік,неӏ
410,Tor::N,дарбаза,ков
411,Zaun::N,дуал,керт
412,Dach::N,шатыр,тхов
413,Leiter::N,саты,лами
414,Leiter::N,басқыш,лами
415,Besen::N,сыпырғыш,нуй
416,Spaten::N,күрек,бел
417,Schaufel::N,қалақ,аьшкал
418,Gabel::N,аша,мӏара
419,Gabel::N,шанышқы,мӏара
420,Löffel::N,қасық,ӏайг
421,Messer::N,пышақ,урс
422,Nagel::N,мық,хьостам
423,Nagel::N,шеге,хьостам
424,Netz::N,керегекөз,бой
425,Haken::N,ілмек,мӏара
426,Griff::N,сап,
