,Concept_ID,be,mn
0,Auge::N,вока,нүд
1,Ohr::N,вуха,чих
2,Nase::N,нос,хамар
3,Mund::N,рот,ам
4,Zahn::N,зуб,шүд
5,Zunge::N,язык,хэл
6,Lippe::N,губа,уруул
7,Wange::N,шчака,хацар
8,Gesicht::N,твар,царай
9,Gesicht::N,твар,нүүр
10,Stirn::N,лоб,дух
11,Haar::N,волас,үс
12,Haar::N,валасы,үс
13,Schnurrbart::N,вус,дээд сахал
14,Schnurrbart::N,вус,живэр сахал
15,Schnurrbart::N,вусы,дээд сахал
16,Schnurrbart::N,вусы,живэр сахал
17,Bart::N,барада,сахал
18,Kinn::N,падбародак,эрүү
19,Kiefer[Anatomie]::N,сківіца,эрүү
20,Kehle::N,горла,хоолой
21,Hals::N,шыя,хүзүү
22,Genick::N,патыліца,шил
23,Genick::N,патыліца,хүзүү
24,Kopf::N,галава,толгой
25,Rücken::N,спіна,ар
26,Rücken::N,спіна,нуруу
27,Bauch::N,жывот,хэвлий
28,Bauch::N,жывот,гэдэс
29,Nabel::N,пупок,хүйс
30,Busen::N,грудзі,хөх
31,Brust::N,грудзі,цээж
32,Schulter::N,плячо,мөр
33,Schulter::N,плячо,бугалга
34,Arm::N,рука,гар
35,Ellenbogen::N,локаць,тохой
36,Hand::N,кісць,гар
37,Hand::N,кісць,алга
38,Handfläche::N,далонь,алга
39,Finger::N,палец,хуруу
40,Fingernagel::N,ногаць,хурууны хумс
41,Nagel[Anatomie]::N,ногаць,хумс
42,Zeh::N,палец,хуруу
43,Fuß::N,нага,хөл
44,Ferse::N,пята,өсгий
45,Ferse::N,пятка,өсгий
46,Knie::N,калена,өвдөг
47,Oberschenkel::N,бядро,гуя
48,Oberschenkel::N,сцягно,гуя
49,Bein::N,нага,хөл
50,Körper::N,цела,бие
51,Haut::N,скура,арьс
52,Blut::N,кроў,цус
53,Ader::N,вена,судас
54,Ader::N,сасуд,судас
55,Sehne::N,жыла,бүлх
56,Sehne::N,жыла,шандас
57,Sehne::N,цеціва,бүлх
58,Sehne::N,цеціва,шандас
59,Sehne::N,сухажылле,бүлх
60,Sehne::N,сухажылле,шандас
61,Knochen::N,косць,яс
62,Gehirn::N,мозг,тархи
63,Herz::N,сэрца,зүрх
64,Magen::N,страўнік,ходоод
65,Leber::N,печань,элэг
66,Atem::N,дыханне,амьсгаа
67,Hunger::N,голад,өлсгөлөн
68,Träne::N,сляза,нулимс
69,Geschmack::N,смак,амт
70,Geruch::N,пах,үнэр
71,Schlaf::N,сон,нойр
72,Traum::N,сон,зүүд
73,Himmel::N,неба,тэнгэр
74,Himmel::N,неба,огторгуй
75,Sonne::N,сонца,нар
76,Mond::N,месяц,сар
77,Stern::N,зорка,од
78,Luft::N,паветра,агаар
79,Wind::N,вецер,салхи
80,Welle::N,хваля,долгио
81,Welle::N,хваля,давалгаа
82,Wasser::N,вада,ус
83,Stein::N,камень,чулуу
84,Boden::N,глеба,хөрс
85,Erde::N,зямля,газар
86,Erde::N,зямля,шороо
87,Staub::N,пыл,тоос
88,Rauch::N,дым,утаа
89,Funke::N,іскра,оч
90,Feuer::N,агонь,гал
91,Licht::N,святло,гэрэл
92,Licht::N,святло,гэгээ
93,Schatten::N,цень,сүүдэр
94,Wetter::N,пагода,тэнгэр
95,Wetter::N,пагода,цаг уур
96,Wetter::N,надворʼе,тэнгэр
97,Wetter::N,надворʼе,цаг уур
98,Nebel::N,туман,будан
99,Wolke::N,воблака,үүл
100,Regen::N,дождж,бороо
101,Schnee::N,снег,цас
102,Eis::N,лёд,мөс
103,Frost::N,мароз,хүйт
104,Kälte::N,холад,хүйт
105,Hitze::N,спёка,халуун
106,Raureif::N,іней,цан
107,Raureif::N,іней,хяруу
108,Regenbogen::N,вясёлка,солонго
109,Donner::N,гром,тэнгэрийн дуу
110,Strömung::N,цячэнне,урсгал
111,Tropfen::N,кропля,дусал
112,Schaum::N,пена,хөөс
113,Schmutz::N,гразь,хир
114,Schmutz::N,гразь,шавхай
115,See::N,возера,нуур
116,Sumpf::N,багна,намаг
117,Sumpf::N,багна,балчиг
118,Moor::N,балота,хүлрийн намаг
119,Wiese::N,луг,нуга
120,Wald::N,лес,ой
121,Hügel::N,узгорак,болдог
122,Anhöhe::N,узвышша,гүвээ
123,Berg::N,гара,уул
124,Gipfel::N,вяршыня,орой
125,Gipfel::N,вяршыня,оргил
126,Höhle::N,пячора,агуй
127,Abhang::N,схіл,хүр
128,Quelle::N,крыніца,булаг
129,Bach::N,ручай,горхи
130,Fluss::N,рака,гол
131,Fluss::N,рака,мөрөн
132,Ufer::N,бераг,эрэг
133,Küste::N,узбярэжжа,эрэг
134,Festland::N,суша,хуурай газар
135,Meer::N,мора,далай
136,Meer::N,мора,тэнгис
137,Bucht::N,бухта,булан
138,Bucht::N,бухта,далайн тохой
139,Insel::N,востраў,арал
140,Blume::N,кветка,цэцэг
141,Gras::N,трава,өвс
142,Gras::N,трава,ногоо
143,Wurzel::N,корань,үндэс
144,Baum::N,дрэва,мод
145,Stamm::N,ствол,иш
146,Stamm::N,ствол,гуалин
147,Rinde::N,кара,холтос
148,Ast::N,сук,гишүү
149,Zweig::N,галіна,салаа
150,Blatt::N,ліст,навч
151,Birke::N,бяроза,хус
152,Kiefer[Baum]::N,хвоя,нарс
153,Kiefer[Baum]::N,сасна,нарс
154,Weide[Baum]::N,вярба,уд
155,Weide[Baum]::N,вярба,бургас
156,Tanne::N,яліна,гачуур
157,Horn::N,рог,эвэр
158,Feder::N,пяро,өд
159,Fell::N,шкура,арьс
160,Flügel::N,крыло,жигүүр
161,Flügel::N,крыло,далавч
162,Klaue::N,кіпцюр,савар
163,Klaue::N,кіпцюр,хумс
164,Kralle::N,лапа,савар
165,Schwanz::N,хвост,сүүл
166,Ei::N,яйка,өндөг
167,Nest::N,гняздо,үүр
168,Bau::N,нара,нүх
169,Bau::N,нара,элүү
170,Tier::N,жывёла,амьтан
171,Tier::N,жывёла,адгуус
172,Herde::N,статак,сүрэг
173,Kuh::N,карова,үнээ
174,Bulle::N,бык,бух
175,Pferd::N,конь,морь
176,Pferd::N,конь,адуу
177,Schaf::N,авечка,хонь
178,Schwein::N,свіння,гахай
179,Hund::N,сабака,нохой
180,Katze::N,кошка,муур
181,Katze::N,кошка,мигуй
182,Bär::N,мядзведзь,баавгай
183,Eichhörnchen::N,вавёрка,хэрэм
184,Elch::N,лось,хандгай
185,Fuchs::N,ліса,үнэг
186,Hase::N,заяц,туулай
187,Maus::N,мыш,хулгана
188,Wolf::N,воўк,чоно
189,Vogel::N,птах,шувуу
190,Vogel::N,птушка,шувуу
191,Schwarm::N,чарада,сүрэг
192,Huhn::N,курыца,тахиа
193,Hahn::N,певень,эр тахиа
194,Gans::N,гусь,галуу
195,Adler::N,арол,бүргэд
196,Ente::N,качка,нугас
197,Eule::N,сава,ууль
198,Kranich::N,жораў,тогоруу
199,Kranich::N,журавель,тогоруу
200,Krähe::N,варона,хэрээ
201,Kuckuck::N,зязюля,хөхөө
202,Schwan::N,лебедзь,хун
203,Fisch::N,рыба,загас
204,Barsch::N,акунь,алгана
205,Hecht::N,шчупак,цурхай
206,Schlange[Tier]::N,змяя,могой
207,Wurm::N,чарвяк,өт
208,Wurm::N,чарвяк,хорхой
209,Spinne::N,павук,аалз
210,Ameise::N,мурашка,шоргоолж
211,Laus::N,вош,бөөс
212,Mücke::N,камар,шумуул
213,Fliege::N,муха,ялаа
214,Schmetterling::N,матыль,эрвээхэй
215,Beere::N,ягада,жимсгэнэ
216,Apfel::N,яблык,алим
217,Pilz::N,грыб,мөөг
218,Zwiebel::N,цыбуля,сонгино
219,Saat::N,семя,тариа
220,Korn::N,зерне,үр
221,Korn::N,зерне,мөхлөг
222,Heu::N,сена,өвс
223,Schale::N,шалупінне,хальс
224,Grube::N,яма,алам
225,Grube::N,яма,нүх
226,Falle::N,пастка,хавх
227,Falle::N,пастка,занга
228,Schlinge::N,сіло,урхи
229,Spur::N,след,мөр
230,Asche::N,попел,үнс
231,Dreck::N,бруд,хир
232,Eisen::N,жалеза,төмөр
233,Gold::N,золата,алт
234,Silber::N,сребра,мөнгө
235,Kohle::N,вугаль,нүүрс
236,Glas::N,шкло,шил
237,Lehm::N,гліна,шавар
238,Sand::N,пясок,элс
239,Mensch::N,чалавек,хүн
240,Mann::N,мужчына,эр
241,Mann::N,мужчына,эрэгтэй
242,Frau::N,жанчына,эмэгтэй
243,Frau::N,жанчына,хатагтай
244,Kind::N,дзіця,хүүхэд
245,Junge::N,хлопчык,хүү
246,Mädchen::N,дзяўчынка,охин
247,Mädchen::N,дзяўчынка,бүсгүй
248,Familie::N,сямʼя,айл
249,Großvater::N,дзядуля,өвгөн аав
250,Großmutter::N,бабуля,эмэг эх
251,Großmutter::N,бабуля,эмгээ
252,Eltern::N,бацькі,эцэг эх
253,Vater::N,бацька,аав
254,Vater::N,бацька,эцэг
255,Mutter::N,маці,эх
256,Mutter::N,маці,ээж
257,Sohn::N,сын,хүү
258,Tochter::N,дачка,охин
259,Bruder::N,брат,ах
260,Bruder::N,брат,дүү
261,Schwester::N,сястра,эгч
262,Schwester::N,сястра,охин дүү
263,Onkel::N,дзядзька,авга ах
264,Onkel::N,дзядзька,нагац ах
265,Tante::N,цётка,авга эгч
266,Tante::N,цётка,нагац эгч
267,Ehemann::N,муж,нөхөр
268,Ehefrau::N,жонка,эхнэр
269,Ehefrau::N,жонка,гэргий
270,Freude::N,радасць,баяр
271,Freude::N,радасць,баясгалан
272,Gelächter::N,смех,инээдэм
273,Glück::N,шчасце,жаргалан
274,Kummer::N,гора,гаслан
275,Wunsch::N,жаданне,ерөөл
276,Lust::N,цяга,дур
277,Lust::N,цяга,хүсэл
278,Geist::N,дух,оюун
279,Gedanke::N,думка,сэтгэл
280,Gedächtnis::N,памяць,ой
281,Gedächtnis::N,памяць,цээж
282,Verstand::N,розум,ухаан
283,Sinn::N,сэнс,утга
284,Grund::N,зачэпка,учир
285,Wahrheit::N,праўда,үнэн
286,Gespräch::N,размова,яриа
287,Märchen::N,казка,явган үлгэр
288,Erzählung::N,расказ,тууж
289,Erzählung::N,апавяданне,тууж
290,Nachricht::N,вестка,мэдээ
291,Nachricht::N,паведамленне,мэдээ
292,Neuigkeit::N,навіна,сонин
293,Name::N,імя,нэр
294,Rätsel::N,загадка,оньсого
295,Rede::N,прамова,хэлсэн үг
296,Sprache::N,мова,хэл
297,Stimme::N,голас,дуу
298,Wort::N,слова,үг
299,Zeichen::N,знак,тамга
300,Zeichen::N,знак,тэмдэг
301,Ruf::N,кліч,дуудлага
302,Lärm::N,шум,шуугиан
303,Lärm::N,шум,чимээ
304,Laut::N,гук,анир
305,Laut::N,гук,дуу
306,Ton::N,гучанне,авиа
307,Ton::N,гучанне,аялгуу
308,Lied::N,песня,дуу
309,Ruhe::N,спакой,энх
310,Ruhe::N,спакой,тайван
311,Leute::N,людзі,хүмүүс
312,Volk::N,народ,улс
313,Arbeit::N,праца,ажил
314,Arbeit::N,праца,хөдөлмөр
315,Arbeit::N,работа,ажил
316,Arbeit::N,работа,хөдөлмөр
317,Gast::N,госць,зочин
318,Gast::N,госць,айлчин
319,Geschenk::N,падарунак,бэлэг
320,Spiel::N,гульня,наадам
321,Spiel::N,гульня,тоглоом
322,Gesellschaft::N,таварыства,хамт байх
323,Hilfe::N,дапамога,тусламж
324,Freund::N,друг,найз
325,Freund::N,друг,нөхөр
326,Freund::N,сябар,найз
