,Concept_ID,hi,uk
0,Auge::N,आँख,око
1,Auge::N,चक्षु,око
2,Ohr::N,कान,вухо
3,Ohr::N,कर्ण,вухо
4,Nase::N,नाक,ніс
5,Nase::N,नासा,ніс
6,Mund::N,मुख,рот
7,Mund::N,मुँह,рот
8,Zahn::N,दंत,зуб
9,Zahn::N,दाँत,зуб
10,Zunge::N,जीभ,язик
11,Zunge::N,ज़बान,язик
12,Zunge::N,जिह्वा,язик
13,Lippe::N,ओंठ,губа
14,Lippe::N,होंठ,губа
15,Wange::N,गाल,щока
16,Wange::N,कपोल,щока
17,Gesicht::N,मुँह,обличчя
18,Gesicht::N,चेहरा,обличчя
19,Stirn::N,माथा,лоб
20,Stirn::N,मस्तक,лоб
21,Haar::N,बाल,волосся
22,Schnurrbart::N,मूँछें,вуса
23,Bart::N,दाढ़ी,борода
24,Kinn::N,चिबुक,підборіддя
25,Kiefer[Anatomie]::N,जबड़ा,щелепа
26,Kehle::N,गला,горло
27,Hals::N,गला,шия
28,Hals::N,गरदन,шия
29,Genick::N,गरदन,потилиця
30,Genick::N,ग्रीवा,потилиця
31,Kopf::N,सिर,голова
32,Kopf::N,शीर्ष,голова
33,Rücken::N,पीठ,спина
34,Bauch::N,उदर,живіт
35,Nabel::N,नाभि,пупок
36,Nabel::N,ढोंढी,пупок
37,Busen::N,कुच,груди
38,Busen::N,स्तन,груди
39,Brust::N,वक्ष,груди
40,Schulter::N,कंधा,плече
41,Schulter::N,स्कंध,плече
42,Arm::N,बाँह,рука
43,Arm::N,बाज़ू,рука
44,Ellenbogen::N,कुहनी,лікоть
45,Hand::N,हाथ,рука
46,Hand::N,हस्त,рука
47,Handfläche::N,हथेली,долоня
48,Finger::N,उँगली,палець
49,Finger::N,अँगुली,палець
50,Fingernagel::N,नख,ніготь
51,Fingernagel::N,नाख़ून,ніготь
52,Nagel[Anatomie]::N,नख,ніготь
53,Nagel[Anatomie]::N,नाख़ून,ніготь
54,Zeh::N,उँगली,палець на нозі
55,Zeh::N,पाँव की उँगली,палець на нозі
56,Fuß::N,चरण,нога
57,Fuß::N,पाँव,нога
58,Ferse::N,एड़ी,п’ятка
59,Knie::N,जानु,коліно
60,Knie::N,घुटना,коліно
61,Oberschenkel::N,उरु,стегно
62,Bein::N,टाँग,нога
63,Körper::N,तन,тіло
64,Körper::N,देह,тіло
65,Körper::N,शरीर,тіло
66,Haut::N,चर्म,шкіра
67,Haut::N,त्वचा,шкіра
68,Blut::N,लहू,кров
69,Blut::N,ख़ून,кров
70,Ader::N,रग,вена
71,Ader::N,शिरा,вена
72,Sehne::N,कंडरा,сухожилля
73,Sehne::N,स्नायु,сухожилля
74,Knochen::N,अस्थि,кістка
75,Gehirn::N,दिमाग़,мозок
76,Gehirn::N,मस्तिष्क,мозок
77,Herz::N,दिल,серце
78,Herz::N,हृदय,серце
79,Magen::N,मेदा,шлунок
80,Magen::N,अमाशय,шлунок
81,Leber::N,जिगर,печінка
82,Leber::N,यकृत्,печінка
83,Atem::N,दम,дихання
84,Atem::N,साँस,дихання
85,Atem::N,श्वास,дихання
86,Hunger::N,भूख,голод
87,Hunger::N,क्षुधा,голод
88,Träne::N,आँसू,сльоза
89,Träne::N,अश्रु,сльоза
90,Geschmack::N,स्वाद,смак
91,Geschmack::N,ज़ायक़ा,смак
92,Geruch::N,बू,запах
93,Geruch::N,गंध,запах
94,Schlaf::N,नींद,сон
95,Schlaf::N,नींद,сплячка
96,Schlaf::N,निद्रा,сон
97,Schlaf::N,निद्रा,сплячка
98,Traum::N,सपना,сон
99,Traum::N,स्वप्न,сон
100,Himmel::N,आकाश,небо
101,Himmel::N,आसमान,небо
102,Sonne::N,रवि,сонце
103,Sonne::N,सूरज,сонце
104,Sonne::N,सूर्य,сонце
105,Mond::N,चाँद,місяць
106,Mond::N,चंद्र,місяць
107,Stern::N,तारा,зірка
108,Stern::N,सितारा,зірка
109,Luft::N,हवा,повітря
110,Luft::N,वायु,повітря
111,Wind::N,पाद,вітер
112,Welle::N,लहर,хвиля
113,Welle::N,तरंग,хвиля
114,Wasser::N,जल,вода
115,Wasser::N,पानी,вода
116,Stein::N,पत्थर,камінь
117,Boden::N,मिट्टी,ґрунт
118,Erde::N,भूमि,земля
119,Erde::N,ज़मीन,земля
120,Staub::N,धूल,пил
121,Rauch::N,धूआँ,дим
122,Rauch::N,धुम्र,дим
123,Funke::N,चिनगारी,іскра
124,Funke::N,स्फुलिंग,іскра
125,Feuer::N,आग,вогонь
126,Feuer::N,आतिश,вогонь
127,Feuer::N,अग्नि,вогонь
128,Licht::N,रोशनी,світло
129,Licht::N,प्रकाश,світло
130,Schatten::N,छाया,тінь
131,Schatten::N,परछाई,тінь
132,Wetter::N,ऋतु,погода
133,Wetter::N,मौसम,погода
134,Nebel::N,धुँध,туман
135,Nebel::N,कुहरा,туман
136,Wolke::N,मेघ,хмара
137,Wolke::N,अभ्र,хмара
138,Regen::N,मेंह,дощ
139,Regen::N,बारिश,дощ
140,Schnee::N,हिम,сніг
141,Schnee::N,बर्फ़,сніг
142,Eis::N,हिम,лід
143,Eis::N,बर्फ़,лід
144,Frost::N,ठंड,мороз
145,Kälte::N,सर्दी,холод
146,Kälte::N,शीतलता,холод
147,Hitze::N,ताप,жар
148,Hitze::N,गरमी,жар
149,Raureif::N,पाला,іній
150,Regenbogen::N,इंद्र-धनुष,райдуга
151,Donner::N,गरज,грім
152,Donner::N,मेघ-गर्जन,грім
153,Strömung::N,बहाव,струмина
154,Strömung::N,प्रवाह,струмина
155,Tropfen::N,बूँद,крапля
156,Schaum::N,झाग,піна
157,Schmutz::N,गंद,бруд
158,Schmutz::N,कीचड़,бруд
159,See::N,झील,озеро
160,See::N,सरोवर,озеро
161,Sumpf::N,दलदल,драговина
162,Sumpf::N,धँसान,драговина
163,Moor::N,झाबर,болото
164,Moor::N,धँसान,болото
165,Wiese::N,घास-स्थल,луг
166,Wiese::N,घास-स्थल,лука
167,Wald::N,जंगल,ліс
168,Hügel::N,टीला,горб
169,Hügel::N,पहाड़,горб
170,Anhöhe::N,टीला,височина
171,Anhöhe::N,पहाड़ी,височина
172,Berg::N,पहाड़,гора
173,Gipfel::N,शिखर,вершина
174,Höhle::N,गुहा,печера
175,Höhle::N,गुफ़ा,печера
176,Abhang::N,ढाल,схил
177,Abhang::N,ढलान,схил
178,Quelle::N,चश्मा,джерело
179,Bach::N,सोता,струмок
180,Bach::N,नदिका,струмок
181,Fluss::N,नदी,річка
182,Fluss::N,सरिता,річка
183,Ufer::N,तट,берег
184,Ufer::N,किनारा,берег
185,Küste::N,समुद्र-तट,узбережжя
186,Festland::N,महाद्वीप,суша
187,Meer::N,सागर,море
188,Meer::N,समुद्र,море
189,Bucht::N,खाड़ी,бухта
190,Bucht::N,खाड़ी,затока
191,Insel::N,टापू,острів
192,Insel::N,द्वीप,острів
193,Blume::N,फूल,квітка
194,Blume::N,पुष्प,квітка
195,Gras::N,घास,трава
196,Wurzel::N,मूल,корінь
197,Baum::N,पेड़,дерево
198,Baum::N,वृक्ष,дерево
199,Stamm::N,धड़,стовбур
200,Rinde::N,छाल,кора
201,Rinde::N,वल्कल,кора
202,Ast::N,डाल,гілка
203,Ast::N,शाखा,гілка
204,Zweig::N,टहनी,галузь
205,Blatt::N,पत्र,лист
206,Blatt::N,पत्ता,лист
207,Birke::N,भूर्ज,береза
