,Concept_ID,ja,sv
0,Auge::N,目,öga
1,Ohr::N,耳,öra
2,Nase::N,鼻,näsa
3,Mund::N,口,mun
4,Zahn::N,歯,tand
5,Zunge::N,舌,tunga
6,Lippe::N,唇,läpp
7,Wange::N,頬,kind
8,Gesicht::N,顔,syn
9,Gesicht::N,顔,ansikte
10,Stirn::N,額,panna
11,Haar::N,髪,hår
12,Schnurrbart::N,口髭,mustasch
13,Bart::N,髭,skägg
14,Kinn::N,顎,haka
15,Kiefer[Anatomie]::N,顎,käke
16,Kehle::N,喉,strupe
17,Hals::N,首,hals
18,Genick::N,首,nacke
19,Kopf::N,頭,huvud
20,Rücken::N,背中,rygg
21,Bauch::N,腹,buk
22,Bauch::N,腹,mage
23,Bauch::N,お腹,buk
24,Bauch::N,お腹,mage
25,Nabel::N,へそ,navel
26,Busen::N,乳房,barm
27,Brust::N,胸,bröst
28,Schulter::N,肩,skuldra
29,Arm::N,腕,arm
30,Ellenbogen::N,肘,armbåge
31,Hand::N,手,hand
32,Handfläche::N,手のひら,handflata
33,Finger::N,指,finger
34,Fingernagel::N,爪,fingernagel
35,Nagel[Anatomie]::N,爪,nagel
36,Zeh::N,足の指,tå
37,Fuß::N,足,fot
38,Ferse::N,かかと,häl
39,Knie::N,膝,knä
40,Oberschenkel::N,上腿,lår
41,Bein::N,足,ben
42,Körper::N,体,kropp
43,Haut::N,皮膚,hud
44,Haut::N,皮膚,skinn
45,Blut::N,血,blod
46,Ader::N,血管,åder
47,Sehne::N,腱,sena
48,Knochen::N,骨,ben
49,Gehirn::N,脳,hjärna
50,Herz::N,心,hjärta
51,Herz::N,心臓,hjärta
52,Magen::N,胃,mage
53,Leber::N,肝臓,lever
54,Atem::N,息,anda
55,Atem::N,息,andedräkt
56,Atem::N,呼吸,anda
57,Atem::N,呼吸,andedräkt
58,Hunger::N,空腹,svält
59,Hunger::N,空腹,hunger
60,Träne::N,涙,tår
61,Geschmack::N,味,smak
62,Geruch::N,匂い,lukt
63,Schlaf::N,睡眠,sömn
64,Traum::N,夢,dröm
65,Himmel::N,空,himmel
66,Sonne::N,太陽,sol
67,Mond::N,月,måne
68,Stern::N,星,stjärna
69,Luft::N,空気,luft
70,Wind::N,風,vind
71,Welle::N,波,våg
72,Welle::N,波,bölja
73,Wasser::N,水,vatten
74,Stein::N,石,sten
75,Boden::N,土地,mark
76,Erde::N,土,jord
77,Staub::N,埃,damm
78,Rauch::N,煙,rök
79,Funke::N,火花,gnista
80,Feuer::N,火,eld
81,Licht::N,光,ljus
82,Schatten::N,陰,skugga
83,Wetter::N,天気,väder
84,Nebel::N,霧,dimma
85,Nebel::N,霧,töcken
86,Wolke::N,雲,sky
87,Wolke::N,雲,moln
88,Regen::N,雨,regn
89,Schnee::N,雪,snö
90,Eis::N,氷,is
91,Frost::N,霜,frost
92,Kälte::N,寒さ,köld
93,Hitze::N,暑さ,hetta
94,Raureif::N,霧氷,rimfrost
95,Regenbogen::N,虹,regnbåge
96,Donner::N,雷,åska
97,Donner::N,雷,dunder
98,Strömung::N,流れ,strömning
99,Tropfen::N,滴,dropper
100,Schaum::N,泡,skum
101,Schmutz::N,汚れ,lort
102,Schmutz::N,汚れ,smuts
103,See::N,湖,sjö
104,Sumpf::N,沼,träsk
105,Moor::N,湿原,myr
106,Moor::N,湿原,mosse
107,Wiese::N,草原,äng
108,Wald::N,森,skog
109,Hügel::N,丘,höjd
110,Hügel::N,丘,kulle
111,Anhöhe::N,高み,höjd
112,Anhöhe::N,高み,backe
113,Berg::N,山,berg
114,Berg::N,山,fjäll
115,Gipfel::N,頂上,topp
116,Höhle::N,洞窟,håla
117,Höhle::N,洞窟,grotta
118,Abhang::N,斜面,slänt
119,Abhang::N,斜面,sluttning
120,Quelle::N,泉,källa
121,Bach::N,小川,bäck
122,Fluss::N,川,älv
123,Fluss::N,川,flod
124,Ufer::N,岸,strand
125,Küste::N,海岸,kust
126,Festland::N,陸,fastland
127,Meer::N,海,hav
128,Bucht::N,湾,vik
129,Bucht::N,湾,bukt
130,Insel::N,島,ö
131,Blume::N,花,blomma
132,Blume::N,花,blomster
133,Gras::N,草,gräs
134,Wurzel::N,根,rot
135,Baum::N,木,träd
136,Stamm::N,幹,stam
137,Rinde::N,皮層,bark
138,Ast::N,枝,gren
139,Zweig::N,小枝,kvist
140,Blatt::N,葉,löv
141,Blatt::N,葉,blad
142,Birke::N,樺,björk
143,Kiefer[Baum]::N,松,tall
144,Weide[Baum]::N,柳,pil
145,Weide[Baum]::N,柳,vide
146,Tanne::N,樅,gran
147,Horn::N,角,horn
148,Feder::N,羽根,fjäder
149,Fell::N,毛皮,fäll
150,Fell::N,毛皮,skinn
151,Flügel::N,羽,vinge
152,Klaue::N,鉤爪,klöv
153,Kralle::N,爪,klo
154,Schwanz::N,尻尾,svans
155,Schwanz::N,尻尾,stjärt
156,Ei::N,卵,ägg
157,Nest::N,巣,rede
158,Nest::N,巣,näste
159,Bau::N,穴,bo
160,Tier::N,動物,djur
161,Herde::N,群れ,flock
162,Kuh::N,牛,ko
163,Bulle::N,雄牛,tjur
164,Pferd::N,馬,häst
165,Schaf::N,羊,får
166,Schwein::N,豚,svin
167,Hund::N,犬,hund
168,Katze::N,猫,katt
169,Bär::N,熊,björn
170,Eichhörnchen::N,栗鼠,ekorre
171,Elch::N,ヘラジカ,älg
172,Fuchs::N,狐,räv
173,Hase::N,兎,hare
174,Maus::N,鼠,mus
175,Wolf::N,狼,varg
176,Vogel::N,鳥,fågel
177,Schwarm::N,群れ,svärm
178,Huhn::N,鶏,höns
179,Hahn::N,雄鶏,tupp
180,Gans::N,ガチョウ,gås
181,Adler::N,鷲,örn
182,Ente::N,鴨,anka
183,Eule::N,フクロウ,uggla
184,Kranich::N,鶴,trana
185,Krähe::N,烏,kråka
186,Kuckuck::N,郭公,gök
187,Schwan::N,白鳥,svan
188,Fisch::N,魚,fisk
189,Barsch::N,鱸,abborre
190,Hecht::N,川魳,gädda
191,Schlange[Tier]::N,蛇,orm
192,Wurm::N,虫,mask
193,Spinne::N,蜘蛛,spindel
194,Ameise::N,蟻,myra
195,Laus::N,虱,lus
196,Mücke::N,蚊,mygga
197,Fliege::N,蝿,fluga
198,Schmetterling::N,蝶,fjäril
199,Beere::N,漿果,bär
200,Apfel::N,林檎,äpple
201,Pilz::N,茸,svamp
202,Zwiebel::N,玉葱,lök
203,Saat::N,種,sådd
204,Korn::N,粒,korn
205,Heu::N,干し草,hö
206,Schale::N,皮,skal
207,Grube::N,穴,grop
208,Falle::N,わな,fälla
209,Schlinge::N,輪,snara
210,Spur::N,跡,spår
211,Asche::N,灰,aska
212,Dreck::N,泥,lort
213,Eisen::N,鉄,järn
214,Gold::N,金,guld
215,Silber::N,銀,silver
216,Kohle::N,炭,kol
217,Glas::N,ガラス,glas
218,Lehm::N,ローム,lera
219,Sand::N,砂,sand
220,Mensch::N,人,människa
221,Mann::N,男,man
222,Mann::N,男性,man
223,Frau::N,女,kvinna
224,Frau::N,女性,kvinna
225,Kind::N,子,barn
226,Kind::N,子供,barn
227,Junge::N,男の子,pojke
228,Mädchen::N,女の子,flicka
229,Familie::N,家族,familj
230,Großvater::N,祖父,morfar
231,Großvater::N,おじいさん,morfar
232,Großmutter::N,祖母,farmor
233,Großmutter::N,おばあさん,farmor
234,Eltern::N,親,föräldrar
235,Eltern::N,両親,föräldrar
236,Vater::N,父,far
237,Vater::N,お父さん,far
238,Mutter::N,母,mor
239,Mutter::N,お母さん,mor
240,Sohn::N,息子,son
241,Sohn::N,息子さん,son
242,Tochter::N,娘,dotter
243,Tochter::N,お嬢さん,dotter
244,Bruder::N,弟,bror
245,Schwester::N,妹,syster
246,Onkel::N,伯父,morbror
247,Onkel::N,伯父さん,morbror
248,Tante::N,叔母,tant
249,Tante::N,叔母さん,tant
250,Ehemann::N,夫,äkta man
251,Ehemann::N,主人,äkta man
252,Ehefrau::N,妻,hustru
253,Ehefrau::N,奥さん,hustru
254,Freude::N,喜び,fröjd
255,Freude::N,喜び,glädje
256,Gelächter::N,笑い,åtlöje
257,Glück::N,幸せ,lycka
258,Kummer::N,悩み,sorg
259,Wunsch::N,希望,önskan
260,Lust::N,気,lust
261,Geist::N,精神,ande
262,Gedanke::N,考え,tanke
263,Gedächtnis::N,記憶,minne
264,Verstand::N,理解力,förstånd
265,Sinn::N,意味,mening
266,Sinn::N,意味,betydelse
267,Grund::N,理由,skäl
268,Grund::N,理由,grund
269,Wahrheit::N,真実,sanning
270,Gespräch::N,会話,samtal
271,Märchen::N,童話,saga
272,Erzählung::N,物語,berättelse
273,Nachricht::N,報告,meddelande
274,Neuigkeit::N,ニュース,nyhet
275,Name::N,名前,namn
276,Rätsel::N,謎,gåta
277,Rede::N,演説,tal
278,Sprache::N,言語,språk
279,Stimme::N,声,stämma
280,Wort::N,言葉,ord
281,Zeichen::N,記号,tecken
282,Ruf::N,呼び声,rop
283,Lärm::N,騒音,bråk
284,Lärm::N,騒音,oväsen
285,Laut::N,音,ljud
286,Ton::N,音,ton
287,Lied::N,歌,sång
288,Ruhe::N,静けさ,ro
289,Ruhe::N,静けさ,lugn
290,Leute::N,人々,folk
291,Volk::N,民族,folk
292,Arbeit::N,仕事,arbete
293,Gast::N,客,gäst
294,Geschenk::N,贈り物,gåva
295,Geschenk::N,贈り物,present
296,Spiel::N,遊び,lek
297,Spiel::N,遊び,spel
298,Gesellschaft::N,社会,sällskap
299,Hilfe::N,援助,hjälp
300,Freund::N,友達,vän
301,Kamerad::N,同志,kamrat
302,Angelegenheit::N,件,ärende
303,Angelegenheit::N,件,angelägenhet
304,Anzahl::N,数,antal
305,Art::N,種類,art
306,Art::N,種類,slag
307,Stück::N,部分,stycke
308,Teil::N,部分,del
309,Hälfte::N,半分,halva
310,Kreis::N,円,krets
311,Kreis::N,円,cirkel
312,Kreuz::N,十字,kors
313,Kreuz::N,十字,kryss
314,Linie::N,線,linje
315,Strich::N,線,streck
316,Abstand::N,距離,avstånd
317,Entfernung::N,距離,avstånd
318,Gegend::N,辺,trakt
319,Gegend::N,地域,trakt
320,Platz::N,ゆとり,plats
321,Ort::N,所,plats
322,Ort::N,所,ställe
323,Ort::N,場所,plats
324,Ort::N,場所,ställe
325,Seite::N,横,sida
326,Mitte::N,真ん中,mitt
327,Gegenstand::N,物件,föremål
328,Sache::N,物,sak
329,Rand::N,端,rand
330,Kante::N,縁,kant
331,Ecke::N,角,vrå
332,Ecke::N,角,hörn
333,Spitze::N,先頭,spets
334,Ende::N,端,ända
335,Loch::N,穴,hål
336,Winkel::N,片隅,vinkel
337,Muster::N,模様,mönster
338,Größe::N,大きさ,storlek
339,Länge::N,長さ,längd
340,Höhe::N,高さ,höjd
341,Gewicht::N,重さ,tyngd
342,Menge::N,量,mängd
343,Haufen::N,堆積,hög
344,Reihe::N,並び,rad
345,Boot::N,ボート,båt
346,Ruder::N,オール,åra
347,Schlitten::N,そり,släde
348,Ski::N,スキー,skida
349,Lagerfeuer::N,篝火,lägereld
350,Last::N,荷物,last
351,Last::N,荷物,börda
352,Gang::N,歩み,gång
353,Schritt::N,歩,steg
354,Norden::N,北,norr
355,Süden::N,南,söder
356,Westen::N,西,väster
357,Osten::N,東,öster
358,Holz::N,木,trä
359,Holz::N,木材,trä
360,Brett::N,板,bräda
361,Platte::N,盤,platta
362,Stütze::N,支柱,stöd
363,Stütze::N,支柱,stötta
364,Stange::N,棒,stång
365,Stock::N,杖,käpp
366,Stock::N,杖,pinne
367,Stab::N,棒,stav
368,Rohr::N,管,rör
369,Haus::N,家,hus
370,Heim::N,家,hem
371,Ofen::N,ストーブ,ugn
372,Fußboden::N,床,golv
373,Tisch::N,机,bord
374,Stuhl::N,椅子,stol
375,Wiege::N,揺籃,vagga
376,Bett::N,ベッド,säng
377,Regal::N,棚,hylla
378,Kiste::N,箱,låda
379,Fenster::N,窓,fönster
380,Tür::N,戸,dörr
381,Tür::N,ドア,dörr
382,Tor::N,門,port
383,Zaun::N,垣根,staket
384,Zaun::N,垣根,stängsel
385,Dach::N,屋根,tak
386,Leiter::N,梯子,stege
387,Besen::N,ほうき,kvast
388,Spaten::N,スコップ,spade
389,Schaufel::N,シャベル,skovel
390,Schaufel::N,シャベル,skyffel
391,Gabel::N,フォーク,gaffel
392,Löffel::N,スプーン,sked
393,Messer::N,ナイフ,kniv
394,Nagel::N,釘,spik
395,Netz::N,網,nät
396,Haken::N,鉤,krok
397,Haken::N,フック,krok
398,Griff::N,取っ手,tag
399,Griff::N,取っ手,handtag
400,Schloss::N,錠,las
401,Bild::N,絵,bild
402,Figur::N,像,figur
403,Puppe::N,人形,docka
404,Beutel::N,袋,påse
405,Bündel::N,束,bunt
406,Bündel::N,束,knippa
407,Bündel::N,包み,bunt
408,Bündel::N,包み,knippa
