,Concept_ID,mdf,ga
0,Auge::N,сельме,súil
1,Ohr::N,пиле,cluas
2,Nase::N,шалхка,soc
3,Mund::N,курга,béal
4,Zahn::N,пей,fiacail
5,Zunge::N,кяль,teanga
6,Lippe::N,търва́,liopa
7,Wange::N,щёка,grua
8,Wange::N,щёка,leiceann
9,Gesicht::N,шама,éadan
10,Gesicht::N,шама,aghaidh
11,Stirn::N,коня,baithis
12,Stirn::N,коня,clár éadain
13,Haar::N,шя́ярь,gruaig
14,Schnurrbart::N,уса́,croiméal
15,Bart::N,сакал,féasóg
16,Kinn::N,ула,smig
17,Kiefer[Anatomie]::N,саласка,giall
18,Kehle::N,кълдома,scornach
19,Kehle::N,кърга́парь,scornach
20,Hals::N,сялдаз,muinéal
21,Genick::N,шовонь,baic
22,Kopf::N,пря,ceann
23,Rücken::N,копорь,droim
24,Bauch::N,пеке,bolg
25,Nabel::N,по́кон,imleacán
26,Busen::N,потя,cíoch
27,Brust::N,мяште,brollach
28,Schulter::N,лафту,gualainn
29,Arm::N,кядь,lámh
30,Ellenbogen::N,кенерьба́карь,uillinn
31,Hand::N,кядь,lámh
32,Handfläche::N,кядьлапш,bos
33,Finger::N,сур,méar
34,Fingernagel::N,кенже,ionga
35,Nagel[Anatomie]::N,кенже,ionga
36,Zeh::N,пильгосу́р,ladhar
37,Fuß::N,пильге,cos
38,Fuß::N,пильге,troigh
39,Fuß::N,пильгелапа,cos
40,Fuß::N,пильгелапа,troigh
41,Ferse::N,кочкяря,sáil
42,Knie::N,эль,glúin
43,Knie::N,пълма́нжа,glúin
44,Oberschenkel::N,пильгепукша,ceathrú
45,Bein::N,пильге,cos
46,Körper::N,ро́нга,corp
47,Körper::N,ро́нга,colainn
48,Körper::N,по́нда,corp
49,Körper::N,по́нда,colainn
50,Haut::N,киське,cneas
51,Haut::N,киське,craiceann
52,Blut::N,вер,fuil
53,Ader::N,сан,
54,Ader::N,верза́н,
55,Sehne::N,коське сан,teannán
56,Sehne::N,коське сан,féitheog
57,Knochen::N,пакарь,cnámh
58,Gehirn::N,уй,inchinn
59,Herz::N,седи,croí
60,Magen::N,коткърдазь,bolg
61,Magen::N,коткърдазь,goile
62,Leber::N,макса,ae
63,Atem::N,лекома,anáil
64,Atem::N,ваймонь тарксема,anáil
65,Hunger::N,вачеши,ocras
66,Träne::N,сельмове́дь,deoir
67,Geschmack::N,таньф,blas
68,Geruch::N,шине,boladh
69,Schlaf::N,удома́,suan
70,Schlaf::N,удома́,codladh
71,Traum::N,он,taibhreamh
72,Himmel::N,менель,spéir
73,Sonne::N,ши,grian
74,Mond::N,ков,ré
75,Mond::N,ков,gealach
76,Stern::N,тяште,rinn
77,Stern::N,тяште,réalta
78,Luft::N,кожф,aer
79,Wind::N,варма,gaoth
80,Welle::N,тавла,tonn
81,Wasser::N,ведь,uisce
82,Stein::N,кев,cloch
83,Boden::N,мода,talamh
84,Boden::N,потмакс,talamh
85,Erde::N,мода,cré
86,Erde::N,мода,ithir
87,Erde::N,мастор,cré
88,Erde::N,мастор,ithir
