,Concept_ID,os,zh
0,Auge::N,цӕст,眼睛
1,Ohr::N,хъус,耳朵
2,Nase::N,фындз,鼻子
3,Mund::N,дзых,嘴
4,Zahn::N,дӕндаг,牙齿
5,Zunge::N,ӕвзаг,舌头
6,Lippe::N,был,嘴唇
7,Wange::N,рус,面颊
8,Wange::N,уадул,面颊
9,Wange::N,ӕхсӕрфарс,面颊
10,Gesicht::N,цӕсгом,脸
11,Stirn::N,ных,额
12,Haar::N,хил,头发
13,Schnurrbart::N,рихи,髭须
14,Bart::N,зачъе,胡子
15,Kinn::N,роцъо,下巴
16,Kiefer[Anatomie]::N,ӕфсӕр,颌
17,Kehle::N,хъуыр,嗓子
18,Hals::N,къубал,颈
19,Genick::N,къӕбут,后颈
20,Kopf::N,сӕр,头
21,Rücken::N,фӕсонтӕ,背
22,Bauch::N,гуыбын,肚子
23,Nabel::N,бикъ,肚脐
24,Busen::N,дзидзи,胸脯
25,Brust::N,риу,胸
26,Schulter::N,уӕхск,肩膀
27,Arm::N,цонг,臂膀
28,Ellenbogen::N,рæмбын,肘
29,Hand::N,къух,手
30,Handfläche::N,армытъӕпӕн,手掌
31,Finger::N,ӕнруылдз,手指
32,Fingernagel::N,ных,指甲
33,Nagel[Anatomie]::N,ных,指甲
34,Zeh::N,къух,脚趾
35,Fuß::N,фад,脚
36,Ferse::N,зӕвӕт,后跟
37,Knie::N,уӕраг,膝
38,Oberschenkel::N,агъд,大腿
39,Bein::N,зӕнг,腿
40,Körper::N,буар,身体
41,Haut::N,царм,皮肤
42,Blut::N,туг,血
43,Ader::N,дадзин,血管
44,Ader::N,тугдадзин,血管
45,Sehne::N,хъиутæ,腱
46,Sehne::N,нуар,腱
47,Knochen::N,стӕг,骨
48,Gehirn::N,магъз,脑
49,Herz::N,зӕрдӕ,心
50,Magen::N,ахсӕн,胃
51,Leber::N,игæр,肝
52,Atem::N,улӕфт,呼吸
53,Hunger::N,стонг,饿
54,Träne::N,цæссыг,眼泪
55,Geschmack::N,ад,味道
56,Geruch::N,смаг,气味
57,Schlaf::N,хуыссӕг,睡眠
58,Traum::N,фын,梦
59,Himmel::N,арв,天空
60,Himmel::N,уӕларв,天空
61,Sonne::N,хур,太阳
62,Mond::N,мӕй,月亮
63,Stern::N,стъалы,星
64,Luft::N,уӕлдӕф,空气
65,Wind::N,дымгӕ,风
66,Welle::N,уылӕн,波
67,Wasser::N,дон,水
68,Stein::N,дур,石头
69,Boden::N,зӕхх,地面
70,Erde::N,сыджыт,地
71,Staub::N,рыг,灰尘
72,Rauch::N,фӕздӕг,烟
73,Funke::N,цӕхӕр,火花
74,Feuer::N,зынг,火
75,Licht::N,рухс,光
76,Schatten::N,аууон,影子
77,Wetter::N,боныхъӕд,天气
78,Nebel::N,мигъ,雾
79,Wolke::N,ӕврагъ,云
80,Regen::N,уарын,雨
81,Schnee::N,мит,雪
82,Eis::N,их,冰
83,Frost::N,ихæн,霜冻
84,Kälte::N,уазал,寒冷
85,Hitze::N,ӕнтӕф,炎热
86,Raureif::N,халас,霜
87,Regenbogen::N,арвырон,虹
88,Regenbogen::N,арвырдын,虹
89,Donner::N,æрвнæрын,雷
90,Strömung::N,цыд,水流
91,Tropfen::N,æртах,滴
92,Schaum::N,фынк,泡沫
93,Schmutz::N,цъыф,赃物
94,See::N,цад,湖
95,Sumpf::N,цъыфдзаст,沼泽
96,Moor::N,цъыфдзаст,沼泽
97,Wiese::N,уыгӕрдӕн,草地
98,Wald::N,хъӕд,森林
99,Hügel::N,обау,丘陵
100,Hügel::N,къуыбыр,丘陵
101,Anhöhe::N,уæлвæз,山丘
102,Anhöhe::N,уæлхох,山丘
103,Berg::N,хох,山
104,Gipfel::N,цъупп,峰
105,Höhle::N,лӕгӕт,洞穴
106,Abhang::N,къул,斜坡
107,Quelle::N,суадон,泉
108,Bach::N,мӕсчъыдон,溪
109,Fluss::N,дон,河流
110,Fluss::N,цӕугӕдон,河流
111,Ufer::N,был,岸
112,Küste::N,донбыл,海岸
113,Festland::N,сурзæхх,大陆
114,Meer::N,денджыз,海
115,Bucht::N,донбакæлæн,海湾
116,Insel::N,сакъадах,岛
117,Blume::N,дидинӕг,花
118,Gras::N,кӕрдӕг,草
119,Wurzel::N,уидаг,根
120,Baum::N,бӕлас,树
121,Stamm::N,хӕтӕл,树干
122,Rinde::N,цъар,树皮
123,Ast::N,арх,树枝
124,Zweig::N,къалиу,树枝
125,Blatt::N,сыф,叶子
126,Birke::N,бæрз,桦木
127,Kiefer[Baum]::N,нӕзы,松树
128,Weide[Baum]::N,хӕрис,柳树
129,Tanne::N,наз,冷杉
130,Horn::N,сыкъа,角
131,Feder::N,сис,羽毛
132,Fell::N,царм,皮毛
133,Flügel::N,базыр,翅膀
134,Klaue::N,ных,爪子
135,Kralle::N,дзӕмбы,爪子
136,Schwanz::N,къӕдзил,尾巴
137,Ei::N,айк,蛋
138,Nest::N,ахстон,巢
139,Bau::N,хуынкъ,穴
140,Tier::N,сырд,动物
141,Tier::N,цӕрӕгой,动物
142,Herde::N,дзуг,群
143,Herde::N,рӕгъау,群
144,Kuh::N,хъуг,母牛
145,Bulle::N,гал,公牛
146,Pferd::N,бӕх,马
147,Schaf::N,фыс,羊
148,Schwein::N,хуы,猪
149,Hund::N,куыдз,狗
150,Katze::N,гӕды,猫
151,Bär::N,арс,熊
152,Eichhörnchen::N,æхсæрæг,松鼠
153,Elch::N,цæгатаг саг,麋鹿
154,Fuchs::N,рувас,狐狸
155,Hase::N,тæрхъус,兔子
156,Maus::N,мыст,老鼠
157,Wolf::N,бирӕгъ,狼
158,Vogel::N,цъиу,鸟
159,Vogel::N,маргъ,鸟
160,Schwarm::N,бал,群
161,Huhn::N,карк,鸡
162,Hahn::N,уасӕг,公鸡
163,Gans::N,хъаз,鹅
164,Adler::N,цӕргӕс,鹰
165,Ente::N,ацц,鸭
166,Eule::N, уыг,猫头鹰
167,Eule::N,сидахъ,猫头鹰
168,Kranich::N,зырнæг,鹤
169,Kranich::N,хърихъупп,鹤
170,Krähe::N,халон,乌鸦
171,Kuckuck::N,гаккук,布谷鸟
172,Schwan::N,доныхъаз,天鹅
173,Fisch::N,кӕсаг,鱼
174,Barsch::N,окунь,鲈鱼
175,Hecht::N,хихор кӕсаг,狗鱼
176,Schlange[Tier]::N,калм,蛇
177,Wurm::N,зулкъ,蠕虫
178,Wurm::N,къуыдыргалм,蠕虫
179,Spinne::N,хӕлуарӕг,蜘蛛
180,Ameise::N,мæлдзыг,蚂蚁
181,Laus::N,сыст,虱子
182,Mücke::N,къогъо,蚊子
183,Fliege::N,бындз,苍蝇
184,Schmetterling::N,гæлæбу,蝴蝶
185,Beere::N,гагадыргъ,将果
186,Apfel::N,фӕткъуы,苹果
187,Pilz::N,зокъо,蘑菇
188,Pilz::N,къозо,蘑菇
189,Zwiebel::N,хъӕдындз,洋葱
190,Saat::N,тауинаг,种子
191,Saat::N,мыггаг,种子
192,Korn::N,мыггаг,谷粒
193,Korn::N,тауинаг,谷粒
194,Heu::N,хос,干草
195,Schale::N,цъар,壳
196,Grube::N,урм,坑
197,Grube::N,къахт,坑
198,Grube::N,дзыхъхъ,坑
199,Falle::N,цъысым,圈套
200,Falle::N,къӕппӕг,圈套
201,Schlinge::N,цасм,活扣
202,Spur::N,фæд,踪迹
