,Concept_ID,mrj,se
0,Auge::N,сӹнзӓ,tjelmie
1,Auge::N,сӹнзӓ,tjalmme
2,Auge::N,сӹнзӓ,čalbmi
3,Auge::N,сӹнзӓ,čalme
4,Auge::N,сӹнзӓ,čâ´lmm
5,Auge::N,сӹнзӓ,ча̄лльм
6,Ohr::N,пӹлӹш,bieljie
7,Ohr::N,пӹлӹш,biellje
8,Ohr::N,пӹлӹш,beallji
9,Ohr::N,пӹлӹш,pelji
10,Ohr::N,пӹлӹш,pe´llj
11,Ohr::N,пӹлӹш,пе̄лльй
12,Nase::N,нер,njuenie
13,Nase::N,нер,njunnje
14,Nase::N,нер,njunni
15,Nase::N,нер,njuṇe
16,Nase::N,нер,njuu´nn
17,Nase::N,нер,нюннҍ
18,Mund::N,ышма,njaelmie
19,Mund::N,ышма,njálmme
20,Mund::N,ышма,njálbmi
21,Mund::N,ышма,njälmi
22,Mund::N,ышма,njä´lmm
23,Mund::N,ышма,ня̄лльм
24,Zahn::N,пӱ,baenie
25,Zahn::N,пӱ,bádne
26,Zahn::N,пӱ,bátni
27,Zahn::N,пӱ,pääṇi
28,Zahn::N,пӱ,pää´nn
29,Zahn::N,пӱ,па̄ннҍ
30,Zunge::N,йӹлмӹ,njoektjeme
31,Zunge::N,йӹлмӹ,njuovtjav
32,Zunge::N,йӹлмӹ,njuovčča
33,Zunge::N,йӹлмӹ,njuovčâ
34,Zunge::N,йӹлмӹ,njuhččâm
35,Zunge::N,йӹлмӹ,нюхчем
36,Lippe::N,тӹрвӹ,bangseme
37,Lippe::N,тӹрвӹ,njálmmerabdda
38,Lippe::N,тӹрвӹ,bavssa
39,Lippe::N,тӹрвӹ,poovsâ
40,Lippe::N,тӹрвӹ,põõus
41,Lippe::N,тӹрвӹ,пэ̄кс
42,Wange::N,шӹргӹ,skiehrie
43,Wange::N,шӹргӹ,nierra
44,Wange::N,шӹргӹ,muohtu
45,Wange::N,шӹргӹ,nieṛâ
46,Wange::N,шӹргӹ,njiõrr
47,Wange::N,шӹргӹ,нӣрр
48,Gesicht::N,лицӓ,ååredæjja
49,Gesicht::N,лицӓ,muohto
50,Gesicht::N,лицӓ,muođut
51,Gesicht::N,лицӓ,ámadadju
52,Gesicht::N,лицӓ,muáđuh
53,Gesicht::N,лицӓ,muâđ
54,Gesicht::N,лицӓ,ка̄ссв
55,Stirn::N,лепкӓ,gaalloe
56,Stirn::N,лепкӓ,gállo
57,Stirn::N,лепкӓ,gállu
58,Stirn::N,лепкӓ,kállu
59,Stirn::N,лепкӓ,käll
60,Stirn::N,лепкӓ,вуэххьц
61,Haar::N,ӱп,voepte
62,Haar::N,ӱп,vuoppta
63,Haar::N,ӱп,vuokta
64,Haar::N,ӱп,vuop'tâ
65,Haar::N,ӱп,vuõpt
66,Haar::N,ӱп,вӯппт
67,Schnurrbart::N,öрш,bijjie-skaavtjoe
68,Schnurrbart::N,öрш,njunjevuolskávttjá
69,Schnurrbart::N,öрш,seamu
70,Schnurrbart::N,öрш,siämu
71,Schnurrbart::N,öрш,ää´bben
72,Schnurrbart::N,öрш,о̄а̄бпан
73,Bart::N,пандаш,skaavtja
74,Bart::N,пандаш,skaavtjoe
75,Bart::N,пандаш,skávttjá
76,Bart::N,пандаш,seamu
77,Bart::N,пандаш,siämu
78,Bart::N,пандаш,seäm
79,Bart::N,пандаш,ся̄м
80,Kinn::N,онгылаш,gaejpie
81,Kinn::N,онгылаш,gájbbe
82,Kinn::N,онгылаш,gáibi
83,Kinn::N,онгылаш,käibi
84,Kinn::N,онгылаш,käi´bb
85,Kinn::N,онгылаш,ка̄ййп
86,Kiefer[Anatomie]::N,пӱ арата,gaejpie
87,Kiefer[Anatomie]::N,пӱ арата,oalol
88,Kiefer[Anatomie]::N,пӱ арата,oaloldákte
89,Kiefer[Anatomie]::N,пӱ арата,gáibi
90,Kiefer[Anatomie]::N,пӱ арата,uá'lultähti
91,Kiefer[Anatomie]::N,пӱ арата,vuâl'lõš
92,Kiefer[Anatomie]::N,пӱ арата,вуаллнешш
93,Kehle::N,логер,gealoe
94,Kehle::N,логер,tjåttå
95,Kehle::N,логер,njiello
96,Kehle::N,логер,čotta
97,Kehle::N,логер,čuudâ
98,Kehle::N,логер,čoodd
99,Kehle::N,логер,чонт
100,Kehle::N,логер,кэ̄ҏс
101,Hals::N,шӱ,tjeapohke
102,Hals::N,шӱ,tjiebet
103,Hals::N,шӱ,čeabet
104,Hals::N,шӱ,čiäppát
105,Hals::N,шӱ,čeäppat
106,Hals::N,шӱ,ча̄пэх
107,Genick::N,ланга,tjovrese
108,Genick::N,ланга,nisske
109,Genick::N,ланга,niehkki
110,Genick::N,ланга,niski
111,Genick::N,ланга,niek'ki
112,Genick::N,ланга,nji´šǩǩmaadd
113,Genick::N,ланга,нышшькмоант
114,Kopf::N,вуй,åejjie
115,Kopf::N,вуй,oajvve
116,Kopf::N,вуй,oaivi
117,Kopf::N,вуй,uái'vi
118,Kopf::N,вуй,vuei´vv
119,Kopf::N,вуй,вуэййв
120,Rücken::N,туп,rudtje
121,Rücken::N,туп,hárddo
122,Rücken::N,туп,tjavelk
123,Rücken::N,туп,sealgi
124,Rücken::N,туп,selgi
125,Rücken::N,туп,čielgi
126,Rücken::N,туп,seä´lǧǧ
127,Rücken::N,туп,се̄лльк
128,Bauch::N,мӹшкӹр,tjåejjie
129,Bauch::N,мӹшкӹр,tjoajvve
130,Bauch::N,мӹшкӹр,čoavji
131,Bauch::N,мӹшкӹр,čuáv'ji
132,Bauch::N,мӹшкӹр,čåu´jj
133,Bauch::N,мӹшкӹр,чо̄ввьй
134,Nabel::N,кӹлӹмдӹ,naepie
135,Nabel::N,кӹлӹмдӹ,náhpe
136,Nabel::N,кӹлӹмдӹ,náhpi
137,Nabel::N,кӹлӹмдӹ,nääpi
138,Nabel::N,кӹлӹмдӹ,nää´pp
139,Nabel::N,кӹлӹмдӹ,на̄бпь
140,Busen::N,цӹзӹ,boenge
141,Busen::N,цӹзӹ,bållå
142,Busen::N,цӹзӹ,čižži
143,Busen::N,цӹзӹ,njamma
144,Busen::N,цӹзӹ,njižže
145,Busen::N,цӹзӹ,nje´ǯǯ
146,Busen::N,цӹзӹ,раннҍт
147,Brust::N,мел,mïelke
148,Brust::N,мел,radde
149,Brust::N,мел,mielgga
150,Brust::N,мел,raddi
151,Brust::N,мел,radde
152,Brust::N,мел,râ´dd
153,Brust::N,мел,раннҍт
154,Schulter::N,ӹнгӹжӓ,åelkie
155,Schulter::N,ӹнгӹжӓ,oalgge
156,Schulter::N,ӹнгӹжӓ,hárdu
157,Schulter::N,ӹнгӹжӓ,ärdee
158,Schulter::N,ӹнгӹжӓ,uál'gi
159,Schulter::N,ӹнгӹжӓ,a´rddi
160,Schulter::N,ӹнгӹжӓ,vuä´lǧǧ
161,Schulter::N,ӹнгӹжӓ,вуэллык
162,Arm::N,кид,gïete
163,Arm::N,кид,giehta
164,Arm::N,кид,giehta
165,Arm::N,кид,kietâ
166,Arm::N,кид,kie'tâkaaṿâ
167,Arm::N,кид,ǩiõtt
168,Arm::N,кид,кӣдт
169,Ellenbogen::N,кӹнервуй,gernjere
170,Ellenbogen::N,кӹнервуй,garŋŋel
171,Ellenbogen::N,кӹнервуй,gargŋil
172,Ellenbogen::N,кӹнервуй,käŋŋir
173,Ellenbogen::N,кӹнервуй,kõõnjâr
174,Ellenbogen::N,кӹнервуй,карьнэль
175,Hand::N,лапа,gïete
176,Hand::N,лапа,giehta
177,Hand::N,лапа,giehta
178,Hand::N,лапа,kietâ
179,Hand::N,лапа,ǩiõtt
180,Hand::N,лапа,кӣдт
181,Handfläche::N,кид лапа,gïeten-låapoe
182,Handfläche::N,кид лапа,giehtavuodo
183,Handfläche::N,кид лапа,tjårmmåvuodo
184,Handfläche::N,кид лапа,giehtaloahpu
185,Handfläche::N,кид лапа,kiämád
186,Handfläche::N,кид лапа,kuámmir
187,Handfläche::N,кид лапа,kuä´m'mer
188,Handfläche::N,кид лапа,ǩiõttǩeä´m'men
189,Handfläche::N,кид лапа,ко̄а̄ллдэгк
190,Handfläche::N,кид лапа,кӣдткоалдэгк
191,Finger::N,парня,soerme
192,Finger::N,парня,tjuvdde
193,Finger::N,парня,suorbma
194,Finger::N,парня,čuvde
195,Finger::N,парня,suor'mâ
196,Finger::N,парня,suõrmm
197,Finger::N,парня,це̄ххп
198,Fingernagel::N,кӹч,gadtse
199,Fingernagel::N,кӹч,guehpere
200,Fingernagel::N,кӹч,gadtsa
201,Fingernagel::N,кӹч,gazza
202,Fingernagel::N,кӹч,kozzâ
203,Fingernagel::N,кӹч,kõʒʒ
204,Fingernagel::N,кӹч,кэ̄ннц
205,Nagel[Anatomie]::N,кӹч,gadtse
206,Nagel[Anatomie]::N,кӹч,guehpere
207,Nagel[Anatomie]::N,кӹч,gadtsa
208,Nagel[Anatomie]::N,кӹч,gazza
209,Nagel[Anatomie]::N,кӹч,kozzâ
210,Nagel[Anatomie]::N,кӹч,kõʒʒ
211,Nagel[Anatomie]::N,кӹч,кэ̄ннц
212,Zeh::N,парня,tjiehtjere
213,Zeh::N,парня,juolggetjuvdde
214,Zeh::N,парня,juolgesuorbma
215,Zeh::N,парня,jyel'gisuor'mâ
216,Zeh::N,парня,jue´lǧǧsuõrmm
217,Zeh::N,парня,ю̄лльк-це̄һп
218,Fuß::N,ял лапа,juelkie
219,Fuß::N,ял лапа,juolgge
220,Fuß::N,ял лапа,juolgi
221,Fuß::N,ял лапа,jyel'gi
222,Fuß::N,ял лапа,jue´lǧǧ
223,Fuß::N,ял лапа,ла̄бпь
224,Ferse::N,ялгавал,båetskie
225,Ferse::N,ялгавал,boasske
226,Ferse::N,ялгавал,šušmi
227,Ferse::N,ялгавал,šušme
228,Ferse::N,ялгавал,jue´lǧǧkädd
229,Ferse::N,ялгавал,ка̄ннт
230,Ferse::N,ял кавал,båetskie
231,Ferse::N,ял кавал,boasske
232,Ferse::N,ял кавал,šušmi
233,Ferse::N,ял кавал,šušme
234,Ferse::N,ял кавал,jue´lǧǧkädd
235,Ferse::N,ял кавал,ка̄ннт
236,Knie::N,пылвуй,boelve
237,Knie::N,пылвуй,buolvva
238,Knie::N,пылвуй,čibbi
239,Knie::N,пылвуй,veaŋki
240,Knie::N,пылвуй,iidâ
241,Knie::N,пылвуй,puõlvv
242,Knie::N,пылвуй,пуллв
243,Oberschenkel::N,ӓрдӹ,ruaksja
244,Oberschenkel::N,ӓрдӹ,tjibbe
245,Oberschenkel::N,ӓрдӹ,gassaváhkká
246,Oberschenkel::N,ӓрдӹ,badjeváhkáa
247,Oberschenkel::N,ӓрдӹ,čuár'bpeeḷi
