,Concept_ID,cs,it
191,Gans::N,husa,oca
192,Adler::N,orel,àquila
193,Ente::N,kachna,ànatra
194,Eule::N,sova,gufo
195,Eule::N,sova,civetta
196,Kranich::N,jeřáb,gru
197,Krähe::N,vrána,cornacchia
198,Kuckuck::N,kukačka,cuccù
199,Kuckuck::N,kukačka,cùculo
200,Schwan::N,labuť,cigno
201,Fisch::N,ryba,pesce
202,Barsch::N,okoun,pèrsico
203,Hecht::N,štika,luccio
204,Schlange[Tier]::N,had,serpente
205,Wurm::N,červ,baco
206,Wurm::N,červ,verme
207,Spinne::N,pavouk,ragno
208,Ameise::N,mravenec,formica
209,Laus::N,veš,pidocchio
210,Mücke::N,komár,zanzara
211,Fliege::N,moucha,mosca
212,Schmetterling::N,motýl,farfalla
213,Beere::N,bobule,bacca
214,Apfel::N,jablko,mela
215,Pilz::N,houba,fungo
216,Zwiebel::N,cibule,cipolla
217,Saat::N,osivo,semente
218,Korn::N,zrno,grano
219,Heu::N,seno,fieno
220,Schale::N,slupka,buccia
221,Schale::N,skořápka,buccia
222,Grube::N,jáma,cava
223,Grube::N,jáma,fossa
224,Falle::N,past,tràppola
225,Falle::N,léčka,tràppola
226,Schlinge::N,smyčka,laccio
227,Spur::N,stopa,traccia
228,Asche::N,popel,cenere
229,Dreck::N,špína,fango
230,Eisen::N,železo,ferro
231,Gold::N,zlato,oro
232,Silber::N,stříbro,argento
233,Kohle::N,uhlí,carbone
234,Glas::N,sklo,vetro
235,Lehm::N,jíl,argilla
236,Lehm::N,hlína,argilla
237,Sand::N,písek,arena
238,Sand::N,písek,sabbia
239,Mensch::N,člověk,uomo
240,Mensch::N,člověk,èssere umano
241,Mann::N,muž,uomo
242,Frau::N,žena,donna
243,Kind::N,dítě,bambino
244,Junge::N,hoch,ragazzo
245,Junge::N,chlapec,ragazzo
246,Mädchen::N,děvče,ragazza
247,Familie::N,rodina,famiglia
248,Großvater::N,děd,nonno
249,Großvater::N,dědeček,nonno
250,Großmutter::N,babička,nonna
251,Eltern::N,rodiče,genitori
252,Vater::N,otec,padre
253,Mutter::N,matka,madre
254,Sohn::N,syn,figlio
255,Tochter::N,dcera,figlia
256,Bruder::N,bratr,fratello
257,Schwester::N,sestra,sorella
258,Onkel::N,strýc,zio
259,Tante::N,teta,zia
260,Ehemann::N,choť,marito
261,Ehemann::N,manžel,marito
262,Ehefrau::N,choť,moglie
263,Ehefrau::N,manželka,moglie
264,Freude::N,radost,gioia
265,Freude::N,radost,piacere
