,Concept_ID,sv,ar
0,Auge::N,öga,عين
1,Ohr::N,öra,أذن
2,Nase::N,näsa,أنف
3,Mund::N,mun,فم
4,Zahn::N,tand,سن
5,Zunge::N,tunga,لسان
6,Lippe::N,läpp,شفة
7,Wange::N,kind,خد
8,Wange::N,kind,وجنة
9,Gesicht::N,syn,وجه
10,Gesicht::N,ansikte,وجه
11,Stirn::N,panna,جبين
12,Haar::N,hår,شعر
13,Schnurrbart::N,mustasch,شارب
14,Bart::N,skägg,لحية
15,Kinn::N,haka,ذقن
16,Kiefer[Anatomie]::N,käke,فك
17,Kehle::N,strupe,حلق
18,Hals::N,hals,عنق
19,Hals::N,hals,رقبة
20,Genick::N,nacke,قفا
21,Kopf::N,huvud,رأس
22,Rücken::N,rygg,ظهر
23,Bauch::N,buk,بطن
24,Bauch::N,mage,بطن
25,Nabel::N,navel,سرة
26,Busen::N,barm,ثدي
27,Brust::N,bröst,صدر
28,Schulter::N,skuldra,كتف
29,Arm::N,arm,ذراع
30,Ellenbogen::N,armbåge,كوع
31,Hand::N,hand,يد
32,Handfläche::N,handflata,كف
33,Finger::N,finger,إصبع
34,Fingernagel::N,fingernagel,ظفر
35,Nagel[Anatomie]::N,nagel,ظفر
36,Zeh::N,tå,إصبع القدم
37,Fuß::N,fot,قدم
38,Ferse::N,häl,كعب
39,Knie::N,knä,ركبة
40,Oberschenkel::N,lår,فخذ
41,Bein::N,ben,ساق
42,Körper::N,kropp,جسم
43,Haut::N,hud,بشرة
44,Haut::N,skinn,بشرة
45,Blut::N,blod,دم
46,Ader::N,åder,عرق
47,Sehne::N,sena,طنب
48,Knochen::N,ben,عظم
49,Gehirn::N,hjärna,دماغ
50,Herz::N,hjärta,قلب
51,Magen::N,mage,معدة
52,Leber::N,lever,كبد
53,Atem::N,anda,نفس
54,Atem::N,andedräkt,نفس
55,Hunger::N,svält,جوع
56,Hunger::N,hunger,جوع
57,Träne::N,tår,دمعة
58,Geschmack::N,smak,طعم
59,Geschmack::N,smak,مذاق
60,Geruch::N,lukt,رائحة
61,Schlaf::N,sömn,نوم
62,Schlaf::N,sömn,منام
63,Traum::N,dröm,حلم
64,Himmel::N,himmel,سماء
65,Sonne::N,sol,شمس
66,Mond::N,måne,قمر
67,Stern::N,stjärna,نجم
68,Stern::N,stjärna,كوكب
69,Luft::N,luft,هواء
70,Wind::N,vind,ريح
71,Welle::N,våg,موجة
72,Welle::N,bölja,موجة
73,Wasser::N,vatten,ماء
