,Concept_ID,ta,sq
0,Auge::N,கண்,sy
1,Ohr::N,காது,vesh
2,Nase::N,மூக்கு,hundë
3,Mund::N,வாய்,gojë
4,Zahn::N,பல்,dhëmb
5,Zunge::N,நாக்கு,gjuhë
6,Lippe::N,உதடு,buzë
7,Wange::N,கன்னம்,faqe
8,Wange::N,கன்னம்,mollëz
9,Gesicht::N,முகம்,fytyrë
10,Stirn::N,முன்னெற்றி,ballë
11,Haar::N,முடி,flokë
12,Schnurrbart::N,மீசை,mustaqe
13,Bart::N,தாடி,mjekër
14,Kinn::N,கீழதாடை,mjekër
15,Kiefer[Anatomie]::N,தாடை,nofull
16,Kehle::N,தொண்டை,fyt
17,Kehle::N,தொண்டை,grykë
18,Hals::N,கழுத்து,qafë
19,Genick::N,கழுத்து,arrëz
20,Kopf::N,தலை,kokë
21,Rücken::N,முதுகு,kurriz
22,Bauch::N,வயிறு,bark
23,Nabel::N,தொப்புள்,kërthizë
24,Busen::N,மார்பகம்,gji
25,Brust::N, மார்பு,gjoks
26,Brust::N, மார்பு,kraharor
27,Schulter::N,தோள்பட்டை,sup
28,Schulter::N,தோள்பட்டை,krah
29,Arm::N,கரம்,krah
30,Ellenbogen::N,முழங்கை,bërryl
31,Hand::N,கை,dorë
32,Handfläche::N,உள்ளங்கை,pëllëmbë
33,Finger::N,விரல்,gisht
34,Fingernagel::N,விரல் நகம்,thua
35,Nagel[Anatomie]::N,நகம்,thua
36,Zeh::N,கால்விரல்,gisht i këmbës
37,Fuß::N,கால்,këmbë
38,Ferse::N,குதிகால்,thembër
39,Knie::N,முழங்கால்,gju
40,Oberschenkel::N,தொடை,kofshë
41,Bein::N,கால்,këmbë
42,Körper::N,உடல்,trup
43,Haut::N,சருமம்,lëkurë
44,Blut::N,இரத்தம்,gjak
45,Ader::N,நாளம்,venë
46,Sehne::N,தசைநார்,dell
47,Knochen::N,எலுமபு,asht
48,Knochen::N,எலுமபு,kockë
49,Gehirn::N,மூனை,tru
50,Herz::N,இதயம,zemër
