,Concept_ID,pt,sah
0,Auge::N,olho,харах
1,Ohr::N,orelha,кулгаах
2,Nase::N,nariz,мурун
3,Mund::N,boca,айах
4,Zahn::N,dente,тиис
5,Zunge::N,língua,тыл
6,Lippe::N,lábio,уос
7,Wange::N,face,иэдэс
8,Gesicht::N,cara,сирэй
9,Gesicht::N,rosto,сирэй
10,Stirn::N,testa,сүүс
11,Haar::N,cabelo,баттах
12,Schnurrbart::N,bigode,уос бытыга
13,Bart::N,barba,сэҥийэ бытыга
14,Kinn::N,queixo,сэҥийэ
15,Kiefer[Anatomie]::N,maxila,сыҥаах
16,Kiefer[Anatomie]::N,mandíbula,сыҥаах
17,Kehle::N,garganta,тамах
18,Kehle::N,garganta,күөмэй
19,Hals::N,colo,моой
20,Hals::N,pescoço,моой
21,Genick::N,nuca,кэтэх
22,Kopf::N,cabeça,бас
23,Rücken::N,dorso,көҕүс
24,Rücken::N,costas,көҕүс
25,Bauch::N,ventre,ис
26,Bauch::N,barriga,ис
27,Nabel::N,umbigo,киин
28,Busen::N,seio,эмиий
29,Brust::N,peito,түөс
30,Schulter::N,ombro,сарын
31,Arm::N,braço,илии
32,Ellenbogen::N,cotovelo,тоҕонох
33,Hand::N,mão,илии
34,Handfläche::N,palma,ытыс
35,Handfläche::N,palma da mão,ытыс
36,Finger::N,dedo,тарбах
37,Fingernagel::N,unha,тыҥырах
38,Nagel[Anatomie]::N,unha,тыҥырах
39,Zeh::N,dedo do pé,тарбах
40,Fuß::N,pé,уллуҥах
41,Ferse::N,calcanhar,тилэх
42,Knie::N,joelho,тобук
43,Knie::N,joelho,дьилбэк
44,Oberschenkel::N,coxa,уллук
45,Oberschenkel::N,coxa,өттүк
46,Bein::N,perna,атах
47,Körper::N,corpo,бэйэ
48,Haut::N,pele,тирии
49,Blut::N,sangue,хаан
50,Ader::N,veia,вена
51,Ader::N,veia,күөх_тымыр
52,Sehne::N,tendão,иҥиир
53,Knochen::N,osso,уҥуох
54,Knochen::N,osso,уҥгуох
55,Gehirn::N,cérebro,мэйии
56,Herz::N,coração,сүрэх
57,Magen::N,estômago,куртах
58,Leber::N,fígado,быар
59,Atem::N,fôlego,тыын
60,Hunger::N,fome,аас
61,Träne::N,lágrima,харах уута
62,Geschmack::N,gosto,амтан
63,Geruch::N,odor,сыт
64,Geruch::N,cheiro,сыт
65,Schlaf::N,sono,утуйуу
66,Traum::N,sonho,түүл
67,Himmel::N,céu,халлаан
68,Sonne::N,sol,күн
69,Mond::N,lua,ый
70,Stern::N,estrela,сулус
71,Luft::N,ar,салгын
72,Wind::N,vento,тыал
73,Welle::N,onda,долгун
74,Welle::N,onda,балхаан
75,Wasser::N,água,уу
76,Stein::N,pedra,таас
77,Boden::N,solo,сир
78,Erde::N,terra,буор
79,Staub::N,pó,быыл
80,Rauch::N,fumo,буруо
81,Funke::N,faísca,кыым
82,Funke::N,centelha,кыым
83,Feuer::N,fogo,уот
84,Licht::N,luz,уот
85,Schatten::N,sombra,күлүк
86,Wetter::N,tempo,күн-дьыл
87,Nebel::N,nevoeiro,туман
88,Wolke::N,nuvem,былыт
89,Regen::N,chuva,самыыр
90,Schnee::N,neve,хаар
91,Eis::N,gelo,муус
92,Frost::N,gelo,тымныы
93,Frost::N,geada,тымныы
94,Kälte::N,frio,тымныы
95,Hitze::N,ardor,куйаас
96,Raureif::N,geada,кырыа
97,Regenbogen::N,arco-iris,кустук
98,Donner::N,trovão,этиҥ
99,Strömung::N,corrente,сүүрүк
100,Tropfen::N,gota,таммах
101,Tropfen::N,gota,хааппыла
102,Schaum::N,espuma,күүгэн
103,Schmutz::N,sujidade,кир
104,Schmutz::N,imundície,кир
105,See::N,lago,күөл
106,Sumpf::N,charco,бадараан
107,Sumpf::N,pântano,бадараан
108,Moor::N,pântano,дьэбэрэ
109,Wiese::N,prado,ходуһа
110,Wald::N,bosque,ойуур
111,Wald::N,floresta,ойуур
112,Hügel::N,colina,булгунньах
113,Anhöhe::N,alto,үрдэл
114,Anhöhe::N,outeiro,үрдэл
115,Berg::N,monte,хайа
116,Berg::N,montanha,хайа
117,Gipfel::N,pico,чыпчаал
118,Höhle::N,caverna,хайа_хаспаҕа
119,Höhle::N,caverna,көҥүс
120,Abhang::N,encosta,эниэ
121,Quelle::N,fonte,дьүүктэ
122,Bach::N,regato,үрүйэ
123,Bach::N,ribeiro,үрүйэ
124,Fluss::N,rio,өрүс
