,Concept_ID,mrj,ko
0,Auge::N,сӹнзӓ,눈
1,Ohr::N,пӹлӹш,귀
2,Nase::N,нер,코
3,Mund::N,ышма,입
4,Zahn::N,пӱ,이
5,Zunge::N,йӹлмӹ,혀
6,Lippe::N,тӹрвӹ,입술
7,Wange::N,шӹргӹ,뺨
8,Gesicht::N,лицӓ,얼굴
9,Stirn::N,лепкӓ,이마
10,Haar::N,ӱп,털
11,Schnurrbart::N,öрш,윗수몀
12,Schnurrbart::N,öрш,코밑수염
13,Bart::N,пандаш,수엄
14,Kinn::N,онгылаш,아래턱
15,Kiefer[Anatomie]::N,пӱ арата,턱
16,Kehle::N,логер,인후
17,Hals::N,шӱ,목
18,Genick::N,ланга,먹덜이
19,Kopf::N,вуй,머리
20,Rücken::N,туп,든
21,Bauch::N,мӹшкӹр,배
22,Nabel::N,кӹлӹмдӹ,배꼽
23,Busen::N,цӹзӹ,가슴속
24,Brust::N,мел,가슴
25,Schulter::N,ӹнгӹжӓ,어깨
26,Arm::N,кид,팔
27,Ellenbogen::N,кӹнервуй,팔쿰치
28,Hand::N,лапа,손
29,Handfläche::N,кид лапа,손바닥
30,Finger::N,парня,속가락
31,Fingernagel::N,кӹч,손톱
32,Nagel[Anatomie]::N,кӹч,손톱
33,Zeh::N,парня,발가락
34,Fuß::N,ял лапа,발
35,Ferse::N,ялгавал,발꿈치
36,Ferse::N,ял кавал,발꿈치
37,Knie::N,пылвуй,무릎
38,Oberschenkel::N,ӓрдӹ,허벅다리
39,Bein::N,ял,다리
40,Körper::N,монгыр,구간
41,Haut::N,кавашты,살갗
42,Blut::N,вӹр,피
43,Ader::N,вӹршӓр,정맥
44,Sehne::N,кукшышӱн,현
45,Knochen::N,лу,뼈
46,Gehirn::N,вим,뇌
47,Gehirn::N,вим,뇌수
48,Herz::N,шӱм,염통
49,Magen::N,шӱм,위
50,Leber::N,мокш,간
51,Atem::N,шӱлӹш,기식
52,Hunger::N,шужымаш,공복
53,Träne::N,сӹнзӓвӹд,눈물
54,Geschmack::N,тот,기호
55,Geruch::N,пыш,냄새
56,Schlaf::N,ом,수면
57,Traum::N,ом,쿰
58,Himmel::N,пӹлгом,하늘
59,Sonne::N,кечӹ,해
60,Mond::N,тӹлзӹ,달
61,Stern::N,шӹдӹр,별
62,Luft::N,юж,동준
63,Luft::N,юж,가스채
64,Luft::N,воздух,동준
65,Luft::N,воздух,가스채
66,Wind::N,мардеж,바람
67,Welle::N,ко,물결
68,Welle::N,коэ,물결
69,Wasser::N,вӹд,물
70,Stein::N,кӱ,돌
71,Boden::N,рок,바닥
72,Erde::N,свет,흙
73,Staub::N,пырак,먼지
74,Rauch::N,шӹкш,연기
75,Funke::N,ип,불티
76,Funke::N,тылип,불티
77,Feuer::N,тыл,불
78,Licht::N,соты,불
79,Licht::N,валгыды,불
80,Schatten::N,ӹмӹл,어스레함
81,Wetter::N,игечӹ,기상
82,Nebel::N,тӹтӹрӓ,안개
83,Wolke::N,пӹл,구름
84,Regen::N,юр,비
85,Schnee::N,лым,눈
86,Eis::N,и,얼음
87,Frost::N,ӱштӹ,혹한
88,Kälte::N,ӱштӹ,추위
89,Kälte::N,ӱштӹ,차가움
90,Hitze::N,шокшы,고온
91,Hitze::N,шокшы,더위
92,Raureif::N,пöрш,
93,Regenbogen::N,шанавӹл,무지개
94,Donner::N,хӹдӹртӹш,뇌명
95,Strömung::N,йогы,유동
96,Tropfen::N,капльы,물방울
97,Tropfen::N,капльык,물방울
98,Schaum::N,шонг,포말
99,Schmutz::N,лявӹрӓ,때
100,See::N,йӓр,호수
101,Sumpf::N,лӱкӹ,습지
102,Moor::N,куп,저습지
103,Wiese::N,алык,목초지
104,Wald::N,шӹргӹ,숲
105,Hügel::N,пӱгӹрикӓ,언덕
106,Anhöhe::N,кӱкшикӓ,언덕
107,Berg::N,кырык,산
108,Gipfel::N,неркӓ,졀졍
109,Höhle::N,ы́раж,공동
110,Abhang::N,полом,몰매
111,Quelle::N,вӹдсӹнзӓ,근원
112,Bach::N,ӓнгӹр,내
113,Fluss::N,вӹд,강
114,Ufer::N,сир,강변
115,Ufer::N,сир,바닷가
116,Küste::N,сир,해변
117,Küste::N,сир,해변가
118,Festland::N,мӱлӓндӹ,본토
119,Meer::N,тангыж,바다
120,Bucht::N,вӹдъял,협만
121,Insel::N,острок,섬
122,Blume::N,пеледӹш,꽃
123,Gras::N,шуды,풀
124,Wurzel::N,важ,뿌리
125,Baum::N,пушӓнгӹ,나무
126,Stamm::N,пушӓнгӹ тӹнг,대
127,Rinde::N,каргыж,나무껍질
128,Ast::N,укш,가지
129,Zweig::N,укш,가지
130,Blatt::N,листӹ,잎
131,Birke::N,куги,자작나무
132,Kiefer[Baum]::N,йӓктӹ,소나무
133,Weide[Baum]::N,уа,쉬양버들
134,Tanne::N,кож,전나무
135,Horn::N,шур,뿔
136,Feder::N,пын,깃털
137,Fell::N,кавашты,피혁모피
138,Flügel::N,шылдыр,날개
139,Klaue::N,кӹч,갈고리 발톺
140,Kralle::N,лапа,발툭
141,Schwanz::N,пач,꼬리
142,Ei::N,мыны,알
143,Nest::N,пӹжӓш,보금자리
144,Bau::N,ыраж,굴
145,Tier::N,во́льык,짐승
146,Herde::N,кӹтö,가축의떼
147,Kuh::N,ышкал,암소
148,Bulle::N,ӱшкӱж,황소
149,Pferd::N,имни,말
150,Schaf::N,шарык,양
151,Schwein::N,сасна,돼지
152,Hund::N,пи,개
153,Katze::N,коти,고양이
154,Bär::N,мöскӓ,콤
155,Eichhörnchen::N,ур,다람쥐
156,Elch::N,шарды,고라니
157,Fuchs::N,рӹвӹж,여우
158,Hase::N,морен,토끼
159,Maus::N,каля,쥐
160,Wolf::N,пирӹ,늑대
161,Vogel::N,кек,새
162,Schwarm::N,цуца,뗴
163,Huhn::N,цӹвӹ,암탉
164,Hahn::N,ӓптӓн,수탉
165,Gans::N,комбы,거위
166,Adler::N,кучкыж,수리
167,Ente::N,лыды,오리
168,Eule::N,тымана,부엉이
169,Kranich::N,тырня,두루미
170,Kranich::N,тыртня,두루미
171,Krähe::N,лудыгарак,까마귀
172,Kuckuck::N,куку,뻐꾸기
173,Schwan::N,йӱксӹ,배조
174,Fisch::N,кол,물고기
175,Barsch::N,алангы,농어
176,Hecht::N,нуж,에속스
177,Hecht::N,нужгол,에속스
178,Schlange[Tier]::N,кӹшкы,뱀
179,Wurm::N,шукш,벌레
180,Spinne::N,ӓнгӹремшӹ,거미
181,Ameise::N,кыткы,개미
182,Laus::N,ти,이
183,Mücke::N,кужнер,모기
184,Mücke::N,кужынер,모기
185,Fliege::N,шӹнгӓ,날기
186,Schmetterling::N,лӹпӹ,나비
187,Beere::N,мöр,장과
188,Apfel::N,олма,사과
189,Pilz::N,понгы,고방이
190,Zwiebel::N,охыра,양파
191,Saat::N,нӱшмӹ,씨
192,Saat::N,нӱшмӱ,씨
193,Korn::N,пӹрцӹ,알맹이
194,Heu::N,шуды,건초
195,Schale::N,аваха,피상
196,Schale::N,карлангы,피상
197,Grube::N,йӓм,
198,Falle::N,лӱдӹ,함정
199,Falle::N,лӱдӹш,함정
200,Schlinge::N,онгы,올가미
201,Schlinge::N,онгы,멜빵붕대
202,Spur::N,кишӓ,발지국
203,Asche::N,ломых,재
204,Asche::N,ломпыж,재
205,Dreck::N,лявӹрӓ,똥
206,Dreck::N,лявӹрӓ,오물
207,Eisen::N,кӹртни,쇠
208,Eisen::N,кӹртни,철
209,Gold::N,шöртни,항금
210,Gold::N,шöртньӹ,항금
211,Silber::N,ши,은
212,Kohle::N,шӱ,슻
213,Glas::N,охоница,유리
214,Lehm::N,шун,찰흙
215,Sand::N,ошма,모래
216,Mensch::N,эдем,사람
217,Mann::N,пӱэргӹ,남자
218,Frau::N,ӹдӹрӓмӓш,여자
