,Concept_ID,nl,tt
0,Auge::N,oog,күз
1,Ohr::N,oor,колак
2,Nase::N,neus,борын
3,Mund::N,mond,авыз
4,Mund::N,mond,тамак
5,Zahn::N,tand,теш
6,Zunge::N,tong,тел
7,Lippe::N,lip,ирен
8,Wange::N,wang,яңак
9,Gesicht::N,gelaat,йөз
10,Gesicht::N,gezicht,йөз
11,Stirn::N,voorhoofd,маңгай
12,Haar::N,haar,чәч
13,Schnurrbart::N,snor,мыек
14,Bart::N,baard,сакал
15,Kinn::N,kin,ияк
16,Kiefer[Anatomie]::N,kaak,казналык
17,Kehle::N,keel,тамак
18,Kehle::N,strot,тамак
19,Hals::N,hals,бугаз
20,Genick::N,nek,җилкә
21,Kopf::N,hoofd,баш
22,Rücken::N,rug,сырт
23,Bauch::N,buik,корсак
24,Nabel::N,navel,кендек
25,Busen::N,boezem,түш
26,Brust::N,borst,имчәк
27,Brust::N,borst,күкрәк
28,Schulter::N,schouder,иңбаш
29,Schulter::N,schouder,кулбаш
30,Arm::N,arm,кул
31,Ellenbogen::N,elleboog,терсәк
32,Hand::N,hand,кул
33,Handfläche::N,handpalm,уч
34,Finger::N,vinger,бармак
35,Fingernagel::N,nagel,тырнак
36,Nagel[Anatomie]::N,nagel,тырнак
37,Zeh::N,teen,бармак
38,Fuß::N,voet,табан
39,Ferse::N,hak,үкчә
40,Ferse::N,hiel,үкчә
41,Knie::N,knie,тез
42,Oberschenkel::N,dij,бот
43,Bein::N,been,аяк
44,Körper::N,lichaam,тән
45,Körper::N,lichaam,җисем
46,Haut::N,huid,тире
47,Blut::N,bloed,кан
48,Ader::N,ader,тамыр
49,Sehne::N,pees,сеңер
50,Knochen::N,bot,сөяк
51,Knochen::N,been,сөяк
52,Knochen::N,knook,сөяк
53,Gehirn::N,hersenen,ми
54,Herz::N,hart,йөрәк
55,Magen::N,maag,ашказаны
56,Leber::N,lever,бавыр
57,Atem::N,adem,сулыш
58,Hunger::N,honger,ачлык
59,Träne::N,traan,яшь
60,Geschmack::N,smaak,тәм
61,Geschmack::N,smaak,зәвык
62,Geruch::N,geur,ис
63,Schlaf::N,slaap,йокы
64,Traum::N,droom,төш
65,Himmel::N,hemel,күк
66,Sonne::N,zon,кояш
67,Mond::N,maan,ай
68,Stern::N,ster,йолдыз
69,Luft::N,lucht,һава
70,Wind::N,wind,җил
71,Welle::N,golf,дулкын
72,Wasser::N,water,су
73,Stein::N,steen,таш
74,Boden::N,grond,туфрак
75,Erde::N,aarde,җир
76,Staub::N,stof,тузан
77,Rauch::N,rook,төтен
78,Funke::N,vonk,очкын
79,Feuer::N,vuur,ут
80,Licht::N,licht,якты
81,Schatten::N,schaduw,күләгә
82,Wetter::N,weer,һава
