,Concept_ID,lez,se
0,Auge::N,вил,tjelmie
1,Auge::N,вил,tjalmme
2,Auge::N,вил,čalbmi
3,Auge::N,вил,čalme
4,Auge::N,вил,čâ´lmm
5,Auge::N,вил,ча̄лльм
6,Ohr::N,яб,bieljie
7,Ohr::N,яб,biellje
8,Ohr::N,яб,beallji
9,Ohr::N,яб,pelji
10,Ohr::N,яб,pe´llj
11,Ohr::N,яб,пе̄лльй
12,Nase::N,нер,njuenie
13,Nase::N,нер,njunnje
14,Nase::N,нер,njunni
15,Nase::N,нер,njuṇe
16,Nase::N,нер,njuu´nn
17,Nase::N,нер,нюннҍ
18,Mund::N,сив,njaelmie
19,Mund::N,сив,njálmme
20,Mund::N,сив,njálbmi
21,Mund::N,сив,njälmi
22,Mund::N,сив,njä´lmm
23,Mund::N,сив,ня̄лльм
24,Zahn::N,сас,baenie
25,Zahn::N,сас,bádne
26,Zahn::N,сас,bátni
27,Zahn::N,сас,pääṇi
28,Zahn::N,сас,pää´nn
29,Zahn::N,сас,па̄ннҍ
30,Zahn::N,свах,baenie
31,Zahn::N,свах,bádne
32,Zahn::N,свах,bátni
33,Zahn::N,свах,pääṇi
34,Zahn::N,свах,pää´nn
35,Zahn::N,свах,па̄ннҍ
36,Zunge::N,мез,njoektjeme
37,Zunge::N,мез,njuovtjav
38,Zunge::N,мез,njuovčča
39,Zunge::N,мез,njuovčâ
40,Zunge::N,мез,njuhččâm
41,Zunge::N,мез,нюхчем
42,Lippe::N,пӏуз,bangseme
43,Lippe::N,пӏуз,njálmmerabdda
44,Lippe::N,пӏуз,bavssa
45,Lippe::N,пӏуз,poovsâ
46,Lippe::N,пӏуз,põõus
47,Lippe::N,пӏуз,пэ̄кс
48,Wange::N,хъвехъ,skiehrie
49,Wange::N,хъвехъ,nierra
50,Wange::N,хъвехъ,muohtu
51,Wange::N,хъвехъ,nieṛâ
52,Wange::N,хъвехъ,njiõrr
53,Wange::N,хъвехъ,нӣрр
54,Gesicht::N,ччин,ååredæjja
55,Gesicht::N,ччин,muohto
56,Gesicht::N,ччин,muođut
57,Gesicht::N,ччин,ámadadju
58,Gesicht::N,ччин,muáđuh
59,Gesicht::N,ччин,muâđ
60,Gesicht::N,ччин,ка̄ссв
61,Stirn::N,пел,gaalloe
62,Stirn::N,пел,gállo
63,Stirn::N,пел,gállu
64,Stirn::N,пел,kállu
65,Stirn::N,пел,käll
66,Stirn::N,пел,вуэххьц
67,Haar::N,чӏар,voepte
68,Haar::N,чӏар,vuoppta
69,Haar::N,чӏар,vuokta
70,Haar::N,чӏар,vuop'tâ
71,Haar::N,чӏар,vuõpt
72,Haar::N,чӏар,вӯппт
