,Concept_ID,kl,av
0,Auge::N,isi,
1,Ohr::N,siut,гӏин
2,Mund::N,paaq,кӏал
3,Mund::N,qaneq,кӏал
4,Zahn::N,kigut,гӏус
5,Zunge::N,oqaq,мацӏ
6,Lippe::N,qarloq,кӏветӏ
7,Wange::N,ersaq,гӏоно
8,Gesicht::N,kiinaq,гьумер
9,Stirn::N,qaaq,нодо
10,Haar::N,meqqoq,рас
11,Bart::N,umik,мегеж
12,Kinn::N,talloq,нилъу
13,Kiefer[Anatomie]::N,alleroq,чанагъ
14,Kehle::N,malaq,щекъер
15,Hals::N,qungaseq,габур
16,Genick::N,pukusuk,гъванща
17,Kopf::N,niaqoq,бетӏер
18,Rücken::N,qimerlut,мугъ
19,Bauch::N,naaq,чехь
20,Nabel::N,qalaseq,цӏину
21,Busen::N,iviangeq,керен
22,Brust::N,iviangeq,керен
23,Schulter::N,ersik,гъажазубетӏер
24,Schulter::N,assaqqoq,гъажазубетӏер
25,Arm::N,taleq,гъеж
26,Ellenbogen::N,ikusik,гӏункӏрукь
27,Hand::N,assak,квер
28,Handfläche::N,itumak,огъохъат
29,Handfläche::N,itumak,жанисахъат
30,Finger::N,inuak,килищ
31,Fingernagel::N,kikiak,малъ
32,Nagel[Anatomie]::N,kukik,малъ
33,Zeh::N,isigak,килищ
34,Ferse::N,kimmik,эгъе
35,Knie::N,seeqqoq,наку
36,Oberschenkel::N,uppat,мачӏ
37,Oberschenkel::N,quttoraq,мачӏ
38,Bein::N,isigak,бох
39,Körper::N,timi,къаркъала
40,Haut::N,mattak,тӏом
41,Blut::N,aak,би
42,Ader::N,taqaq,бидурихь
43,Sehne::N,ujalu,
44,Sehne::N,ujaloq,
45,Knochen::N,saanikut,ракьа
46,Gehirn::N,qarasaq,гӏадалнах
47,Herz::N,uummat,ракӏ
48,Magen::N,aqajaroq,кванирукъ
49,Leber::N,tinguk,тӏул
50,Atem::N,anerneq,хӏухь
51,Hunger::N,kaanneq,ракъи
52,Träne::N,qia,магӏу
53,Träne::N,qiak,магӏу
54,Geschmack::N,qilanaartuut,тату
55,Geruch::N,tipi,махӏ
56,Geruch::N,tipik,махӏ
57,Traum::N,sinnattoq,макьу
58,Traum::N,sinnattugaq,макьу
59,Himmel::N,qilak,зоб
60,Sonne::N,seqineq,бакъ
61,Mond::N,qaammat,моцӏ
62,Stern::N,ulloriaq,цӏва
63,Luft::N,silaannaq,гьава
64,Wind::N,anori,гьури
65,Wind::N,anorsarik,гьури
66,Welle::N,aalappaa,карачел
67,Wasser::N,imeq,лъим
68,Stein::N,ujarak,гьецӏо
69,Boden::N,nateq,ракь
70,Erde::N,issoq,ракь
71,Erde::N,issoq,дуниял
72,Staub::N,pujualanerit,хӏур
73,Staub::N,pujoralanerit,хӏур
74,Rauch::N,iseq,кӏкӏуй
75,Rauch::N,pujoq,кӏкӏуй
76,Funke::N,illoorneq,
77,Feuer::N,inneq,цӏа
78,Licht::N,qaamaneq,канлъи
79,Schatten::N,tarraq,рагӏад
80,Wetter::N,sila,гьава-бакъ
81,Nebel::N,pujoq,гӏодобнакӏкӏ
82,Wolke::N,nuia,накӏкӏ
83,Regen::N,sialuk,цӏад
84,Schnee::N,aput,гӏазу
85,Eis::N,siku,цӏер
86,Frost::N,issi,замгьари
87,Frost::N,issik,замгьари
88,Kälte::N,issi,квач
89,Hitze::N,kianneq,багӏари
90,Hitze::N,kiassuseq,багӏари
91,Raureif::N,kaneq,мартӏ
92,Regenbogen::N,neriusaaq,нур
93,Regenbogen::N,neriusaaq,чамбара
94,Donner::N,kalleq,гъугъай
95,Donner::N,kalleq,гъугъади
96,Tropfen::N,kuseriarneq,резел
97,Tropfen::N,kuseriarneq,тӏинкӏ
98,Tropfen::N,kuseriarneq,къатӏра
99,Tropfen::N,kuseriarneq,тӏенкӏел
100,Schaum::N,qapuk,полоп
101,Schmutz::N,minguk,чороклъи
102,See::N,taseq,хӏор
103,Sumpf::N,maqulluk,хьуцӏ
104,Wiese::N,masarsuk,мегъ
105,Wiese::N,masarsuk,гӏурдаллъи
106,Hügel::N,qattuneq,гохӏ
107,Hügel::N,majuariaq,гохӏ
108,Hügel::N,majorajaaq,гохӏ
109,Hügel::N,qaqqannguaq,гохӏ
110,Berg::N,qaqqaq,мегӏер
111,Höhle::N,qaarusuk,нохъо
112,Abhang::N,ippik,лабаллъи
113,Abhang::N,sivinganeq,лабаллъи
114,Abhang::N,sivingajaaq,лабаллъи
115,Abhang::N,kussangajaaq,лабаллъи
116,Bach::N,kuunnguaq,лъар
117,Fluss::N,kuuk,гӏор
118,Ufer::N,sissap sinaa,рагӏал
119,Küste::N,sineriak,рагӏал
120,Meer::N,imaq,ралъад
121,Bucht::N,ikeq,кӏветӏ
122,Bucht::N,kangerluk,кӏветӏ
123,Bucht::N,kangerliumaneq,кӏветӏ
124,Insel::N,qeqertaq,чӏинкӏиллъи
125,Blume::N,naasoq,тӏегь
126,Gras::N,ivigaq,хер
127,Wurzel::N,niulutaq,кьибил
128,Baum::N,orpik,гъветӏ
129,Stamm::N,kanaartaq,рохти
