,Concept_ID,cs,cy
0,Auge::N,oko,llygad
1,Ohr::N,ucho,clust
2,Nase::N,nos,trwyn
3,Mund::N,pusa,ceg
4,Zahn::N,zub,dant
5,Zunge::N,jazyk,tafod
6,Lippe::N,ret,gwefus
7,Wange::N,tvář,boch
8,Gesicht::N,obličej,wyneb
9,Stirn::N,čelo,talcen
10,Haar::N,vlas,blew
11,Haar::N,vlasy,blew
12,Schnurrbart::N,kníry,mwstas
13,Bart::N,vousy,barf
14,Kinn::N,brada,gên
15,Kiefer[Anatomie]::N,čelist,gên
16,Kehle::N,hrdlo,gwddf
17,Hals::N,krk,gwddf
18,Genick::N,týl,gwar
19,Genick::N,týl,gwegil
20,Kopf::N,hlava,pen
21,Rücken::N,záda,cefn
22,Rücken::N,hřbet,cefn
23,Bauch::N,břicho,bol
24,Nabel::N,pupek,bogail
25,Busen::N,ňadra,bron
26,Brust::N,prsa,brest
27,Schulter::N,plece,ysgwydd
28,Schulter::N,rameno,ysgwydd
29,Arm::N,ruka,braich
30,Ellenbogen::N,loket,penelin
31,Hand::N,ruka,llaw
32,Handfläche::N,dlaň,palf
33,Finger::N,prst,bys
34,Fingernagel::N,nehet,ewin
35,Nagel[Anatomie]::N,nehet,ewin
36,Zeh::N,prst u nohy,bys troed
37,Fuß::N,noha,troed
38,Ferse::N,pata,sawdl
39,Knie::N,koleno,glin
40,Oberschenkel::N,stehno,clun
41,Bein::N,noha,coes
42,Körper::N,tělo,corff
43,Haut::N,kůže,croen
44,Blut::N,krev,gwaed
45,Ader::N,céva,gwythïen
46,Sehne::N,šlacha,gewyn
47,Knochen::N,kost,asgwrn
48,Gehirn::N,mozek,ymennydd
49,Herz::N,srdce,calon
50,Magen::N,žaludek,cylla
51,Magen::N,žaludek,stumog
52,Leber::N,játra,iau
53,Atem::N,dech,anadl
54,Hunger::N,hlad,newyn
55,Träne::N,slza,deigryn
56,Geschmack::N,vkus,cyflas
57,Geruch::N,vůně,aroglau
58,Geruch::N,zápach,aroglau
59,Schlaf::N,spánek,cwsg
60,Traum::N,sen,breuddwyd
61,Himmel::N,nebe,awyr
62,Sonne::N,slunce,haul
63,Mond::N,měsíc,lleuad
64,Stern::N,hvězda,seren
65,Luft::N,vzduch,awyr
66,Wind::N,vítr,gwynt
67,Welle::N,vlna,ton
68,Wasser::N,voda,dŵr
69,Stein::N,kámen,carreg
70,Boden::N,půda,llawr
71,Erde::N,země,pridd
72,Staub::N,prach,llwch
73,Rauch::N,dým,mwg
74,Rauch::N,kouř,mwg
75,Funke::N,jiskra,gwreichioni
76,Feuer::N,oheň,tân
77,Licht::N,světlo,golau
78,Schatten::N,stín,cysgod
79,Wetter::N,počasí,tywydd
80,Nebel::N,mlha,niwl
81,Wolke::N,mrak,cwmwl
82,Wolke::N,oblak,cwmwl
