,Concept_ID,mn,cy
0,Auge::N,нүд,llygad
1,Ohr::N,чих,clust
2,Nase::N,хамар,trwyn
3,Mund::N,ам,ceg
4,Zahn::N,шүд,dant
5,Zunge::N,хэл,tafod
6,Lippe::N,уруул,gwefus
7,Wange::N,хацар,boch
8,Gesicht::N,царай,wyneb
9,Gesicht::N,нүүр,wyneb
10,Stirn::N,дух,talcen
11,Haar::N,үс,blew
12,Schnurrbart::N,дээд сахал,mwstas
13,Schnurrbart::N,живэр сахал,mwstas
14,Bart::N,сахал,barf
15,Kinn::N,эрүү,gên
16,Kiefer[Anatomie]::N,эрүү,gên
17,Kehle::N,хоолой,gwddf
18,Hals::N,хүзүү,gwddf
19,Genick::N,шил,gwar
20,Genick::N,шил,gwegil
21,Genick::N,хүзүү,gwar
22,Genick::N,хүзүү,gwegil
23,Kopf::N,толгой,pen
24,Rücken::N,ар,cefn
25,Rücken::N,нуруу,cefn
26,Bauch::N,хэвлий,bol
27,Bauch::N,гэдэс,bol
28,Nabel::N,хүйс,bogail
29,Busen::N,хөх,bron
30,Brust::N,цээж,brest
31,Schulter::N,мөр,ysgwydd
32,Schulter::N,бугалга,ysgwydd
33,Arm::N,гар,braich
34,Ellenbogen::N,тохой,penelin
35,Hand::N,гар,llaw
36,Hand::N,алга,llaw
37,Handfläche::N,алга,palf
38,Finger::N,хуруу,bys
39,Fingernagel::N,хурууны хумс,ewin
40,Nagel[Anatomie]::N,хумс,ewin
41,Zeh::N,хуруу,bys troed
42,Fuß::N,хөл,troed
43,Ferse::N,өсгий,sawdl
44,Knie::N,өвдөг,glin
45,Oberschenkel::N,гуя,clun
46,Bein::N,хөл,coes
47,Körper::N,бие,corff
48,Haut::N,арьс,croen
49,Blut::N,цус,gwaed
50,Ader::N,судас,gwythïen
51,Sehne::N,бүлх,gewyn
52,Sehne::N,шандас,gewyn
53,Knochen::N,яс,asgwrn
54,Gehirn::N,тархи,ymennydd
55,Herz::N,зүрх,calon
56,Magen::N,ходоод,cylla
57,Magen::N,ходоод,stumog
58,Leber::N,элэг,iau
59,Atem::N,амьсгаа,anadl
60,Hunger::N,өлсгөлөн,newyn
61,Träne::N,нулимс,deigryn
62,Geschmack::N,амт,cyflas
63,Geruch::N,үнэр,aroglau
64,Schlaf::N,нойр,cwsg
65,Traum::N,зүүд,breuddwyd
66,Himmel::N,тэнгэр,awyr
67,Himmel::N,огторгуй,awyr
68,Sonne::N,нар,haul
69,Mond::N,сар,lleuad
70,Stern::N,од,seren
71,Luft::N,агаар,awyr
72,Wind::N,салхи,gwynt
73,Welle::N,долгио,ton
74,Welle::N,давалгаа,ton
75,Wasser::N,ус,dŵr
76,Stein::N,чулуу,carreg
77,Boden::N,хөрс,llawr
78,Erde::N,газар,pridd
79,Erde::N,шороо,pridd
