,Concept_ID,lv,lez
0,Auge::N,син,вил
1,Auge::N,acs,вил
2,Ohr::N,пель,яб
3,Ohr::N,auss,яб
4,Nase::N,ныр,нер
5,Nase::N,deguns,нер
6,Mund::N,вом,сив
7,Mund::N,mute,сив
8,Zahn::N,пинь,сас
9,Zahn::N,пинь,свах
10,Zahn::N,zobs,сас
11,Zahn::N,zobs,свах
12,Zunge::N,кыв,мез
13,Zunge::N,mēle,мез
14,Lippe::N,вом дор,пӏуз
15,Lippe::N,lūpa,пӏуз
16,Wange::N,бан,хъвехъ
17,Wange::N,vaigs,хъвехъ
18,Gesicht::N,чужӧм,ччин
19,Gesicht::N,seja,ччин
20,Gesicht::N,ģīmis,ччин
21,Stirn::N,плеш,пел
22,Stirn::N,кымӧс,пел
23,Stirn::N,piere,пел
24,Haar::N,си,чӏар
25,Haar::N,юрси,чӏар
26,Haar::N,mats,чӏар
27,Schnurrbart::N,ус,спел
28,Schnurrbart::N,ус,спелар
29,Schnurrbart::N,пыртсим,спел
30,Schnurrbart::N,пыртсим,спелар
31,Schnurrbart::N,ūsas,спел
32,Schnurrbart::N,ūsas,спелар
33,Bart::N,тош,ччуру
34,Bart::N,bārda,ччуру
35,Kinn::N,тшӧка,чене
36,Kinn::N,zods,чене
37,Kinn::N,smakrs,чене
38,Kiefer[Anatomie]::N,черлы,чене
39,Kiefer[Anatomie]::N,алака лы,чене
40,Kiefer[Anatomie]::N,вомкӧтш лы,чене
41,Kiefer[Anatomie]::N,žoklis,чене
42,Kehle::N,голя,туьд
43,Kehle::N,rīkle,туьд
44,Hals::N,сьылі,гардан
45,Hals::N,kakls,гардан
46,Genick::N,юрбӧр,кьам
47,Genick::N,балябӧж,кьам
48,Genick::N,sprands,кьам
49,Kopf::N,юр,кьил
50,Kopf::N,galva,кьил
51,Rücken::N,мыш,далу
52,Rücken::N,mugura,далу
53,Bauch::N,рушку,руфун
54,Bauch::N,vēders,руфун
55,Nabel::N,гӧг,пицӏ
56,Nabel::N,naba,пицӏ
57,Busen::N,морӧс,мам
58,Busen::N,krūts,мам
59,Brust::N,морӧс,хур
60,Brust::N,krūts,хур
61,Schulter::N,пельпом,къуьн
62,Schulter::N,plecs,къуьн
63,Arm::N,ки,гъил
64,Arm::N,roka,гъил
65,Arm::N,delms,гъил
66,Ellenbogen::N,гырддза,кьуьнт
67,Ellenbogen::N,elkonis,кьуьнт
68,Hand::N,ки,капаш
69,Hand::N,roka,капаш
70,Hand::N,plauksta,капаш
71,Handfläche::N,ки пыдӧс,капан юкь
72,Handfläche::N,delna,капан юкь
73,Handfläche::N,plauksta,капан юкь
74,Finger::N,чунь,тӏуб
75,Finger::N,pirksts,тӏуб
76,Fingernagel::N,гыж,кек
77,Fingernagel::N,nags,кек
78,Nagel[Anatomie]::N,гыж,кек
79,Nagel[Anatomie]::N,nags,кек
80,Zeh::N,кок чунь,кул
81,Zeh::N,pirksts,кул
82,Fuß::N,кок,кӏвач
83,Fuß::N,kāja,кӏвач
84,Ferse::N,кокбӧр,дабан
85,Ferse::N,papēdis,дабан
86,Knie::N,пидзӧс,мет
87,Knie::N,celis,мет
88,Oberschenkel::N,лядьвей,
89,Oberschenkel::N,бек,
90,Oberschenkel::N,ciska,
91,Oberschenkel::N,augšstilbs,
92,Bein::N,кок,кӏвач
93,Bein::N,kāja,кӏвач
94,Körper::N,туша,беден
95,Körper::N,вывтыр,беден
96,Körper::N,miesa,беден
97,Körper::N,ķermenis,беден
98,Haut::N,ку,хам
99,Haut::N,āda,хам
100,Blut::N,вир,иви
101,Blut::N,asins,иви
102,Ader::N,сӧн,дамар
103,Ader::N,asinsvads,дамар
104,Sehne::N,вез,кьуру дамар
105,Sehne::N,dzīsla,кьуру дамар
106,Knochen::N,лы,кӏараб
107,Knochen::N,kauls,кӏараб
108,Gehirn::N,вем,мефт
109,Gehirn::N,smadzenes,мефт
110,Herz::N,сьӧлӧм,рикӏ
111,Herz::N,sirds,рикӏ
112,Magen::N,кынӧм,хук
113,Magen::N,kuņģis,хук
114,Leber::N,мус,лекь
115,Leber::N,aknas,лекь
116,Atem::N,лов,ял
117,Atem::N,лов,нефес
118,Atem::N,elpa,ял
119,Atem::N,elpa,нефес
120,Hunger::N,тшыг,каш
121,Hunger::N,bads,каш
122,Hunger::N,izsalkums,каш
123,Träne::N,синва,вилин нагъв
124,Träne::N,asara,вилин нагъв
125,Geschmack::N,кӧр,дад
126,Geschmack::N,кӧр,тӏям
127,Geschmack::N,чӧсмӧс,дад
128,Geschmack::N,чӧсмӧс,тӏям
129,Geschmack::N,garša,дад
