,Concept_ID,mrj,sv
0,Auge::N,сӹнзӓ,öga
1,Ohr::N,пӹлӹш,öra
2,Nase::N,нер,näsa
3,Mund::N,ышма,mun
4,Zahn::N,пӱ,tand
5,Zunge::N,йӹлмӹ,tunga
6,Lippe::N,тӹрвӹ,läpp
7,Wange::N,шӹргӹ,kind
8,Gesicht::N,лицӓ,syn
9,Gesicht::N,лицӓ,ansikte
10,Stirn::N,лепкӓ,panna
11,Haar::N,ӱп,hår
12,Schnurrbart::N,öрш,mustasch
13,Bart::N,пандаш,skägg
14,Kinn::N,онгылаш,haka
15,Kiefer[Anatomie]::N,пӱ арата,käke
16,Kehle::N,логер,strupe
17,Hals::N,шӱ,hals
18,Genick::N,ланга,nacke
19,Kopf::N,вуй,huvud
20,Rücken::N,туп,rygg
21,Bauch::N,мӹшкӹр,buk
22,Bauch::N,мӹшкӹр,mage
23,Nabel::N,кӹлӹмдӹ,navel
24,Busen::N,цӹзӹ,barm
25,Brust::N,мел,bröst
26,Schulter::N,ӹнгӹжӓ,skuldra
27,Arm::N,кид,arm
28,Ellenbogen::N,кӹнервуй,armbåge
29,Hand::N,лапа,hand
30,Handfläche::N,кид лапа,handflata
31,Finger::N,парня,finger
32,Fingernagel::N,кӹч,fingernagel
33,Nagel[Anatomie]::N,кӹч,nagel
34,Zeh::N,парня,tå
35,Fuß::N,ял лапа,fot
36,Ferse::N,ялгавал,häl
37,Ferse::N,ял кавал,häl
38,Knie::N,пылвуй,knä
39,Oberschenkel::N,ӓрдӹ,lår
40,Bein::N,ял,ben
41,Körper::N,монгыр,kropp
42,Haut::N,кавашты,hud
43,Haut::N,кавашты,skinn
44,Blut::N,вӹр,blod
45,Ader::N,вӹршӓр,åder
46,Sehne::N,кукшышӱн,sena
47,Knochen::N,лу,ben
48,Gehirn::N,вим,hjärna
49,Herz::N,шӱм,hjärta
50,Magen::N,шӱм,mage
51,Leber::N,мокш,lever
52,Atem::N,шӱлӹш,anda
53,Atem::N,шӱлӹш,andedräkt
54,Hunger::N,шужымаш,svält
55,Hunger::N,шужымаш,hunger
