,Concept_ID,kn,br
0,Auge::N,ಕಣ್ಣು,lagad
1,Ohr::N,ಕಿವಿ,skouarn
2,Nase::N,ಮೂಗು,fri
3,Mund::N,ಬಾಯಿ,genoù
4,Zahn::N,ಹಲ್ಲು,dant
5,Zunge::N,ನಾಲಿಗೆ,teod
6,Lippe::N,ತುಟಿ,muzell
7,Wange::N,ಗಲ್ಲ,chot
8,Gesicht::N,ಮುಖ,dremm
9,Stirn::N,ಹಣೆ,tal
10,Haar::N,ಕೂದಲು,blev
11,Schnurrbart::N,ಮೀಸೆ,mourenn
12,Bart::N,ಗಡ್ಡ,barv
13,Kinn::N,ಗದ್ದ,groñj
14,Kiefer[Anatomie]::N,ದವಡೆ,javed
15,Kehle::N,ಗಂಟಲು,gouzoug
16,Hals::N,ಕೊರಳು,gouzoug
17,Genick::N,ಹಿಂಗತ್ತು,choug
18,Kopf::N,ತಲೆ,penn
19,Rücken::N,ಬೆನ್ನು,kein
20,Bauch::N,ಹೊಟ್ಟೆ,kof
21,Nabel::N,ಹೊಕ್ಕುಳು,begel
22,Busen::N,ಸ್ತನ,bronn
23,Brust::N,ಎದೆ,bruched
24,Schulter::N,ಭುಜ,skoaz
25,Arm::N,ತೋಳು,brec'h
26,Ellenbogen::N,ಮೊಣಕೈ,ilin
27,Hand::N,ಕೈ,dorn
28,Handfläche::N,ಅಂಗೈ,palv
29,Finger::N,ಕೈಬೆರಳು,biz
30,Fingernagel::N,ಉಗುರು,ivin
31,Nagel[Anatomie]::N,ಉಗುರು,ivin
32,Zeh::N,ಕಾಲ್ಬೆರಳು,biz-troad
33,Fuß::N,ಪಾದ,troad
34,Ferse::N,ಹಿಮ್ಮಡಿ,seul
35,Knie::N,ಮಂಡಿ,glin
36,Oberschenkel::N,ತೊಡೆ,morzhed
37,Bein::N,ಕಾಲು,gar
38,Körper::N,ದೇಹ,korf
39,Haut::N,ಚರ್ಮ,kroc'hen
40,Blut::N,ರಕ್ತ,gwad
41,Ader::N,ನರ,gwazhi
42,Sehne::N,ನರ,stir
43,Knochen::N,ಮೂಳೆ,askorn
44,Gehirn::N,ಮಿದುಳು,empenn
45,Herz::N,ಹೃದಯ,kalon
46,Magen::N,ಉದರ,stomog
47,Leber::N,ಯಕೃತ್ತು,avu
48,Atem::N,ಉಸಿರು,anal
49,Hunger::N,ಹಸಿವು,naon
50,Träne::N,ಕಣ್ಣೀರು,daer
51,Geschmack::N,ರುಚಿ,blaz
52,Geruch::N,ವಾಸನೆ,c'hwezh
53,Schlaf::N,ನಿದ್ರೆ,kousked
54,Traum::N,ಕನಸು,hune
55,Himmel::N,ಬಾನು,oabl
56,Sonne::N,ಸೂರ್ಯ,heol
57,Mond::N,ಚಂದ್ರ,loar
58,Stern::N,ಚುಕ್ಕಿ,steredenn
59,Luft::N,ವಾಯು,aer
60,Wind::N,ಗಾಳಿ,avel
61,Welle::N,ಅಲೆ,houlenn
62,Wasser::N,ನೀರು,dour
63,Stein::N,ಕಲ್ಲು,maen
64,Boden::N,ನೆಲ,tachenn
65,Erde::N,ಭೂಮಿ,douar
66,Staub::N,ದೂಳು,poultr
67,Rauch::N,ಹೊಗೆ,moged
68,Funke::N,ಕಿಡಿ,ful
69,Feuer::N,ಬೆಂಕಿ,tan
70,Licht::N,ಬೆಳಕು,gouloù
71,Schatten::N,ನೆರಳು,disheol
72,Wetter::N,ಹವ,amzer
73,Nebel::N,ಮಂಜು,brumenn
74,Wolke::N,ಮೋಡ,koumoulenn
75,Regen::N,ಮಳೆ,glav
76,Schnee::N,ಹಿಮ,erc'h
77,Eis::N,ಮಂಜುಗಡ್ಡೆ,skorn
78,Frost::N,ಮಂಜು,rev
79,Kälte::N,ಹಿಮ,yen
80,Hitze::N,ಉಷ್ಣ,tommder
81,Raureif::N,ಇಬ್ಬನಿ,frim
82,Regenbogen::N,ಇಂದ್ರಚಾಪ,gwareg-ar-glav
83,Donner::N,ಗುಡುಗು,kurun
84,Strömung::N,ಪ್ರವಾಹ,red
85,Tropfen::N,ತೊಟ್ಟು,bannac'h
86,Tropfen::N,ತೊಟ್ಟು,takenn
87,Schaum::N,ನೊರೆ,spoum
88,Schmutz::N,ಕಸ,fank
89,See::N,ಸರೋವರ,lenn
90,Sumpf::N,ಜೌಗುಸ್ಥಳ,gwern
91,Moor::N,ಬಂಜರು ಭೂಮಿ,taouarc'heg
92,Wiese::N,ಹುಲ್ಲುಗಾವಲು,prad
93,Wald::N,ಕಾಡು,koad
94,Hügel::N,ಗುಡ್ಡೆ,torgenn
95,Anhöhe::N,ದಿಬ್ಬ,run
96,Berg::N,ಮಲೆ,menez
97,Berg::N,ಪರ್ವತ,menez
98,Gipfel::N,ಶೃಂಗ,barr
99,Höhle::N,ಗುಹೆ,kav
100,Abhang::N,ಇಳಿಜಾರು,naou
101,Quelle::N,ಮೂಲ,feunteun
102,Bach::N,ತೊರೆ,gwazh
103,Fluss::N,ನದಿ,stêr
104,Ufer::N,ತೀರ,ribl
105,Küste::N,ದಂಡೆ,aod
106,Festland::N,ಭೂಮಿ,douar
107,Meer::N,ಕಡಲು,mor
108,Bucht::N,ಖಾರಿ,mor-bihan
109,Insel::N,ದ್ವೀಪ,enez
110,Blume::N,ಸುಮ,bleunienn
111,Gras::N,ಹುಲ್ಲು,geot
112,Wurzel::N,ಬೇರು,gwrizienn
113,Baum::N,ಮರ,gwezenn
114,Stamm::N,ಕಾಂಡ,kef
115,Rinde::N,ತೂಗಟಿ,rusk
116,Ast::N,ಶಾಖೆ,barr
117,Zweig::N,ರೆಂಬೆ,bod
118,Blatt::N,ಎಲೆ,delienn
119,Birke::N,ಬರ್ಚ್ ಮರ,bezvenn
120,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,pinenn
121,Weide[Baum]::N,ವಿಲೋಮರ,halegenn
122,Tanne::N,ಭದ್ರದಾರು,sapenn
123,Horn::N,ಕೊಂಬು,korn
124,Feder::N,ಪುಕ್ಕ,pluñv
125,Fell::N,ರೋಮ,kreoñ
126,Flügel::N,ರೆಕ್ಕೆ,askell
127,Klaue::N,ಪಂಜ,skilf
128,Kralle::N,ಉಗುರು,skilf
129,Schwanz::N,ಬಾಲ,lost
130,Ei::N,ಮೊಟ್ಟೆ,vi
131,Nest::N,ಗೂಡು,neizh
132,Bau::N,ಅಡಗುದಾಣ,douarenn
133,Tier::N,ಪ್ರಾಣಿ,loen
134,Herde::N,ಗುಂಪು,tropell
135,Kuh::N,ಹಸು,buoc'h
136,Bulle::N,ಗೂಳಿ,tarv
137,Pferd::N,ಕುದುರೆ,marc'h
138,Schaf::N,ಕುರಿ,dañvad
139,Schwein::N,ಹಂದಿ,pemoc'h
140,Hund::N,ನಾಯಿ,ki
141,Katze::N,ಬೆಕ್ಕು,kazh
142,Bär::N,ಕರಡಿ,arzh
143,Eichhörnchen::N,ಉಡುತೆ,gwiñver
144,Elch::N,ಕಡವೆ,karv-dour
145,Fuchs::N,ನರಿ,louarn
146,Hase::N,ಮೊಲ,gad
147,Maus::N,ಇಲಿ,logodenn
148,Wolf::N,ತೋಳ,bleiz
149,Vogel::N,ಪಕ್ಷಿ,labous
150,Schwarm::N,ಗುಂಪು,nijad
151,Huhn::N,ಚಿಕ್,yar
152,Hahn::N,ಹುಂಜ,kilhog
153,Gans::N,ವರಟೆ,gwazenn
154,Adler::N,ಗರುಡ,erer
155,Ente::N,ಬಾತು,houad
156,Eule::N,ಗೂಬೆ,toud
157,Kranich::N,ಕೊಕ್ಕರ,garan
158,Krähe::N,ಕಾಗೆ,bran
159,Kuckuck::N,ಕೋಗಿಲೆ,koukoug
160,Schwan::N,ಹಂಸಪಕ್ಷಿ,alarc'h
161,Fisch::N,ಮೀನು,pesk
162,Barsch::N,ಪರ್ಚ್ ಮೀನು,brell
163,Hecht::N,ಪೈಕ್ ಮೀನು,beked
164,Schlange[Tier]::N,ಹಾವು,naer
165,Wurm::N,ಹುಳು,preñv
166,Spinne::N,ಊರ್ಣನಾಭ,kevnidenn
167,Ameise::N,ಇರುವೆ,merion
168,Laus::N,ಹೇನು,laouenn
169,Mücke::N,ಸೊಳ್ಳೆ,moustik
170,Fliege::N,ನೊಣ,kelienenn
171,Schmetterling::N,ಪತಂಗ,balafenn
172,Beere::N,ನಯವಣ್ಣು,hog
173,Apfel::N,ಸೇಬು,aval
174,Pilz::N,ಅಣಬೆ,kabell-touseg
175,Zwiebel::N,ನೀರುಳ್ಳಿ,ognonenn
176,Saat::N,ಬಿತ್ತ,had
177,Korn::N,ಬೀಜ,ed
178,Heu::N,ಕರಡ,foenn
179,Schale::N,ಹೊಟ್ಟು,peliadur
