,Concept_ID,et,ja
0,Auge::N,silm,目
1,Ohr::N,kõrv,耳
2,Nase::N,nina,鼻
3,Mund::N,suu,口
4,Zahn::N,hammas,歯
5,Zunge::N,keel,舌
6,Lippe::N,huul,唇
7,Wange::N,põsk,頬
8,Gesicht::N,nägu,顔
9,Stirn::N,otsmik,額
10,Haar::N,juus,髪
11,Schnurrbart::N,vurrud,口髭
12,Schnurrbart::N,vuntsid,口髭
13,Bart::N,habe,髭
14,Kinn::N,lõug,顎
15,Kiefer[Anatomie]::N,lõualuu,顎
16,Kehle::N,kõri,喉
17,Hals::N,kael,首
18,Genick::N,kukal,首
19,Kopf::N,pea,頭
20,Rücken::N,selg,背中
21,Bauch::N,kõht,腹
22,Bauch::N,kõht,お腹
23,Nabel::N,naba,へそ
24,Busen::N,rind,乳房
25,Brust::N,rind,胸
26,Schulter::N,õlg,肩
27,Arm::N,käsivars,腕
28,Ellenbogen::N,küünarnukk,肘
29,Hand::N,käsi,手
30,Handfläche::N,pihk,手のひら
31,Finger::N,sõrm,指
32,Fingernagel::N,küüs,爪
33,Nagel[Anatomie]::N,küüs,爪
34,Zeh::N,varvas,足の指
35,Fuß::N,jalg,足
36,Ferse::N,kand,かかと
37,Knie::N,põlv,膝
38,Oberschenkel::N,reis,上腿
39,Bein::N,jalg,足
40,Körper::N,ihu,体
41,Körper::N,keha,体
42,Haut::N,nahk,皮膚
43,Blut::N,veri,血
44,Ader::N,veen,血管
45,Sehne::N,kõõlus,腱
46,Knochen::N,luu,骨
47,Gehirn::N,aju,脳
48,Herz::N,süda,心
49,Herz::N,süda,心臓
50,Magen::N,magu,胃
51,Leber::N,maks,肝臓
52,Atem::N,hingeõhk,息
53,Atem::N,hingeõhk,呼吸
54,Atem::N,hingamine,息
55,Atem::N,hingamine,呼吸
56,Hunger::N,nälg,空腹
57,Träne::N,pisar,涙
58,Geschmack::N,maitse,味
59,Geruch::N,lõhn,匂い
60,Schlaf::N,uni,睡眠
61,Traum::N,unenägu,夢
62,Himmel::N,taevas,空
63,Sonne::N,päike,太陽
64,Mond::N,kuu,月
65,Stern::N,täht,星
66,Luft::N,õhk,空気
67,Wind::N,tuul,風
68,Welle::N,laine,波
69,Wasser::N,vesi,水
70,Stein::N,kivi,石
71,Boden::N,maa,土地
72,Boden::N,pinnas,土地
73,Erde::N,maa,土
74,Staub::N,põrm,埃
75,Rauch::N,suits,煙
76,Funke::N,säde,火花
77,Feuer::N,tuli,火
78,Licht::N,valgus,光
79,Schatten::N,vari,陰
80,Wetter::N,ilm,天気
81,Nebel::N,udu,霧
82,Wolke::N,pilv,雲
83,Regen::N,sadu,雨
84,Schnee::N,lumi,雪
85,Eis::N,jää,氷
86,Frost::N,pakane,霜
87,Kälte::N,külm,寒さ
88,Kälte::N,külmus,寒さ
89,Hitze::N,kuumus,暑さ
90,Hitze::N,palavus,暑さ
91,Raureif::N,härmatis,霧氷
92,Regenbogen::N,vikerkaar,虹
93,Donner::N,kõu,雷
94,Donner::N,müristamine,雷
95,Strömung::N,voolus,流れ
96,Strömung::N,jõevool,流れ
97,Tropfen::N,tilk,滴
98,Schaum::N,vaht,泡
99,Schmutz::N,pori,汚れ
100,Schmutz::N,mustus,汚れ
101,See::N,järv,湖
102,Sumpf::N,soo,沼
103,Moor::N,raba,湿原
104,Wiese::N,aas,草原
105,Wiese::N,nurm,草原
106,Wald::N,mets,森
107,Hügel::N,küngas,丘
108,Anhöhe::N,küngas,高み
109,Berg::N,mägi,山
110,Gipfel::N,mäetipp,頂上
111,Höhle::N,koobas,洞窟
112,Abhang::N,nõlvak,斜面
113,Quelle::N,allikas,泉
114,Bach::N,oja,小川
115,Fluss::N,jõgi,川
116,Ufer::N,kallas,岸
117,Küste::N,rannik,海岸
118,Festland::N,mander,陸
119,Festland::N,maismaa,陸
120,Meer::N,meri,海
121,Bucht::N,laht,湾
122,Insel::N,saar,島
