,Concept_ID,ka,uk
0,Auge::N,თვალი,око
1,Ohr::N,ყური,вухо
2,Nase::N,ცხვირი,ніс
3,Mund::N,პირი,рот
4,Zahn::N,კბილი,зуб
5,Zunge::N,ენა,язик
6,Lippe::N,ბაგე,губа
7,Wange::N,ლოყა,щока
8,Gesicht::N,სახე,обличчя
9,Stirn::N,შუბლი,лоб
10,Haar::N,თმა,волосся
11,Schnurrbart::N,ულვაში,вуса
12,Bart::N,წვერი,борода
13,Kinn::N,ნიკაპი,підборіддя
14,Kiefer[Anatomie]::N,ყბა,щелепа
15,Kehle::N,ყელი,горло
16,Hals::N,ყელი,шия
17,Hals::N,კისერი,шия
18,Genick::N,კეფა,потилиця
19,Kopf::N,თავი,голова
20,Rücken::N,ზურგი,спина
21,Bauch::N,მუცელი,живіт
22,Nabel::N,ჭიპი,пупок
23,Busen::N,ძუძუ,груди
24,Brust::N,მკერდი,груди
25,Schulter::N,მხარი,плече
26,Schulter::N,მკლავი,плече
27,Arm::N,ხელი,рука
28,Ellenbogen::N,იდაყვი,лікоть
29,Hand::N,ხელი,рука
30,Handfläche::N,ნები,долоня
31,Handfläche::N,ხელისგული,долоня
32,Finger::N,თითი,палець
33,Fingernagel::N,ფრჩხილი,ніготь
34,Nagel[Anatomie]::N,ფრჩხილი,ніготь
35,Zeh::N,ფეხის თითი,палець на нозі
36,Fuß::N,ტერფი,нога
37,Fuß::N,ფეხისგული,нога
38,Ferse::N,ქუსლი,п’ятка
39,Knie::N,მუხლი,коліно
40,Oberschenkel::N,ბარძაყი,стегно
41,Bein::N,ფეხი,нога
42,Körper::N,ტანი,тіло
43,Körper::N,სხეული,тіло
44,Haut::N,კანი,шкіра
45,Blut::N,სისხლი,кров
46,Ader::N,ძარღვი,вена
47,Sehne::N,მყესი,сухожилля
48,Knochen::N,ძვალი,кістка
49,Gehirn::N,ტვინი,мозок
50,Herz::N,გული,серце
51,Magen::N,კუჭი,шлунок
52,Leber::N,ღვიძლი,печінка
53,Atem::N,სუნთქვა,дихання
54,Hunger::N,შიმშილი,голод
55,Träne::N,ცრემლი,сльоза
56,Geschmack::N,გემო,смак
57,Geruch::N,სუნი,запах
58,Schlaf::N,ძილი,сон
59,Schlaf::N,ძილი,сплячка
60,Traum::N,სიზმარი,сон
61,Himmel::N,ცა,небо
62,Sonne::N,მზე,сонце
63,Mond::N,მთვარე,місяць
64,Stern::N,ვარსკვლავი,зірка
65,Luft::N,ჰაერი,повітря
66,Wind::N,ქარი,вітер
67,Welle::N,ტალღა,хвиля
68,Wasser::N,წყალი,вода
69,Stein::N,ქვა,камінь
70,Boden::N,მიწა,ґрунт
71,Erde::N,ნიადაგი,земля
72,Staub::N,მტვერი,пил
73,Rauch::N,ბოლი,дим
74,Rauch::N,კვამლი,дим
75,Funke::N,ნაკვესი,іскра
76,Feuer::N,ცეცხლი,вогонь
77,Licht::N,შუქი,світло
78,Licht::N,სინათლე,світло
79,Schatten::N,ლანდი,тінь
80,Schatten::N,ჩრდილი,тінь
81,Wetter::N,ამინდი,погода
82,Nebel::N,ნისლი,туман
83,Wolke::N,ღრუბელი,хмара
84,Regen::N,წვიმა,дощ
85,Schnee::N,თოვლი,сніг
86,Eis::N,თოში,лід
87,Eis::N,ყინული,лід
88,Frost::N,ყინვა,мороз
89,Kälte::N,სიცივე,холод
90,Hitze::N,სიცხე,жар
91,Raureif::N,ჭირხლი,іній
92,Raureif::N,თრთვილი,іній
93,Regenbogen::N,ცისარტყელა,райдуга
94,Donner::N,ქუხილი,грім
95,Strömung::N,დინება,струмина
96,Tropfen::N,წვეთი,крапля
97,Schaum::N,ქაფი,піна
98,Schaum::N,დორბლი,піна
99,Schmutz::N,ჭუჭყი,бруд
100,Schmutz::N,ტალახი,бруд
101,See::N,ტბა,озеро
102,Sumpf::N,ჭაობი,драговина
103,Moor::N,ტორფნარი,болото
104,Wiese::N,ველი,луг
105,Wiese::N,ველი,лука
106,Wiese::N,მდელო,луг
107,Wiese::N,მდელო,лука
108,Wald::N,ტყე,ліс
109,Hügel::N,ბორცვი,горб
110,Anhöhe::N,მაღლობი,височина
111,Berg::N,მთა,гора
112,Gipfel::N,მწვერვალი,вершина
113,Höhle::N,მღვიმე,печера
114,Höhle::N,გამოქვებული,печера
115,Abhang::N,ფერდობი,схил
116,Quelle::N,წყარო,джерело
117,Quelle::N,სათავე,джерело
118,Bach::N,რუ,струмок
119,Bach::N,ნაკადული,струмок
120,Fluss::N,მდინარე,річка
121,Ufer::N,კიდე,берег
122,Ufer::N,ნაპირი,берег
123,Küste::N,ნაპირი,узбережжя
124,Festland::N,ხმელეთი,суша
125,Meer::N,ზღვა,море
126,Bucht::N,ყურე,бухта
127,Bucht::N,ყურე,затока
128,Insel::N,კუნძული,острів
129,Blume::N,ყვავილი,квітка
130,Gras::N,ბალახი,трава
131,Wurzel::N,ძირი,корінь
132,Wurzel::N,ფესვი,корінь
133,Baum::N,ხე,дерево
134,Stamm::N,ტანი,стовбур
135,Rinde::N,ქერქი,кора
136,Ast::N,ტოტი,гілка
137,Zweig::N,შტო,галузь
138,Blatt::N,ფოთოლი,лист
139,Birke::N,არყი,береза
140,Kiefer[Baum]::N,ფიჭვი,сосна
141,Weide[Baum]::N,ტირიფი,верба
142,Tanne::N,ნაძვი,ялиця
143,Horn::N,რქა,ріг
144,Feder::N,ფრთა,перо
145,Fell::N,ტყავი,хутро
146,Flügel::N,ფრთა,крило
147,Klaue::N,კლანჭი,кіготь
148,Kralle::N,ტორი,лапа
149,Schwanz::N,კუდი,хвіст
150,Ei::N,კვერცხი,яйце
151,Nest::N,ბუდე,гніздо
152,Bau::N,სორო,лігво
153,Tier::N,ნადირი,тварина
154,Tier::N,ცხოველი,тварина
155,Herde::N,ფარა,стадо
156,Kuh::N,ფური,корова
157,Kuh::N,ძროხა,корова
158,Bulle::N,ხარი,бик
159,Bulle::N,ხარი,бугай
160,Pferd::N,რაში,кінь
161,Pferd::N,ცხენი,кінь
162,Schaf::N,ცხვარი,вівця
163,Schwein::N,ღორი,свиня
164,Hund::N,ძაღლი,собака
165,Katze::N,კატა,кішка
166,Bär::N,დათვი,ведмідь
