,Concept_ID,da,kl
0,Auge::N,øje,isi
1,Ohr::N,øre,siut
2,Nase::N,næse,
3,Mund::N,mund,paaq
4,Mund::N,mund,qaneq
5,Zahn::N,tand,kigut
6,Zunge::N,tunge,oqaq
7,Lippe::N,læbe,qarloq
8,Wange::N,kind,ersaq
9,Gesicht::N,ansigt,kiinaq
10,Stirn::N,pande,qaaq
11,Haar::N,hår,meqqoq
12,Schnurrbart::N,overskæg,
13,Bart::N,skæg,umik
14,Kinn::N,hage,talloq
15,Kiefer[Anatomie]::N,kæbe,alleroq
16,Kehle::N,strube,malaq
17,Hals::N,hals,qungaseq
18,Genick::N,nakke,pukusuk
19,Kopf::N,hoved,niaqoq
20,Rücken::N,ryg,qimerlut
21,Bauch::N,mave,naaq
22,Nabel::N,navle,qalaseq
23,Busen::N,barm,iviangeq
24,Brust::N,bryst,iviangeq
25,Schulter::N,skulder,ersik
26,Schulter::N,skulder,assaqqoq
27,Arm::N,arm,taleq
28,Ellenbogen::N,albue,ikusik
29,Hand::N,hånd,assak
30,Handfläche::N,håndflade,itumak
31,Finger::N,finger,inuak
32,Fingernagel::N,fingernegl,kikiak
33,Nagel[Anatomie]::N,negl,kukik
34,Zeh::N,tå,isigak
35,Fuß::N,fod,
36,Ferse::N,hæl,kimmik
37,Knie::N,knæ,seeqqoq
38,Oberschenkel::N,lår,uppat
39,Oberschenkel::N,lår,quttoraq
40,Bein::N,ben,isigak
41,Körper::N,krop,timi
42,Körper::N,legeme,timi
43,Haut::N,hud,mattak
44,Blut::N,blod,aak
45,Ader::N,åre,taqaq
46,Sehne::N,sene,ujalu
47,Sehne::N,sene,ujaloq
48,Knochen::N,ben,saanikut
49,Gehirn::N,hjerne,qarasaq
50,Herz::N,hjerte,uummat
51,Magen::N,mave,aqajaroq
52,Leber::N,lever,tinguk
53,Atem::N,ånde,anerneq
54,Hunger::N,sult,kaanneq
55,Träne::N,tåre,qia
56,Träne::N,tåre,qiak
57,Geschmack::N,smag,qilanaartuut
58,Geruch::N,lugt,tipi
59,Geruch::N,lugt,tipik
60,Schlaf::N,søvn,
61,Traum::N,drøm,sinnattoq
62,Traum::N,drøm,sinnattugaq
63,Himmel::N,himmel,qilak
64,Sonne::N,sol,seqineq
65,Mond::N,måne,qaammat
66,Stern::N,stjerne,ulloriaq
67,Luft::N,luft,silaannaq
68,Wind::N,vind,anori
69,Wind::N,vind,anorsarik
70,Welle::N,bølge,aalappaa
71,Wasser::N,vand,imeq
72,Stein::N,sten,ujarak
73,Boden::N,jord,nateq
74,Erde::N,jord,issoq
75,Staub::N,støv,pujualanerit
76,Staub::N,støv,pujoralanerit
77,Rauch::N,røg,iseq
78,Rauch::N,røg,pujoq
79,Funke::N,gnist,illoorneq
80,Feuer::N,ild,inneq
81,Licht::N,lys,qaamaneq
82,Schatten::N,skygge,tarraq
83,Wetter::N,vejr,sila
84,Nebel::N,tåge,pujoq
85,Wolke::N,sky,nuia
86,Regen::N,regn,sialuk
87,Schnee::N,sne,aput
88,Eis::N,is,siku
89,Frost::N,frost,issi
90,Frost::N,frost,issik
91,Kälte::N,kulde,issi
92,Hitze::N,hede,kianneq
93,Hitze::N,hede,kiassuseq
94,Raureif::N,rimfrost,kaneq
95,Regenbogen::N,regnbue,neriusaaq
96,Donner::N,torden,kalleq
97,Strömung::N,strømning,
98,Tropfen::N,dråbe,kuseriarneq
99,Schaum::N,skum,qapuk
100,Schmutz::N,snavs,minguk
101,See::N,sø,taseq
102,Sumpf::N,sump,maqulluk
103,Moor::N,mose,
104,Wiese::N,eng,masarsuk
105,Wald::N,skov,
106,Hügel::N,høj,qattuneq
107,Hügel::N,høj,majuariaq
108,Hügel::N,høj,majorajaaq
109,Hügel::N,høj,qaqqannguaq
110,Hügel::N,bakke,qattuneq
111,Hügel::N,bakke,majuariaq
112,Hügel::N,bakke,majorajaaq
113,Hügel::N,bakke,qaqqannguaq
114,Anhöhe::N,høj,
115,Anhöhe::N,bakke,
116,Berg::N,bjerg,qaqqaq
117,Gipfel::N,top,
118,Höhle::N,hule,qaarusuk
119,Abhang::N,skrænt,ippik
120,Abhang::N,skrænt,sivinganeq
121,Abhang::N,skrænt,sivingajaaq
122,Abhang::N,skrænt,kussangajaaq
123,Abhang::N,skråning,ippik
124,Abhang::N,skråning,sivinganeq
125,Abhang::N,skråning,sivingajaaq
126,Abhang::N,skråning,kussangajaaq
127,Quelle::N,kilde,
128,Bach::N,bæk,kuunnguaq
129,Fluss::N,flod,kuuk
130,Ufer::N,bred,sissap sinaa
131,Küste::N,kyst,sineriak
132,Festland::N,fastland,
133,Meer::N,hav,imaq
134,Bucht::N,bugt,ikeq
135,Bucht::N,bugt,kangerluk
136,Bucht::N,bugt,kangerliumaneq
137,Insel::N,ø,qeqertaq
138,Blume::N,blomst,naasoq
139,Gras::N,græs,ivigaq
140,Wurzel::N,rod,niulutaq
141,Baum::N,træ,orpik
