,Concept_ID,ku,hr
0,Auge::N,çav,oko
1,Ohr::N,guh,uho
2,Nase::N,bêvil,nos
3,Mund::N,dev,usta
4,Zahn::N,didan,zub
5,Zunge::N,ziman,jezik
6,Lippe::N,lêv,usna
7,Wange::N,dêm,obraz
8,Wange::N,hinarik,obraz
9,Gesicht::N,rû,lice
10,Stirn::N,enî,čelo
11,Haar::N,por,kosa
12,Schnurrbart::N,simbêl,brkovi
13,Bart::N,rih,brada
14,Kinn::N,zenî,brada
15,Kinn::N,zenî,podbradak
16,Kiefer[Anatomie]::N,arguşk,čeljust
17,Kehle::N,qirik,grlo
18,Hals::N,stû,vrat
19,Hals::N,qirik,vrat
20,Genick::N,stû,zatiljak
21,Kopf::N,serî,glava
22,Rücken::N,pişt,leđa
23,Rücken::N,pişt,hrbat
24,Bauch::N,ûr,trbuh
25,Bauch::N,zik,trbuh
26,Nabel::N,navik,pupak
27,Busen::N,sîng,sisa
28,Busen::N,sîng,njedra
29,Brust::N,sîng,prsa
30,Schulter::N,mil,rame
31,Schulter::N,mil,pleći
32,Arm::N,çepil,ruka
33,Ellenbogen::N,enîşk,lakat
34,Hand::N,dest,ruka
35,Handfläche::N,kefadest,dlan
36,Finger::N,tilî,prst
37,Fingernagel::N,neynuk,nokat
38,Nagel[Anatomie]::N,bizmar,nokat
39,Zeh::N,tilî linga,nozni prst
40,Fuß::N,ling,noga
41,Fuß::N,ling,stopalo
42,Ferse::N,pahnî,peta
43,Knie::N,kabok,koljeno
44,Oberschenkel::N,rahn,bedro
45,Bein::N,çip,noga
46,Körper::N,laş,tijelo
47,Körper::N,gowde,tijelo
48,Haut::N,çerm,put
49,Haut::N,çerm,koža
50,Blut::N,xwîn,krv
51,Ader::N,reh,žila
52,Sehne::N,reh,tetiva
53,Knochen::N,hestî,kost
54,Gehirn::N,mêjî,
55,Herz::N,dil,srce
56,Magen::N,navêş,stomak
57,Magen::N,navêş,želudac
58,Leber::N,kezeb,jetra
59,Atem::N,hilm,dah
60,Hunger::N,birçîtî,glad
61,Träne::N,hêstir,suza
62,Geschmack::N,tam,ukus
63,Geruch::N,bêhn,njuh
64,Geruch::N,bêhn,miris
65,Schlaf::N,xew,san
66,Traum::N,xewn,san
67,Himmel::N,ezman,nebo
68,Sonne::N,roj,sunce
69,Mond::N,heyv,mjesec
70,Stern::N,stêrk,zvijezda
71,Luft::N,ba,zrak
72,Wind::N,ba,vjetar
73,Welle::N,şewl,val
74,Welle::N,şewl,talas
75,Wasser::N,av,voda
76,Stein::N,kevir,kamen
77,Boden::N,herd,tlo
78,Boden::N,herd,zemlja
79,Erde::N,ax,zemlja
80,Staub::N,toz,prah
81,Staub::N,toz,prašina
82,Rauch::N,dû,dim
83,Funke::N,çirûşk,iskra
84,Funke::N,çirûşk,varnica
85,Feuer::N,agir,vatra
86,Licht::N,ronahî,svjetlo
87,Schatten::N,sî,hlad
88,Schatten::N,sî,sjena
89,Wetter::N,hewa,vrijeme
90,Nebel::N,mij,magla
91,Wolke::N,ewr,oblak
92,Regen::N,baran,kiša
93,Schnee::N,berf,snijeg
94,Eis::N,qeşa,led
95,Frost::N,xûsik,mraz
96,Kälte::N,serma,studen
97,Kälte::N,serma,hladnoća
98,Hitze::N,germayî,vrućina
99,Raureif::N,şext,inje
100,Regenbogen::N,heftreng,duga
101,Donner::N,gire-gir,grom
102,Donner::N,gire-gir,grmljavina
103,Strömung::N,şewl,struja
104,Strömung::N,şewl,strujanje
105,Tropfen::N,dilop,kap
