,Concept_ID,hu,fi
0,Auge::N,szem,silmä
1,Ohr::N,fül,korva
2,Nase::N,orr,nenä
3,Mund::N,száj,suu
4,Zahn::N,fog,hammas
5,Zunge::N,nyelv,kieli
6,Lippe::N,ajak,huuli
7,Wange::N,orca,poski
8,Gesicht::N,arc,naama
9,Gesicht::N,arc,kasvot
10,Stirn::N,homlok,otsa
11,Haar::N,haj,hius
12,Haar::N,haj,tukka
13,Schnurrbart::N,bajusz,viikset
14,Bart::N,szakáll,parta
15,Kinn::N,áll,leuka
16,Kiefer[Anatomie]::N,állkapocs,leukaluu
17,Kehle::N,gége,kurkku
18,Kehle::N,torok,kurkku
19,Hals::N,nyak,kaula
20,Genick::N,tarkó,niska
21,Kopf::N,fő,pää
22,Kopf::N,fej,pää
23,Rücken::N,hát,selkä
24,Bauch::N,has,maha
25,Bauch::N,has,vatsa
26,Nabel::N,köldök,napa
27,Busen::N,mell,rinta
28,Busen::N,kebel,rinta
29,Brust::N,mell,rinta
30,Schulter::N,váll,olka
31,Schulter::N,váll,hartia
32,Schulter::N,váll,olkapää
33,Arm::N,kar,käsivarsi
34,Ellenbogen::N,könyök,kyynärpää
35,Hand::N,kéz,käsi
36,Handfläche::N,tenyér,kämmen
37,Finger::N,ujj,sormi
38,Fingernagel::N,köröm,kynsi
39,Nagel[Anatomie]::N,köröm,kynsi
40,Zeh::N,lábujj,varvas
41,Fuß::N,láb,jalka
42,Ferse::N,sarok,kantapää
43,Knie::N,térd,polvi
44,Oberschenkel::N,comb,reisi
45,Bein::N,láb,jalka
46,Bein::N,lábszár,jalka
47,Körper::N,test,keho
48,Körper::N,test,ruumis
49,Haut::N,bőr,iho
50,Blut::N,vér,veri
51,Ader::N,ér,suoni
52,Sehne::N,ín,jänne
53,Knochen::N,csont,luu
54,Gehirn::N,agy,aivot
55,Gehirn::N,agyvelő,aivot
56,Herz::N,szív,sydän
57,Magen::N,gyomor,maha
58,Magen::N,gyomor,vatsa
59,Leber::N,máj,maksa
60,Atem::N,lehelet,henki
61,Atem::N,lehelet,hengitys
62,Atem::N,lélegzet,henki
63,Atem::N,lélegzet,hengitys
64,Hunger::N,éhség,nälkä
65,Träne::N,könny,kyynel
66,Geschmack::N,íz,maku
67,Geruch::N,szag,haju
68,Schlaf::N,álom,uni
69,Schlaf::N,alvás,uni
70,Traum::N,álom,uni
71,Himmel::N,ég,taivas
72,Himmel::N,menny,taivas
73,Sonne::N,nap,aurinko
74,Mond::N,hold,kuu
75,Stern::N,csillag,tähti
76,Luft::N,levegő,ilma
77,Wind::N,szél,tuuli
78,Welle::N,hullám,aalto
79,Wasser::N,víz,vesi
80,Stein::N,kő,kivi
81,Boden::N,föld,maa
82,Boden::N,föld,maaperä
83,Boden::N,talaj,maa
84,Boden::N,talaj,maaperä
85,Erde::N,föld,maa
86,Staub::N,por,pöly
87,Rauch::N,füst,savu
88,Funke::N,szikra,kipinä
89,Feuer::N,tűz,tuli
90,Licht::N,fény,valo
91,Schatten::N,árnyék,varjo
92,Wetter::N,idő,sää
93,Wetter::N,időjárás,sää
94,Nebel::N,köd,sumu
95,Wolke::N,felhő,pilvi
96,Regen::N,eső,sade
97,Schnee::N,hó,lumi
98,Eis::N,jég,jää
99,Frost::N,fagy,halla
100,Frost::N,fagy,pakkanen
101,Kälte::N,hideg,vilu
102,Kälte::N,hideg,kylmyys
103,Hitze::N,hő,helle
104,Hitze::N,hő,kuumuus
105,Hitze::N,hőség,helle
106,Hitze::N,hőség,kuumuus
107,Raureif::N,zúzmara,huurre
108,Regenbogen::N,szivárvány,sateenkaari
109,Donner::N,dörgés,jyrinä
110,Donner::N,mennydörgés,jyrinä
111,Strömung::N,áramlat,virtaus
112,Tropfen::N,csepp,tippa
113,Tropfen::N,csepp,pisara
114,Schaum::N,hab,vaahto
115,Schaum::N,tajték,vaahto
116,Schmutz::N,piszok,loka
117,See::N,tó,järvi
118,Sumpf::N,mocsár,suo
119,Moor::N,láp,räme
120,Wiese::N,rét,niitty
121,Wiese::N,mező,niitty
122,Wald::N,erdő,metsä
123,Hügel::N,domb,mäki
124,Hügel::N,domb,kumpu
125,Hügel::N,domb,kukkula
126,Anhöhe::N,magaslat,mäki
127,Anhöhe::N,magaslat,kumpare
128,Berg::N,hegy,mäki
129,Berg::N,hegy,vuori
130,Gipfel::N,csúcs,laki
131,Gipfel::N,csúcs,huippu
132,Höhle::N,barlang,luola
133,Abhang::N,lejtő,rinne
134,Quelle::N,forrás,lähde
135,Bach::N,patak,puro
136,Fluss::N,folyó,joki
137,Ufer::N,part,ranta
138,Küste::N,tengerpart,rannikko
139,Festland::N,szárazföld,manner
140,Meer::N,tenger,meri
141,Bucht::N,öböl,lahti
142,Insel::N,sziget,saari
143,Blume::N,virág,kukka
144,Gras::N,fű,ruoho
145,Wurzel::N,gyökér,juuri
146,Baum::N,fa,puu
147,Stamm::N,tő,runko
148,Stamm::N,törzs,runko
149,Rinde::N,kéreg,kuori
150,Rinde::N,kéreg,parkki
151,Ast::N,ág,oksa
152,Zweig::N,gally,haara
153,Blatt::N,levél,lehti
154,Birke::N,nyír,koivu
155,Kiefer[Baum]::N,fenyő,mänty
156,Kiefer[Baum]::N,fenyő,petäjä
157,Weide[Baum]::N,fűz,paju
158,Tanne::N,fenyő,kuusi
159,Horn::N,szarv,sarvi
160,Feder::N,toll,sulka
161,Feder::N,toll,höyhen
162,Fell::N,szőr,talja
163,Fell::N,bunda,talja
164,Flügel::N,szárny,siipi
165,Klaue::N,köröm,kynsi
166,Kralle::N,karom,kynsi
167,Schwanz::N,farok,häntä
168,Schwanz::N,farok,pyrstö
169,Ei::N,tojás,muna
170,Nest::N,fészek,pesä
171,Bau::N,odú,pesä
172,Tier::N,állat,eläin
173,Herde::N,nyáj,lauma
174,Herde::N,csorda,lauma
175,Kuh::N,tehén,lehmä
176,Bulle::N,bika,sonni
177,Pferd::N,ló,hevonen
178,Schaf::N,juh,lammas
179,Schaf::N,birka,lammas
180,Schwein::N,sertés,sika
181,Hund::N,eb,koira
182,Hund::N,kutya,koira
183,Katze::N,macska,kissa
184,Bär::N,medve,karhu
185,Eichhörnchen::N,mókus,orava
186,Elch::N,jávorszarvas,hirvi
187,Fuchs::N,róka,kettu
188,Hase::N,nyúl,jänis
189,Maus::N,egér,hiiri
190,Wolf::N,farkas,susi
191,Vogel::N,madár,lintu
192,Schwarm::N,raj,parvi
193,Huhn::N,tyúk,kana
194,Hahn::N,kakas,kukko
195,Gans::N,lúd,hanhi
196,Gans::N,liba,hanhi
197,Adler::N,sas,kotka
198,Ente::N,kacsa,ankka
199,Eule::N,bagoly,pöllö
200,Kranich::N,daru,kurki
201,Krähe::N,varjú,varis
202,Kuckuck::N,kakukk,käki
203,Schwan::N,hattyú,joutsen
204,Fisch::N,hal,kala
205,Barsch::N,sügér,ahven
206,Hecht::N,csuka,hauki
207,Schlange[Tier]::N,kígyó,käärme
208,Wurm::N,kukac,mato
209,Spinne::N,pók,hämähäkki
210,Ameise::N,hangya,muurahainen
211,Laus::N,tetű,täi
212,Mücke::N,szúnyog,sääski
213,Mücke::N,szúnyog,hyttynen
214,Fliege::N,légy,kärpänen
215,Schmetterling::N,lepke,perhonen
216,Schmetterling::N,pillangó,perhonen
217,Beere::N,bogyó,marja
218,Apfel::N,alma,omena
219,Pilz::N,gomba,sieni
220,Zwiebel::N,hagyma,sipuli
221,Saat::N,vetőmag,siemenet
222,Korn::N,mag,jyvä
223,Korn::N,mag,vilja
224,Korn::N,szem,jyvä
225,Korn::N,szem,vilja
226,Heu::N,széna,heinä
227,Schale::N,héj,kuori
228,Grube::N,verem,kuoppa
229,Falle::N,csapda,loukku
230,Schlinge::N,tőr,ansa
231,Spur::N,nyom,jälki
232,Asche::N,hamu,tuhka
233,Dreck::N,sár,lika
234,Dreck::N,piszok,lika
235,Eisen::N,vas,rauta
236,Gold::N,arany,kulta
237,Silber::N,ezüst,hopea
238,Kohle::N,szén,hiili
239,Glas::N,üveg,lasi
240,Lehm::N,agyag,savi
241,Lehm::N,vályog,savi
242,Sand::N,homok,hiekka
243,Mensch::N,ember,ihminen
244,Mann::N,úr,mies
245,Mann::N,férfi,mies
246,Frau::N,nő,nainen
247,Frau::N,asszony,nainen
248,Kind::N,gyerek,lapsi
249,Kind::N,gyermek,lapsi
250,Junge::N,fiú,poika
251,Mädchen::N,lány,tyttö
252,Familie::N,család,perhe
253,Großvater::N,nagyapa,isoisä
254,Großmutter::N,nagyanya,isoäiti
255,Eltern::N,szülők,vanhemmat
256,Vater::N,apa,isä
257,Vater::N,atya,isä
258,Mutter::N,anya,äiti
259,Sohn::N,fiú,poika
260,Tochter::N,lány,tytär
261,Bruder::N,fivér,veli
262,Bruder::N,testvér,veli
263,Schwester::N,nővér,sisko
264,Schwester::N,lánytestvér,sisko
265,Onkel::N,nagybácsi,eno
266,Onkel::N,nagybácsi,setä
267,Tante::N,nagynéni,täti
268,Ehemann::N,férj,mies
269,Ehemann::N,férj,aviomies
270,Ehefrau::N,feleség,vaimo
271,Ehefrau::N,feleség,aviovaimo
272,Freude::N,öröm,ilo
273,Freude::N,öröm,riemu
274,Gelächter::N,nevetés,nauru
275,Gelächter::N,hahotázás,nauru
276,Glück::N,boldogság,onni
277,Kummer::N,bánat,suru
278,Kummer::N,bánat,murhe
279,Wunsch::N,óhaj,toive
280,Wunsch::N,óhaj,toivomus
281,Lust::N,kedv,himo
282,Geist::N,elme,henki
283,Geist::N,szellem,henki
284,Gedanke::N,gondolat,aate
285,Gedanke::N,gondolat,ajatus
286,Gedächtnis::N,emlékezet,muisti
287,Verstand::N,ész,äly
288,Verstand::N,ész,järki
289,Verstand::N,ész,ymmärrys
290,Verstand::N,értelem,äly
291,Verstand::N,értelem,järki
292,Verstand::N,értelem,ymmärrys
293,Sinn::N,értelem,merkitys
294,Grund::N,ok,syy
295,Grund::N,ok,peruste
296,Grund::N,alap,syy
297,Grund::N,alap,peruste
298,Wahrheit::N,igaz,tosi
299,Wahrheit::N,igaz,totuus
300,Wahrheit::N,igazság,tosi
301,Wahrheit::N,igazság,totuus
302,Gespräch::N,beszélgetés,puhelu
303,Gespräch::N,beszélgetés,keskustelu
304,Märchen::N,mese,satu
305,Erzählung::N,elbeszélés,tarina
306,Erzählung::N,elbeszélés,kertomus
307,Nachricht::N,hír,tieto
308,Nachricht::N,hír,ilmoitus
309,Nachricht::N,híradás,tieto
310,Nachricht::N,híradás,ilmoitus
311,Neuigkeit::N,újság,uutinen
312,Name::N,név,nimi
313,Rätsel::N,rejtvény,arvoitus
314,Rede::N,beszéd,puhe
315,Rede::N,szónoklat,puhe
316,Sprache::N,nyelv,kieli
317,Stimme::N,hang,ääni
318,Wort::N,szó,sana
319,Zeichen::N,jel,merkki
320,Ruf::N,kiáltás,kutsu
321,Lärm::N,zaj,melu
322,Lärm::N,zaj,hälinä
323,Laut::N,hang,ääni
324,Ton::N,hang,sävel
325,Lied::N,dal,laulu
326,Lied::N,ének,laulu
327,Ruhe::N,csend,lepo
328,Ruhe::N,csend,rauha
329,Ruhe::N,nyugalom,lepo
330,Ruhe::N,nyugalom,rauha
331,Leute::N,emberek,väki
332,Leute::N,emberek,ihmiset
333,Volk::N,nép,kansa
334,Arbeit::N,dolog,työ
335,Gast::N,vendég,vieras
336,Geschenk::N,ajándék,lahja
337,Spiel::N,játék,peli
338,Spiel::N,játék,leikki
339,Gesellschaft::N,társaság,seura
340,Hilfe::N,segítség,apu
341,Freund::N,barát,ystävä
342,Kamerad::N,társ,toveri
343,Angelegenheit::N,ügy,asia
344,Anzahl::N,szám,lukumäärä
345,Art::N,faj,laji
346,Art::N,fajta,laji
347,Stück::N,darab,pala
348,Stück::N,darab,kappale
349,Teil::N,rész,osa
350,Hälfte::N,fél,puoli
351,Kreis::N,kör,ympyrä
352,Kreuz::N,kereszt,risti
353,Linie::N,vonal,viiva
354,Strich::N,vonás,piirto
355,Abstand::N,köz,väli
356,Abstand::N,köz,väljyys
357,Entfernung::N,távolság,etäisyys
358,Gegend::N,táj,seutu
359,Gegend::N,vidék,seutu
360,Platz::N,hely,tila
361,Ort::N,hely,kohta
362,Ort::N,hely,paikka
363,Seite::N,fél,sivu
364,Seite::N,fél,kylki
365,Seite::N,oldal,sivu
366,Seite::N,oldal,kylki
367,Mitte::N,közép,keskus
368,Mitte::N,közép,puoliväli
369,Gegenstand::N,tárgy,kalu
370,Gegenstand::N,tárgy,esine
371,Sache::N,dolog,asia
372,Rand::N,szél,ääri
373,Rand::N,szél,syrjä
374,Rand::N,perem,ääri
375,Rand::N,perem,syrjä
376,Rand::N,szegély,ääri
377,Rand::N,szegély,syrjä
378,Kante::N,él,särmä
379,Ecke::N,sarok,nurkka
380,Ecke::N,szöglet,nurkka
381,Spitze::N,csúcs,terä
382,Spitze::N,csúcs,kärki
383,Ende::N,vég,pää
384,Ende::N,vég,perä
385,Loch::N,lyuk,kolo
386,Loch::N,lyuk,reikä
387,Winkel::N,szög,kulma
388,Muster::N,minta,kuvio
389,Größe::N,nagyság,koko
390,Größe::N,nagyság,suuruus
391,Länge::N,hossz,pituus
392,Länge::N,hosszúság,pituus
393,Höhe::N,magasság,korkeus
394,Gewicht::N,súly,paino
395,Menge::N,sokaság,määrä
396,Menge::N,mennyiség,määrä
397,Haufen::N,halom,kasa
398,Reihe::N,sor,rivi
399,Boot::N,csónak,vene
400,Ruder::N,evező,airo
401,Schlitten::N,szánkó,reki
402,Schlitten::N,szánkó,kelkka
403,Ski::N,sí,suksi
404,Lagerfeuer::N,tábortűz,nuotio
405,Last::N,teher,kuorma
406,Gang::N,járás,kulku
407,Gang::N,járás,käynti
408,Schritt::N,lépés,askel
409,Norden::N,észak,pohjoinen
410,Süden::N,dél,etelä
411,Westen::N,nyugat,länsi
412,Osten::N,kelet,itä
413,Holz::N,fa,puu
414,Brett::N,deszka,lauta
415,Platte::N,lap,levy
416,Platte::N,lemez,levy
417,Stütze::N,támasz,noja
418,Stütze::N,támaszték,noja
419,Stange::N,rúd,tanko
420,Stange::N,pózna,tanko
421,Stock::N,pálca,keppi
422,Stab::N,bot,sauva
423,Stab::N,bot,seiväs
424,Rohr::N,cső,putki
425,Haus::N,ház,talo
426,Heim::N,otthon,koti
427,Ofen::N,kályha,uuni
428,Fußboden::N,padló,lattia
429,Tisch::N,asztal,pöytä
430,Stuhl::N,szék,tuoli
431,Wiege::N,bölcső,kehto
432,Bett::N,ágy,sänky
433,Regal::N,polc,hylly
434,Regal::N,állvány,hylly
435,Kiste::N,láda,arkku
436,Kiste::N,láda,kirstu
437,Kiste::N,láda,laatikko
438,Fenster::N,ablak,ikkuna
439,Tür::N,ajtó,ovi
440,Tor::N,kapu,portti
441,Zaun::N,kerítés,aita
442,Dach::N,tető,katto
443,Leiter::N,létra,tikkaat
