,Concept_ID,cv,se
0,Auge::N,куҫ,tjelmie
1,Auge::N,куҫ,tjalmme
2,Auge::N,куҫ,čalbmi
3,Auge::N,куҫ,čalme
4,Auge::N,куҫ,čâ´lmm
5,Auge::N,куҫ,ча̄лльм
6,Ohr::N,хӑлха,bieljie
7,Ohr::N,хӑлха,biellje
8,Ohr::N,хӑлха,beallji
9,Ohr::N,хӑлха,pelji
10,Ohr::N,хӑлха,pe´llj
11,Ohr::N,хӑлха,пе̄лльй
12,Nase::N,сӑмса,njuenie
13,Nase::N,сӑмса,njunnje
14,Nase::N,сӑмса,njunni
15,Nase::N,сӑмса,njuṇe
16,Nase::N,сӑмса,njuu´nn
17,Nase::N,сӑмса,нюннҍ
18,Mund::N,ҫӑвар,njaelmie
19,Mund::N,ҫӑвар,njálmme
20,Mund::N,ҫӑвар,njálbmi
21,Mund::N,ҫӑвар,njälmi
22,Mund::N,ҫӑвар,njä´lmm
23,Mund::N,ҫӑвар,ня̄лльм
24,Zahn::N,шӑл,baenie
25,Zahn::N,шӑл,bádne
26,Zahn::N,шӑл,bátni
27,Zahn::N,шӑл,pääṇi
28,Zahn::N,шӑл,pää´nn
29,Zahn::N,шӑл,па̄ннҍ
30,Zunge::N,чӗлхе,njoektjeme
31,Zunge::N,чӗлхе,njuovtjav
32,Zunge::N,чӗлхе,njuovčča
33,Zunge::N,чӗлхе,njuovčâ
34,Zunge::N,чӗлхе,njuhččâm
35,Zunge::N,чӗлхе,нюхчем
36,Lippe::N,тута,bangseme
37,Lippe::N,тута,njálmmerabdda
38,Lippe::N,тута,bavssa
39,Lippe::N,тута,poovsâ
40,Lippe::N,тута,põõus
41,Lippe::N,тута,пэ̄кс
42,Wange::N,пит ҫӑмарти,skiehrie
43,Wange::N,пит ҫӑмарти,nierra
44,Wange::N,пит ҫӑмарти,muohtu
45,Wange::N,пит ҫӑмарти,nieṛâ
46,Wange::N,пит ҫӑмарти,njiõrr
47,Wange::N,пит ҫӑмарти,нӣрр
48,Gesicht::N,пит,ååredæjja
49,Gesicht::N,пит,muohto
50,Gesicht::N,пит,muođut
51,Gesicht::N,пит,ámadadju
52,Gesicht::N,пит,muáđuh
53,Gesicht::N,пит,muâđ
54,Gesicht::N,пит,ка̄ссв
55,Gesicht::N,пит-куҫ,ååredæjja
56,Gesicht::N,пит-куҫ,muohto
57,Gesicht::N,пит-куҫ,muođut
58,Gesicht::N,пит-куҫ,ámadadju
59,Gesicht::N,пит-куҫ,muáđuh
60,Gesicht::N,пит-куҫ,muâđ
61,Gesicht::N,пит-куҫ,ка̄ссв
62,Stirn::N,ҫамка,gaalloe
63,Stirn::N,ҫамка,gállo
64,Stirn::N,ҫамка,gállu
65,Stirn::N,ҫамка,kállu
66,Stirn::N,ҫамка,käll
67,Stirn::N,ҫамка,вуэххьц
68,Haar::N,ҫӳҫ,voepte
69,Haar::N,ҫӳҫ,vuoppta
70,Haar::N,ҫӳҫ,vuokta
71,Haar::N,ҫӳҫ,vuop'tâ
72,Haar::N,ҫӳҫ,vuõpt
73,Haar::N,ҫӳҫ,вӯппт
74,Schnurrbart::N,усси,bijjie-skaavtjoe
75,Schnurrbart::N,усси,njunjevuolskávttjá
76,Schnurrbart::N,усси,seamu
77,Schnurrbart::N,усси,siämu
78,Schnurrbart::N,усси,ää´bben
79,Schnurrbart::N,усси,о̄а̄бпан
80,Bart::N,сухал,skaavtja
81,Bart::N,сухал,skaavtjoe
82,Bart::N,сухал,skávttjá
83,Bart::N,сухал,seamu
84,Bart::N,сухал,siämu
85,Bart::N,сухал,seäm
86,Bart::N,сухал,ся̄м
87,Kinn::N,янах,gaejpie
88,Kinn::N,янах,gájbbe
89,Kinn::N,янах,gáibi
90,Kinn::N,янах,käibi
91,Kinn::N,янах,käi´bb
92,Kinn::N,янах,ка̄ййп
93,Kiefer[Anatomie]::N,янах,gaejpie
94,Kiefer[Anatomie]::N,янах,oalol
95,Kiefer[Anatomie]::N,янах,oaloldákte
96,Kiefer[Anatomie]::N,янах,gáibi
97,Kiefer[Anatomie]::N,янах,uá'lultähti
98,Kiefer[Anatomie]::N,янах,vuâl'lõš
99,Kiefer[Anatomie]::N,янах,вуаллнешш
100,Kehle::N,пыр,gealoe
101,Kehle::N,пыр,tjåttå
102,Kehle::N,пыр,njiello
103,Kehle::N,пыр,čotta
104,Kehle::N,пыр,čuudâ
105,Kehle::N,пыр,čoodd
106,Kehle::N,пыр,чонт
107,Kehle::N,пыр,кэ̄ҏс
108,Kehle::N,карланкӑ,gealoe
109,Kehle::N,карланкӑ,tjåttå
110,Kehle::N,карланкӑ,njiello
111,Kehle::N,карланкӑ,čotta
112,Kehle::N,карланкӑ,čuudâ
113,Kehle::N,карланкӑ,čoodd
114,Kehle::N,карланкӑ,чонт
115,Kehle::N,карланкӑ,кэ̄ҏс
116,Hals::N,пыр,tjeapohke
117,Hals::N,пыр,tjiebet
118,Hals::N,пыр,čeabet
119,Hals::N,пыр,čiäppát
120,Hals::N,пыр,čeäppat
121,Hals::N,пыр,ча̄пэх
122,Genick::N,ӗнсе,tjovrese
123,Genick::N,ӗнсе,nisske
124,Genick::N,ӗнсе,niehkki
125,Genick::N,ӗнсе,niski
126,Genick::N,ӗнсе,niek'ki
127,Genick::N,ӗнсе,nji´šǩǩmaadd
128,Genick::N,ӗнсе,нышшькмоант
129,Kopf::N,пуҫ,åejjie
130,Kopf::N,пуҫ,oajvve
131,Kopf::N,пуҫ,oaivi
132,Kopf::N,пуҫ,uái'vi
133,Kopf::N,пуҫ,vuei´vv
134,Kopf::N,пуҫ,вуэййв
135,Rücken::N,ҫурӑм,rudtje
136,Rücken::N,ҫурӑм,hárddo
137,Rücken::N,ҫурӑм,tjavelk
138,Rücken::N,ҫурӑм,sealgi
139,Rücken::N,ҫурӑм,selgi
140,Rücken::N,ҫурӑм,čielgi
141,Rücken::N,ҫурӑм,seä´lǧǧ
142,Rücken::N,ҫурӑм,се̄лльк
143,Nabel::N,кӑвапа,naepie
144,Nabel::N,кӑвапа,náhpe
145,Nabel::N,кӑвапа,náhpi
146,Nabel::N,кӑвапа,nääpi
147,Nabel::N,кӑвапа,nää´pp
148,Nabel::N,кӑвапа,на̄бпь
149,Busen::N,кӑкӑр,boenge
150,Busen::N,кӑкӑр,bållå
151,Busen::N,кӑкӑр,čižži
152,Busen::N,кӑкӑр,njamma
153,Busen::N,кӑкӑр,njižže
154,Busen::N,кӑкӑр,nje´ǯǯ
155,Busen::N,кӑкӑр,раннҍт
156,Brust::N,умӗ,mïelke
157,Brust::N,умӗ,radde
158,Brust::N,умӗ,mielgga
159,Brust::N,умӗ,raddi
160,Brust::N,умӗ,radde
161,Brust::N,умӗ,râ´dd
162,Brust::N,умӗ,раннҍт
163,Schulter::N,хул пуҫҫи,åelkie
164,Schulter::N,хул пуҫҫи,oalgge
165,Schulter::N,хул пуҫҫи,hárdu
166,Schulter::N,хул пуҫҫи,ärdee
167,Schulter::N,хул пуҫҫи,uál'gi
168,Schulter::N,хул пуҫҫи,a´rddi
169,Schulter::N,хул пуҫҫи,vuä´lǧǧ
170,Schulter::N,хул пуҫҫи,вуэллык
171,Arm::N,алӑ,gïete
172,Arm::N,алӑ,giehta
173,Arm::N,алӑ,giehta
174,Arm::N,алӑ,kietâ
175,Arm::N,алӑ,kie'tâkaaṿâ
176,Arm::N,алӑ,ǩiõtt
177,Arm::N,алӑ,кӣдт
178,Ellenbogen::N,чавса,gernjere
179,Ellenbogen::N,чавса,garŋŋel
