,Concept_ID,,kn
0,Auge::N,,ಕಣ್ಣು
1,Ohr::N,,ಕಿವಿ
2,Nase::N,,ಮೂಗು
3,Mund::N,,ಬಾಯಿ
4,Zahn::N,,ಹಲ್ಲು
5,Zunge::N,,ನಾಲಿಗೆ
6,Lippe::N,,ತುಟಿ
7,Wange::N,,ಗಲ್ಲ
8,Gesicht::N,,ಮುಖ
9,Stirn::N,,ಹಣೆ
10,Haar::N,,ಕೂದಲು
11,Schnurrbart::N,,ಮೀಸೆ
12,Bart::N,,ಗಡ್ಡ
13,Kinn::N,,ಗದ್ದ
14,Kiefer[Anatomie]::N,,ದವಡೆ
15,Kehle::N,,ಗಂಟಲು
16,Hals::N,,ಕೊರಳು
17,Genick::N,,ಹಿಂಗತ್ತು
18,Kopf::N,,ತಲೆ
19,Rücken::N,,ಬೆನ್ನು
20,Bauch::N,,ಹೊಟ್ಟೆ
21,Nabel::N,,ಹೊಕ್ಕುಳು
22,Busen::N,,ಸ್ತನ
23,Brust::N,,ಎದೆ
24,Schulter::N,,ಭುಜ
25,Arm::N,,ತೋಳು
26,Ellenbogen::N,,ಮೊಣಕೈ
27,Hand::N,,ಕೈ
28,Handfläche::N,,ಅಂಗೈ
29,Finger::N,,ಕೈಬೆರಳು
30,Fingernagel::N,,ಉಗುರು
31,Nagel[Anatomie]::N,,ಉಗುರು
32,Zeh::N,,ಕಾಲ್ಬೆರಳು
33,Fuß::N,,ಪಾದ
34,Ferse::N,,ಹಿಮ್ಮಡಿ
35,Knie::N,,ಮಂಡಿ
36,Oberschenkel::N,,ತೊಡೆ
37,Bein::N,,ಕಾಲು
38,Körper::N,,ದೇಹ
39,Haut::N,,ಚರ್ಮ
40,Blut::N,,ರಕ್ತ
41,Ader::N,,ನರ
42,Sehne::N,,ನರ
43,Knochen::N,,ಮೂಳೆ
44,Gehirn::N,,ಮಿದುಳು
45,Herz::N,,ಹೃದಯ
46,Magen::N,,ಉದರ
47,Leber::N,,ಯಕೃತ್ತು
48,Atem::N,,ಉಸಿರು
49,Hunger::N,,ಹಸಿವು
50,Träne::N,,ಕಣ್ಣೀರು
51,Geschmack::N,,ರುಚಿ
52,Geruch::N,,ವಾಸನೆ
53,Schlaf::N,,ನಿದ್ರೆ
54,Traum::N,,ಕನಸು
55,Himmel::N,,ಬಾನು
56,Sonne::N,,ಸೂರ್ಯ
57,Mond::N,,ಚಂದ್ರ
58,Stern::N,,ಚುಕ್ಕಿ
59,Luft::N,,ವಾಯು
60,Wind::N,,ಗಾಳಿ
61,Welle::N,,ಅಲೆ
62,Wasser::N,,ನೀರು
63,Stein::N,,ಕಲ್ಲು
64,Boden::N,,ನೆಲ
65,Erde::N,,ಭೂಮಿ
66,Staub::N,,ದೂಳು
67,Rauch::N,,ಹೊಗೆ
68,Funke::N,,ಕಿಡಿ
69,Feuer::N,,ಬೆಂಕಿ
70,Licht::N,,ಬೆಳಕು
71,Schatten::N,,ನೆರಳು
72,Wetter::N,,ಹವ
73,Nebel::N,,ಮಂಜು
74,Wolke::N,,ಮೋಡ
75,Regen::N,,ಮಳೆ
76,Schnee::N,,ಹಿಮ
77,Eis::N,,ಮಂಜುಗಡ್ಡೆ
78,Frost::N,,ಮಂಜು
79,Kälte::N,,ಹಿಮ
80,Hitze::N,,ಉಷ್ಣ
81,Raureif::N,,ಇಬ್ಬನಿ
82,Regenbogen::N,,ಇಂದ್ರಚಾಪ
83,Donner::N,,ಗುಡುಗು
84,Strömung::N,,ಪ್ರವಾಹ
85,Tropfen::N,,ತೊಟ್ಟು
86,Schaum::N,,ನೊರೆ
87,Schmutz::N,,ಕಸ
88,See::N,,ಸರೋವರ
89,Sumpf::N,,ಜೌಗುಸ್ಥಳ
90,Moor::N,,ಬಂಜರು ಭೂಮಿ
