,Concept_ID,cs,se
0,Auge::N,oko,tjelmie
1,Auge::N,oko,tjalmme
2,Auge::N,oko,čalbmi
3,Auge::N,oko,čalme
4,Auge::N,oko,čâ´lmm
5,Auge::N,oko,ча̄лльм
6,Ohr::N,ucho,bieljie
7,Ohr::N,ucho,biellje
8,Ohr::N,ucho,beallji
9,Ohr::N,ucho,pelji
10,Ohr::N,ucho,pe´llj
11,Ohr::N,ucho,пе̄лльй
12,Nase::N,nos,njuenie
13,Nase::N,nos,njunnje
14,Nase::N,nos,njunni
15,Nase::N,nos,njuṇe
16,Nase::N,nos,njuu´nn
17,Nase::N,nos,нюннҍ
18,Mund::N,pusa,njaelmie
19,Mund::N,pusa,njálmme
20,Mund::N,pusa,njálbmi
21,Mund::N,pusa,njälmi
22,Mund::N,pusa,njä´lmm
23,Mund::N,pusa,ня̄лльм
24,Zahn::N,zub,baenie
25,Zahn::N,zub,bádne
26,Zahn::N,zub,bátni
27,Zahn::N,zub,pääṇi
28,Zahn::N,zub,pää´nn
29,Zahn::N,zub,па̄ннҍ
30,Zunge::N,jazyk,njoektjeme
31,Zunge::N,jazyk,njuovtjav
32,Zunge::N,jazyk,njuovčča
33,Zunge::N,jazyk,njuovčâ
34,Zunge::N,jazyk,njuhččâm
35,Zunge::N,jazyk,нюхчем
36,Lippe::N,ret,bangseme
37,Lippe::N,ret,njálmmerabdda
38,Lippe::N,ret,bavssa
39,Lippe::N,ret,poovsâ
40,Lippe::N,ret,põõus
41,Lippe::N,ret,пэ̄кс
42,Wange::N,tvář,skiehrie
43,Wange::N,tvář,nierra
44,Wange::N,tvář,muohtu
45,Wange::N,tvář,nieṛâ
46,Wange::N,tvář,njiõrr
47,Wange::N,tvář,нӣрр
48,Gesicht::N,obličej,ååredæjja
49,Gesicht::N,obličej,muohto
50,Gesicht::N,obličej,muođut
51,Gesicht::N,obličej,ámadadju
52,Gesicht::N,obličej,muáđuh
53,Gesicht::N,obličej,muâđ
54,Gesicht::N,obličej,ка̄ссв
55,Stirn::N,čelo,gaalloe
56,Stirn::N,čelo,gállo
57,Stirn::N,čelo,gállu
58,Stirn::N,čelo,kállu
59,Stirn::N,čelo,käll
60,Stirn::N,čelo,вуэххьц
61,Haar::N,vlas,voepte
62,Haar::N,vlas,vuoppta
63,Haar::N,vlas,vuokta
64,Haar::N,vlas,vuop'tâ
65,Haar::N,vlas,vuõpt
66,Haar::N,vlas,вӯппт
67,Haar::N,vlasy,voepte
68,Haar::N,vlasy,vuoppta
69,Haar::N,vlasy,vuokta
70,Haar::N,vlasy,vuop'tâ
71,Haar::N,vlasy,vuõpt
72,Haar::N,vlasy,вӯппт
73,Schnurrbart::N,kníry,bijjie-skaavtjoe
74,Schnurrbart::N,kníry,njunjevuolskávttjá
75,Schnurrbart::N,kníry,seamu
76,Schnurrbart::N,kníry,siämu
77,Schnurrbart::N,kníry,ää´bben
78,Schnurrbart::N,kníry,о̄а̄бпан
79,Bart::N,vousy,skaavtja
80,Bart::N,vousy,skaavtjoe
81,Bart::N,vousy,skávttjá
82,Bart::N,vousy,seamu
83,Bart::N,vousy,siämu
84,Bart::N,vousy,seäm
85,Bart::N,vousy,ся̄м
86,Kinn::N,brada,gaejpie
87,Kinn::N,brada,gájbbe
88,Kinn::N,brada,gáibi
89,Kinn::N,brada,käibi
90,Kinn::N,brada,käi´bb
91,Kinn::N,brada,ка̄ййп
92,Kiefer[Anatomie]::N,čelist,gaejpie
93,Kiefer[Anatomie]::N,čelist,oalol
94,Kiefer[Anatomie]::N,čelist,oaloldákte
95,Kiefer[Anatomie]::N,čelist,gáibi
96,Kiefer[Anatomie]::N,čelist,uá'lultähti
97,Kiefer[Anatomie]::N,čelist,vuâl'lõš
98,Kiefer[Anatomie]::N,čelist,вуаллнешш
99,Kehle::N,hrdlo,gealoe
100,Kehle::N,hrdlo,tjåttå
101,Kehle::N,hrdlo,njiello
102,Kehle::N,hrdlo,čotta
103,Kehle::N,hrdlo,čuudâ
104,Kehle::N,hrdlo,čoodd
105,Kehle::N,hrdlo,чонт
106,Kehle::N,hrdlo,кэ̄ҏс
107,Hals::N,krk,tjeapohke
108,Hals::N,krk,tjiebet
109,Hals::N,krk,čeabet
110,Hals::N,krk,čiäppát
111,Hals::N,krk,čeäppat
112,Hals::N,krk,ча̄пэх
113,Genick::N,týl,tjovrese
114,Genick::N,týl,nisske
115,Genick::N,týl,niehkki
116,Genick::N,týl,niski
117,Genick::N,týl,niek'ki
118,Genick::N,týl,nji´šǩǩmaadd
119,Genick::N,týl,нышшькмоант
120,Kopf::N,hlava,åejjie
121,Kopf::N,hlava,oajvve
122,Kopf::N,hlava,oaivi
123,Kopf::N,hlava,uái'vi
124,Kopf::N,hlava,vuei´vv
125,Kopf::N,hlava,вуэййв
126,Rücken::N,záda,rudtje
127,Rücken::N,záda,hárddo
128,Rücken::N,záda,tjavelk
129,Rücken::N,záda,sealgi
130,Rücken::N,záda,selgi
131,Rücken::N,záda,čielgi
132,Rücken::N,záda,seä´lǧǧ
133,Rücken::N,záda,се̄лльк
134,Rücken::N,hřbet,rudtje
135,Rücken::N,hřbet,hárddo
136,Rücken::N,hřbet,tjavelk
137,Rücken::N,hřbet,sealgi
138,Rücken::N,hřbet,selgi
139,Rücken::N,hřbet,čielgi
140,Rücken::N,hřbet,seä´lǧǧ
141,Rücken::N,hřbet,се̄лльк
142,Bauch::N,břicho,tjåejjie
143,Bauch::N,břicho,tjoajvve
144,Bauch::N,břicho,čoavji
145,Bauch::N,břicho,čuáv'ji
146,Bauch::N,břicho,čåu´jj
147,Bauch::N,břicho,чо̄ввьй
148,Nabel::N,pupek,naepie
149,Nabel::N,pupek,náhpe
150,Nabel::N,pupek,náhpi
151,Nabel::N,pupek,nääpi
152,Nabel::N,pupek,nää´pp
153,Nabel::N,pupek,на̄бпь
154,Busen::N,ňadra,boenge
155,Busen::N,ňadra,bållå
156,Busen::N,ňadra,čižži
157,Busen::N,ňadra,njamma
158,Busen::N,ňadra,njižže
159,Busen::N,ňadra,nje´ǯǯ
160,Busen::N,ňadra,раннҍт
161,Brust::N,prsa,mïelke
162,Brust::N,prsa,radde
163,Brust::N,prsa,mielgga
164,Brust::N,prsa,raddi
165,Brust::N,prsa,radde
166,Brust::N,prsa,râ´dd
167,Brust::N,prsa,раннҍт
168,Schulter::N,plece,åelkie
169,Schulter::N,plece,oalgge
170,Schulter::N,plece,hárdu
171,Schulter::N,plece,ärdee
172,Schulter::N,plece,uál'gi
173,Schulter::N,plece,a´rddi
174,Schulter::N,plece,vuä´lǧǧ
175,Schulter::N,plece,вуэллык
176,Schulter::N,rameno,åelkie
177,Schulter::N,rameno,oalgge
178,Schulter::N,rameno,hárdu
179,Schulter::N,rameno,ärdee
180,Schulter::N,rameno,uál'gi
181,Schulter::N,rameno,a´rddi
182,Schulter::N,rameno,vuä´lǧǧ
183,Schulter::N,rameno,вуэллык
184,Arm::N,ruka,gïete
185,Arm::N,ruka,giehta
186,Arm::N,ruka,giehta
187,Arm::N,ruka,kietâ
188,Arm::N,ruka,kie'tâkaaṿâ
189,Arm::N,ruka,ǩiõtt
190,Arm::N,ruka,кӣдт
191,Ellenbogen::N,loket,gernjere
192,Ellenbogen::N,loket,garŋŋel
193,Ellenbogen::N,loket,gargŋil
194,Ellenbogen::N,loket,käŋŋir
195,Ellenbogen::N,loket,kõõnjâr
196,Ellenbogen::N,loket,карьнэль
197,Hand::N,ruka,gïete
198,Hand::N,ruka,giehta
199,Hand::N,ruka,giehta
200,Hand::N,ruka,kietâ
201,Hand::N,ruka,ǩiõtt
202,Hand::N,ruka,кӣдт
203,Handfläche::N,dlaň,gïeten-låapoe
204,Handfläche::N,dlaň,giehtavuodo
205,Handfläche::N,dlaň,tjårmmåvuodo
206,Handfläche::N,dlaň,giehtaloahpu
207,Handfläche::N,dlaň,kiämád
208,Handfläche::N,dlaň,kuámmir
209,Handfläche::N,dlaň,kuä´m'mer
210,Handfläche::N,dlaň,ǩiõttǩeä´m'men
211,Handfläche::N,dlaň,ко̄а̄ллдэгк
212,Handfläche::N,dlaň,кӣдткоалдэгк
213,Finger::N,prst,soerme
214,Finger::N,prst,tjuvdde
215,Finger::N,prst,suorbma
216,Finger::N,prst,čuvde
217,Finger::N,prst,suor'mâ
218,Finger::N,prst,suõrmm
219,Finger::N,prst,це̄ххп
