,Concept_ID,et,kl
0,Auge::N,silm,isi
1,Ohr::N,kõrv,siut
2,Nase::N,nina,
3,Mund::N,suu,paaq
4,Mund::N,suu,qaneq
5,Zahn::N,hammas,kigut
6,Zunge::N,keel,oqaq
7,Lippe::N,huul,qarloq
8,Wange::N,põsk,ersaq
9,Gesicht::N,nägu,kiinaq
10,Stirn::N,otsmik,qaaq
11,Haar::N,juus,meqqoq
12,Schnurrbart::N,vurrud,
13,Schnurrbart::N,vuntsid,
14,Bart::N,habe,umik
15,Kinn::N,lõug,talloq
16,Kiefer[Anatomie]::N,lõualuu,alleroq
17,Kehle::N,kõri,malaq
18,Hals::N,kael,qungaseq
19,Genick::N,kukal,pukusuk
20,Kopf::N,pea,niaqoq
21,Rücken::N,selg,qimerlut
22,Bauch::N,kõht,naaq
23,Nabel::N,naba,qalaseq
24,Busen::N,rind,iviangeq
25,Brust::N,rind,iviangeq
26,Schulter::N,õlg,ersik
27,Schulter::N,õlg,assaqqoq
28,Arm::N,käsivars,taleq
29,Ellenbogen::N,küünarnukk,ikusik
30,Hand::N,käsi,assak
31,Handfläche::N,pihk,itumak
32,Finger::N,sõrm,inuak
33,Fingernagel::N,küüs,kikiak
34,Nagel[Anatomie]::N,küüs,kukik
35,Zeh::N,varvas,isigak
36,Fuß::N,jalg,
37,Ferse::N,kand,kimmik
38,Knie::N,põlv,seeqqoq
39,Oberschenkel::N,reis,uppat
40,Oberschenkel::N,reis,quttoraq
41,Bein::N,jalg,isigak
42,Körper::N,ihu,timi
43,Körper::N,keha,timi
44,Haut::N,nahk,mattak
45,Blut::N,veri,aak
46,Ader::N,veen,taqaq
47,Sehne::N,kõõlus,ujalu
48,Sehne::N,kõõlus,ujaloq
49,Knochen::N,luu,saanikut
50,Gehirn::N,aju,qarasaq
51,Herz::N,süda,uummat
52,Magen::N,magu,aqajaroq
53,Leber::N,maks,tinguk
54,Atem::N,hingeõhk,anerneq
55,Atem::N,hingamine,anerneq
56,Hunger::N,nälg,kaanneq
57,Träne::N,pisar,qia
58,Träne::N,pisar,qiak
59,Geschmack::N,maitse,qilanaartuut
60,Geruch::N,lõhn,tipi
61,Geruch::N,lõhn,tipik
62,Schlaf::N,uni,
63,Traum::N,unenägu,sinnattoq
64,Traum::N,unenägu,sinnattugaq
65,Himmel::N,taevas,qilak
66,Sonne::N,päike,seqineq
67,Mond::N,kuu,qaammat
68,Stern::N,täht,ulloriaq
69,Luft::N,õhk,silaannaq
70,Wind::N,tuul,anori
71,Wind::N,tuul,anorsarik
72,Welle::N,laine,aalappaa
73,Wasser::N,vesi,imeq
74,Stein::N,kivi,ujarak
75,Boden::N,maa,nateq
76,Boden::N,pinnas,nateq
77,Erde::N,maa,issoq
78,Staub::N,põrm,pujualanerit
79,Staub::N,põrm,pujoralanerit
80,Rauch::N,suits,iseq
81,Rauch::N,suits,pujoq
82,Funke::N,säde,illoorneq
83,Feuer::N,tuli,inneq
84,Licht::N,valgus,qaamaneq
85,Schatten::N,vari,tarraq
86,Wetter::N,ilm,sila
87,Nebel::N,udu,pujoq
88,Wolke::N,pilv,nuia
89,Regen::N,sadu,sialuk
90,Schnee::N,lumi,aput
91,Eis::N,jää,siku
92,Frost::N,pakane,issi
93,Frost::N,pakane,issik
94,Kälte::N,külm,issi
95,Kälte::N,külmus,issi
96,Hitze::N,kuumus,kianneq
97,Hitze::N,kuumus,kiassuseq
98,Hitze::N,palavus,kianneq
99,Hitze::N,palavus,kiassuseq
100,Raureif::N,härmatis,kaneq
101,Regenbogen::N,vikerkaar,neriusaaq
102,Donner::N,kõu,kalleq
103,Donner::N,müristamine,kalleq
104,Strömung::N,voolus,
105,Strömung::N,jõevool,
106,Tropfen::N,tilk,kuseriarneq
107,Schaum::N,vaht,qapuk
108,Schmutz::N,pori,minguk
109,Schmutz::N,mustus,minguk
110,See::N,järv,taseq
111,Sumpf::N,soo,maqulluk
112,Moor::N,raba,
113,Wiese::N,aas,masarsuk
114,Wiese::N,nurm,masarsuk
115,Wald::N,mets,
116,Hügel::N,küngas,qattuneq
117,Hügel::N,küngas,majuariaq
118,Hügel::N,küngas,majorajaaq
119,Hügel::N,küngas,qaqqannguaq
120,Anhöhe::N,küngas,
121,Berg::N,mägi,qaqqaq
122,Gipfel::N,mäetipp,
123,Höhle::N,koobas,qaarusuk
124,Abhang::N,nõlvak,ippik
125,Abhang::N,nõlvak,sivinganeq
126,Abhang::N,nõlvak,sivingajaaq
127,Abhang::N,nõlvak,kussangajaaq
128,Quelle::N,allikas,
129,Bach::N,oja,kuunnguaq
130,Fluss::N,jõgi,kuuk
131,Ufer::N,kallas,sissap sinaa
132,Küste::N,rannik,sineriak
133,Festland::N,mander,
134,Festland::N,maismaa,
135,Meer::N,meri,imaq
136,Bucht::N,laht,ikeq
137,Bucht::N,laht,kangerluk
138,Bucht::N,laht,kangerliumaneq
139,Insel::N,saar,qeqertaq
140,Blume::N,lill,naasoq
141,Gras::N,rohi,ivigaq
142,Wurzel::N,juur,niulutaq
143,Baum::N,puu,orpik
144,Stamm::N,tüvi,kanaartaq
145,Rinde::N,koor,ameraq
146,Ast::N,oks,avalequt
147,Zweig::N,oks,avalequt
148,Blatt::N,leht,pilutaq
149,Birke::N,kask,patitsit
150,Kiefer[Baum]::N,mänd,
151,Weide[Baum]::N,paju,palleq
152,Tanne::N,nulg,orsuerneq
153,Horn::N,sarv,nassuk
154,Feder::N,sulg,suluk
155,Fell::N,karvkate,ameq
