,Concept_ID,de,udm
0,Auge::N,Auge,син
1,Ohr::N,Ohr,пель
2,Nase::N,Nase,ныр
3,Mund::N,Mund,ым
4,Zahn::N,Zahn,пинь
5,Zunge::N,Zunge,кыл
6,Lippe::N,Lippe,ымдур
7,Wange::N,Wange,бам
8,Gesicht::N,Gesicht,ымныр
9,Stirn::N,Stirn,кымес
10,Haar::N,Haar,йырси
11,Schnurrbart::N,Schnurrbart,мыйык
12,Bart::N,Bart,туш
13,Kinn::N,Kinn,ангес
14,Kiefer[Anatomie]::N,Kiefer,ан
15,Kiefer[Anatomie]::N,Kiefer,анлы
16,Kehle::N,Kehle,гульым
17,Hals::N,Hals,чырты
18,Genick::N,Genick,йырбер
19,Kopf::N,Kopf,йыр
20,Rücken::N,Rücken,мыш
21,Bauch::N,Bauch,кӧт
22,Nabel::N,Nabel,гогы
23,Busen::N,Busen,ноны
24,Brust::N,Brust,мӧля
25,Schulter::N,Schulter,пельпум
26,Arm::N,Arm,суй
27,Ellenbogen::N,Ellenbogen,гырпум
28,Hand::N,Hand,ки
29,Handfläche::N,Handfläche,ки пыдэс
30,Handfläche::N,Handfläche,кырым пыдэс
31,Finger::N,Finger,чиньы
32,Fingernagel::N,Fingernagel,гижы
33,Fingernagel::N,Fingernagel,гиждӥнь
34,Nagel[Anatomie]::N,Nagel,гижы
35,Zeh::N,Zeh,пыдчиньы
36,Fuß::N,Fuß,пыд
37,Ferse::N,Ferse,пыдбер
38,Knie::N,Knie,пыдес
39,Oberschenkel::N,Oberschenkel,макес
40,Bein::N,Bein,пыд
41,Körper::N,Körper,мугор
42,Körper::N,Körper,вылтыр
43,Haut::N,Haut,ку
44,Blut::N,Blut,вир
45,Ader::N,Ader,вирсэр
46,Sehne::N,Sehne,вуж
47,Knochen::N,Knochen,лы
48,Gehirn::N,Gehirn,вим
49,Herz::N,Herz,сюлэм
50,Magen::N,Magen,ӝуш
51,Leber::N,Leber,мус
52,Atem::N,Atem,лул
53,Atem::N,Atem,шокан
54,Hunger::N,Hunger,кӧтсюман
55,Träne::N,Träne,синкыли
56,Geschmack::N,Geschmack,шӧм
57,Geruch::N,Geruch,зын
58,Schlaf::N,Schlaf,вӧт
59,Traum::N,Traum,уйвӧт
60,Himmel::N,Himmel,ин
61,Sonne::N,Sonne,шунды
62,Mond::N,Mond,толэзь
63,Stern::N,Stern,кизили
64,Luft::N,Luft,омыр
65,Wind::N,Wind,тӧл
66,Welle::N,Welle,тулкым
67,Wasser::N,Wasser,ву
68,Stein::N,Stein,из
69,Boden::N,Boden,музъем
70,Erde::N,Erde,му
71,Staub::N,Staub,пыль
72,Rauch::N,Rauch,ӵын
73,Funke::N,Funke,гизьы
74,Feuer::N,Feuer,тыл
75,Licht::N,Licht,тыл
76,Schatten::N,Schatten,вужер
77,Wetter::N,Wetter,куазь
78,Nebel::N,Nebel,бус
79,Wolke::N,Wolke,пилем
80,Regen::N,Regen,зор
81,Schnee::N,Schnee,лымы
82,Eis::N,Eis,йӧ
83,Frost::N,Frost,кезьыт
84,Kälte::N,Kälte,кезьыт
85,Hitze::N,Hitze,пӧсь
86,Raureif::N,Raureif,гӧр
87,Regenbogen::N,Regenbogen,вуюись
88,Donner::N,Donner,гудыри
89,Strömung::N,Strömung,бызён
90,Tropfen::N,Tropfen,шапык
91,Schaum::N,Schaum,шукы
92,Schmutz::N,Schmutz,нӧд
93,Schmutz::N,Schmutz,дэри
94,See::N,See,ты
95,Sumpf::N,Sumpf,нюр
96,Moor::N,Moor,нюр
97,Wiese::N,Wiese,возь
98,Wiese::N,Wiese,возьвыл
99,Wald::N,Wald,сик
100,Wald::N,Wald,нюлэс
101,Hügel::N,Hügel,выр
102,Hügel::N,Hügel,вырйыл
103,Anhöhe::N,Anhöhe,выр
104,Anhöhe::N,Anhöhe,вырйыл
105,Berg::N,Berg,гурезь
106,Gipfel::N,Gipfel,йыл
107,Höhle::N,Höhle,гу
108,Abhang::N,Abhang,бам
109,Quelle::N,Quelle,ошмес
110,Bach::N,Bach,пичи шур
111,Fluss::N,Fluss,шур
112,Ufer::N,Ufer,ярдур
113,Küste::N,Küste,вудур
114,Festland::N,Festland,мувыр
115,Meer::N,Meer,зарезь
116,Bucht::N,Bucht,вукож
117,Insel::N,Insel,вумуӵ
118,Insel::N,Insel,шормуӵ
119,Blume::N,Blume,сяська
120,Gras::N,Gras,турын
121,Wurzel::N,Wurzel,выжы
122,Baum::N,Baum,пу
123,Stamm::N,Stamm,модос
124,Rinde::N,Rinde,сул
125,Ast::N,Ast,ул
126,Zweig::N,Zweig,вай
127,Blatt::N,Blatt,куар
128,Birke::N,Birke,кызьпу
129,Kiefer[Baum]::N,Kiefer,пужым
130,Weide[Baum]::N,Weide,бадьпу
131,Tanne::N,Tanne,кыз
132,Horn::N,Horn,сюр
133,Feder::N,Feder,тылы
134,Fell::N,Fell,ку
135,Flügel::N,Flügel,бурд
136,Klaue::N,Klaue,гижы
137,Kralle::N,Kralle,пыд
138,Schwanz::N,Schwanz,быж
139,Ei::N,Ei,пуз
140,Ei::N,Ei,кукей
141,Nest::N,Nest,кар
142,Nest::N,Nest,пузкар
143,Bau::N,Bau,кар
144,Bau::N,Bau,гу
145,Tier::N,Tier,пӧйшур
146,Herde::N,Herde,уллё
147,Kuh::N,Kuh,скал
148,Bulle::N,Bulle,ош
149,Bulle::N,Bulle,пороз
150,Pferd::N,Pferd,вал
151,Schaf::N,Schaf,ыж
152,Schwein::N,Schwein,парсь
153,Hund::N,Hund,пуны
154,Katze::N,Katze,коӵыш
155,Bär::N,Bär,гондыр
156,Eichhörnchen::N,Eichhörnchen,коньы
157,Elch::N,Elch,койык
158,Fuchs::N,Fuchs,ӟичы
159,Hase::N,Hase,кеч
160,Maus::N,Maus,шыр
161,Wolf::N,Wolf,кион
162,Vogel::N,Vogel,тылобурдо
163,Schwarm::N,Schwarm,уллё
164,Huhn::N,Huhn,курег
165,Hahn::N,Hahn,атас
166,Gans::N,Gans,ӟазег
167,Adler::N,Adler,ӧрзи
168,Ente::N,Ente,ӵӧж
169,Eule::N,Eule,кучыран
170,Kranich::N,Kranich,тури
171,Krähe::N,Krähe,куака
172,Kuckuck::N,Kuckuck,кикы
173,Schwan::N,Schwan,юсь
174,Fisch::N,Fisch,чорыг
175,Barsch::N,Barsch,юш
176,Hecht::N,Hecht,чипей
177,Schlange[Tier]::N,Schlange,кый
178,Wurm::N,Wurm,нумыр
179,Spinne::N,Spinne,чонари
180,Ameise::N,Ameise,кузьыли
181,Laus::N,Laus,тэй
182,Mücke::N,Mücke,нымы
183,Mücke::N,Mücke,чибинь
184,Fliege::N,Fliege,кут
185,Schmetterling::N,Schmetterling,бубыли
186,Beere::N,Beere,узы-боры
187,Apfel::N,Apfel,яблок
188,Pilz::N,Pilz,губи
189,Zwiebel::N,Zwiebel,сугон
190,Saat::N,Saat,кидыс
