,Concept_ID,et,tr
0,Auge::N,silm,göz
1,Ohr::N,kõrv,kulak
2,Nase::N,nina,burun
3,Mund::N,suu,ağız
4,Zahn::N,hammas,diş
5,Zunge::N,keel,dil
6,Lippe::N,huul,dudak
7,Wange::N,põsk,yanak
8,Gesicht::N,nägu,yüz
9,Stirn::N,otsmik,alın
10,Haar::N,juus,saç
11,Schnurrbart::N,vurrud,bıyık
12,Schnurrbart::N,vuntsid,bıyık
13,Bart::N,habe,sakal
14,Kinn::N,lõug,çene
15,Kiefer[Anatomie]::N,lõualuu,çene
16,Kehle::N,kõri,boğaz
17,Hals::N,kael,boyun
18,Hals::N,kael,gerdan
19,Genick::N,kukal,ense
20,Kopf::N,pea,baş
21,Kopf::N,pea,kafa
22,Rücken::N,selg,arka
23,Bauch::N,kõht,karın
24,Nabel::N,naba,göbek
25,Busen::N,rind,koyun
26,Brust::N,rind,göğüs
27,Schulter::N,õlg,omuz
28,Arm::N,käsivars,kol
29,Ellenbogen::N,küünarnukk,dirsek
30,Hand::N,käsi,el
31,Handfläche::N,pihk,avuç
32,Handfläche::N,pihk,el ayası
33,Finger::N,sõrm,parmak
34,Fingernagel::N,küüs,el tırnağı
35,Nagel[Anatomie]::N,küüs,tırnak
36,Zeh::N,varvas,ayak parmağı
37,Fuß::N,jalg,ayak
38,Ferse::N,kand,topuk
39,Knie::N,põlv,diz
40,Oberschenkel::N,reis,uyluk
41,Bein::N,jalg,bacak
42,Körper::N,ihu,vücut
43,Körper::N,keha,vücut
44,Haut::N,nahk,cilt
45,Blut::N,veri,kan
46,Ader::N,veen,damar
47,Sehne::N,kõõlus,kiriş
48,Knochen::N,luu,kemik
49,Gehirn::N,aju,beyin
50,Herz::N,süda,kalp
51,Herz::N,süda,yürek
52,Magen::N,magu,mide
53,Leber::N,maks,karaciğer
54,Atem::N,hingeõhk,nefes
55,Atem::N,hingamine,nefes
56,Hunger::N,nälg,açlık
57,Träne::N,pisar,gözyaşı
58,Geschmack::N,maitse,tat
59,Geschmack::N,maitse,lezzet
60,Geruch::N,lõhn,koku
61,Schlaf::N,uni,uyku
62,Traum::N,unenägu,düş
63,Traum::N,unenägu,rüya
64,Himmel::N,taevas,gök
65,Sonne::N,päike,güneş
66,Mond::N,kuu,ay
67,Stern::N,täht,yıldız
68,Luft::N,õhk,hava
69,Wind::N,tuul,yel
70,Wind::N,tuul,rüzgâr
71,Welle::N,laine,dalga
72,Wasser::N,vesi,su
73,Stein::N,kivi,taş
74,Boden::N,maa,yer
75,Boden::N,maa,zemin
76,Boden::N,pinnas,yer
77,Boden::N,pinnas,zemin
