,Concept_ID,hr,ab
0,Auge::N,oko,ала
1,Ohr::N,uho,алымҳа
2,Nase::N,nos,аҧынҵа
3,Mund::N,usta,аҧышə
4,Zahn::N,zub,ахаҧыц
5,Zunge::N,jezik,абз
6,Lippe::N,usna,ақьышə
7,Wange::N,obraz,аӡамҩа
8,Gesicht::N,lice,аҿы
9,Stirn::N,čelo,алахь
10,Haar::N,kosa,ахəыц
11,Schnurrbart::N,brkovi,аҧаҵа
12,Bart::N,brada,ажакьа
13,Kinn::N,brada,ацламкəыгə
14,Kinn::N,podbradak,ацламкəыгə
15,Kiefer[Anatomie]::N,čeljust,ацламҳəа
16,Kehle::N,grlo,ахəда
17,Hals::N,vrat,ахəда
18,Genick::N,zatiljak,ахəдаџьал
19,Kopf::N,glava,ахы
20,Rücken::N,leđa,азқəа
21,Rücken::N,hrbat,азқəа
22,Bauch::N,trbuh,амгəа
23,Nabel::N,pupak,аҷапан
24,Busen::N,sisa,агəыҧҳəы
25,Busen::N,njedra,агəыҧҳəы
26,Brust::N,prsa,агəышҧы
27,Schulter::N,rame,ажəҩахыр
28,Schulter::N,pleći,ажəҩахыр
29,Arm::N,ruka,амахəар
30,Ellenbogen::N,lakat,амашьхəылҵ
31,Hand::N,ruka,анапы
32,Handfläche::N,dlan,анапсаргəыҵа
33,Finger::N,prst,анацəа
34,Fingernagel::N,nokat,анапхыц
35,Nagel[Anatomie]::N,nokat,ашьапхыц
36,Zeh::N,nozni prst,ашьацəа
37,Fuß::N,noga,ашьапсыргəыҵа
38,Fuß::N,stopalo,ашьапсыргəыҵа
39,Ferse::N,peta,ашьхəа
40,Knie::N,koljeno,ашьамхы
41,Oberschenkel::N,bedro,ауаҭəа
42,Bein::N,noga,ашьапы
43,Körper::N,tijelo,ацəеижь
44,Haut::N,put,ацəа
45,Haut::N,koža,ацəа
46,Blut::N,krv,ашьа
47,Ader::N,žila,ада
48,Sehne::N,tetiva,адаш
49,Knochen::N,kost,абаҩ
50,Herz::N,srce,агəы
51,Magen::N,stomak,аца
52,Magen::N,stomak,ацар
53,Magen::N,želudac,аца
54,Magen::N,želudac,ацар
55,Leber::N,jetra,агəаҵəа
