,Concept_ID,mn,te
0,Auge::N,нүд,కన్ను
1,Ohr::N,чих,చెవి
2,Nase::N,хамар,ముక్కు
3,Mund::N,ам,నోరు
4,Zahn::N,шүд,పల్లు
5,Zunge::N,хэл,నాలుక
6,Lippe::N,уруул,పెదవి
7,Wange::N,хацар,చెంప
8,Gesicht::N,царай,ముఖము
9,Gesicht::N,нүүр,ముఖము
10,Stirn::N,дух,నుదురు
11,Haar::N,үс,వెండ్రుక
12,Schnurrbart::N,дээд сахал,మీసము
13,Schnurrbart::N,живэр сахал,మీసము
14,Bart::N,сахал,గడ్డము
15,Kinn::N,эрүү,గడ్డము
16,Kiefer[Anatomie]::N,эрүү,దౌడ
17,Kehle::N,хоолой,గొంతు
18,Hals::N,хүзүү,మెడ
19,Genick::N,шил,మూపు
20,Genick::N,хүзүү,మూపు
21,Kopf::N,толгой,తల
22,Rücken::N,ар,వెన్ను
23,Rücken::N,нуруу,వెన్ను
24,Bauch::N,хэвлий,కడుపు
25,Bauch::N,гэдэс,కడుపు
26,Nabel::N,хүйс,బొడ్డు
27,Busen::N,хөх,స్తనము
28,Brust::N,цээж,ఱొమ్ము
29,Schulter::N,мөр,భుజము
30,Schulter::N,бугалга,భుజము
31,Arm::N,гар,చేయి
32,Ellenbogen::N,тохой,మోచేయి
33,Hand::N,гар,చేయి
34,Hand::N,алга,చేయి
35,Handfläche::N,алга,అరచేయు
36,Finger::N,хуруу,చేతిప్రేలు
37,Fingernagel::N,хурууны хумс,గోరు
38,Nagel[Anatomie]::N,хумс,గోరు
39,Zeh::N,хуруу,కాలిప్రేలు
40,Fuß::N,хөл,అడుగు
41,Ferse::N,өсгий,మడమ
42,Knie::N,өвдөг,మోకాలు
43,Oberschenkel::N,гуя,తొడ
44,Bein::N,хөл,కాలు
45,Körper::N,бие,కాయము
46,Haut::N,арьс,చర్మము
47,Blut::N,цус,రక్తము
48,Ader::N,судас,సిర
49,Sehne::N,бүлх,స్నాయువు
50,Sehne::N,шандас,స్నాయువు
51,Knochen::N,яс,ఎముక
52,Gehirn::N,тархи,మెదడు
53,Herz::N,зүрх,హృదయము
54,Magen::N,ходоод,కడుపు
55,Leber::N,элэг,కాలేయము
56,Atem::N,амьсгаа,ఉపిరి
57,Hunger::N,өлсгөлөн,ఆకలి
58,Träne::N,нулимс,కన్నీటిచుక్క
59,Geschmack::N,амт,రుచి
60,Geruch::N,үнэр,వాసన
61,Schlaf::N,нойр,నిద్ర
62,Traum::N,зүүд,కల
63,Himmel::N,тэнгэр,ఆకాశము
64,Himmel::N,огторгуй,ఆకాశము
65,Sonne::N,нар,సూర్యుడు
66,Mond::N,сар,చంద్రుడు
67,Stern::N,од,నక్షత్రము
68,Luft::N,агаар,గాలి
69,Wind::N,салхи,వీచుచున్నగాలి
70,Welle::N,долгио,అల
71,Welle::N,давалгаа,అల
72,Wasser::N,ус,నీరు
73,Stein::N,чулуу,ఱాయి
74,Boden::N,хөрс,నేల
75,Erde::N,газар,మన్ను
76,Erde::N,шороо,మన్ను
77,Staub::N,тоос,దుమ్ము
78,Rauch::N,утаа,పొగ
79,Funke::N,оч,అగ్నికణము
80,Feuer::N,гал,అగ్ని
81,Licht::N,гэрэл,కాంతి
82,Licht::N,гэгээ,కాంతి
83,Schatten::N,сүүдэр,నీడ
84,Wetter::N,тэнгэр,వాతావరణ స్థితి
85,Wetter::N,цаг уур,వాతావరణ స్థితి
86,Nebel::N,будан,పొగమంచు
87,Wolke::N,үүл,మేఘము
88,Regen::N,бороо,వాన
89,Schnee::N,цас,హిమము
90,Eis::N,мөс,మంచుగడ్డ
91,Frost::N,хүйт,పేరిన మంచు
92,Kälte::N,хүйт,చలి
93,Hitze::N,халуун,వేడిమి
94,Raureif::N,цан,మంచు
95,Raureif::N,хяруу,మంచు
96,Regenbogen::N,солонго,ఇంద్రధనుస్సు
97,Donner::N,тэнгэрийн дуу,ఉరుము
98,Strömung::N,урсгал,ప్రవాహము
99,Tropfen::N,дусал,చుక్క
100,Schaum::N,хөөс,నురుగు
101,Schmutz::N,хир,మైల
102,Schmutz::N,шавхай,మైల
103,See::N,нуур,సరస్సు
104,Sumpf::N,намаг,చిత్తడినేల
105,Sumpf::N,балчиг,చిత్తడినేల
106,Moor::N,хүлрийн намаг,చిత్తడినేల
107,Wiese::N,нуга,పచ్చిక బయలు
