,Concept_ID,hu,en
0,Auge::N,szem,eye
1,Ohr::N,fül,ear
2,Nase::N,orr,nose
3,Mund::N,száj,mouth
4,Zahn::N,fog,tooth
5,Zunge::N,nyelv,tongue
6,Lippe::N,ajak,lip
7,Wange::N,orca,cheek
8,Gesicht::N,arc,face
9,Stirn::N,homlok,forehead
10,Haar::N,haj,hair
11,Schnurrbart::N,bajusz,moustache
12,Bart::N,szakáll,beard
13,Kinn::N,áll,chin
14,Kiefer[Anatomie]::N,állkapocs,jaw
15,Kehle::N,gége,throat
16,Kehle::N,torok,throat
17,Hals::N,nyak,neck
18,Genick::N,tarkó,nape
19,Kopf::N,fő,head
20,Kopf::N,fej,head
21,Rücken::N,hát,back
22,Rücken::N,hát,spine
23,Bauch::N,has,belly
24,Nabel::N,köldök,navel
25,Busen::N,mell,bosom
26,Busen::N,kebel,bosom
27,Brust::N,mell,chest
28,Brust::N,mell,breast
29,Schulter::N,váll,shoulder
30,Arm::N,kar,arm
31,Ellenbogen::N,könyök,elbow
32,Hand::N,kéz,hand
33,Handfläche::N,tenyér,palm
34,Finger::N,ujj,finger
35,Fingernagel::N,köröm,fingernail
36,Nagel[Anatomie]::N,köröm,nail
37,Zeh::N,lábujj,toe
38,Fuß::N,láb,foot
39,Ferse::N,sarok,heel
40,Knie::N,térd,knee
41,Oberschenkel::N,comb,thigh
42,Bein::N,láb,leg
43,Bein::N,lábszár,leg
44,Körper::N,test,body
45,Haut::N,bőr,skin
46,Blut::N,vér,blood
47,Ader::N,ér,vein
48,Sehne::N,ín,sinew
49,Knochen::N,csont,bone
50,Gehirn::N,agy,brain
51,Gehirn::N,agyvelő,brain
52,Herz::N,szív,heart
53,Magen::N,gyomor,stomach
54,Leber::N,máj,liver
55,Atem::N,lehelet,breath
56,Atem::N,lélegzet,breath
57,Hunger::N,éhség,hunger
58,Träne::N,könny,tear
59,Geschmack::N,íz,flavour
60,Geschmack::N,íz,flavor
61,Geruch::N,szag,odour
62,Geruch::N,szag,odor
63,Schlaf::N,álom,sleep
64,Schlaf::N,alvás,sleep
65,Traum::N,álom,dream
66,Himmel::N,ég,sky
67,Himmel::N,menny,sky
68,Sonne::N,nap,sun
69,Mond::N,hold,moon
70,Stern::N,csillag,star
71,Luft::N,levegő,air
72,Wind::N,szél,wind
73,Welle::N,hullám,wave
74,Wasser::N,víz,water
75,Stein::N,kő,stone
76,Boden::N,föld,soil
77,Boden::N,föld,ground
78,Boden::N,talaj,soil
79,Boden::N,talaj,ground
80,Erde::N,föld,earth
81,Staub::N,por,dust
82,Rauch::N,füst,smoke
83,Funke::N,szikra,spark
84,Feuer::N,tűz,fire
85,Licht::N,fény,light
86,Schatten::N,árnyék,shadow
87,Wetter::N,idő,weather
88,Wetter::N,időjárás,weather
89,Nebel::N,köd,fog
90,Wolke::N,felhő,cloud
91,Regen::N,eső,rain
92,Schnee::N,hó,snow
93,Eis::N,jég,ice
94,Frost::N,fagy,frost
95,Kälte::N,hideg,chill
96,Hitze::N,hő,heat
97,Hitze::N,hőség,heat
98,Raureif::N,zúzmara,hoarfrost
99,Regenbogen::N,szivárvány,rainbow
100,Donner::N,dörgés,thunder
101,Donner::N,mennydörgés,thunder
102,Strömung::N,áramlat,current
103,Tropfen::N,csepp,drop
104,Schaum::N,hab,foam
105,Schaum::N,tajték,foam
106,Schmutz::N,piszok,dirt
107,See::N,tó,lake
108,Sumpf::N,mocsár,swamp
109,Moor::N,láp,moor
110,Wiese::N,rét,meadow
111,Wiese::N,mező,meadow
112,Wald::N,erdő,forest
113,Hügel::N,domb,hill
114,Anhöhe::N,magaslat,elevation
115,Berg::N,hegy,mountain
116,Gipfel::N,csúcs,summit
117,Höhle::N,barlang,cave
118,Abhang::N,lejtő,slope
