,Concept_ID,myv,os
0,Auge::N,сельме,цӕст
1,Ohr::N,пиле,хъус
2,Nase::N,судо,фындз
3,Mund::N,курго,дзых
4,Zahn::N,пей,дӕндаг
5,Zunge::N,кель,ӕвзаг
6,Lippe::N,турва,был
7,Wange::N,чамабока,рус
8,Wange::N,чамабока,уадул
9,Wange::N,чамабока,ӕхсӕрфарс
10,Wange::N,чамаумарь,рус
11,Wange::N,чамаумарь,уадул
12,Wange::N,чамаумарь,ӕхсӕрфарс
13,Gesicht::N,чама,цӕсгом
14,Stirn::N,коня,ных
15,Haar::N,черь,хил
16,Schnurrbart::N,ус,рихи
17,Schnurrbart::N,муюк,рихи
18,Bart::N,сакал,зачъе
19,Kinn::N,уло,роцъо
20,Kiefer[Anatomie]::N,пейпакар,ӕфсӕр
21,Kiefer[Anatomie]::N,пейловажа,ӕфсӕр
22,Kehle::N,кирьгапарь,хъуыр
23,Hals::N,кирьга,къубал
24,Genick::N,човонь,къӕбут
25,Kopf::N,пря,сӕр
26,Rücken::N,копорь,фӕсонтӕ
27,Bauch::N,пеке,гуыбын
28,Nabel::N,почо,бикъ
29,Busen::N,поте,дзидзи
30,Brust::N,меште,риу
31,Schulter::N,лавтов,уӕхск
32,Arm::N,кедь,цонг
33,Ellenbogen::N,кенерепакарь,рæмбын
34,Hand::N,кедь,къух
35,Handfläche::N,кедькуншка,армытъӕпӕн
36,Handfläche::N,кедьлапушка,армытъӕпӕн
37,Finger::N,сур,ӕнруылдз
38,Fingernagel::N,кенже,ных
39,Nagel[Anatomie]::N,кенже,ных
40,Zeh::N,пильге сур,къух
41,Fuß::N,пильге,фад
42,Ferse::N,кочкаря,зӕвӕт
43,Knie::N,эле,уӕраг
44,Knie::N,эзне,уӕраг
45,Knie::N,кумажа,уӕраг
46,Oberschenkel::N,качо,агъд
47,Bein::N,пильге,зӕнг
48,Körper::N,рунго,буар
49,Haut::N,киське,царм
50,Blut::N,верь,туг
51,Ader::N,сан,дадзин
52,Ader::N,сан,тугдадзин
53,Sehne::N,коське сан,хъиутæ
54,Sehne::N,коське сан,нуар
55,Knochen::N,пакарь,стӕг
56,Gehirn::N,удем,магъз
57,Herz::N,седей,зӕрдӕ
58,Magen::N,пеке,ахсӕн
59,Leber::N,максо,игæр
60,Atem::N,лексема,улӕфт
61,Atem::N,оймень таргсема,улӕфт
62,Hunger::N,вачочи,стонг
63,Träne::N,селведь,цæссыг
64,Geschmack::N,тансть,ад
65,Geruch::N,чине,смаг
66,Schlaf::N,удома,хуыссӕг
67,Traum::N,он,фын
68,Himmel::N,менель,арв
69,Himmel::N,менель,уӕларв
70,Sonne::N,чи,хур
71,Mond::N,ков,мӕй
72,Stern::N,теште,стъалы
73,Luft::N,кошт,уӕлдӕф
74,Wind::N,варма,дымгӕ
75,Welle::N,толкун,уылӕн
76,Wasser::N,ведь,дон
77,Stein::N,кев,дур
78,Boden::N,мода,зӕхх
79,Erde::N,мастор,сыджыт
80,Staub::N,пуль,рыг
81,Rauch::N,качамо,фӕздӕг
82,Funke::N,сятко,цӕхӕр
83,Feuer::N,тол,зынг
84,Licht::N,валдо,рухс
85,Schatten::N,сулей,аууон
86,Schatten::N,сулейкс,аууон
87,Wetter::N,ушо,боныхъӕд
88,Nebel::N,сув,мигъ
89,Wolke::N,пель,ӕврагъ
90,Regen::N,пиземс,уарын
91,Schnee::N,лов,мит
92,Eis::N,эй,их
93,Frost::N,кельме,ихæн
94,Kälte::N,якшамо,уазал
95,Hitze::N,пси,ӕнтӕф
96,Raureif::N,лекш,халас
97,Regenbogen::N,пурьгинечирьке,арвырон
98,Regenbogen::N,пурьгинечирьке,арвырдын
99,Regenbogen::N,пурьгинеёнкс,арвырон
100,Regenbogen::N,пурьгинеёнкс,арвырдын
101,Donner::N,пурьгине,æрвнæрын
102,Strömung::N,чудема,цыд
103,Strömung::N,чудевкс,цыд
104,Tropfen::N,петнявкс,æртах
105,Schaum::N,чов,фынк
106,Schmutz::N,рудаз,цъыф
107,See::N,эрьке,цад
108,Sumpf::N,чей,цъыфдзаст
109,Moor::N,чей,цъыфдзаст
110,Wiese::N,луга,уыгӕрдӕн
111,Wald::N,вирь,хъӕд
112,Hügel::N,губорь,обау
113,Hügel::N,губорь,къуыбыр
114,Hügel::N,пандыне,обау
115,Hügel::N,пандыне,къуыбыр
116,Anhöhe::N,губорь,уæлвæз
117,Anhöhe::N,губорь,уæлхох
118,Anhöhe::N,пандыне,уæлвæз
119,Anhöhe::N,пандыне,уæлхох
120,Berg::N,пандо,хох
121,Gipfel::N,пря,цъупп
122,Höhle::N,пещера,лӕгӕт
123,Abhang::N,пандочама,къул
124,Quelle::N,ушодкс,суадон
125,Bach::N,чудикерькс,мӕсчъыдон
126,Fluss::N,лей,дон
127,Fluss::N,лей,цӕугӕдон
128,Ufer::N,чире,был
129,Küste::N,лейчире,донбыл
130,Festland::N,мода,сурзæхх
131,Meer::N,моря,денджыз
132,Bucht::N,усия,донбакæлæн
133,Insel::N,усия,сакъадах
134,Blume::N,цеця,дидинӕг
135,Gras::N,тикше,кӕрдӕг
136,Wurzel::N,юр,уидаг
137,Wurzel::N,ундокс,уидаг
138,Baum::N,чувто,бӕлас
139,Stamm::N,рунго,хӕтӕл
140,Rinde::N,суд,цъар
141,Rinde::N,керь,цъар
142,Ast::N,морго,арх
143,Zweig::N,тарад,къалиу
144,Blatt::N,лопа,сыф
145,Birke::N,килей,бæрз
146,Kiefer[Baum]::N,пиче,нӕзы
147,Weide[Baum]::N,каль,хӕрис
148,Tanne::N,куз,наз
149,Horn::N,сюро,сыкъа
150,Feder::N,толга,сис
151,Fell::N,пона,царм
152,Flügel::N,сёлмо,базыр
153,Klaue::N,кенже,ных
154,Kralle::N,кенже,дзӕмбы
155,Schwanz::N,пуло,къӕдзил
156,Ei::N,ал,айк
157,Nest::N,пизэ,ахстон
158,Bau::N,варя,хуынкъ
159,Bau::N,пизе,хуынкъ
160,Tier::N,ракша,сырд
161,Tier::N,ракша,цӕрӕгой
162,Herde::N,стада,дзуг
163,Herde::N,стада,рӕгъау
164,Kuh::N,скал,хъуг
165,Bulle::N,бука,гал
166,Pferd::N,лишме,бӕх
167,Schaf::N,реве,фыс
168,Schwein::N,туво,хуы
169,Hund::N,пине,куыдз
170,Hund::N,киска,куыдз
171,Katze::N,псака,гӕды
172,Bär::N,овто,арс
173,Eichhörnchen::N,ур,æхсæрæг
174,Elch::N,сярдо,цæгатаг саг
175,Fuchs::N,ривезь,рувас
176,Hase::N,нумоло,тæрхъус
177,Maus::N,чеерь,мыст
178,Wolf::N,верьгиз,бирӕгъ
179,Vogel::N,нармунь,цъиу
180,Vogel::N,нармунь,маргъ
181,Schwarm::N,полк,бал
182,Schwarm::N,стада,бал
183,Huhn::N,сараз,карк
184,Hahn::N,атякш,уасӕг
185,Gans::N,гала,хъаз
186,Gans::N,мацей,хъаз
187,Adler::N,куцькан,цӕргӕс
188,Adler::N,тумоатякш,цӕргӕс
189,Ente::N,яксярго,ацц
190,Eule::N,корж, уыг
191,Eule::N,корж,сидахъ
192,Kranich::N,карго,зырнæг
193,Kranich::N,карго,хърихъупп
194,Krähe::N,варака,халон
195,Kuckuck::N,куко,гаккук
196,Schwan::N,локсей,доныхъаз
197,Fisch::N,кал,кӕсаг
198,Barsch::N,окунь,окунь
199,Hecht::N,щука,хихор кӕсаг
200,Schlange[Tier]::N,гуй,калм
201,Wurm::N,сукс,зулкъ
202,Wurm::N,сукс,къуыдыргалм
203,Spinne::N,шанжав,хӕлуарӕг
204,Ameise::N,коткудав,мæлдзыг
205,Laus::N,сий,сыст
206,Mücke::N,сеське,къогъо
207,Fliege::N,карво,бындз
208,Schmetterling::N,нимиляв,гæлæбу
209,Beere::N,умарь,гагадыргъ
210,Apfel::N,умарь,фӕткъуы
211,Pilz::N,панго,зокъо
212,Pilz::N,панго,къозо
213,Zwiebel::N,чурька,хъӕдындз
214,Saat::N,видьметь,тауинаг
215,Saat::N,видьметь,мыггаг
216,Korn::N,сюро,мыггаг
217,Korn::N,сюро,тауинаг
218,Heu::N,тикше,хос
219,Schale::N,кедь,цъар
220,Schale::N,ваткавкс,цъар
221,Grube::N,латко,урм
222,Grube::N,латко,къахт
223,Grube::N,латко,дзыхъхъ
224,Falle::N,тувор,цъысым
225,Falle::N,тувор,къӕппӕг
226,Falle::N,кундамка,цъысым
227,Falle::N,кундамка,къӕппӕг
228,Schlinge::N,килькш,цасм
229,Spur::N,челькс,фæд
230,Spur::N,пильгеки,фæд
231,Asche::N,кулов,фӕнык
232,Asche::N,кулов,ӕртхутӕг
233,Dreck::N,рудаз,цъыф
234,Eisen::N,кшни,ӕфсӕйнаг
235,Gold::N,сырне,сыгъзӕрин
236,Silber::N,сия,ӕвзист
237,Kohle::N,сэдь,ӕвзалы
238,Kohle::N,уголия,ӕвзалы
239,Glas::N,сулика,авг
240,Lehm::N,сёвонь,ӕлыг
241,Sand::N,човар,змис
242,Mensch::N,ломань,лӕг
243,Mensch::N,ломань,адӕймаг
244,Mensch::N,ломань,удгоймаг
245,Mann::N,аля,лӕг
246,Mann::N,аля,нӕлгоймаг
247,Mann::N,цёраломань,лӕг
248,Mann::N,цёраломань,нӕлгоймаг
249,Frau::N,ава,сылгоймаг
250,Kind::N,эйкакш,сывӕллон
251,Junge::N,цёрыне,лӕппу
252,Mädchen::N,тейтерне,чызг
253,Familie::N,семия,бинонтæ
254,Großvater::N,покштя,фыдыфыд
255,Großvater::N,покштя,мадыфыд
256,Großmutter::N,баба,фыды мад
257,Großmutter::N,баба,мады мад
258,Eltern::N,тетят-ават,ныййарджытæ
259,Vater::N,тетя,фыд
260,Mutter::N,ава,мад
261,Sohn::N,цёра,фырт
262,Tochter::N,тейтерь,чызг
263,Bruder::N,леля,ӕфсымӕр
264,Bruder::N,ялакс,ӕфсымӕр
265,Schwester::N,сазор,хо
266,Onkel::N,леля,фыдыфсымӕр
267,Tante::N,патя,мадыхо
268,Ehemann::N,мирде,мой
269,Ehefrau::N,ни,ус
270,Freude::N,кеняркс,цин
271,Freude::N,кеняркс,циндзинад
272,Gelächter::N,ракамо,худын
273,Gelächter::N,ракамо,худт
274,Gelächter::N,ракамо,худæг
275,Gelächter::N,пейдема,худын
276,Gelächter::N,пейдема,худт
277,Gelächter::N,пейдема,худæг
278,Glück::N,уцяска,амонд
279,Kummer::N,рискс,хъыг
280,Kummer::N,мелявкс,хъыг
281,Wunsch::N,мель,бӕллиц
282,Wunsch::N,бажамо,бӕллиц
283,Lust::N,бажамо,монц
284,Geist::N,ойме,уд
285,Gedanke::N,мель,хъуыды
286,Gedächtnis::N,мель,мысæн
287,Gedächtnis::N,мель,мысын
288,Gedächtnis::N,мель,зæрдылдарын
289,Verstand::N,прев,зонд
290,Sinn::N,толк,нысаниуæг
291,Sinn::N,смысла,нысаниуæг
292,Grund::N,тувтал,ӕфсон
293,Wahrheit::N,видечи,æцæг
294,Gespräch::N,кортнема,ныхас
295,Märchen::N,ёвкс,аргъау
296,Erzählung::N,ёвтнема,радзырд
297,Nachricht::N,куля,уац
298,Neuigkeit::N,куля,хабар
299,Name::N,лем,ном
300,Rätsel::N,содамоёвкс,уыци-уыци
301,Rätsel::N,содамоёвкс,базон-базон
302,Rede::N,кортамо,раныхас
303,Sprache::N,кель,ӕвзаг
304,Stimme::N,ваигель,хъӕлӕс
305,Wort::N,вал,дзырд
306,Zeichen::N,теште,нысан
307,Ruf::N,тердема,сидт
308,Lärm::N,шалнома,уынæр
309,Laut::N,вайгель,зӕл
310,Laut::N,вайгель,мыр
311,Ton::N,гайнема,мыр
312,Lied::N,моро,зарӕг
313,Ruhe::N,оймамо,æнцой
314,Leute::N,ломанть,адӕм
315,Volk::N,народ,адӕм
316,Arbeit::N,тев,фӕллой
317,Gast::N,инже,уазӕг
318,Geschenk::N,казне,хуын
319,Spiel::N,налксема,хъазт
320,Gesellschaft::N,община,дзыллæ
321,Gesellschaft::N,община,æхсæнад
322,Hilfe::N,лездамо,æххуыс
323,Hilfe::N,лездамо,ахъаз
324,Freund::N,оя,лымӕн
325,Freund::N,ялга,лымӕн
326,Kamerad::N,оя,ӕмбал
327,Kamerad::N,ялга,ӕмбал
328,Angelegenheit::N,тев,хъуыддаг
329,Anzahl::N,ламоксчи,бӕрц
330,Art::N,вид,хуыз
331,Art::N,вид,хуызад
332,Stück::N,пакш,кæрдих
333,Stück::N,пакш,комдзаг
334,Stück::N,пелькс,кæрдих
335,Stück::N,пелькс,комдзаг
336,Teil::N,часть,хай
337,Teil::N,пелькс,хай
338,Hälfte::N,пель,æрдæг
339,Hälfte::N,пель,æмбис
340,Hälfte::N,пелькс,æрдæг
341,Hälfte::N,пелькс,æмбис
342,Kreis::N,кирькс,зиллакк
343,Kreuz::N,крёст,дзуар
344,Linie::N,кикс,хахх
345,Strich::N,межа,хахх
346,Abstand::N,ютко,æхсæнуат
347,Entfernung::N,ютко,дæрддзæг
348,Entfernung::N,ютко,дардцæг
349,Gegend::N,тарка,ран
350,Gegend::N,пертьпелькс,ран
351,Platz::N,васолкс,бууат
352,Ort::N,тарка,ран
353,Ort::N,тарка,бынат
354,Seite::N,ён,фахс
355,Seite::N,чире,фахс
356,Mitte::N,куншка,астӕу
357,Gegenstand::N,предмет,дзаума
358,Sache::N,тев,дзаума
359,Sache::N,веща,дзаума
360,Rand::N,пе,кӕрон
361,Rand::N,чире,кӕрон
362,Kante::N,ирдез,фӕрск
363,Ecke::N,ужо,тигъ
364,Ecke::N,ужо,фисын
365,Spitze::N,пряне,бырынкъ
366,Spitze::N,пе,бырынкъ
367,Ende::N,пе,кӕрон
