,Concept_ID,uk,sah
0,Auge::N,око,харах
1,Ohr::N,вухо,кулгаах
2,Nase::N,ніс,мурун
3,Mund::N,рот,айах
4,Zahn::N,зуб,тиис
5,Zunge::N,язик,тыл
6,Lippe::N,губа,уос
7,Wange::N,щока,иэдэс
8,Gesicht::N,обличчя,сирэй
9,Stirn::N,лоб,сүүс
10,Haar::N,волосся,баттах
11,Schnurrbart::N,вуса,уос бытыга
12,Bart::N,борода,сэҥийэ бытыга
13,Kinn::N,підборіддя,сэҥийэ
14,Kiefer[Anatomie]::N,щелепа,сыҥаах
15,Kehle::N,горло,тамах
16,Kehle::N,горло,күөмэй
17,Hals::N,шия,моой
18,Genick::N,потилиця,кэтэх
19,Kopf::N,голова,бас
20,Rücken::N,спина,көҕүс
21,Bauch::N,живіт,ис
22,Nabel::N,пупок,киин
23,Busen::N,груди,эмиий
24,Brust::N,груди,түөс
25,Schulter::N,плече,сарын
26,Arm::N,рука,илии
27,Ellenbogen::N,лікоть,тоҕонох
28,Hand::N,рука,илии
29,Handfläche::N,долоня,ытыс
30,Finger::N,палець,тарбах
31,Fingernagel::N,ніготь,тыҥырах
32,Nagel[Anatomie]::N,ніготь,тыҥырах
33,Zeh::N,палець на нозі,тарбах
34,Fuß::N,нога,уллуҥах
35,Ferse::N,п’ятка,тилэх
36,Knie::N,коліно,тобук
37,Knie::N,коліно,дьилбэк
38,Oberschenkel::N,стегно,уллук
39,Oberschenkel::N,стегно,өттүк
40,Bein::N,нога,атах
41,Körper::N,тіло,бэйэ
42,Haut::N,шкіра,тирии
43,Blut::N,кров,хаан
44,Ader::N,вена,вена
45,Ader::N,вена,күөх_тымыр
46,Sehne::N,сухожилля,иҥиир
47,Knochen::N,кістка,уҥуох
48,Knochen::N,кістка,уҥгуох
49,Gehirn::N,мозок,мэйии
50,Herz::N,серце,сүрэх
51,Magen::N,шлунок,куртах
52,Leber::N,печінка,быар
53,Atem::N,дихання,тыын
54,Hunger::N,голод,аас
55,Träne::N,сльоза,харах уута
56,Geschmack::N,смак,амтан
57,Geruch::N,запах,сыт
58,Schlaf::N,сон,утуйуу
59,Schlaf::N,сплячка,утуйуу
60,Traum::N,сон,түүл
61,Himmel::N,небо,халлаан
62,Sonne::N,сонце,күн
63,Mond::N,місяць,ый
64,Stern::N,зірка,сулус
65,Luft::N,повітря,салгын
66,Wind::N,вітер,тыал
67,Welle::N,хвиля,долгун
68,Welle::N,хвиля,балхаан
69,Wasser::N,вода,уу
70,Stein::N,камінь,таас
71,Boden::N,ґрунт,сир
72,Erde::N,земля,буор
73,Staub::N,пил,быыл
74,Rauch::N,дим,буруо
75,Funke::N,іскра,кыым
76,Feuer::N,вогонь,уот
77,Licht::N,світло,уот
78,Schatten::N,тінь,күлүк
79,Wetter::N,погода,күн-дьыл
80,Nebel::N,туман,туман
81,Wolke::N,хмара,былыт
82,Regen::N,дощ,самыыр
83,Schnee::N,сніг,хаар
84,Eis::N,лід,муус
85,Frost::N,мороз,тымныы
86,Kälte::N,холод,тымныы
87,Hitze::N,жар,куйаас
88,Raureif::N,іній,кырыа
89,Regenbogen::N,райдуга,кустук
90,Donner::N,грім,этиҥ
91,Strömung::N,струмина,сүүрүк
92,Tropfen::N,крапля,таммах
93,Tropfen::N,крапля,хааппыла
94,Schaum::N,піна,күүгэн
95,Schmutz::N,бруд,кир
96,See::N,озеро,күөл
97,Sumpf::N,драговина,бадараан
98,Moor::N,болото,дьэбэрэ
99,Wiese::N,луг,ходуһа
100,Wiese::N,лука,ходуһа
101,Wald::N,ліс,ойуур
102,Hügel::N,горб,булгунньах
103,Anhöhe::N,височина,үрдэл
104,Berg::N,гора,хайа
105,Gipfel::N,вершина,чыпчаал
106,Höhle::N,печера,хайа_хаспаҕа
107,Höhle::N,печера,көҥүс
108,Abhang::N,схил,эниэ
109,Quelle::N,джерело,дьүүктэ
110,Bach::N,струмок,үрүйэ
111,Fluss::N,річка,өрүс
112,Ufer::N,берег,биэрэк
113,Küste::N,узбережжя,кытыл
114,Festland::N,суша,кураанах сир
115,Meer::N,море,муора
116,Bucht::N,бухта,хомо
117,Bucht::N,бухта,бухта
118,Bucht::N,затока,хомо
119,Bucht::N,затока,бухта
120,Insel::N,острів,арыы
121,Blume::N,квітка,сибэкки
122,Gras::N,трава,от
123,Wurzel::N,корінь,силис
124,Baum::N,дерево,мас
125,Stamm::N,стовбур,умнас
126,Rinde::N,кора,хатырык
127,Ast::N,гілка,мутук
128,Zweig::N,галузь,лабаа
129,Blatt::N,лист,сэбирдэх
130,Birke::N,береза,хатыҥ
131,Kiefer[Baum]::N,сосна,бэс
132,Weide[Baum]::N,верба,үөт
133,Weide[Baum]::N,верба,талах
134,Tanne::N,ялиця,харыйа
135,Horn::N,ріг,муос
136,Feder::N,перо,куорсун
137,Fell::N,хутро,тирии
138,Flügel::N,крило,кынат
