,Concept_ID,ta,ar
0,Auge::N,கண்,عين
1,Ohr::N,காது,أذن
2,Nase::N,மூக்கு,أنف
3,Mund::N,வாய்,فم
4,Zahn::N,பல்,سن
5,Zunge::N,நாக்கு,لسان
6,Lippe::N,உதடு,شفة
7,Wange::N,கன்னம்,خد
8,Wange::N,கன்னம்,وجنة
9,Gesicht::N,முகம்,وجه
10,Stirn::N,முன்னெற்றி,جبين
11,Haar::N,முடி,شعر
12,Schnurrbart::N,மீசை,شارب
13,Bart::N,தாடி,لحية
14,Kinn::N,கீழதாடை,ذقن
15,Kiefer[Anatomie]::N,தாடை,فك
16,Kehle::N,தொண்டை,حلق
17,Hals::N,கழுத்து,عنق
18,Hals::N,கழுத்து,رقبة
19,Genick::N,கழுத்து,قفا
20,Kopf::N,தலை,رأس
21,Rücken::N,முதுகு,ظهر
22,Bauch::N,வயிறு,بطن
23,Nabel::N,தொப்புள்,سرة
24,Busen::N,மார்பகம்,ثدي
25,Brust::N, மார்பு,صدر
26,Schulter::N,தோள்பட்டை,كتف
27,Arm::N,கரம்,ذراع
28,Ellenbogen::N,முழங்கை,كوع
29,Hand::N,கை,يد
30,Handfläche::N,உள்ளங்கை,كف
31,Finger::N,விரல்,إصبع
32,Fingernagel::N,விரல் நகம்,ظفر
33,Nagel[Anatomie]::N,நகம்,ظفر
34,Zeh::N,கால்விரல்,إصبع القدم
35,Fuß::N,கால்,قدم
36,Ferse::N,குதிகால்,كعب
37,Knie::N,முழங்கால்,ركبة
38,Oberschenkel::N,தொடை,فخذ
39,Bein::N,கால்,ساق
40,Körper::N,உடல்,جسم
41,Haut::N,சருமம்,بشرة
42,Blut::N,இரத்தம்,دم
43,Ader::N,நாளம்,عرق
44,Sehne::N,தசைநார்,طنب
45,Knochen::N,எலுமபு,عظم
46,Gehirn::N,மூனை,دماغ
47,Herz::N,இதயம,قلب
48,Magen::N,வயிறு,معدة
49,Leber::N,கல்லீரல்,كبد
50,Atem::N,மூச்சு,نفس
51,Hunger::N,பசி,جوع
52,Träne::N,கண்ணீர்,دمعة
53,Geschmack::N,நறுமணம்,طعم
54,Geschmack::N,நறுமணம்,مذاق
55,Geruch::N,துர்நாற்றம்,رائحة
56,Schlaf::N,தூக்கம்,نوم
57,Schlaf::N,தூக்கம்,منام
58,Traum::N,கனவு,حلم
59,Himmel::N,வானம்,سماء
60,Sonne::N,சூரியன்,شمس
61,Mond::N,சந்திரன்,قمر
62,Stern::N,நட்சத்திரம்,نجم
63,Stern::N,நட்சத்திரம்,كوكب
64,Luft::N,காறறு,هواء
65,Wind::N,காற்று,ريح
66,Welle::N,அலை,موجة
67,Wasser::N,நீர்,ماء
68,Stein::N,கல்,حجر
69,Boden::N,தரை,تراب
70,Erde::N,மண்,أرض
71,Staub::N,தூசி,غبار
72,Rauch::N,புகை,دخان
73,Funke::N,தீப்பொறி,شرارة
74,Feuer::N,தீ,نار
75,Licht::N,வெளிச்சம்,نور
76,Licht::N,வெளிச்சம்,ضوء
77,Schatten::N,நிழல்,ظل
78,Schatten::N,நிழல்,فيء
79,Wetter::N,வானிலை,جو
80,Wetter::N,வானிலை,طقس
81,Nebel::N,பனிமூட்டம்,ضباب
82,Wolke::N,மேகம்,غيمة
83,Wolke::N,மேகம்,سحابة
84,Regen::N,மழை,مطر
85,Schnee::N,உறைபனி,ثلج
86,Eis::N,பனிக்கட்டி,جليد
87,Frost::N,உறைபனி,صقيع
88,Kälte::N,குளிர்ந்த,برد
89,Hitze::N,சூடு,حر
90,Hitze::N,சூடு,حرارة
91,Raureif::N,உறைபனி வெண்திரை,صقيع
92,Regenbogen::N,வானவில்,قوس قزح
93,Donner::N,இடி,رعد
94,Strömung::N,நீரோட்டம்,تيار
95,Tropfen::N,துளி,قطرة
96,Schaum::N,நுரை,زبد
97,Schaum::N,நுரை,رغوة
98,Schmutz::N,அழுக்கு,وسخ
99,See::N,ஏரி,بحيرة
100,Sumpf::N,சதுப்பு நிலம்,مستنقع
101,Moor::N,முட்புதற்காடு,مستنقع
102,Wiese::N,பசும் புல்தரை,مرج
103,Wald::N,காடு,غابة
104,Hügel::N,குன்று,تل
105,Anhöhe::N,பதுக்கை,تل
106,Berg::N,மலை,جبل
107,Gipfel::N,உச்சி மாநாடு,قمة
108,Höhle::N,குகை,كهف
109,Abhang::N,சரிவு,منحدر
110,Quelle::N,மூலம்,منبع
111,Bach::N,ஓடை,مجرى
112,Fluss::N,ஆறு,نهر
113,Ufer::N,நீர்க்கரை,ضفة
114,Küste::N,கடற்கரை,ساحل
115,Festland::N,நிலம்,بر
116,Meer::N,கடல்,بحر
117,Bucht::N,சிறுகுடா,خليج
118,Insel::N,தீவு,جزيرة
119,Blume::N,பூ,زهرة
120,Gras::N,புல்தரை,حشيش
121,Wurzel::N,வேர்,أصل
122,Baum::N,மரம்,شجرة
123,Stamm::N,அடிமரம்,جذع
124,Rinde::N,பட்டை,قشرة
125,Rinde::N,மரப்பட்டை,قشرة
126,Ast::N,கினை,فرع
127,Zweig::N,குச்சி,غصن
128,Blatt::N,இலை,ورقة
