,Concept_ID,kv,ku
0,Auge::N,син,çav
1,Ohr::N,пель,guh
2,Nase::N,ныр,bêvil
3,Mund::N,ӧм,dev
4,Zahn::N,пинь,didan
5,Zunge::N,кыв,ziman
6,Lippe::N,тырп,lêv
7,Wange::N,рожабан,dêm
8,Wange::N,рожабан,hinarik
9,Gesicht::N,бан,rû
10,Stirn::N,кымӧс,enî
11,Haar::N,юрси,por
12,Schnurrbart::N,уссэз,simbêl
13,Bart::N,тош,rih
14,Kinn::N,тшӧка,zenî
15,Kiefer[Anatomie]::N,ан,arguşk
16,Kehle::N,юан,qirik
17,Hals::N,юан,stû
18,Hals::N,юан,qirik
19,Genick::N,юр бӧр,stû
20,Kopf::N,юр,serî
21,Rücken::N,мышк,pişt
22,Bauch::N,кынӧм,ûr
23,Bauch::N,кынӧм,zik
24,Nabel::N,гӧг,navik
25,Busen::N,морос,sîng
26,Brust::N,морос,sîng
27,Schulter::N,пельпон,mil
28,Arm::N,ки,çepil
29,Ellenbogen::N,гырдзза,enîşk
30,Hand::N,кикар,dest
31,Handfläche::N,ки пыдӧс,kefadest
32,Finger::N,чунь,tilî
33,Fingernagel::N,гыж,neynuk
34,Nagel[Anatomie]::N,гыж,bizmar
35,Zeh::N,чунь,tilî linga
36,Fuß::N,кокпыдӧс,ling
37,Ferse::N,кокдзир,pahnî
38,Knie::N,пидзӧс,kabok
39,Oberschenkel::N,лядьбей,rahn
40,Bein::N,кок,çip
41,Körper::N,вывтыр,laş
42,Körper::N,вывтыр,gowde
43,Haut::N,кучик,çerm
44,Blut::N,вир,xwîn
45,Ader::N,сӧн,reh
46,Sehne::N,жила,reh
47,Knochen::N,коска,hestî
48,Gehirn::N,вем,mêjî
49,Herz::N,сьӧлӧм,dil
50,Magen::N,жӧвдӧк,navêş
51,Leber::N,мус,kezeb
52,Atem::N,лолалӧм,hilm
53,Hunger::N,тшыг,birçîtî
54,Träne::N,синва,hêstir
55,Geschmack::N,кӧр,tam
56,Geruch::N,дук,bêhn
57,Schlaf::N,он,xew
58,Traum::N,вӧт,xewn
59,Himmel::N,небо,ezman
60,Sonne::N,шондi,roj
61,Mond::N,тӧлiсь,heyv
62,Stern::N,кӧдзыв,stêrk
63,Luft::N,ру,ba
64,Wind::N,тӧв,ba
65,Welle::N,гы,şewl
66,Wasser::N,ва,av
67,Stein::N,из,kevir
68,Boden::N,му,herd
69,Erde::N,му,ax
70,Staub::N,бус,toz
71,Rauch::N,тшын,dû
72,Funke::N,бичир,çirûşk
73,Feuer::N,би,agir
74,Licht::N,би,ronahî
75,Schatten::N,вуджӧр,sî
