,Concept_ID,he,hy
0,Auge::N,עין,աչք
1,Ohr::N,אזן,ականջ
2,Nase::N,אף,քիթ
3,Nase::N,חטם,քիթ
4,Mund::N,פה,բերան
5,Zahn::N,שן,ատամ
6,Zunge::N,לשון,լեզու
7,Lippe::N,שפה,շրթունք
8,Wange::N,לחי,այտ
9,Wange::N,לחי,թուշ
10,Gesicht::N,פנים,դեմք
11,Stirn::N,מצח,ճակատ
12,Haar::N,שערה,մազ
13,Schnurrbart::N,שפם,բեղ
14,Bart::N,זקן,մորուք
15,Kinn::N,סנטר,կզակ
16,Kiefer[Anatomie]::N,לסת,ծնոտ
17,Kehle::N,גרון,կոկորդ
18,Hals::N,צואר,վիզ
19,Hals::N,צואר,պարանոց
20,Genick::N,ערף,ծոծրակ
21,Kopf::N,ראש,գլուխ
22,Rücken::N,גב,մեջք
23,Bauch::N,בטן,փոր
24,Bauch::N,בטן,որովայն
25,Nabel::N,טבור,պորտ
26,Busen::N,שד,ծոց
27,Brust::N,חזה,կուրծք
28,Schulter::N,כתף,ուս
29,Arm::N,זרוע,թեւ
30,Arm::N,זרוע,բազուկ
31,Ellenbogen::N,מרפק,արմունկ
32,Hand::N,יד,ձեռք
33,Handfläche::N,כף יד,ափ
34,Finger::N,אצבע,մատ
35,Fingernagel::N,צפרן,եղունգ
36,Nagel[Anatomie]::N,צפרן,եղունգ
37,Zeh::N,אצבע,ոտքի մատ
38,Fuß::N,רגל,ոտք
39,Ferse::N,עקב,գարշապար
40,Knie::N,ברך,ծունկ
41,Oberschenkel::N,ירך,ազդր
42,Bein::N,רגל,ոտք
43,Körper::N,גוף,մարմին
44,Haut::N,עור,մաշկ
45,Blut::N,דם,արյուն
46,Ader::N,וריד,երակ
47,Sehne::N,גיד,ջիղ
48,Sehne::N,גיד,ձգտան
49,Knochen::N,עצם,ոսկոր
50,Gehirn::N,מוח,խելք
51,Herz::N,לב,սիրտ
52,Magen::N,קבה,ստամոքս
53,Leber::N,כבד,լյարդ
54,Atem::N,נשימה,շունչ
55,Hunger::N,רעב,քաղց
56,Träne::N,דמעה,արտասուք
57,Geschmack::N,טעם,համ
58,Geschmack::N,טעם,բուրմունք
59,Geruch::N,ריח,հոտ
60,Geruch::N,ריח,բուրում
61,Schlaf::N,שנה,քուն
62,Traum::N,חלום,երազ
63,Himmel::N,שמים,երկինք
64,Sonne::N,שמש,արեւ
65,Mond::N,ירח,լուսին
66,Stern::N,כוכב,աստղ
67,Luft::N,אויר,օդ
68,Wind::N,רוח,քամի
69,Welle::N,גל,ալիք
70,Wasser::N,מים,ջուր
71,Stein::N,אבן,քար
72,Boden::N,קרקע,գետին
73,Erde::N,אדמה,հող
74,Staub::N,אבק,փոշի
75,Rauch::N,עשן,ծուխ
76,Funke::N,ניצוץ,կայծ
77,Feuer::N,אש,կրակ
78,Feuer::N,אש,հրդեհ
79,Licht::N,אור,լույս
80,Schatten::N,צל,ստվեր
81,Wetter::N,מזג אויר,եղանակ
82,Nebel::N,ערפל,մեգ
83,Nebel::N,ערפל,մառախուղ
84,Wolke::N,ענן,ամպ
85,Regen::N,גשם,անձրև
86,Schnee::N,שלג,ձյուն
87,Eis::N,קרח,սառույց
88,Frost::N,צנה,սառնամանիք
89,Kälte::N,קר,դող
90,Hitze::N,חם,շոգ
91,Raureif::N,כפור,ցօղեղեամ
92,Regenbogen::N,קשת,ծիածան
93,Donner::N,רעם,որոտ
94,Strömung::N,זרימה,հոսանք
95,Tropfen::N,טפה,կաթիլ
96,Schaum::N,קצף,փրփուր
97,Schmutz::N,לכלוך,կեղտ
98,See::N,אגם,լիճ
99,Sumpf::N,בצה,ճահիճ
100,Moor::N,בצה,ճահիճ
101,Wiese::N,מרעה,մարգագետին
102,Wald::N,יער,անտառ
103,Hügel::N,תל,բլուր
104,Anhöhe::N,מעלה,բարձունք
105,Berg::N,הר,լեռ
106,Gipfel::N,פסגה,գագաթ
107,Gipfel::N,פסגה,կատար
108,Höhle::N,מערה,քարայր
109,Abhang::N,מדרון,լանջ
110,Abhang::N,מדרון,զառիվայր
111,Abhang::N,שפוע,լանջ
112,Abhang::N,שפוע,զառիվայր
113,Quelle::N,מעין,աղբյուր
114,Bach::N,נחל,վտակ
115,Fluss::N,נהר,գետ
116,Ufer::N,גדה,ծովափ
117,Küste::N,חוף,ափ
118,Küste::N,חוף,ծովափ
119,Festland::N,יבשה,ցամաք
120,Meer::N,ים,ծով
121,Bucht::N,מפרץ,հաչիւն
122,Insel::N,אי,վղզի
123,Blume::N,פרח,ծաղիկ
124,Gras::N,דשא,խոտ
125,Wurzel::N,שרש,արմատ
126,Baum::N,עץ,ծառ
127,Stamm::N,גזע,իրան
128,Rinde::N,קלפת עץ,կեղեւ
129,Rinde::N,קלפת עץ,հաչոց
130,Ast::N,ענף,ճյուղ
131,Zweig::N,ענף,ճյուղ
132,Blatt::N,עלה,տերեւ
133,Birke::N,שדר,ցարասի
134,Kiefer[Baum]::N,ארן,սոճի
135,Weide[Baum]::N,ערבה,ուռենի
136,Tanne::N,אשוח,եղեւին
137,Horn::N,קרן,
138,Feder::N,נוצה,փետուր
139,Fell::N,פרוה,մորթի
140,Flügel::N,כנף,թեւ
141,Klaue::N,טלף,չանչ
142,Kralle::N,טפר,ճանկ
143,Schwanz::N,זנב,պոչ
144,Ei::N,ביצה,ձու
145,Nest::N,קן,բույն
146,Bau::N,מחלה,որջ
147,Bau::N,מחלה,բայոց
148,Tier::N,חיה,կենդանի
149,Herde::N,עדר,հոտ
150,Kuh::N,פרה,կով
151,Bulle::N,פר,ցուլ
152,Pferd::N,סוס,ձի
153,Schaf::N,כבשה,ոչխար
154,Schwein::N,חזיר,խոզ
