,Concept_ID,ja,hr
0,Auge::N,目,oko
1,Ohr::N,耳,uho
2,Nase::N,鼻,nos
3,Mund::N,口,usta
4,Zahn::N,歯,zub
5,Zunge::N,舌,jezik
6,Lippe::N,唇,usna
7,Wange::N,頬,obraz
8,Gesicht::N,顔,lice
9,Stirn::N,額,čelo
10,Haar::N,髪,kosa
11,Schnurrbart::N,口髭,brkovi
12,Bart::N,髭,brada
13,Kinn::N,顎,brada
14,Kinn::N,顎,podbradak
15,Kiefer[Anatomie]::N,顎,čeljust
16,Kehle::N,喉,grlo
17,Hals::N,首,vrat
18,Genick::N,首,zatiljak
19,Kopf::N,頭,glava
20,Rücken::N,背中,leđa
21,Rücken::N,背中,hrbat
22,Bauch::N,腹,trbuh
23,Bauch::N,お腹,trbuh
24,Nabel::N,へそ,pupak
25,Busen::N,乳房,sisa
26,Busen::N,乳房,njedra
27,Brust::N,胸,prsa
28,Schulter::N,肩,rame
29,Schulter::N,肩,pleći
30,Arm::N,腕,ruka
31,Ellenbogen::N,肘,lakat
32,Hand::N,手,ruka
33,Handfläche::N,手のひら,dlan
34,Finger::N,指,prst
35,Fingernagel::N,爪,nokat
36,Nagel[Anatomie]::N,爪,nokat
37,Zeh::N,足の指,nozni prst
38,Fuß::N,足,noga
39,Fuß::N,足,stopalo
40,Ferse::N,かかと,peta
41,Knie::N,膝,koljeno
42,Oberschenkel::N,上腿,bedro
43,Bein::N,足,noga
44,Körper::N,体,tijelo
45,Haut::N,皮膚,put
46,Haut::N,皮膚,koža
47,Blut::N,血,krv
48,Ader::N,血管,žila
49,Sehne::N,腱,tetiva
50,Knochen::N,骨,kost
51,Gehirn::N,脳,
52,Herz::N,心,srce
53,Herz::N,心臓,srce
54,Magen::N,胃,stomak
55,Magen::N,胃,želudac
56,Leber::N,肝臓,jetra
57,Atem::N,息,dah
58,Atem::N,呼吸,dah
59,Hunger::N,空腹,glad
60,Träne::N,涙,suza
61,Geschmack::N,味,ukus
62,Geruch::N,匂い,njuh
63,Geruch::N,匂い,miris
64,Schlaf::N,睡眠,san
65,Traum::N,夢,san
66,Himmel::N,空,nebo
67,Sonne::N,太陽,sunce
68,Mond::N,月,mjesec
69,Stern::N,星,zvijezda
70,Luft::N,空気,zrak
71,Wind::N,風,vjetar
72,Welle::N,波,val
73,Welle::N,波,talas
74,Wasser::N,水,voda
75,Stein::N,石,kamen
76,Boden::N,土地,tlo
77,Boden::N,土地,zemlja
78,Erde::N,土,zemlja
79,Staub::N,埃,prah
80,Staub::N,埃,prašina
81,Rauch::N,煙,dim
82,Funke::N,火花,iskra
83,Funke::N,火花,varnica
84,Feuer::N,火,vatra
85,Licht::N,光,svjetlo
86,Schatten::N,陰,hlad
87,Schatten::N,陰,sjena
88,Wetter::N,天気,vrijeme
89,Nebel::N,霧,magla
90,Wolke::N,雲,oblak
91,Regen::N,雨,kiša
92,Schnee::N,雪,snijeg
93,Eis::N,氷,led
94,Frost::N,霜,mraz
95,Kälte::N,寒さ,studen
96,Kälte::N,寒さ,hladnoća
97,Hitze::N,暑さ,vrućina
98,Raureif::N,霧氷,inje
