,Concept_ID,ro,kl
0,Auge::N,ochi,isi
1,Ohr::N,ureche,siut
2,Nase::N,nas,
3,Mund::N,gură,paaq
4,Mund::N,gură,qaneq
5,Zahn::N,dinte,kigut
6,Zunge::N,limbă,oqaq
7,Lippe::N,buză,qarloq
8,Wange::N,bucă,ersaq
9,Wange::N,obraz,ersaq
10,Gesicht::N,față,kiinaq
11,Gesicht::N,figură,kiinaq
12,Stirn::N,frunte,qaaq
13,Haar::N,păr,meqqoq
14,Schnurrbart::N,mustață,
15,Bart::N,barbă,umik
16,Kinn::N,bărbie,talloq
17,Kiefer[Anatomie]::N,falcă,alleroq
18,Kehle::N,beregată,malaq
19,Hals::N,gât,qungaseq
20,Genick::N,ceafă,pukusuk
21,Kopf::N,cap,niaqoq
22,Rücken::N,dos,qimerlut
23,Rücken::N,spate,qimerlut
24,Rücken::N,spinare,qimerlut
25,Bauch::N,burtă,naaq
26,Bauch::N,pântece,naaq
27,Nabel::N,buric,qalaseq
28,Busen::N,sân,iviangeq
29,Brust::N,piept,iviangeq
30,Schulter::N,umăr,ersik
31,Schulter::N,umăr,assaqqoq
32,Schulter::N,spate,ersik
33,Schulter::N,spate,assaqqoq
34,Arm::N,braț,taleq
35,Ellenbogen::N,cot,ikusik
36,Hand::N,mână,assak
37,Handfläche::N,palmă,itumak
38,Finger::N,deget,inuak
39,Fingernagel::N,unghie,kikiak
40,Nagel[Anatomie]::N,unghie,kukik
41,Zeh::N,deget de la picior,isigak
42,Fuß::N,picior,
43,Ferse::N,călcâi,kimmik
44,Knie::N,genunchi,seeqqoq
45,Oberschenkel::N,coapsă,uppat
46,Oberschenkel::N,coapsă,quttoraq
47,Bein::N,picior,isigak
48,Körper::N,corp,timi
49,Haut::N,piele,mattak
50,Blut::N,sânge,aak
51,Ader::N,vână,taqaq
52,Ader::N,arteră,taqaq
53,Sehne::N,tendon,ujalu
54,Sehne::N,tendon,ujaloq
55,Knochen::N,os,saanikut
56,Gehirn::N,creier,qarasaq
57,Herz::N,inimă,uummat
58,Magen::N,stomac,aqajaroq
59,Leber::N,ficat,tinguk
60,Atem::N,răsuflare,anerneq
61,Atem::N,respirație,anerneq
62,Hunger::N,foame,kaanneq
63,Träne::N,lacrimă,qia
64,Träne::N,lacrimă,qiak
65,Geschmack::N,gust,qilanaartuut
66,Geruch::N,miros,tipi
67,Geruch::N,miros,tipik
68,Schlaf::N,somn,
69,Traum::N,vis,sinnattoq
70,Traum::N,vis,sinnattugaq
71,Himmel::N,cer,qilak
72,Sonne::N,soare,seqineq
73,Mond::N,lună,qaammat
74,Stern::N,stea,ulloriaq
75,Luft::N,aer,silaannaq
76,Wind::N,vânt,anori
77,Wind::N,vânt,anorsarik
78,Welle::N,val,aalappaa
79,Welle::N,undă,aalappaa
80,Wasser::N,apă,imeq
81,Stein::N,piatră,ujarak
82,Boden::N,sol,nateq
83,Boden::N,pământ,nateq
84,Erde::N,pământ,issoq
85,Staub::N,praf,pujualanerit
86,Staub::N,praf,pujoralanerit
87,Rauch::N,fum,iseq
88,Rauch::N,fum,pujoq
89,Funke::N,scânteie,illoorneq
90,Feuer::N,foc,inneq
91,Licht::N,lumină,qaamaneq
92,Schatten::N,umbră,tarraq
93,Wetter::N,timp,sila
94,Wetter::N,vreme,sila
95,Nebel::N,ceață,pujoq
96,Nebel::N,negură,pujoq
97,Wolke::N,nor,nuia
98,Regen::N,ploaie,sialuk
99,Schnee::N,zăpadă,aput
100,Eis::N,gheață,siku
101,Frost::N,ger,issi
102,Frost::N,ger,issik
103,Kälte::N,frig,issi
104,Hitze::N,arșiță,kianneq
105,Hitze::N,arșiță,kiassuseq
