,Concept_ID,nl,kn
0,Auge::N,oog,ಕಣ್ಣು
1,Ohr::N,oor,ಕಿವಿ
2,Nase::N,neus,ಮೂಗು
3,Mund::N,mond,ಬಾಯಿ
4,Zahn::N,tand,ಹಲ್ಲು
5,Zunge::N,tong,ನಾಲಿಗೆ
6,Lippe::N,lip,ತುಟಿ
7,Wange::N,wang,ಗಲ್ಲ
8,Gesicht::N,gelaat,ಮುಖ
9,Gesicht::N,gezicht,ಮುಖ
10,Stirn::N,voorhoofd,ಹಣೆ
11,Haar::N,haar,ಕೂದಲು
12,Schnurrbart::N,snor,ಮೀಸೆ
13,Bart::N,baard,ಗಡ್ಡ
14,Kinn::N,kin,ಗದ್ದ
15,Kiefer[Anatomie]::N,kaak,ದವಡೆ
16,Kehle::N,keel,ಗಂಟಲು
17,Kehle::N,strot,ಗಂಟಲು
18,Hals::N,hals,ಕೊರಳು
19,Genick::N,nek,ಹಿಂಗತ್ತು
20,Kopf::N,hoofd,ತಲೆ
21,Rücken::N,rug,ಬೆನ್ನು
22,Bauch::N,buik,ಹೊಟ್ಟೆ
23,Nabel::N,navel,ಹೊಕ್ಕುಳು
24,Busen::N,boezem,ಸ್ತನ
25,Brust::N,borst,ಎದೆ
26,Schulter::N,schouder,ಭುಜ
27,Arm::N,arm,ತೋಳು
28,Ellenbogen::N,elleboog,ಮೊಣಕೈ
29,Hand::N,hand,ಕೈ
30,Handfläche::N,handpalm,ಅಂಗೈ
31,Finger::N,vinger,ಕೈಬೆರಳು
32,Fingernagel::N,nagel,ಉಗುರು
33,Nagel[Anatomie]::N,nagel,ಉಗುರು
34,Zeh::N,teen,ಕಾಲ್ಬೆರಳು
35,Fuß::N,voet,ಪಾದ
36,Ferse::N,hak,ಹಿಮ್ಮಡಿ
37,Ferse::N,hiel,ಹಿಮ್ಮಡಿ
38,Knie::N,knie,ಮಂಡಿ
39,Oberschenkel::N,dij,ತೊಡೆ
40,Bein::N,been,ಕಾಲು
41,Körper::N,lichaam,ದೇಹ
42,Haut::N,huid,ಚರ್ಮ
43,Blut::N,bloed,ರಕ್ತ
44,Ader::N,ader,ನರ
45,Sehne::N,pees,ನರ
46,Knochen::N,bot,ಮೂಳೆ
47,Knochen::N,been,ಮೂಳೆ
48,Knochen::N,knook,ಮೂಳೆ
49,Gehirn::N,hersenen,ಮಿದುಳು
50,Herz::N,hart,ಹೃದಯ
51,Magen::N,maag,ಉದರ
52,Leber::N,lever,ಯಕೃತ್ತು
53,Atem::N,adem,ಉಸಿರು
54,Hunger::N,honger,ಹಸಿವು
55,Träne::N,traan,ಕಣ್ಣೀರು
56,Geschmack::N,smaak,ರುಚಿ
57,Geruch::N,geur,ವಾಸನೆ
58,Schlaf::N,slaap,ನಿದ್ರೆ
59,Traum::N,droom,ಕನಸು
60,Himmel::N,hemel,ಬಾನು
61,Sonne::N,zon,ಸೂರ್ಯ
62,Mond::N,maan,ಚಂದ್ರ
63,Stern::N,ster,ಚುಕ್ಕಿ
64,Luft::N,lucht,ವಾಯು
65,Wind::N,wind,ಗಾಳಿ
66,Welle::N,golf,ಅಲೆ
67,Wasser::N,water,ನೀರು
68,Stein::N,steen,ಕಲ್ಲು
69,Boden::N,grond,ನೆಲ
70,Erde::N,aarde,ಭೂಮಿ
71,Staub::N,stof,ದೂಳು
72,Rauch::N,rook,ಹೊಗೆ
73,Funke::N,vonk,ಕಿಡಿ
74,Feuer::N,vuur,ಬೆಂಕಿ
75,Licht::N,licht,ಬೆಳಕು
76,Schatten::N,schaduw,ನೆರಳು
77,Wetter::N,weer,ಹವ
78,Nebel::N,mist,ಮಂಜು
79,Nebel::N,nevel,ಮಂಜು
80,Wolke::N,wolk,ಮೋಡ
81,Regen::N,regen,ಮಳೆ
82,Schnee::N,sneeuw,ಹಿಮ
83,Eis::N,ijs,ಮಂಜುಗಡ್ಡೆ
84,Frost::N,vorst,ಮಂಜು
85,Kälte::N,kou,ಹಿಮ
86,Kälte::N,koude,ಹಿಮ
87,Hitze::N,hitte,ಉಷ್ಣ
88,Raureif::N,rijp,ಇಬ್ಬನಿ
89,Regenbogen::N,regenboog,ಇಂದ್ರಚಾಪ
90,Donner::N,donder,ಗುಡುಗು
91,Strömung::N,stroming,ಪ್ರವಾಹ
92,Tropfen::N,druppel,ತೊಟ್ಟು
93,Schaum::N,schuim,ನೊರೆ
94,Schmutz::N,vuil,ಕಸ
95,See::N,meer,ಸರೋವರ
96,Sumpf::N,moeras,ಜೌಗುಸ್ಥಳ
97,Moor::N,veen,ಬಂಜರು ಭೂಮಿ
98,Wiese::N,wei,ಹುಲ್ಲುಗಾವಲು
99,Wiese::N,weide,ಹುಲ್ಲುಗಾವಲು
100,Wald::N,bos,ಕಾಡು
101,Hügel::N,heuvel,ಗುಡ್ಡೆ
102,Anhöhe::N,hoogte,ದಿಬ್ಬ
103,Berg::N,berg,ಮಲೆ
104,Berg::N,berg,ಪರ್ವತ
105,Gipfel::N,top,ಶೃಂಗ
106,Höhle::N,hol,ಗುಹೆ
107,Abhang::N,helling,ಇಳಿಜಾರು
108,Quelle::N,bron,ಮೂಲ
109,Bach::N,beek,ತೊರೆ
110,Fluss::N,stroom,ನದಿ
111,Ufer::N,wal,ತೀರ
112,Ufer::N,oever,ತೀರ
113,Küste::N,kust,ದಂಡೆ
114,Festland::N,vasteland,ಭೂಮಿ
115,Meer::N,zee,ಕಡಲು
116,Bucht::N,baai,ಖಾರಿ
117,Bucht::N,inham,ಖಾರಿ
118,Insel::N,eiland,ದ್ವೀಪ
119,Blume::N,bloem,ಸುಮ
120,Gras::N,gras,ಹುಲ್ಲು
121,Wurzel::N,wortel,ಬೇರು
122,Baum::N,boom,ಮರ
123,Stamm::N,stam,ಕಾಂಡ
124,Rinde::N,schors,ತೂಗಟಿ
125,Ast::N,tak,ಶಾಖೆ
126,Zweig::N,twijg,ರೆಂಬೆ
127,Blatt::N,blad,ಎಲೆ
128,Birke::N,berk,ಬರ್ಚ್ ಮರ
129,Kiefer[Baum]::N,den,ದೇವದಾರು ಮರ
130,Weide[Baum]::N,wilg,ವಿಲೋಮರ
131,Tanne::N,spar,ಭದ್ರದಾರು
132,Horn::N,hoorn,ಕೊಂಬು
133,Feder::N,veer,ಪುಕ್ಕ
134,Feder::N,pluim,ಪುಕ್ಕ
135,Fell::N,vel,ರೋಮ
136,Flügel::N,vleugel,ರೆಕ್ಕೆ
137,Klaue::N,klauw,ಪಂಜ
138,Kralle::N,klauw,ಉಗುರು
139,Schwanz::N,staart,ಬಾಲ
140,Ei::N,ei,ಮೊಟ್ಟೆ
141,Nest::N,nest,ಗೂಡು
142,Bau::N,hol,ಅಡಗುದಾಣ
143,Tier::N,dier,ಪ್ರಾಣಿ
144,Herde::N,kudde,ಗುಂಪು
145,Kuh::N,koe,ಹಸು
146,Bulle::N,stier,ಗೂಳಿ
147,Pferd::N,paard,ಕುದುರೆ
148,Schaf::N,schaap,ಕುರಿ
149,Schwein::N,varken,ಹಂದಿ
150,Hund::N,hond,ನಾಯಿ
151,Katze::N,kat,ಬೆಕ್ಕು
152,Bär::N,beer,ಕರಡಿ
153,Eichhörnchen::N,eekhoorntje,ಉಡುತೆ
154,Elch::N,eland,ಕಡವೆ
155,Fuchs::N,vos,ನರಿ
156,Hase::N,haas,ಮೊಲ
157,Maus::N,muis,ಇಲಿ
158,Wolf::N,wolf,ತೋಳ
159,Vogel::N,vogel,ಪಕ್ಷಿ
160,Schwarm::N,zwerm,ಗುಂಪು
161,Huhn::N,kip,ಚಿಕ್
162,Huhn::N,hoen,ಚಿಕ್
163,Hahn::N,haan,ಹುಂಜ
