,Concept_ID,ar,kk
0,Auge::N,عين,көз
1,Ohr::N,أذن,құлақ
2,Nase::N,أنف,мұрын
3,Mund::N,فم,ауыз
4,Zahn::N,سن,тіс
5,Zunge::N,لسان,тіл
6,Lippe::N,شفة,ерін
7,Wange::N,خد,ұрт
8,Wange::N,وجنة,ұрт
9,Gesicht::N,وجه,бет-аузы
10,Stirn::N,جبين,маңдай
11,Haar::N,شعر,қыл
12,Schnurrbart::N,شارب,мұрт
13,Bart::N,لحية,сақал
14,Kinn::N,ذقن,иек
15,Kiefer[Anatomie]::N,فك,жақ
16,Kehle::N,حلق,алқым
17,Hals::N,عنق,мойын
18,Hals::N,رقبة,мойын
19,Genick::N,قفا,желке
20,Kopf::N,رأس,кәллә
21,Rücken::N,ظهر,арқа
22,Bauch::N,بطن,қарын
23,Nabel::N,سرة,кіндік
24,Busen::N,ثدي,омырау
25,Brust::N,صدر,кеуде
26,Schulter::N,كتف,иық
27,Arm::N,ذراع,қол
28,Ellenbogen::N,كوع,шынтақ
29,Hand::N,يد,қол
30,Handfläche::N,كف,алақан
31,Finger::N,إصبع,саусақ
32,Fingernagel::N,ظفر,тырнақ
33,Nagel[Anatomie]::N,ظفر,тырнақ
34,Zeh::N,إصبع القدم,тырнақ
35,Zeh::N,إصبع القدم,тұяқ
36,Fuß::N,قدم,аяқ-басы
37,Ferse::N,كعب,өкше
38,Ferse::N,كعب,өкшелік
39,Knie::N,ركبة,тізе
40,Oberschenkel::N,فخذ,жамбас
41,Bein::N,ساق,аяқ
42,Körper::N,جسم,дене
43,Haut::N,بشرة,тері
44,Blut::N,دم,қан
45,Ader::N,عرق,көктамыр
46,Ader::N,عرق,күретамыр
47,Sehne::N,طنب,сіңір
48,Knochen::N,عظم,жілік
49,Gehirn::N,دماغ,ми
50,Herz::N,قلب,жүрек
51,Magen::N,معدة,асқазан
52,Leber::N,كبد,бауыр
53,Atem::N,نفس,леп
54,Hunger::N,جوع,ашаршылық
55,Träne::N,دمعة,жас
56,Geschmack::N,طعم,дәм
57,Geschmack::N,طعم,татым
58,Geschmack::N,طعم,талғам
59,Geschmack::N,مذاق,дәм
60,Geschmack::N,مذاق,татым
61,Geschmack::N,مذاق,талғам
62,Geruch::N,رائحة,иіс
63,Schlaf::N,نوم,ұйқы
64,Schlaf::N,نوم,ұйықтау
65,Schlaf::N,منام,ұйқы
66,Schlaf::N,منام,ұйықтау
67,Traum::N,حلم,түс
68,Himmel::N,سماء,аспан
69,Himmel::N,سماء,көқ
70,Himmel::N,سماء,таңдай
71,Sonne::N,شمس,күн
72,Mond::N,قمر,ай
73,Stern::N,نجم,жұлдыз
74,Stern::N,كوكب,жұлдыз
75,Luft::N,هواء,әуе
76,Wind::N,ريح,жел
77,Welle::N,موجة,толқын
78,Wasser::N,ماء,су
79,Stein::N,حجر,тас
80,Boden::N,تراب,қыртыс
81,Erde::N,أرض,топырақ
82,Staub::N,غبار,шаң
83,Rauch::N,دخان,түтін
84,Funke::N,شرارة,ұшқын
85,Feuer::N,نار,алау
86,Licht::N,نور,шұғыла
87,Licht::N,ضوء,шұғыла
88,Schatten::N,ظل,көлеңке
89,Schatten::N,فيء,көлеңке
90,Wetter::N,جو,ауа райы
91,Wetter::N,طقس,ауа райы
92,Nebel::N,ضباب,тұман
93,Wolke::N,غيمة,бұлт
94,Wolke::N,سحابة,бұлт
95,Regen::N,مطر,жаңбыр
96,Schnee::N,ثلج,қар
97,Eis::N,جليد,мұз
98,Frost::N,صقيع,суық
99,Kälte::N,برد,ызғар
100,Kälte::N,برد,суықтық
101,Hitze::N,حر,аптап
102,Hitze::N,حرارة,аптап
103,Raureif::N,صقيع,қырау
104,Regenbogen::N,قوس قزح,кемпірқосақ
105,Donner::N,رعد,күн күркіреу
106,Strömung::N,تيار,ағын
107,Tropfen::N,قطرة,тамшы
108,Schaum::N,زبد,көбік
109,Schaum::N,رغوة,көбік
110,Schmutz::N,وسخ,кір
111,See::N,بحيرة,көл
112,Sumpf::N,مستنقع,саз
113,Moor::N,مستنقع,саз
114,Wiese::N,مرج,шалғын
115,Wald::N,غابة,орман
116,Hügel::N,تل,төбе
117,Hügel::N,تل,белес
118,Hügel::N,تل,белес-белес
119,Anhöhe::N,تل,дөң
120,Anhöhe::N,تل,адыр
121,Anhöhe::N,تل,қырат
122,Berg::N,جبل,тау
123,Gipfel::N,قمة,төбе
124,Höhle::N,كهف,үңгір
125,Abhang::N,منحدر,бауыр
126,Quelle::N,منبع,қайнар
127,Bach::N,مجرى,жылға
128,Fluss::N,نهر,өзен
129,Ufer::N,ضفة,жиек
130,Küste::N,ساحل,жиегі
131,Küste::N,ساحل,жағалау
132,Festland::N,بر,құрылық
133,Meer::N,بحر,теңіз
134,Bucht::N,خليج,шығанақ
135,Insel::N,جزيرة,арал
136,Blume::N,زهرة,гүл
137,Gras::N,حشيش,от
138,Wurzel::N,أصل,түбір
139,Baum::N,شجرة,ағаш
140,Baum::N,شجرة,дарақ
141,Stamm::N,جذع,сояу
142,Stamm::N,جذع,оқпан
143,Rinde::N,قشرة,қабық
144,Ast::N,فرع,бұтақ
145,Zweig::N,غصن,шыбық
146,Blatt::N,ورقة,жапырақ
147,Birke::N,قضبان,қайың
148,Kiefer[Baum]::N,صنوبرة,қарағай
149,Weide[Baum]::N,صفصاف,тал
150,Tanne::N,شوح,шырша
151,Tanne::N,تبوب,шырша
152,Horn::N,قرن,мүйіз
153,Feder::N,ريشة,қаламұш
154,Fell::N,فرو,тері
155,Flügel::N,جناح,қанат
156,Klaue::N,مخلب,тырнақ
157,Kralle::N,مخلب,аяқ
158,Schwanz::N,ذيل,құйрық
159,Ei::N,بيض,жұмыртқа
160,Nest::N,عش,ұя
161,Bau::N,جحر,жатақ
162,Tier::N,حيوان,айуан
