,Concept_ID,kk,myv
0,Auge::N,көз,сельме
1,Ohr::N,құлақ,пиле
2,Nase::N,мұрын,судо
3,Mund::N,ауыз,курго
4,Zahn::N,тіс,пей
5,Zunge::N,тіл,кель
6,Lippe::N,ерін,турва
7,Wange::N,ұрт,чамабока
8,Wange::N,ұрт,чамаумарь
9,Gesicht::N,бет-аузы,чама
10,Stirn::N,маңдай,коня
11,Haar::N,қыл,черь
12,Schnurrbart::N,мұрт,ус
13,Schnurrbart::N,мұрт,муюк
14,Bart::N,сақал,сакал
15,Kinn::N,иек,уло
16,Kiefer[Anatomie]::N,жақ,пейпакар
17,Kiefer[Anatomie]::N,жақ,пейловажа
18,Kehle::N,алқым,кирьгапарь
19,Hals::N,мойын,кирьга
20,Genick::N,желке,човонь
21,Kopf::N,кәллә,пря
22,Rücken::N,арқа,копорь
23,Bauch::N,қарын,пеке
24,Nabel::N,кіндік,почо
25,Busen::N,омырау,поте
26,Brust::N,кеуде,меште
27,Schulter::N,иық,лавтов
28,Arm::N,қол,кедь
29,Ellenbogen::N,шынтақ,кенерепакарь
30,Hand::N,қол,кедь
31,Handfläche::N,алақан,кедькуншка
32,Handfläche::N,алақан,кедьлапушка
33,Finger::N,саусақ,сур
34,Fingernagel::N,тырнақ,кенже
35,Nagel[Anatomie]::N,тырнақ,кенже
36,Zeh::N,тырнақ,пильге сур
37,Zeh::N,тұяқ,пильге сур
38,Fuß::N,аяқ-басы,пильге
39,Ferse::N,өкше,кочкаря
40,Ferse::N,өкшелік,кочкаря
41,Knie::N,тізе,эле
42,Knie::N,тізе,эзне
43,Knie::N,тізе,кумажа
44,Oberschenkel::N,жамбас,качо
45,Bein::N,аяқ,пильге
46,Körper::N,дене,рунго
47,Haut::N,тері,киське
48,Blut::N,қан,верь
49,Ader::N,көктамыр,сан
50,Ader::N,күретамыр,сан
51,Sehne::N,сіңір,коське сан
52,Knochen::N,жілік,пакарь
53,Gehirn::N,ми,удем
54,Herz::N,жүрек,седей
55,Magen::N,асқазан,пеке
56,Leber::N,бауыр,максо
57,Atem::N,леп,лексема
58,Atem::N,леп,оймень таргсема
59,Hunger::N,ашаршылық,вачочи
60,Träne::N,жас,селведь
61,Geschmack::N,дәм,тансть
62,Geschmack::N,татым,тансть
63,Geschmack::N,талғам,тансть
64,Geruch::N,иіс,чине
65,Schlaf::N,ұйқы,удома
66,Schlaf::N,ұйықтау,удома
67,Traum::N,түс,он
68,Himmel::N,аспан,менель
69,Himmel::N,көқ,менель
70,Himmel::N,таңдай,менель
71,Sonne::N,күн,чи
72,Mond::N,ай,ков
73,Stern::N,жұлдыз,теште
74,Luft::N,әуе,кошт
75,Wind::N,жел,варма
76,Welle::N,толқын,толкун
77,Wasser::N,су,ведь
78,Stein::N,тас,кев
79,Boden::N,қыртыс,мода
80,Erde::N,топырақ,мастор
81,Staub::N,шаң,пуль
82,Rauch::N,түтін,качамо
83,Funke::N,ұшқын,сятко
84,Feuer::N,алау,тол
85,Licht::N,шұғыла,валдо
86,Schatten::N,көлеңке,сулей
87,Schatten::N,көлеңке,сулейкс
88,Wetter::N,ауа райы,ушо
89,Nebel::N,тұман,сув
90,Wolke::N,бұлт,пель
91,Regen::N,жаңбыр,пиземс
92,Schnee::N,қар,лов
93,Eis::N,мұз,эй
94,Frost::N,суық,кельме
95,Kälte::N,ызғар,якшамо
96,Kälte::N,суықтық,якшамо
97,Hitze::N,аптап,пси
98,Raureif::N,қырау,лекш
99,Regenbogen::N,кемпірқосақ,пурьгинечирьке
100,Regenbogen::N,кемпірқосақ,пурьгинеёнкс
101,Donner::N,күн күркіреу,пурьгине
102,Strömung::N,ағын,чудема
103,Strömung::N,ағын,чудевкс
104,Tropfen::N,тамшы,петнявкс
105,Schaum::N,көбік,чов
106,Schmutz::N,кір,рудаз
107,See::N,көл,эрьке
108,Sumpf::N,саз,чей
109,Moor::N,саз,чей
110,Wiese::N,шалғын,луга
111,Wald::N,орман,вирь
112,Hügel::N,төбе,губорь
113,Hügel::N,төбе,пандыне
114,Hügel::N,белес,губорь
115,Hügel::N,белес,пандыне
116,Hügel::N,белес-белес,губорь
117,Hügel::N,белес-белес,пандыне
118,Anhöhe::N,дөң,губорь
119,Anhöhe::N,дөң,пандыне
120,Anhöhe::N,адыр,губорь
121,Anhöhe::N,адыр,пандыне
122,Anhöhe::N,қырат,губорь
123,Anhöhe::N,қырат,пандыне
124,Berg::N,тау,пандо
125,Gipfel::N,төбе,пря
126,Höhle::N,үңгір,пещера
127,Abhang::N,бауыр,пандочама
128,Quelle::N,қайнар,ушодкс
129,Bach::N,жылға,чудикерькс
130,Fluss::N,өзен,лей
131,Ufer::N,жиек,чире
132,Küste::N,жиегі,лейчире
133,Küste::N,жағалау,лейчире
134,Festland::N,құрылық,мода
135,Meer::N,теңіз,моря
136,Bucht::N,шығанақ,усия
137,Insel::N,арал,усия
138,Blume::N,гүл,цеця
139,Gras::N,от,тикше
140,Wurzel::N,түбір,юр
141,Wurzel::N,түбір,ундокс
142,Baum::N,ағаш,чувто
143,Baum::N,дарақ,чувто
144,Stamm::N,сояу,рунго
145,Stamm::N,оқпан,рунго
146,Rinde::N,қабық,суд
147,Rinde::N,қабық,керь
148,Ast::N,бұтақ,морго
149,Zweig::N,шыбық,тарад
150,Blatt::N,жапырақ,лопа
151,Birke::N,қайың,килей
152,Kiefer[Baum]::N,қарағай,пиче
153,Weide[Baum]::N,тал,каль
154,Tanne::N,шырша,куз
155,Horn::N,мүйіз,сюро
156,Feder::N,қаламұш,толга
157,Fell::N,тері,пона
158,Flügel::N,қанат,сёлмо
159,Klaue::N,тырнақ,кенже
160,Kralle::N,аяқ,кенже
161,Schwanz::N,құйрық,пуло
162,Ei::N,жұмыртқа,ал
163,Nest::N,ұя,пизэ
164,Bau::N,жатақ,варя
165,Bau::N,жатақ,пизе
166,Tier::N,айуан,ракша
167,Tier::N,жануар,ракша
168,Herde::N,пада,стада
169,Kuh::N,сиыр,скал
170,Bulle::N,өгіз,бука
171,Pferd::N,жылқы,лишме
172,Schaf::N,қой,реве
173,Schwein::N,шошқа,туво
174,Hund::N,ит,пине
175,Hund::N,ит,киска
176,Katze::N,мысық,псака
177,Bär::N,аю,овто
178,Eichhörnchen::N,тиін,ур
179,Elch::N,бұғы,сярдо
180,Fuchs::N,түлкі,ривезь
181,Hase::N,қоян,нумоло
182,Maus::N,қаптесер,чеерь
183,Wolf::N,бөрі,верьгиз
184,Wolf::N,қасқыр,верьгиз
185,Vogel::N,құс,нармунь
186,Schwarm::N,топ,полк
187,Schwarm::N,топ,стада
188,Schwarm::N,үйір,полк
189,Schwarm::N,үйір,стада
190,Huhn::N,тауық,сараз
191,Huhn::N,мекиен,сараз
192,Hahn::N,әтеш,атякш
193,Hahn::N,қораз,атякш
194,Gans::N,қаз,гала
195,Gans::N,қаз,мацей
196,Adler::N,бүркіт,куцькан
197,Adler::N,бүркіт,тумоатякш
198,Ente::N,үйрек,яксярго
199,Eule::N,жапалақ,корж
200,Kranich::N,тырна,карго
201,Krähe::N,қарға,варака
202,Kuckuck::N,көкек,куко
203,Schwan::N,аққу,локсей
204,Fisch::N,балық,кал
205,Barsch::N,алабұға,окунь
206,Hecht::N,шортан,щука
207,Schlange[Tier]::N,жылан,гуй
208,Wurm::N,шұбалшаң,сукс
209,Spinne::N,өрмекші,шанжав
