,Concept_ID,ka,sl
0,Auge::N,თვალი,okó
1,Ohr::N,ყური,uhó
2,Nase::N,ცხვირი,nós
3,Mund::N,პირი,ústa
4,Zahn::N,კბილი,zób
5,Zunge::N,ენა,jêzik
6,Lippe::N,ბაგე,ústnica
7,Wange::N,ლოყა,líce
8,Gesicht::N,სახე,oblíčje
9,Stirn::N,შუბლი,čêlo
10,Haar::N,თმა,lás
11,Schnurrbart::N,ულვაში,bŕki
12,Bart::N,წვერი,bráda
13,Kinn::N,ნიკაპი,bráda
14,Kiefer[Anatomie]::N,ყბა,čeljúst
15,Kehle::N,ყელი,gŕlo
16,Hals::N,ყელი,vrát
17,Hals::N,კისერი,vrát
18,Genick::N,კეფა,zatílnik
19,Kopf::N,თავი,gláva
20,Rücken::N,ზურგი,hrbèt
21,Bauch::N,მუცელი,trébuh
22,Nabel::N,ჭიპი,pópek
23,Busen::N,ძუძუ,nédrja
24,Brust::N,მკერდი,pŕsi
25,Schulter::N,მხარი,ráma
26,Schulter::N,მხარი,plêče
27,Schulter::N,მკლავი,ráma
28,Schulter::N,მკლავი,plêče
29,Arm::N,ხელი,rôka
30,Ellenbogen::N,იდაყვი,komólec
31,Hand::N,ხელი,rôka
32,Handfläche::N,ნები,dlán
33,Handfläche::N,ხელისგული,dlán
34,Finger::N,თითი,pŕst
35,Fingernagel::N,ფრჩხილი,nóht na rôki
36,Nagel[Anatomie]::N,ფრჩხილი,nóht
37,Zeh::N,ფეხის თითი,pŕst na nôgi
38,Fuß::N,ტერფი,nôga
39,Fuß::N,ფეხისგული,nôga
40,Ferse::N,ქუსლი,pêta
41,Knie::N,მუხლი,koléno
42,Oberschenkel::N,ბარძაყი,stêgno
43,Bein::N,ფეხი,nôga
44,Körper::N,ტანი,teló
45,Körper::N,სხეული,teló
46,Haut::N,კანი,kóža
47,Blut::N,სისხლი,krí
48,Ader::N,ძარღვი,žíla
49,Sehne::N,მყესი,kíta
50,Knochen::N,ძვალი,kóst
51,Gehirn::N,ტვინი,možgáni
52,Herz::N,გული,srcé
53,Magen::N,კუჭი,želódec
54,Leber::N,ღვიძლი,jétra
55,Atem::N,სუნთქვა,díh
56,Hunger::N,შიმშილი,glád
57,Träne::N,ცრემლი,sólza
58,Geschmack::N,გემო,okús
59,Geruch::N,სუნი,vónj
60,Schlaf::N,ძილი,sèn
61,Schlaf::N,ძილი,spánec
62,Traum::N,სიზმარი,sánje
63,Himmel::N,ცა,nebó
64,Sonne::N,მზე,sónce
65,Mond::N,მთვარე,lúna
66,Mond::N,მთვარე,mésec
67,Stern::N,ვარსკვლავი,zvézda
68,Luft::N,ჰაერი,zràk
69,Wind::N,ქარი,véter
70,Welle::N,ტალღა,vál
71,Wasser::N,წყალი,vôda
72,Stein::N,ქვა,kámen
73,Boden::N,მიწა,tlà
74,Erde::N,ნიადაგი,pŕst
75,Erde::N,ნიადაგი,zêmlja
76,Staub::N,მტვერი,práh
77,Rauch::N,ბოლი,dìm
78,Rauch::N,კვამლი,dìm
79,Funke::N,ნაკვესი,ískra
80,Feuer::N,ცეცხლი,ôgenj
81,Licht::N,შუქი,lúč
82,Licht::N,სინათლე,lúč
83,Schatten::N,ლანდი,sénca
84,Schatten::N,ჩრდილი,sénca
85,Wetter::N,ამინდი,vrême
86,Nebel::N,ნისლი,meglà
87,Wolke::N,ღრუბელი,oblák
88,Regen::N,წვიმა,dèž
89,Schnee::N,თოვლი,snég
90,Eis::N,თოში,léd
91,Eis::N,ყინული,léd
92,Frost::N,ყინვა,zmrzál
93,Kälte::N,სიცივე,mràz
94,Hitze::N,სიცხე,pripéka
95,Raureif::N,ჭირხლი,ívje
96,Raureif::N,ჭირხლი,slána
97,Raureif::N,თრთვილი,ívje
98,Raureif::N,თრთვილი,slána
99,Regenbogen::N,ცისარტყელა,mávrica
100,Donner::N,ქუხილი,gròm
101,Strömung::N,დინება,strúja
102,Tropfen::N,წვეთი,káplja
103,Schaum::N,ქაფი,péna
104,Schaum::N,დორბლი,péna
105,Schmutz::N,ჭუჭყი,nesnága
106,Schmutz::N,ტალახი,nesnága
107,See::N,ტბა,jézero
108,Sumpf::N,ჭაობი,močvírje
109,Moor::N,ტორფნარი,bárje
110,Wiese::N,ველი,trávnik
111,Wiese::N,მდელო,trávnik
112,Wald::N,ტყე,lés
113,Wald::N,ტყე,gòzd
114,Hügel::N,ბორცვი,brég
115,Hügel::N,ბორცვი,goríca
116,Anhöhe::N,მაღლობი,gríč
117,Anhöhe::N,მაღლობი,višína
118,Berg::N,მთა,gôra
119,Berg::N,მთა,planína
120,Gipfel::N,მწვერვალი,vŕh
121,Höhle::N,მღვიმე,jáma
122,Höhle::N,მღვიმე,votlína
123,Höhle::N,გამოქვებული,jáma
124,Höhle::N,გამოქვებული,votlína
125,Abhang::N,ფერდობი,pobóčje
126,Quelle::N,წყარო,izvír
127,Quelle::N,სათავე,izvír
128,Bach::N,რუ,pôtok
129,Bach::N,ნაკადული,pôtok
130,Fluss::N,მდინარე,réka
131,Ufer::N,კიდე,brég
132,Ufer::N,ნაპირი,brég
133,Küste::N,ნაპირი,obála
134,Küste::N,ნაპირი,obréžje
135,Festland::N,ხმელეთი,celína
136,Festland::N,ხმელეთი,kopnína
137,Meer::N,ზღვა,mórje
138,Bucht::N,ყურე,zalív
139,Insel::N,კუნძული,ôtok
140,Blume::N,ყვავილი,cvetlíca
141,Gras::N,ბალახი,tráva
142,Wurzel::N,ძირი,korenína
143,Wurzel::N,ფესვი,korenína
144,Baum::N,ხე,drevó
145,Stamm::N,ტანი,dêblo
146,Rinde::N,ქერქი,lúbje
147,Rinde::N,ქერქი,skórja
