,Concept_ID,ps,cv
0,Auge::N,سترګه,куҫ
1,Ohr::N,غوږ,хӑлха
2,Nase::N,پوزه,сӑмса
3,Mund::N,خوله,ҫӑвар
4,Zahn::N,غاښ,шӑл
5,Zunge::N,جبه,чӗлхе
6,Lippe::N,شونډه,тута
7,Wange::N,باړخو,пит ҫӑмарти
8,Gesicht::N,مخ,пит
9,Gesicht::N,مخ,пит-куҫ
10,Stirn::N,تندی,ҫамка
11,Stirn::N,وچولی,ҫамка
12,Haar::N,وېښته,ҫӳҫ
13,Schnurrbart::N,برېت,усси
14,Bart::N,ږیره,сухал
15,Kinn::N,زنه,янах
16,Kiefer[Anatomie]::N,جامه,янах
17,Kehle::N,غاړه,пыр
18,Kehle::N,غاړه,карланкӑ
19,Hals::N,غاړه,пыр
20,Genick::N,ورمېږ,ӗнсе
21,Kopf::N,سر,пуҫ
22,Rücken::N,شا,ҫурӑм
23,Bauch::N,نس,
24,Bauch::N,ګېډه,
25,Nabel::N,نوم,кӑвапа
26,Busen::N,تی,кӑкӑр
27,Brust::N,سینه,умӗ
28,Schulter::N,اوږه,хул пуҫҫи
29,Arm::N,لاس,алӑ
30,Ellenbogen::N,څنګل,чавса
31,Hand::N,لاس,алӑ сыппи
32,Handfläche::N,ورغوی,ал лаппи
33,Finger::N,ګوته,пӳрне
34,Fingernagel::N,نوک,чӗрне
35,Nagel[Anatomie]::N,نوک,чӗрне
36,Zeh::N,ګوته,пӳрне
37,Fuß::N,پښه,ура лаппи
38,Ferse::N,پونده,кӗле
39,Knie::N,زنګون,чӗркуҫҫи
40,Oberschenkel::N,پتون,пӗҫӗ
41,Bein::N,پښه,ура
42,Körper::N,ځان,ӳт
43,Körper::N,ځان,ӳт-пӳ
44,Haut::N,پوټکی,тир
45,Blut::N,وینه,юн
46,Ader::N,رګ,вена
47,Sehne::N,پله,шӑнӑр
48,Knochen::N,هډوکی,шӑмӑ
49,Gehirn::N,ماغزه,миме
50,Herz::N,زړه,чӗре
51,Magen::N,معده,хырӑмлӑх
52,Leber::N,ينه,пӗвер
53,Leber::N,ځیګر,пӗвер
54,Atem::N,نفس,сывлав
55,Hunger::N,ولږه,выҫлӑх
56,Träne::N,اوښکه,куҫҫуль
57,Geschmack::N,مزه,техӗм
58,Geschmack::N,خوند,техӗм
59,Geruch::N,بوی,шӑршӑ
60,Schlaf::N,خوب,ыйхӑ
61,Traum::N,خوب,тӗлӗк
62,Himmel::N,اسمان,пӗлӗт
63,Sonne::N,لمر,хӗвел
64,Mond::N,سپوږمۍ,уйӑх
65,Stern::N,ستوری,ҫӑлтӑр
66,Luft::N,هوا,сывлӑш
67,Wind::N,ورښ,ҫил
68,Welle::N,موج,хум
69,Wasser::N,اوبه,шыв
70,Wasser::N,اوبه,шыв-шур
71,Stein::N,ډبره,чул
