,Concept_ID,myv,hr
0,Auge::N,сельме,oko
1,Ohr::N,пиле,uho
2,Nase::N,судо,nos
3,Mund::N,курго,usta
4,Zahn::N,пей,zub
5,Zunge::N,кель,jezik
6,Lippe::N,турва,usna
7,Wange::N,чамабока,obraz
8,Wange::N,чамаумарь,obraz
9,Gesicht::N,чама,lice
10,Stirn::N,коня,čelo
11,Haar::N,черь,kosa
12,Schnurrbart::N,ус,brkovi
13,Schnurrbart::N,муюк,brkovi
14,Bart::N,сакал,brada
15,Kinn::N,уло,brada
16,Kinn::N,уло,podbradak
17,Kiefer[Anatomie]::N,пейпакар,čeljust
18,Kiefer[Anatomie]::N,пейловажа,čeljust
19,Kehle::N,кирьгапарь,grlo
20,Hals::N,кирьга,vrat
21,Genick::N,човонь,zatiljak
22,Kopf::N,пря,glava
23,Rücken::N,копорь,leđa
24,Rücken::N,копорь,hrbat
25,Bauch::N,пеке,trbuh
26,Nabel::N,почо,pupak
27,Busen::N,поте,sisa
28,Busen::N,поте,njedra
29,Brust::N,меште,prsa
30,Schulter::N,лавтов,rame
31,Schulter::N,лавтов,pleći
32,Arm::N,кедь,ruka
33,Ellenbogen::N,кенерепакарь,lakat
34,Hand::N,кедь,ruka
35,Handfläche::N,кедькуншка,dlan
36,Handfläche::N,кедьлапушка,dlan
37,Finger::N,сур,prst
38,Fingernagel::N,кенже,nokat
39,Nagel[Anatomie]::N,кенже,nokat
40,Zeh::N,пильге сур,nozni prst
41,Fuß::N,пильге,noga
42,Fuß::N,пильге,stopalo
43,Ferse::N,кочкаря,peta
44,Knie::N,эле,koljeno
45,Knie::N,эзне,koljeno
46,Knie::N,кумажа,koljeno
47,Oberschenkel::N,качо,bedro
48,Bein::N,пильге,noga
49,Körper::N,рунго,tijelo
50,Haut::N,киське,put
51,Haut::N,киське,koža
52,Blut::N,верь,krv
53,Ader::N,сан,žila
54,Sehne::N,коське сан,tetiva
55,Knochen::N,пакарь,kost
56,Gehirn::N,удем,
57,Herz::N,седей,srce
58,Magen::N,пеке,stomak
59,Magen::N,пеке,želudac
60,Leber::N,максо,jetra
61,Atem::N,лексема,dah
62,Atem::N,оймень таргсема,dah
63,Hunger::N,вачочи,glad
64,Träne::N,селведь,suza
65,Geschmack::N,тансть,ukus
66,Geruch::N,чине,njuh
67,Geruch::N,чине,miris
68,Schlaf::N,удома,san
69,Traum::N,он,san
70,Himmel::N,менель,nebo
71,Sonne::N,чи,sunce
72,Mond::N,ков,mjesec
73,Stern::N,теште,zvijezda
74,Luft::N,кошт,zrak
75,Wind::N,варма,vjetar
76,Welle::N,толкун,val
77,Welle::N,толкун,talas
78,Wasser::N,ведь,voda
79,Stein::N,кев,kamen
80,Boden::N,мода,tlo
81,Boden::N,мода,zemlja
82,Erde::N,мастор,zemlja
83,Staub::N,пуль,prah
84,Staub::N,пуль,prašina
85,Rauch::N,качамо,dim
86,Funke::N,сятко,iskra
87,Funke::N,сятко,varnica
88,Feuer::N,тол,vatra
89,Licht::N,валдо,svjetlo
90,Schatten::N,сулей,hlad
91,Schatten::N,сулей,sjena
92,Schatten::N,сулейкс,hlad
93,Schatten::N,сулейкс,sjena
94,Wetter::N,ушо,vrijeme
95,Nebel::N,сув,magla
96,Wolke::N,пель,oblak
97,Regen::N,пиземс,kiša
98,Schnee::N,лов,snijeg
99,Eis::N,эй,led
100,Frost::N,кельме,mraz
101,Kälte::N,якшамо,studen
102,Kälte::N,якшамо,hladnoća
103,Hitze::N,пси,vrućina
104,Raureif::N,лекш,inje
105,Regenbogen::N,пурьгинечирьке,duga
106,Regenbogen::N,пурьгинеёнкс,duga
107,Donner::N,пурьгине,grom
108,Donner::N,пурьгине,grmljavina
109,Strömung::N,чудема,struja
110,Strömung::N,чудема,strujanje
111,Strömung::N,чудевкс,struja
112,Strömung::N,чудевкс,strujanje
113,Tropfen::N,петнявкс,kap
114,Tropfen::N,петнявкс,kaplja
115,Schaum::N,чов,pjena
116,Schmutz::N,рудаз,nečistoća
117,Schmutz::N,рудаз,prljavština
118,See::N,эрьке,jezero
119,Sumpf::N,чей,bara
120,Moor::N,чей,močvara
121,Wiese::N,луга,livada
122,Wald::N,вирь,šuma
123,Hügel::N,губорь,brijeg
124,Hügel::N,губорь,brežuljak
125,Hügel::N,пандыне,brijeg
126,Hügel::N,пандыне,brežuljak
127,Anhöhe::N,губорь,uzvišica
128,Anhöhe::N,пандыне,uzvišica
129,Berg::N,пандо,brdo
130,Gipfel::N,пря,vrh
131,Höhle::N,пещера,pećina
132,Höhle::N,пещера,spilja
133,Abhang::N,пандочама,obronak
