,Concept_ID,kl,he
0,Auge::N,isi,עין
1,Ohr::N,siut,אזן
2,Mund::N,paaq,פה
3,Mund::N,qaneq,פה
4,Zahn::N,kigut,שן
5,Zunge::N,oqaq,לשון
6,Lippe::N,qarloq,שפה
7,Wange::N,ersaq,לחי
8,Gesicht::N,kiinaq,פנים
9,Stirn::N,qaaq,מצח
10,Haar::N,meqqoq,שערה
11,Bart::N,umik,זקן
12,Kinn::N,talloq,סנטר
13,Kiefer[Anatomie]::N,alleroq,לסת
14,Kehle::N,malaq,גרון
15,Hals::N,qungaseq,צואר
16,Genick::N,pukusuk,ערף
17,Kopf::N,niaqoq,ראש
18,Rücken::N,qimerlut,גב
19,Bauch::N,naaq,בטן
20,Nabel::N,qalaseq,טבור
21,Busen::N,iviangeq,שד
22,Brust::N,iviangeq,חזה
23,Schulter::N,ersik,כתף
24,Schulter::N,assaqqoq,כתף
25,Arm::N,taleq,זרוע
26,Ellenbogen::N,ikusik,מרפק
27,Hand::N,assak,יד
28,Handfläche::N,itumak,כף יד
29,Finger::N,inuak,אצבע
30,Fingernagel::N,kikiak,צפרן
31,Nagel[Anatomie]::N,kukik,צפרן
32,Zeh::N,isigak,אצבע
33,Ferse::N,kimmik,עקב
34,Knie::N,seeqqoq,ברך
35,Oberschenkel::N,uppat,ירך
36,Oberschenkel::N,quttoraq,ירך
37,Bein::N,isigak,רגל
38,Körper::N,timi,גוף
39,Haut::N,mattak,עור
40,Blut::N,aak,דם
41,Ader::N,taqaq,וריד
42,Sehne::N,ujalu,גיד
43,Sehne::N,ujaloq,גיד
44,Knochen::N,saanikut,עצם
45,Gehirn::N,qarasaq,מוח
46,Herz::N,uummat,לב
47,Magen::N,aqajaroq,קבה
48,Leber::N,tinguk,כבד
49,Atem::N,anerneq,נשימה
50,Hunger::N,kaanneq,רעב
51,Träne::N,qia,דמעה
52,Träne::N,qiak,דמעה
53,Geschmack::N,qilanaartuut,טעם
54,Geruch::N,tipi,ריח
55,Geruch::N,tipik,ריח
56,Traum::N,sinnattoq,חלום
57,Traum::N,sinnattugaq,חלום
58,Himmel::N,qilak,שמים
59,Sonne::N,seqineq,שמש
60,Mond::N,qaammat,ירח
61,Stern::N,ulloriaq,כוכב
62,Luft::N,silaannaq,אויר
63,Wind::N,anori,רוח
64,Wind::N,anorsarik,רוח
65,Welle::N,aalappaa,גל
66,Wasser::N,imeq,מים
67,Stein::N,ujarak,אבן
68,Boden::N,nateq,קרקע
69,Erde::N,issoq,אדמה
70,Staub::N,pujualanerit,אבק
71,Staub::N,pujoralanerit,אבק
72,Rauch::N,iseq,עשן
73,Rauch::N,pujoq,עשן
74,Funke::N,illoorneq,ניצוץ
75,Feuer::N,inneq,אש
76,Licht::N,qaamaneq,אור
77,Schatten::N,tarraq,צל
78,Wetter::N,sila,מזג אויר
79,Nebel::N,pujoq,ערפל
80,Wolke::N,nuia,ענן
81,Regen::N,sialuk,גשם
82,Schnee::N,aput,שלג
83,Eis::N,siku,קרח
84,Frost::N,issi,צנה
85,Frost::N,issik,צנה
86,Kälte::N,issi,קר
87,Hitze::N,kianneq,חם
88,Hitze::N,kiassuseq,חם
89,Raureif::N,kaneq,כפור
90,Regenbogen::N,neriusaaq,קשת
91,Donner::N,kalleq,רעם
92,Tropfen::N,kuseriarneq,טפה
93,Schaum::N,qapuk,קצף
94,Schmutz::N,minguk,לכלוך
95,See::N,taseq,אגם
96,Sumpf::N,maqulluk,בצה
97,Wiese::N,masarsuk,מרעה
98,Hügel::N,qattuneq,תל
99,Hügel::N,majuariaq,תל
100,Hügel::N,majorajaaq,תל
101,Hügel::N,qaqqannguaq,תל
102,Berg::N,qaqqaq,הר
103,Höhle::N,qaarusuk,מערה
104,Abhang::N,ippik,מדרון
105,Abhang::N,ippik,שפוע
