,Concept_ID,tr,en
0,Auge::N,göz,eye
1,Ohr::N,kulak,ear
2,Nase::N,burun,nose
3,Mund::N,ağız,mouth
4,Zahn::N,diş,tooth
5,Zunge::N,dil,tongue
6,Lippe::N,dudak,lip
7,Wange::N,yanak,cheek
8,Gesicht::N,yüz,face
9,Stirn::N,alın,forehead
10,Haar::N,saç,hair
11,Schnurrbart::N,bıyık,moustache
12,Bart::N,sakal,beard
13,Kinn::N,çene,chin
14,Kiefer[Anatomie]::N,çene,jaw
15,Kehle::N,boğaz,throat
16,Hals::N,boyun,neck
17,Hals::N,gerdan,neck
18,Genick::N,ense,nape
19,Kopf::N,baş,head
20,Kopf::N,kafa,head
21,Rücken::N,arka,back
22,Rücken::N,arka,spine
23,Bauch::N,karın,belly
24,Nabel::N,göbek,navel
25,Busen::N,koyun,bosom
26,Brust::N,göğüs,chest
27,Brust::N,göğüs,breast
28,Schulter::N,omuz,shoulder
29,Arm::N,kol,arm
30,Ellenbogen::N,dirsek,elbow
31,Hand::N,el,hand
32,Handfläche::N,avuç,palm
33,Handfläche::N,el ayası,palm
34,Finger::N,parmak,finger
35,Fingernagel::N,el tırnağı,fingernail
36,Nagel[Anatomie]::N,tırnak,nail
37,Zeh::N,ayak parmağı,toe
38,Fuß::N,ayak,foot
39,Ferse::N,topuk,heel
40,Knie::N,diz,knee
41,Oberschenkel::N,uyluk,thigh
42,Bein::N,bacak,leg
43,Körper::N,vücut,body
44,Haut::N,cilt,skin
45,Blut::N,kan,blood
46,Ader::N,damar,vein
47,Sehne::N,kiriş,sinew
48,Knochen::N,kemik,bone
49,Gehirn::N,beyin,brain
50,Herz::N,kalp,heart
51,Herz::N,yürek,heart
52,Magen::N,mide,stomach
53,Leber::N,karaciğer,liver
54,Atem::N,nefes,breath
55,Hunger::N,açlık,hunger
56,Träne::N,gözyaşı,tear
57,Geschmack::N,tat,flavour
58,Geschmack::N,tat,flavor
59,Geschmack::N,lezzet,flavour
60,Geschmack::N,lezzet,flavor
61,Geruch::N,koku,odour
62,Geruch::N,koku,odor
63,Schlaf::N,uyku,sleep
64,Traum::N,düş,dream
65,Traum::N,rüya,dream
66,Himmel::N,gök,sky
67,Sonne::N,güneş,sun
68,Mond::N,ay,moon
69,Stern::N,yıldız,star
70,Luft::N,hava,air
71,Wind::N,yel,wind
72,Wind::N,rüzgâr,wind
73,Welle::N,dalga,wave
74,Wasser::N,su,water
75,Stein::N,taş,stone
76,Boden::N,yer,soil
77,Boden::N,yer,ground
78,Boden::N,zemin,soil
