,Concept_ID,hu,no
0,Auge::N,szem,øye
1,Ohr::N,fül,øre
2,Nase::N,orr,nese
3,Mund::N,száj,munn
4,Zahn::N,fog,tann
5,Zunge::N,nyelv,tunge
6,Lippe::N,ajak,leppe
7,Wange::N,orca,kinn
8,Gesicht::N,arc,fjes
9,Gesicht::N,arc,ansikt
10,Stirn::N,homlok,panne
11,Haar::N,haj,hår
12,Schnurrbart::N,bajusz,bart
13,Bart::N,szakáll,skjegg
14,Kinn::N,áll,hake
15,Kiefer[Anatomie]::N,állkapocs,kjeve
16,Kehle::N,gége,strupe
17,Kehle::N,torok,strupe
18,Hals::N,nyak,hals
19,Genick::N,tarkó,nakke
20,Kopf::N,fő,hode
21,Kopf::N,fej,hode
22,Rücken::N,hát,rygg
23,Bauch::N,has,buk
24,Bauch::N,has,mage
25,Nabel::N,köldök,navle
26,Busen::N,mell,barm
27,Busen::N,kebel,barm
28,Brust::N,mell,bryst
29,Schulter::N,váll,skulder
30,Arm::N,kar,arm
31,Ellenbogen::N,könyök,albue
32,Hand::N,kéz,hånd
33,Handfläche::N,tenyér,håndflate
34,Finger::N,ujj,finger
35,Fingernagel::N,köröm,fingernegl
36,Nagel[Anatomie]::N,köröm,negl
37,Zeh::N,lábujj,tå
38,Fuß::N,láb,fot
39,Ferse::N,sarok,hæl
40,Knie::N,térd,kne
41,Oberschenkel::N,comb,lår
42,Bein::N,láb,bein
43,Bein::N,lábszár,bein
44,Körper::N,test,kropp
45,Körper::N,test,legeme
46,Haut::N,bőr,hud
47,Haut::N,bőr,skinn
48,Blut::N,vér,blod
49,Ader::N,ér,åre
50,Sehne::N,ín,sene
51,Knochen::N,csont,bein
52,Knochen::N,csont,knokkel
53,Gehirn::N,agy,hjerne
54,Gehirn::N,agyvelő,hjerne
55,Herz::N,szív,hjerte
56,Magen::N,gyomor,mage
57,Leber::N,máj,lever
58,Atem::N,lehelet,pust
59,Atem::N,lélegzet,pust
60,Hunger::N,éhség,sult
61,Träne::N,könny,tåre
62,Geschmack::N,íz,smak
63,Geruch::N,szag,lukt
64,Schlaf::N,álom,søvn
65,Schlaf::N,alvás,søvn
66,Traum::N,álom,drøm
67,Himmel::N,ég,himmel
68,Himmel::N,menny,himmel
69,Sonne::N,nap,sol
70,Mond::N,hold,måne
71,Stern::N,csillag,stjerne
72,Luft::N,levegő,luft
73,Wind::N,szél,vind
74,Welle::N,hullám,bølge
75,Wasser::N,víz,vann
76,Stein::N,kő,stein
77,Boden::N,föld,bakke
78,Boden::N,talaj,bakke
79,Erde::N,föld,jord
80,Staub::N,por,støv
81,Rauch::N,füst,røyk
82,Funke::N,szikra,gnist
83,Feuer::N,tűz,ild
84,Licht::N,fény,lys
85,Schatten::N,árnyék,skygge
86,Wetter::N,idő,vær
87,Wetter::N,időjárás,vær
88,Nebel::N,köd,tåke
89,Wolke::N,felhő,sky
90,Regen::N,eső,regn
91,Schnee::N,hó,snø
92,Eis::N,jég,is
93,Frost::N,fagy,frost
94,Kälte::N,hideg,kulde
95,Hitze::N,hő,hete
96,Hitze::N,hőség,hete
97,Raureif::N,zúzmara,rimfrost
98,Regenbogen::N,szivárvány,regnbue
99,Donner::N,dörgés,torden
100,Donner::N,mennydörgés,torden
101,Strömung::N,áramlat,strømning
102,Tropfen::N,csepp,dråpe
103,Schaum::N,hab,skum
104,Schaum::N,tajték,skum
105,Schmutz::N,piszok,søl
106,Schmutz::N,piszok,skitt
107,See::N,tó,sjø
108,Sumpf::N,mocsár,sump
109,Sumpf::N,mocsár,myrlende
110,Moor::N,láp,myr
111,Moor::N,láp,myrhei
112,Wiese::N,rét,eng
113,Wiese::N,mező,eng
114,Wald::N,erdő,skog
115,Hügel::N,domb,haug
116,Hügel::N,domb,bakke
117,Anhöhe::N,magaslat,haug
118,Anhöhe::N,magaslat,bakke
119,Berg::N,hegy,berg
120,Berg::N,hegy,fjell
121,Gipfel::N,csúcs,topp
122,Höhle::N,barlang,hule
123,Abhang::N,lejtő,li
124,Abhang::N,lejtő,skråning
125,Quelle::N,forrás,kilde
126,Bach::N,patak,bekk
127,Fluss::N,folyó,elv
128,Ufer::N,part,bredd
129,Küste::N,tengerpart,kyst
130,Festland::N,szárazföld,fastland
131,Meer::N,tenger,hav
132,Bucht::N,öböl,bukt
133,Insel::N,sziget,øy
134,Blume::N,virág,blomst
135,Gras::N,fű,gress
136,Wurzel::N,gyökér,rot
137,Baum::N,fa,tre
138,Stamm::N,tő,stamme
139,Stamm::N,törzs,stamme
140,Rinde::N,kéreg,bark
141,Ast::N,ág,gren
142,Zweig::N,gally,kvist
143,Blatt::N,levél,blad
144,Birke::N,nyír,bjørk
145,Kiefer[Baum]::N,fenyő,furu
146,Weide[Baum]::N,fűz,selje
147,Weide[Baum]::N,fűz,piletre
148,Tanne::N,fenyő,gran
149,Horn::N,szarv,horn
150,Feder::N,toll,fjær
151,Fell::N,szőr,skinn
152,Fell::N,bunda,skinn
153,Flügel::N,szárny,vinge
154,Klaue::N,köröm,klauv
155,Kralle::N,karom,klo
156,Schwanz::N,farok,hale
157,Ei::N,tojás,egg
158,Nest::N,fészek,rede
159,Bau::N,odú,hi
160,Tier::N,állat,dyr
161,Herde::N,nyáj,flokk
162,Herde::N,csorda,flokk
163,Kuh::N,tehén,ku
164,Bulle::N,bika,tyr
165,Pferd::N,ló,hest
166,Schaf::N,juh,får
167,Schaf::N,birka,får
168,Schwein::N,sertés,gris
169,Hund::N,eb,hund
170,Hund::N,kutya,hund
171,Katze::N,macska,katt
172,Bär::N,medve,bjørn
173,Eichhörnchen::N,mókus,ekorn
174,Elch::N,jávorszarvas,elg
175,Fuchs::N,róka,rev
176,Hase::N,nyúl,hare
177,Maus::N,egér,mus
178,Wolf::N,farkas,ulv
179,Wolf::N,farkas,varg
180,Vogel::N,madár,fugl
181,Schwarm::N,raj,sverm
182,Huhn::N,tyúk,høne
183,Hahn::N,kakas,hane
184,Gans::N,lúd,gås
185,Gans::N,liba,gås
186,Adler::N,sas,ørn
187,Ente::N,kacsa,and
188,Eule::N,bagoly,ugle
189,Kranich::N,daru,trane
190,Krähe::N,varjú,kråke
191,Kuckuck::N,kakukk,gjøk
192,Schwan::N,hattyú,svane
193,Fisch::N,hal,fisk
194,Barsch::N,sügér,abbor
195,Hecht::N,csuka,gjedde
196,Schlange[Tier]::N,kígyó,orm
197,Schlange[Tier]::N,kígyó,slange
198,Wurm::N,kukac,orm
199,Wurm::N,kukac,mark
200,Spinne::N,pók,edderkopp
201,Ameise::N,hangya,maur
202,Laus::N,tetű,lus
203,Mücke::N,szúnyog,mygg
204,Fliege::N,légy,flue
205,Schmetterling::N,lepke,sommerfugl
206,Schmetterling::N,pillangó,sommerfugl
207,Beere::N,bogyó,bær
208,Apfel::N,alma,eple
209,Pilz::N,gomba,sopp
210,Zwiebel::N,hagyma,løk
211,Saat::N,vetőmag,sæd
212,Korn::N,mag,korn
213,Korn::N,szem,korn
214,Heu::N,széna,høy
215,Schale::N,héj,skall
216,Grube::N,verem,grop
217,Falle::N,csapda,felle
218,Schlinge::N,tőr,snare
219,Spur::N,nyom,spor
220,Asche::N,hamu,aske
221,Dreck::N,sár,møkk
222,Dreck::N,sár,skitt
223,Dreck::N,piszok,møkk
224,Dreck::N,piszok,skitt
225,Eisen::N,vas,jern
226,Gold::N,arany,gull
227,Silber::N,ezüst,sølv
228,Kohle::N,szén,kol
229,Kohle::N,szén,kull
230,Glas::N,üveg,glass
231,Lehm::N,agyag,leire
232,Lehm::N,vályog,leire
233,Sand::N,homok,sand
234,Mensch::N,ember,menneske
235,Mann::N,úr,mann
236,Mann::N,férfi,mann
237,Frau::N,nő,kvinne
238,Frau::N,asszony,kvinne
239,Kind::N,gyerek,barn
240,Kind::N,gyermek,barn
241,Junge::N,fiú,gutt
242,Mädchen::N,lány,pike
243,Mädchen::N,lány,jente
244,Familie::N,család,familie
245,Großvater::N,nagyapa,bestefar
246,Großmutter::N,nagyanya,bestemor
247,Eltern::N,szülők,foreldre
248,Vater::N,apa,far
249,Vater::N,atya,far
250,Mutter::N,anya,mor
251,Sohn::N,fiú,sønn
252,Tochter::N,lány,datter
253,Bruder::N,fivér,bror
254,Bruder::N,testvér,bror
255,Schwester::N,nővér,søster
256,Schwester::N,lánytestvér,søster
257,Onkel::N,nagybácsi,onkel
258,Tante::N,nagynéni,tante
259,Ehemann::N,férj,ektemann
260,Ehefrau::N,feleség,hustru
261,Freude::N,öröm,glede
262,Gelächter::N,nevetés,latter
263,Gelächter::N,hahotázás,latter
264,Glück::N,boldogság,lykke
265,Kummer::N,bánat,sorg
266,Wunsch::N,óhaj,ønske
267,Lust::N,kedv,lyst
268,Geist::N,elme,ånd
269,Geist::N,szellem,ånd
270,Gedanke::N,gondolat,tanke
271,Gedächtnis::N,emlékezet,minne
272,Gedächtnis::N,emlékezet,hukommelse
273,Verstand::N,ész,forstand
274,Verstand::N,értelem,forstand
275,Sinn::N,értelem,mening
276,Sinn::N,értelem,betydning
277,Grund::N,ok,grunn
278,Grund::N,alap,grunn
279,Wahrheit::N,igaz,sannhet
280,Wahrheit::N,igazság,sannhet
281,Gespräch::N,beszélgetés,samtale
282,Märchen::N,mese,eventyr
283,Erzählung::N,elbeszélés,fortelling
284,Nachricht::N,hír,melding
285,Nachricht::N,híradás,melding
286,Neuigkeit::N,újság,nyhet
287,Name::N,név,navn
288,Rätsel::N,rejtvény,gåte
289,Rede::N,beszéd,tale
290,Rede::N,szónoklat,tale
291,Sprache::N,nyelv,språk
292,Stimme::N,hang,stemme
293,Wort::N,szó,ord
294,Zeichen::N,jel,tegn
295,Ruf::N,kiáltás,rop
296,Lärm::N,zaj,bråk
297,Laut::N,hang,lyd
298,Ton::N,hang,tone
299,Lied::N,dal,vise
300,Lied::N,ének,vise
301,Ruhe::N,csend,ro
302,Ruhe::N,nyugalom,ro
303,Leute::N,emberek,folk
304,Volk::N,nép,folk
305,Arbeit::N,dolog,arbeid
306,Gast::N,vendég,gjest
307,Geschenk::N,ajándék,gave
308,Spiel::N,játék,lek
309,Spiel::N,játék,spill
310,Gesellschaft::N,társaság,selskap
311,Hilfe::N,segítség,hjelp
312,Freund::N,barát,venn
313,Kamerad::N,társ,kamerat
314,Angelegenheit::N,ügy,sak
315,Angelegenheit::N,ügy,anliggende
316,Anzahl::N,szám,antall
317,Art::N,faj,art
318,Art::N,faj,slag
319,Art::N,fajta,art
320,Art::N,fajta,slag
321,Stück::N,darab,stykke
322,Teil::N,rész,del
323,Hälfte::N,fél,halvdel
324,Kreis::N,kör,ring
325,Kreis::N,kör,sirkel
326,Kreuz::N,kereszt,kors
327,Kreuz::N,kereszt,kryss
328,Linie::N,vonal,linje
329,Strich::N,vonás,strek
330,Abstand::N,köz,avstand
331,Entfernung::N,távolság,avstand
332,Gegend::N,táj,strøk
333,Gegend::N,vidék,strøk
334,Platz::N,hely,plass
335,Ort::N,hely,sted
336,Seite::N,fél,side
337,Seite::N,oldal,side
338,Mitte::N,közép,midte
339,Gegenstand::N,tárgy,gjenstand
340,Sache::N,dolog,sak
341,Rand::N,szél,rand
342,Rand::N,perem,rand
343,Rand::N,szegély,rand
344,Kante::N,él,kant
345,Ecke::N,sarok,hjørne
346,Ecke::N,szöglet,hjørne
347,Spitze::N,csúcs,spiss
348,Ende::N,vég,ende
349,Loch::N,lyuk,hull
350,Winkel::N,szög,vinkel
351,Muster::N,minta,mønster
352,Größe::N,nagyság,størrelse
353,Länge::N,hossz,lengde
354,Länge::N,hosszúság,lengde
355,Höhe::N,magasság,høyde
356,Gewicht::N,súly,vekt
357,Menge::N,sokaság,mengde
358,Menge::N,mennyiség,mengde
359,Haufen::N,halom,haug
360,Haufen::N,halom,bunke
361,Reihe::N,sor,rekke
362,Boot::N,csónak,båt
363,Ruder::N,evező,åre
364,Schlitten::N,szánkó,slede
365,Schlitten::N,szánkó,kjelke
366,Ski::N,sí,ski
367,Lagerfeuer::N,tábortűz,leirbål
368,Last::N,teher,bør
369,Last::N,teher,last
370,Gang::N,járás,gang
371,Schritt::N,lépés,steg
372,Schritt::N,lépés,skritt
373,Norden::N,észak,nord
374,Süden::N,dél,sør
375,Westen::N,nyugat,vest
376,Osten::N,kelet,øst
377,Holz::N,fa,tre
378,Brett::N,deszka,fjøl
379,Brett::N,deszka,brett
380,Platte::N,lap,plate
381,Platte::N,lemez,plate
382,Stütze::N,támasz,støtte
383,Stütze::N,támaszték,støtte
384,Stange::N,rúd,stang
385,Stange::N,pózna,stang
386,Stock::N,pálca,pinne
387,Stab::N,bot,stav
388,Stab::N,bot,kjepp
389,Rohr::N,cső,rør
390,Haus::N,ház,hus
391,Heim::N,otthon,hjem
392,Ofen::N,kályha,ovn
393,Fußboden::N,padló,gulv
394,Tisch::N,asztal,bord
395,Stuhl::N,szék,stol
396,Wiege::N,bölcső,vogge
397,Bett::N,ágy,seng
398,Regal::N,polc,reol
399,Regal::N,polc,hylle
400,Regal::N,állvány,reol
