,Concept_ID,uk,ka
0,Auge::N,око,თვალი
1,Ohr::N,вухо,ყური
2,Nase::N,ніс,ცხვირი
3,Mund::N,рот,პირი
4,Zahn::N,зуб,კბილი
5,Zunge::N,язик,ენა
6,Lippe::N,губа,ბაგე
7,Wange::N,щока,ლოყა
8,Gesicht::N,обличчя,სახე
9,Stirn::N,лоб,შუბლი
10,Haar::N,волосся,თმა
11,Schnurrbart::N,вуса,ულვაში
12,Bart::N,борода,წვერი
13,Kinn::N,підборіддя,ნიკაპი
14,Kiefer[Anatomie]::N,щелепа,ყბა
15,Kehle::N,горло,ყელი
16,Hals::N,шия,ყელი
17,Hals::N,шия,კისერი
18,Genick::N,потилиця,კეფა
19,Kopf::N,голова,თავი
20,Rücken::N,спина,ზურგი
21,Bauch::N,живіт,მუცელი
22,Nabel::N,пупок,ჭიპი
23,Busen::N,груди,ძუძუ
24,Brust::N,груди,მკერდი
25,Schulter::N,плече,მხარი
26,Schulter::N,плече,მკლავი
27,Arm::N,рука,ხელი
28,Ellenbogen::N,лікоть,იდაყვი
29,Hand::N,рука,ხელი
30,Handfläche::N,долоня,ნები
31,Handfläche::N,долоня,ხელისგული
32,Finger::N,палець,თითი
33,Fingernagel::N,ніготь,ფრჩხილი
34,Nagel[Anatomie]::N,ніготь,ფრჩხილი
35,Zeh::N,палець на нозі,ფეხის თითი
36,Fuß::N,нога,ტერფი
37,Fuß::N,нога,ფეხისგული
38,Ferse::N,п’ятка,ქუსლი
39,Knie::N,коліно,მუხლი
40,Oberschenkel::N,стегно,ბარძაყი
41,Bein::N,нога,ფეხი
42,Körper::N,тіло,ტანი
43,Körper::N,тіло,სხეული
44,Haut::N,шкіра,კანი
45,Blut::N,кров,სისხლი
46,Ader::N,вена,ძარღვი
47,Sehne::N,сухожилля,მყესი
48,Knochen::N,кістка,ძვალი
49,Gehirn::N,мозок,ტვინი
50,Herz::N,серце,გული
51,Magen::N,шлунок,კუჭი
52,Leber::N,печінка,ღვიძლი
53,Atem::N,дихання,სუნთქვა
54,Hunger::N,голод,შიმშილი
55,Träne::N,сльоза,ცრემლი
56,Geschmack::N,смак,გემო
57,Geruch::N,запах,სუნი
58,Schlaf::N,сон,ძილი
59,Schlaf::N,сплячка,ძილი
60,Traum::N,сон,სიზმარი
61,Himmel::N,небо,ცა
62,Sonne::N,сонце,მზე
63,Mond::N,місяць,მთვარე
64,Stern::N,зірка,ვარსკვლავი
65,Luft::N,повітря,ჰაერი
66,Wind::N,вітер,ქარი
67,Welle::N,хвиля,ტალღა
68,Wasser::N,вода,წყალი
69,Stein::N,камінь,ქვა
70,Boden::N,ґрунт,მიწა
71,Erde::N,земля,ნიადაგი
72,Staub::N,пил,მტვერი
73,Rauch::N,дим,ბოლი
74,Rauch::N,дим,კვამლი
75,Funke::N,іскра,ნაკვესი
76,Feuer::N,вогонь,ცეცხლი
77,Licht::N,світло,შუქი
