,Concept_ID,it,fr
0,Auge::N,occhio,œil
1,Ohr::N,orecchio,oreille
2,Nase::N,naso,nez
3,Mund::N,bocca,bouche
4,Zahn::N,dente,dent
5,Zunge::N,lingua,langue
6,Lippe::N,labbro,lèvre
7,Wange::N,guancia,joue
8,Gesicht::N,viso,face
9,Gesicht::N,viso,visage
10,Gesicht::N,faccia,face
11,Gesicht::N,faccia,visage
12,Stirn::N,fronte,front
13,Haar::N,capello,cheveu
14,Schnurrbart::N,baffi,moustache
15,Schnurrbart::N,mustacchi,moustache
16,Bart::N,barba,barbe
17,Kinn::N,mento,menton
18,Kiefer[Anatomie]::N,mascella,mâchoire
19,Kehle::N,gola,gorge
20,Hals::N,collo,cou
21,Genick::N,nuca,nuque
22,Kopf::N,capo,tête
23,Kopf::N,testa,tête
24,Rücken::N,dorso,dos
25,Rücken::N,schiena,dos
26,Bauch::N,ventre,ventre
27,Nabel::N,ombelico,nombril
28,Busen::N,seno,sein
29,Brust::N,petto,poitrine
30,Schulter::N,spalla,épaule
31,Arm::N,braccio,bras
32,Ellenbogen::N,gomito,coude
33,Hand::N,mano,main
34,Handfläche::N,palma,paume
35,Finger::N,dito,doigt
36,Fingernagel::N,unghia,ongle
37,Nagel[Anatomie]::N,unghia,ongle
38,Zeh::N,dito del piede,orteil
39,Zeh::N,dito del piede,doigt de pied
40,Fuß::N,piede,pied
41,Ferse::N,tallone,talon
42,Ferse::N,calcagno,talon
43,Knie::N,ginocchio,genou
44,Oberschenkel::N,fèmore,cuisse
45,Bein::N,gamba,jambe
46,Körper::N,corpo,corps
47,Haut::N,pelle,peau
48,Blut::N,sangue,sang
49,Ader::N,vena,veine
50,Sehne::N,tèndine,tendon
51,Knochen::N,osso,os
52,Gehirn::N,cervello,cerveau
53,Herz::N,cuore,cœur
54,Magen::N,stòmaco,estomac
55,Leber::N,fegato,foie
56,Atem::N,fiato,haleine
57,Atem::N,respiro,haleine
58,Hunger::N,fame,faim
59,Träne::N,làcrima,larme
60,Geschmack::N,gusto,goût
61,Geschmack::N,gusto,saveur
62,Geschmack::N,sapore,goût
63,Geschmack::N,sapore,saveur
64,Geruch::N,odore,odeur
65,Schlaf::N,sonno,sommeil
66,Traum::N,sogno,songe
67,Himmel::N,cielo,ciel
68,Sonne::N,sole,soleil
69,Mond::N,luna,lune
70,Stern::N,stella,étoile
71,Luft::N,aria,air
72,Wind::N,vento,vent
73,Welle::N,onda,vague
74,Wasser::N,acqua,eau
75,Stein::N,sasso,pierre
76,Stein::N,pietra,pierre
77,Boden::N,suolo,sol
78,Boden::N,suolo,terrain
79,Boden::N,terreno,sol
80,Boden::N,terreno,terrain
81,Erde::N,terra,terre
82,Staub::N,polvere,poussière
83,Rauch::N,fumo,fumée
84,Funke::N,scintilla,étincelle
85,Feuer::N,fuoco,feu
86,Licht::N,luce,lumière
87,Schatten::N,ombra,ombre
88,Wetter::N,tempo,temps
89,Nebel::N,nebbia,brume
90,Nebel::N,nebbia,brouillard
91,Wolke::N,nube,nuage
92,Wolke::N,nùvola,nuage
93,Regen::N,pioggia,pluie
94,Schnee::N,neve,neige
95,Eis::N,ghiaccio,glace
96,Frost::N,gelo,gel
97,Frost::N,gelo,gelée
98,Kälte::N,freddo,froid
99,Hitze::N,caldo,chaleur
100,Hitze::N,calura,chaleur
101,Raureif::N,brina,givre
102,Regenbogen::N,arcobaleno,arc-en-ciel
103,Donner::N,tuono,tonnerre
104,Strömung::N,corrente,courant
105,Tropfen::N,goccia,goutte
106,Schaum::N,spuma,écume
107,Schaum::N,spuma,mousse
108,Schaum::N,schiuma,écume
109,Schaum::N,schiuma,mousse
110,Schmutz::N,sudiciume,boue
111,Schmutz::N,sudiciume,saleté
112,See::N,lago,lac
113,Sumpf::N,palude,marais
114,Sumpf::N,palude,marécage
115,Moor::N,torbiera,tourbière
116,Wiese::N,prato,pré
117,Wald::N,bosco,bois
118,Wald::N,bosco,forêt
119,Wald::N,foresta,bois
120,Wald::N,foresta,forêt
121,Hügel::N,colle,coteau
122,Hügel::N,colle,colline
123,Hügel::N,collina,coteau
124,Hügel::N,collina,colline
125,Anhöhe::N,altura,éminence
126,Anhöhe::N,altura,élévation
127,Berg::N,monte,mont
128,Berg::N,monte,montagne
129,Berg::N,montagna,mont
130,Berg::N,montagna,montagne
131,Gipfel::N,cima,cime
132,Gipfel::N,cima,sommet
133,Höhle::N,grotta,caverne
134,Höhle::N,caverna,caverne
135,Abhang::N,pendìo,pente
136,Abhang::N,pendìo,versant
137,Quelle::N,sorgente,source
138,Quelle::N,sorgente,fontaine
139,Bach::N,ruscello,ruisseau
140,Fluss::N,fiume,fleuve
141,Fluss::N,fiume,rivière
142,Ufer::N,riva,bord
143,Ufer::N,riva,rivage
144,Küste::N,costa,côte
145,Festland::N,terraferma,terre ferme
146,Meer::N,mare,mer
147,Bucht::N,cala,baie
148,Insel::N,ìsola,île
149,Blume::N,fiore,fleur
150,Gras::N,erba,herbe
151,Wurzel::N,radice,racine
152,Baum::N,àlbero,arbre
153,Stamm::N,tronco,tronc
154,Rinde::N,corteccia,écorce
155,Ast::N,ramo,branche
156,Zweig::N,ramo,rameau
157,Blatt::N,foglia,feuille
158,Birke::N,betulla,bouleau
159,Kiefer[Baum]::N,pino,pin
160,Weide[Baum]::N,sàlice,saule
161,Tanne::N,abete,sapin
162,Horn::N,corno,corne
163,Feder::N,penna,plume
164,Fell::N,manto,peau
165,Fell::N,pelame,peau
166,Flügel::N,ala,aile
167,Klaue::N,grinfia,serre
168,Kralle::N,unghia,ongle
169,Kralle::N,unghia,griffe
170,Kralle::N,artiglio,ongle
171,Kralle::N,artiglio,griffe
172,Schwanz::N,coda,queue
173,Ei::N,uovo,œuf
174,Nest::N,nido,nid
175,Bau::N,covo,terrier
176,Tier::N,bestia,animal
177,Tier::N,animale,animal
178,Herde::N,gregge,troupeau
179,Kuh::N,vacca,vache
180,Bulle::N,toro,taureau
181,Pferd::N,cavallo,cheval
182,Schaf::N,pècora,mouton
183,Schwein::N,porco,porc
184,Schwein::N,porco,cochon
185,Schwein::N,maiale,porc
186,Schwein::N,maiale,cochon
187,Hund::N,cane,chien
188,Katze::N,gatta,chat
189,Bär::N,orso,ours
190,Eichhörnchen::N,scoiàttolo,écureuil
191,Elch::N,alce,élan
192,Fuchs::N,volpe,renard
193,Hase::N,lepre,lièvre
194,Maus::N,topo,souris
195,Maus::N,sorcio,souris
196,Wolf::N,lupo,loup
197,Vogel::N,uccello,oiseau
198,Schwarm::N,stormo,nuée
199,Schwarm::N,stormo,volée
200,Huhn::N,gallina,poule
201,Hahn::N,gallo,coq
