,Concept_ID,hu,hy
0,Auge::N,szem,աչք
1,Ohr::N,fül,ականջ
2,Nase::N,orr,քիթ
3,Mund::N,száj,բերան
4,Zahn::N,fog,ատամ
5,Zunge::N,nyelv,լեզու
6,Lippe::N,ajak,շրթունք
7,Wange::N,orca,այտ
8,Wange::N,orca,թուշ
9,Gesicht::N,arc,դեմք
10,Stirn::N,homlok,ճակատ
11,Haar::N,haj,մազ
12,Schnurrbart::N,bajusz,բեղ
13,Bart::N,szakáll,մորուք
14,Kinn::N,áll,կզակ
15,Kiefer[Anatomie]::N,állkapocs,ծնոտ
16,Kehle::N,gége,կոկորդ
17,Kehle::N,torok,կոկորդ
18,Hals::N,nyak,վիզ
19,Hals::N,nyak,պարանոց
20,Genick::N,tarkó,ծոծրակ
21,Kopf::N,fő,գլուխ
22,Kopf::N,fej,գլուխ
23,Rücken::N,hát,մեջք
24,Bauch::N,has,փոր
25,Bauch::N,has,որովայն
26,Nabel::N,köldök,պորտ
27,Busen::N,mell,ծոց
28,Busen::N,kebel,ծոց
29,Brust::N,mell,կուրծք
30,Schulter::N,váll,ուս
31,Arm::N,kar,թեւ
32,Arm::N,kar,բազուկ
33,Ellenbogen::N,könyök,արմունկ
34,Hand::N,kéz,ձեռք
35,Handfläche::N,tenyér,ափ
36,Finger::N,ujj,մատ
37,Fingernagel::N,köröm,եղունգ
38,Nagel[Anatomie]::N,köröm,եղունգ
39,Zeh::N,lábujj,ոտքի մատ
40,Fuß::N,láb,ոտք
41,Ferse::N,sarok,գարշապար
42,Knie::N,térd,ծունկ
43,Oberschenkel::N,comb,ազդր
44,Bein::N,láb,ոտք
45,Bein::N,lábszár,ոտք
46,Körper::N,test,մարմին
47,Haut::N,bőr,մաշկ
48,Blut::N,vér,արյուն
49,Ader::N,ér,երակ
50,Sehne::N,ín,ջիղ
51,Sehne::N,ín,ձգտան
52,Knochen::N,csont,ոսկոր
53,Gehirn::N,agy,խելք
54,Gehirn::N,agyvelő,խելք
55,Herz::N,szív,սիրտ
56,Magen::N,gyomor,ստամոքս
57,Leber::N,máj,լյարդ
58,Atem::N,lehelet,շունչ
59,Atem::N,lélegzet,շունչ
60,Hunger::N,éhség,քաղց
61,Träne::N,könny,արտասուք
62,Geschmack::N,íz,համ
63,Geschmack::N,íz,բուրմունք
64,Geruch::N,szag,հոտ
65,Geruch::N,szag,բուրում
66,Schlaf::N,álom,քուն
67,Schlaf::N,alvás,քուն
68,Traum::N,álom,երազ
69,Himmel::N,ég,երկինք
70,Himmel::N,menny,երկինք
71,Sonne::N,nap,արեւ
72,Mond::N,hold,լուսին
73,Stern::N,csillag,աստղ
74,Luft::N,levegő,օդ
75,Wind::N,szél,քամի
76,Welle::N,hullám,ալիք
77,Wasser::N,víz,ջուր
78,Stein::N,kő,քար
79,Boden::N,föld,գետին
80,Boden::N,talaj,գետին
81,Erde::N,föld,հող
82,Staub::N,por,փոշի
83,Rauch::N,füst,ծուխ
84,Funke::N,szikra,կայծ
85,Feuer::N,tűz,կրակ
86,Feuer::N,tűz,հրդեհ
87,Licht::N,fény,լույս
88,Schatten::N,árnyék,ստվեր
89,Wetter::N,idő,եղանակ
90,Wetter::N,időjárás,եղանակ
91,Nebel::N,köd,մեգ
92,Nebel::N,köd,մառախուղ
93,Wolke::N,felhő,ամպ
94,Regen::N,eső,անձրև
95,Schnee::N,hó,ձյուն
96,Eis::N,jég,սառույց
97,Frost::N,fagy,սառնամանիք
98,Kälte::N,hideg,դող
99,Hitze::N,hő,շոգ
100,Hitze::N,hőség,շոգ
101,Raureif::N,zúzmara,ցօղեղեամ
102,Regenbogen::N,szivárvány,ծիածան
103,Donner::N,dörgés,որոտ
104,Donner::N,mennydörgés,որոտ
105,Strömung::N,áramlat,հոսանք
106,Tropfen::N,csepp,կաթիլ
107,Schaum::N,hab,փրփուր
108,Schaum::N,tajték,փրփուր
109,Schmutz::N,piszok,կեղտ
110,See::N,tó,լիճ
111,Sumpf::N,mocsár,ճահիճ
112,Moor::N,láp,ճահիճ
113,Wiese::N,rét,մարգագետին
114,Wiese::N,mező,մարգագետին
115,Wald::N,erdő,անտառ
116,Hügel::N,domb,բլուր
117,Anhöhe::N,magaslat,բարձունք
118,Berg::N,hegy,լեռ
119,Gipfel::N,csúcs,գագաթ
120,Gipfel::N,csúcs,կատար
121,Höhle::N,barlang,քարայր
122,Abhang::N,lejtő,լանջ
123,Abhang::N,lejtő,զառիվայր
124,Quelle::N,forrás,աղբյուր
