,Concept_ID,fa,ka
0,Auge::N,چشم,თვალი
1,Ohr::N,گوش,ყური
2,Nase::N,بینی,ცხვირი
3,Mund::N,دهان,პირი
4,Zahn::N,دندان,კბილი
5,Zunge::N,زبان,ენა
6,Lippe::N,لب,ბაგე
7,Wange::N,لپ,ლოყა
8,Gesicht::N,رو,სახე
9,Gesicht::N,چهره,სახე
10,Stirn::N,پیشانی,შუბლი
11,Haar::N,مو,თმა
12,Schnurrbart::N,سبیل,ულვაში
13,Bart::N,ریش,წვერი
14,Kinn::N,چانه,ნიკაპი
15,Kiefer[Anatomie]::N,فک,ყბა
16,Kiefer[Anatomie]::N,آرواره,ყბა
17,Kehle::N,حلق,ყელი
18,Hals::N,گردن,ყელი
19,Hals::N,گردن,კისერი
20,Genick::N,پشت گردن,კეფა
21,Kopf::N,سر,თავი
22,Kopf::N,کله,თავი
23,Rücken::N,پشت,ზურგი
24,Bauch::N,شکم,მუცელი
25,Nabel::N,ناف,ჭიპი
26,Busen::N,پستان,ძუძუ
27,Brust::N,سینه,მკერდი
28,Schulter::N,دوش,მხარი
29,Schulter::N,دوش,მკლავი
30,Schulter::N,شانه,მხარი
31,Schulter::N,شانه,მკლავი
32,Arm::N,بازو,ხელი
33,Ellenbogen::N,آرنج,იდაყვი
34,Hand::N,دست,ხელი
35,Handfläche::N,کف دست,ნები
36,Handfläche::N,کف دست,ხელისგული
37,Finger::N,انگشت,თითი
38,Fingernagel::N,ناخن دست,ფრჩხილი
39,Nagel[Anatomie]::N,ناخن,ფრჩხილი
40,Zeh::N,انگشت پا,ფეხის თითი
41,Fuß::N,پا,ტერფი
42,Fuß::N,پا,ფეხისგული
43,Ferse::N,پاشنه,ქუსლი
44,Knie::N,زانو,მუხლი
45,Oberschenkel::N,ران,ბარძაყი
46,Bein::N,پا,ფეხი
47,Bein::N,لنگ,ფეხი
48,Körper::N,تن,ტანი
49,Körper::N,تن,სხეული
50,Körper::N,بدن,ტანი
51,Körper::N,بدن,სხეული
52,Haut::N,پوست,კანი
53,Blut::N,خون,სისხლი
54,Ader::N,رگ,ძარღვი
55,Sehne::N,زردپی,მყესი
56,Knochen::N,استخوان,ძვალი
57,Gehirn::N,مخ,ტვინი
58,Gehirn::N,مغز,ტვინი
59,Herz::N,دل,გული
60,Herz::N,قلب,გული
61,Magen::N,معده,კუჭი
62,Leber::N,کبد,ღვიძლი
63,Atem::N,نفس,სუნთქვა
64,Hunger::N,گرسنگی,შიმშილი
65,Träne::N,اشک,ცრემლი
66,Geschmack::N,مزه,გემო
67,Geruch::N,بو,სუნი
68,Schlaf::N,خواب,ძილი
69,Traum::N,رؤیا,სიზმარი
70,Himmel::N,فلک,ცა
71,Himmel::N,آسمان,ცა
72,Sonne::N,آفتاب,მზე
73,Sonne::N,خورشید,მზე
74,Mond::N,ماه,მთვარე
75,Stern::N,ستاره,ვარსკვლავი
76,Luft::N,هوا,ჰაერი
77,Wind::N,باد,ქარი
78,Welle::N,موج,ტალღა
79,Wasser::N,آب,წყალი
80,Stein::N,سنگ,ქვა
81,Boden::N,زمین,მიწა
82,Erde::N,خاک,ნიადაგი
83,Erde::N,زمین,ნიადაგი
84,Staub::N,گرد,მტვერი
85,Staub::N,غبار,მტვერი
86,Rauch::N,دود,ბოლი
87,Rauch::N,دود,კვამლი
88,Funke::N,جرقه,ნაკვესი
89,Feuer::N,آتش,ცეცხლი
90,Licht::N,نور,შუქი
91,Licht::N,نور,სინათლე
92,Licht::N,روشنی,შუქი
93,Licht::N,روشنی,სინათლე
94,Schatten::N,سایه,ლანდი
95,Schatten::N,سایه,ჩრდილი
96,Wetter::N,هوا,ამინდი
97,Nebel::N,مه,ნისლი
98,Wolke::N,ابر,ღრუბელი
99,Regen::N,باران,წვიმა
100,Schnee::N,برف,თოვლი
101,Eis::N,یخ,თოში
102,Eis::N,یخ,ყინული
103,Frost::N,یخبندان,ყინვა
104,Kälte::N,سرما,სიცივე
105,Hitze::N,گرما,სიცხე
106,Hitze::N,حرارت,სიცხე
107,Raureif::N,برف ریزه,ჭირხლი
108,Raureif::N,برف ریزه,თრთვილი
109,Regenbogen::N,رنگین‌کمان,ცისარტყელა
110,Donner::N,رعد,ქუხილი
111,Strömung::N,جریان,დინება
112,Tropfen::N,قطره,წვეთი
113,Schaum::N,کف,ქაფი
114,Schaum::N,کف,დორბლი
115,Schmutz::N,گل,ჭუჭყი
116,Schmutz::N,گل,ტალახი
117,Schmutz::N,کثافت,ჭუჭყი
118,Schmutz::N,کثافت,ტალახი
119,See::N,دریاچه,ტბა
120,Sumpf::N,مرداب,ჭაობი
121,Sumpf::N,باتلاق,ჭაობი
122,Moor::N,باتلاق,ტორფნარი
123,Wiese::N,چمن,ველი
124,Wiese::N,چمن,მდელო
125,Wald::N,جنگل,ტყე
126,Hügel::N,تل,ბორცვი
127,Hügel::N,تپه,ბორცვი
128,Anhöhe::N,بلندی,მაღლობი
129,Berg::N,کوه,მთა
130,Gipfel::N,قله,მწვერვალი
131,Höhle::N,غار,მღვიმე
132,Höhle::N,غار,გამოქვებული
133,Abhang::N,سرازیری,ფერდობი
134,Quelle::N,چشمه,წყარო
135,Quelle::N,چشمه,სათავე
136,Bach::N,نهر,რუ
137,Bach::N,نهر,ნაკადული
138,Fluss::N,رود,მდინარე
139,Ufer::N,ساحل,კიდე
140,Ufer::N,ساحل,ნაპირი
141,Ufer::N,کرانه,კიდე
142,Ufer::N,کرانه,ნაპირი
143,Küste::N,ساحل,ნაპირი
