,Concept_ID,kv,xal
0,Auge::N,син,нүдн
1,Ohr::N,пель,чикн
2,Nase::N,ныр,хамр
3,Mund::N,ӧм,амн
4,Zahn::N,пинь,шүдн
5,Zunge::N,кыв,келн
6,Lippe::N,тырп,урл
7,Wange::N,рожабан,халх
8,Gesicht::N,бан,нүр
9,Stirn::N,кымӧс,маңна
10,Haar::N,юрси,үсн
11,Schnurrbart::N,уссэз,сахл
12,Bart::N,тош,сахл
13,Bart::N,тош,өргнә сахл
14,Kinn::N,тшӧка,өргн
15,Kiefer[Anatomie]::N,ан,өргн
16,Kehle::N,юан,хол
17,Hals::N,юан,күзүн
18,Genick::N,юр бӧр,гиҗг
19,Kopf::N,юр,толһа
20,Rücken::N,мышк,нурһн
21,Bauch::N,кынӧм,гесн
22,Nabel::N,гӧг,киисн
23,Busen::N,морос,көкн
24,Brust::N,морос,чееҗ
25,Schulter::N,пельпон,ээм
26,Arm::N,ки,һар
27,Ellenbogen::N,гырдзза,тоха
28,Hand::N,кикар,баһлцг
29,Handfläche::N,ки пыдӧс,альхн
30,Finger::N,чунь,хурһн
31,Finger::N,чунь,һарин хурһн
32,Fingernagel::N,гыж,хумсн
33,Nagel[Anatomie]::N,гыж,хумсн
34,Zeh::N,чунь,хурһн
35,Zeh::N,чунь,көлин хурһн
36,Fuß::N,кокпыдӧс,тавг
37,Ferse::N,кокдзир,өскә
38,Knie::N,пидзӧс,өвдг
39,Oberschenkel::N,лядьбей,һуй
40,Bein::N,кок,көл
41,Körper::N,вывтыр,махмуд
42,Haut::N,кучик,арсн
43,Blut::N,вир,цусн
44,Ader::N,сӧн,судцн
45,Sehne::N,жила,шүрүсн
46,Knochen::N,коска,ясн
47,Gehirn::N,вем,экн
48,Herz::N,сьӧлӧм,зүркн
49,Magen::N,жӧвдӧк,гесн
50,Leber::N,мус,элкн
51,Atem::N,лолалӧм,әмсхл
52,Hunger::N,тшыг,харһнлһн
53,Träne::N,синва,нульмсн
54,Geschmack::N,кӧр,амтн
55,Geruch::N,дук,үнр
56,Schlaf::N,он,нөр
57,Traum::N,вӧт,зүүдн
58,Himmel::N,небо,теңгр
59,Sonne::N,шондi,нарн
60,Mond::N,тӧлiсь,сар
61,Stern::N,кӧдзыв,одн
62,Luft::N,ру,аһар
63,Wind::N,тӧв,салькн
64,Welle::N,гы,дольган
65,Wasser::N,ва,усн
66,Stein::N,из,чолун
67,Boden::N,му,Һазр
68,Erde::N,му,Һазр
69,Staub::N,бус,тоосн
70,Rauch::N,тшын,утан
71,Funke::N,бичир,очн
72,Feuer::N,би,һал
73,Licht::N,би,герл
74,Schatten::N,вуджӧр,сүүдр
75,Wetter::N,погоддя,теңгр
76,Nebel::N,туман,будн
77,Wolke::N,кымӧр,үүлн
78,Regen::N,зэр,хур
79,Schnee::N,лым,цасн
80,Eis::N,йы,мөсн
81,Frost::N,мороз,киитн
82,Kälte::N,кӧдзыт,киитн
83,Hitze::N,ӧд,халун
84,Raureif::N,кижа,цаң
85,Raureif::N,кижа,кирү
86,Regenbogen::N,енӧшка,солңһ
87,Donner::N,гым,оһтрһун дун
88,Strömung::N,визывтӧм,урсхл
89,Tropfen::N,тёп,дусал
